HG U133A probe set	Gene Symbol	Gene Title	NPM1-mut	NPM1-WT	Fold change	t statistic	P	q
200009_at	GDI2	GDP dissociation inhibitor 2 /// GDP dissociation inhibitor 2	6573.7	7547.6	-1.1	-4.4	0.0001	0.0403
203517_at	MTX2	metaxin 2	642.0	469.4	1.4	4.4	0.0001	0.0403
205298_s_at	BTN2A2	butyrophilin, subfamily 2, member A2	318.2	435.5	-1.4	-4.5	0.0001	0.0403
209451_at	TANK	TRAF family member-associated NFKB activator	457.6	262.0	1.7	5.4	0.0001	0.0403
210337_s_at	ACLY	ATP citrate lyase	712.9	1072.6	-1.5	-4.7	0.0001	0.0403
212530_at	NEK7	NIMA (never in mitosis gene a)-related kinase 7	1015.2	706.8	1.4	5.3	0.0001	0.0403
207198_s_at	LIMS1	LIM and senescent cell antigen-like domains 1	1086.5	852.6	1.3	4.4	0.0001	0.0412
215555_at	---	---	100.4	57.5	1.7	4.5	0.0001	0.0412
214049_x_at	CD7	CD7 antigen (p41)	40.2	319.5	-8.0	-4.7	0.0001	0.0439
218589_at	P2RY5	purinergic receptor P2Y, G-protein coupled, 5	161.0	718.6	-4.5	-4.8	0.0001	0.0439
208308_s_at	GPI	glucose phosphate isomerase	2757.3	4533.7	-1.6	-4.7	0.0001	0.0451
220608_s_at	FLJ20582	Hypothetical protein FLJ20582	233.7	139.1	1.7	5.0	0.0001	0.0459
201600_at	REA	repressor of estrogen receptor activity	6203.3	8171.8	-1.3	-6.2	0.0001	0.0459
205023_at	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	107.3	56.4	1.9	4.6	0.0001	0.0459
213223_at	RPL28	ribosomal protein L28	644.1	994.3	-1.5	-6.0	0.0001	0.0459
217846_at	QARS	glutaminyl-tRNA synthetase	4749.8	6225.2	-1.3	-4.9	0.0001	0.0459
210947_s_at	MSH3	mutS homolog 3 (E. coli)	334.2	253.0	1.3	4.9	0.0001	0.0467
201008_s_at	TXNIP	thioredoxin interacting protein	4341.3	2880.1	1.5	4.4	0.0001	0.0473
209605_at	TST	thiosulfate sulfurtransferase (rhodanese)	798.9	467.2	1.7	4.4	0.0001	0.0473
202190_at	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa	319.9	177.7	1.8	4.5	0.0002	0.0574
215419_at	KIAA1086	KIAA1086	178.8	116.4	1.5	4.3	0.0002	0.0585
212074_at	UNC84A	unc-84 homolog A (C. elegans)	461.8	336.7	1.4	4.2	0.0002	0.0611
201229_s_at	ARIH2	ariadne homolog 2 (Drosophila)	469.9	350.4	1.3	4.1	0.0002	0.0617
216529_at	---	---	97.0	55.0	1.8	4.3	0.0002	0.0617
214656_x_at	MYO1C	myosin IC	614.4	452.1	1.4	4.1	0.0002	0.0621
204995_at	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	89.9	52.4	1.7	4.6	0.0002	0.0632
202346_at	HIP2	huntingtin interacting protein 2	530.7	379.4	1.4	5.5	0.0002	0.0640
217307_at	---	---	236.1	151.2	1.6	4.2	0.0002	0.0642
201009_s_at	TXNIP	thioredoxin interacting protein	7191.7	4914.5	1.5	4.4	0.0002	0.0684
205753_at	CRP	C-reactive protein, pentraxin-related	129.2	79.3	1.6	4.2	0.0002	0.0696
212512_s_at	CARM1	coactivator-associated arginine methyltransferase 1	289.6	406.3	-1.4	-4.4	0.0003	0.0699
214394_x_at	---	---	5417.5	7361.3	-1.4	-4.3	0.0003	0.0699
212535_at	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	752.2	1138.0	-1.5	-4.2	0.0003	0.0724
201786_s_at	ADAR	adenosine deaminase, RNA-specific	3009.6	3670.5	-1.2	-4.8	0.0003	0.0787
211446_at	RGSL2	regulator of G-protein signalling like 2	204.3	127.1	1.6	4.3	0.0003	0.0787
217127_at	CTH	cystathionase (cystathionine gamma-lyase)	113.6	65.5	1.7	4.1	0.0003	0.0797
218326_s_at	GPR48	G protein-coupled receptor 48	101.5	42.7	2.4	4.5	0.0003	0.0841
211969_at	HSPCA	heat shock 90kDa protein 1, alpha	9303.0	6883.1	1.4	4.4	0.0003	0.0842
211326_x_at	HFE	hemochromatosis	280.4	194.6	1.4	4.0	0.0003	0.0844
218656_s_at	LHFP	lipoma HMGIC fusion partner	180.7	97.4	1.9	4.3	0.0003	0.0844
219254_at	FLJ22222	hypothetical protein FLJ22222	111.6	69.3	1.6	4.2	0.0003	0.0852
214339_s_at	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	533.7	814.8	-1.5	-4.9	0.0004	0.0860
208557_at	HOXA6	homeo box A6	627.6	246.6	2.5	5.2	0.0004	0.0894
207050_at	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	186.8	93.1	2.0	4.7	0.0004	0.0895
220033_at	---	---	370.1	202.6	1.8	4.4	0.0004	0.0895
222221_x_at	EHD1	EH-domain containing 1	292.2	512.9	-1.8	-4.4	0.0004	0.0895
210612_s_at	SYNJ2	synaptojanin 2	13.4	98.0	-7.3	-4.1	0.0004	0.0910
201349_at	SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	932.5	1599.0	-1.7	-5.1	0.0004	0.0916
204742_s_at	APRIN	androgen-induced proliferation inhibitor	198.0	119.2	1.7	4.1	0.0004	0.0916
211689_s_at	TMPRSS2	transmembrane protease, serine 2 /// transmembrane protease, serine 2	10.0	26.3	-2.6	-4.0	0.0004	0.0916
211922_s_at	CAT	catalase /// catalase	9109.5	6052.7	1.5	4.0	0.0004	0.0916
215143_at	FLJ36166	Hypothetical protein FLJ36166	289.3	187.6	1.5	4.2	0.0004	0.0916
38918_at	SOX13	SRY (sex determining region Y)-box 13	141.4	97.6	1.4	3.9	0.0005	0.0960
204295_at	SURF1	surfeit 1	1129.4	1404.7	-1.2	-4.2	0.0005	0.0960
215801_at	---	Transcribed locus, moderately similar to XP_227155.2 similar to neurobeachin [Rattus norvegicus]	154.4	97.7	1.6	4.0	0.0005	0.0960
211217_s_at	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	51.6	142.6	-2.8	-3.9	0.0005	0.0979
200005_at	EIF3S7	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa /// eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	4377.9	6351.6	-1.5	-5.6	0.0005	0.0983
221354_s_at	GPR24	G protein-coupled receptor 24	234.2	148.7	1.6	4.0	0.0005	0.0983
209543_s_at	CD34	CD34 antigen	369.4	1809.5	-4.9	-5.2	0.0005	0.0984
214494_s_at	SPG7	spastic paraplegia 7, paraplegin (pure and complicated autosomal recessive)	1274.2	998.4	1.3	4.0	0.0005	0.0984
216612_x_at	---	---	96.2	69.6	1.4	3.8	0.0005	0.0984
205017_s_at	MBNL2	muscleblind-like 2 (Drosophila)	197.9	99.1	2.0	4.2	0.0005	0.1008
220162_s_at	CARD9	caspase recruitment domain family, member 9	599.5	379.2	1.6	4.0	0.0005	0.1008
201851_at	SH3GL1	SH3-domain GRB2-like 1	440.9	351.0	1.3	3.8	0.0006	0.1062
205255_x_at	TCF7	transcription factor 7 (T-cell specific, HMG-box)	853.4	1413.9	-1.7	-4.2	0.0006	0.1062
207734_at	LAX	hypothetical protein FLJ20340	236.8	480.7	-2.0	-5.0	0.0006	0.1062
213384_x_at	PLCB3	phospholipase C, beta 3 (phosphatidylinositol-specific)	269.7	201.7	1.3	3.8	0.0006	0.1062
220156_at	FLJ11767	hypothetical protein FLJ11767	42.9	124.8	-2.9	-3.8	0.0006	0.1062
220874_at	---	---	199.5	133.7	1.5	4.0	0.0006	0.1062
221685_s_at	FLJ20364	hypothetical protein FLJ20364	342.4	224.6	1.5	4.0	0.0006	0.1062
201540_at	FHL1	four and a half LIM domains 1	371.3	1436.1	-3.9	-4.5	0.0006	0.1066
201727_s_at	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	677.8	847.5	-1.3	-4.2	0.0006	0.1085
202207_at	ARL7	ADP-ribosylation factor-like 7	269.1	552.9	-2.1	-4.0	0.0006	0.1085
203302_at	DCK	deoxycytidine kinase	918.9	651.1	1.4	4.3	0.0006	0.1085
204567_s_at	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	67.8	204.7	-3.0	-5.6	0.0006	0.1085
206847_s_at	HOXA7	homeo box A7	368.1	146.0	2.5	4.4	0.0006	0.1085
207209_at	CETN1	centrin, EF-hand protein, 1	323.7	222.1	1.5	4.0	0.0006	0.1089
221606_s_at	NSBP1	nucleosomal binding protein 1	178.4	82.4	2.2	4.3	0.0007	0.1188
219412_at	RAB38	RAB38, member RAS oncogene family	191.6	119.8	1.6	3.9	0.0007	0.1229
211555_s_at	GUCY1B3	guanylate cyclase 1, soluble, beta 3	190.4	409.2	-2.1	-5.1	0.0007	0.1234
217778_at	SLC39A1	solute carrier family 39 (zinc transporter), member 1	301.5	171.8	1.8	4.0	0.0008	0.1255
218916_at	FLJ23436	hypothetical protein FLJ23436	303.5	208.5	1.5	3.7	0.0008	0.1255
220942_x_at	E2IG5	growth and transformation-dependent protein	972.7	1493.5	-1.5	-4.2	0.0008	0.1280
204832_s_at	BMPR1A	bone morphogenetic protein receptor, type IA	71.3	39.7	1.8	4.1	0.0008	0.1281
212638_s_at	WWP1	WW domain containing E3 ubiquitin protein ligase 1	698.0	493.2	1.4	3.9	0.0008	0.1281
218235_s_at	CGI-94	comparative gene identification transcript 94	644.2	890.8	-1.4	-4.1	0.0008	0.1281
201395_at	RBM5	RNA binding motif protein 5	2252.6	1919.0	1.2	3.6	0.0008	0.1289
202177_at	GAS6	growth arrest-specific 6	21.5	114.3	-5.3	-4.0	0.0008	0.1289
202533_s_at	DHFR	dihydrofolate reductase	332.1	155.6	2.1	4.2	0.0009	0.1289
202824_s_at	TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	933.6	1144.5	-1.2	-3.6	0.0008	0.1289
206003_at	KIAA0635	KIAA0635	481.4	348.5	1.4	3.7	0.0009	0.1289
207761_s_at	DKFZP586A0522	DKFZP586A0522 protein	4042.8	3275.5	1.2	3.6	0.0009	0.1289
210379_s_at	TLK1	tousled-like kinase 1	140.8	84.2	1.7	3.9	0.0009	0.1289
212750_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	27.8	151.9	-5.5	-4.5	0.0008	0.1289
216506_x_at	MLLT10	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	266.5	174.6	1.5	3.9	0.0009	0.1289
200940_s_at	RERE	arginine-glutamic acid dipeptide (RE) repeats	1018.8	1322.3	-1.3	-3.8	0.0009	0.1319
213899_at	METAP2	methionyl aminopeptidase 2	272.8	167.2	1.6	4.2	0.0009	0.1333
40420_at	STK10	serine/threonine kinase 10	908.0	1192.1	-1.3	-3.7	0.0009	0.1338
203017_s_at	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	378.9	225.6	1.7	4.2	0.0009	0.1338
219999_at	MAN2A2	mannosidase, alpha, class 2A, member 2	616.6	460.9	1.3	3.7	0.0009	0.1338
205366_s_at	HOXB6	homeo box B6	777.7	495.9	1.6	3.7	0.0010	0.1349
206441_s_at	COMMD4	COMM domain containing 4	638.5	461.4	1.4	3.7	0.0010	0.1349
213176_s_at	LTBP4	latent transforming growth factor beta binding protein 4	27.2	86.8	-3.2	-3.9	0.0010	0.1349
219322_s_at	WDR8	WD repeat domain 8	276.3	203.1	1.4	3.6	0.0010	0.1349
219621_at	CLSPN	claspin homolog (Xenopus laevis)	172.9	95.9	1.8	4.1	0.0010	0.1349
219893_at	FLJ12800	hypothetical protein FLJ12800	322.1	222.5	1.4	3.7	0.0010	0.1349
207983_s_at	STAG2	stromal antigen 2	1123.7	752.5	1.5	4.0	0.0010	0.1363
200609_s_at	WDR1	WD repeat domain 1	2086.0	2685.1	-1.3	-4.2	0.0011	0.1418
207071_s_at	ACO1	aconitase 1, soluble	798.0	550.5	1.4	4.5	0.0011	0.1418
218639_s_at	MGC11349	hypothetical protein MGC11349	543.8	360.3	1.5	3.7	0.0011	0.1418
221823_at	LOC90355	hypothetical gene supported by AF038182; BC009203	408.3	281.2	1.5	3.7	0.0011	0.1418
218446_s_at	FAM18B	family with sequence similarity 18, member B	268.9	204.9	1.3	3.5	0.0011	0.1419
218466_at	TBC1D17	TBC1 domain family, member 17	326.3	242.8	1.3	3.6	0.0011	0.1419
210211_s_at	HSPCA	heat shock 90kDa protein 1, alpha	8250.2	6576.4	1.3	3.9	0.0011	0.1424
221883_at	PKNOX1	PBX/knotted 1 homeobox 1	278.2	168.7	1.6	3.9	0.0011	0.1430
200966_x_at	ALDOA	aldolase A, fructose-bisphosphate	9192.7	12201.2	-1.3	-4.4	0.0012	0.1444
201834_at	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	473.2	331.7	1.4	3.8	0.0012	0.1444
202212_at	PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)	405.7	573.7	-1.4	-4.0	0.0012	0.1444
202767_at	ACP2	acid phosphatase 2, lysosomal	575.5	422.2	1.4	4.0	0.0012	0.1444
203365_s_at	MMP15	matrix metalloproteinase 15 (membrane-inserted)	21.1	56.1	-2.7	-3.6	0.0012	0.1444
204137_at	TM7SF1	transmembrane 7 superfamily member 1 (upregulated in kidney)	105.2	69.1	1.5	3.7	0.0012	0.1444
205154_at	LRRN5	leucine rich repeat neuronal 5	21.2	98.7	-4.7	-3.9	0.0012	0.1444
209653_at	KPNA4	karyopherin alpha 4 (importin alpha 3)	511.3	326.1	1.6	3.7	0.0012	0.1444
209912_s_at	FOXK1	forkhead box K1	277.7	195.4	1.4	3.8	0.0012	0.1444
210517_s_at	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	161.0	80.0	2.0	4.1	0.0012	0.1444
211439_at	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	349.9	254.2	1.4	3.6	0.0012	0.1444
214687_x_at	ALDOA	aldolase A, fructose-bisphosphate	8761.7	11802.9	-1.3	-4.5	0.0012	0.1444
218532_s_at	FLJ20152	hypothetical protein FLJ20152	53.4	204.7	-3.8	-4.0	0.0012	0.1444
220529_at	FLJ11710	hypothetical protein FLJ11710	300.2	163.9	1.8	4.1	0.0012	0.1444
222319_at	---	---	410.0	218.4	1.9	4.0	0.0012	0.1444
221631_at	CACNA1I	calcium channel, voltage-dependent, alpha 1I subunit	350.5	257.7	1.4	3.5	0.0012	0.1449
211938_at	EIF4B	eukaryotic translation initiation factor 4B	2940.1	4793.1	-1.6	-4.3	0.0013	0.1486
220989_s_at	AMN	amnionless homolog (mouse) /// amnionless homolog (mouse)	237.9	116.7	2.0	4.0	0.0013	0.1486
221244_s_at	---	---	117.5	65.3	1.8	3.9	0.0013	0.1536
207231_at	DZIP3	zinc finger DAZ interacting protein 3	100.7	78.5	1.3	3.5	0.0014	0.1552
205382_s_at	DF	D component of complement (adipsin)	8415.5	4635.2	1.8	3.7	0.0014	0.1554
219294_at	C6orf139	chromosome 6 open reading frame 139	155.4	88.7	1.8	4.2	0.0014	0.1554
205333_s_at	RCE1	RCE1 homolog, prenyl protein protease (S. cerevisiae)	431.3	346.8	1.2	3.5	0.0014	0.1557
41577_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	27.2	109.7	-4.0	-3.5	0.0014	0.1574
204461_x_at	RAD1	RAD1 homolog (S. pombe)	647.9	403.1	1.6	4.2	0.0014	0.1574
219195_at	PPARGC1A	peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	116.9	54.4	2.1	4.0	0.0014	0.1574
218614_at	FLJ10652	hypothetical protein FLJ10652	731.6	459.4	1.6	4.2	0.0014	0.1579
220226_at	TRPM8	transient receptor potential cation channel, subfamily M, member 8	171.3	104.6	1.6	3.7	0.0014	0.1585
204202_at	IQCE	IQ motif containing E	226.6	165.4	1.4	3.6	0.0015	0.1604
206389_s_at	PDE3A	phosphodiesterase 3A, cGMP-inhibited	97.8	52.3	1.9	3.9	0.0015	0.1604
219105_x_at	ORC6L	origin recognition complex, subunit 6 homolog-like (yeast)	623.5	498.1	1.3	3.6	0.0015	0.1604
219463_at	C20orf103	chromosome 20 open reading frame 103	59.6	816.4	-13.7	-3.4	0.0015	0.1604
219507_at	MGC12197	BM-011 protein	391.7	238.2	1.6	4.1	0.0015	0.1604
200792_at	G22P1	thyroid autoantigen 70kDa (Ku antigen)	4504.2	5401.7	-1.2	-3.6	0.0016	0.1648
201228_s_at	ARIH2	ariadne homolog 2 (Drosophila)	315.6	241.2	1.3	3.5	0.0016	0.1648
211523_at	GNRHR	gonadotropin-releasing hormone receptor	65.6	58.7	1.1	3.4	0.0016	0.1653
220841_s_at	AHI1	Abelson helper integration site	172.1	123.2	1.4	3.5	0.0016	0.1653
204082_at	PBX3	pre-B-cell leukemia transcription factor 3	2120.3	1305.6	1.6	3.6	0.0016	0.1692
201218_at	CTBP2	C-terminal binding protein 2	804.1	547.2	1.5	3.4	0.0016	0.1700
216872_at	HR44	Hr44 antigen	102.1	51.2	2.0	3.8	0.0016	0.1700
221930_at	---	---	152.2	111.5	1.4	3.5	0.0017	0.1721
202297_s_at	RER1	RER1 homolog (S. cerevisiae)	861.8	688.5	1.3	3.7	0.0017	0.1736
207616_s_at	TANK	TRAF family member-associated NFKB activator	2136.2	1448.8	1.5	4.4	0.0017	0.1736
218456_at	C1QDC1	C1q domain containing 1	899.1	381.5	2.4	4.3	0.0017	0.1736
221365_at	MLNR	motilin receptor	22.2	82.1	-3.7	-4.9	0.0017	0.1736
220154_at	DST	dystonin	81.8	52.7	1.6	3.6	0.0017	0.1750
212850_s_at	LRP4	low density lipoprotein receptor-related protein 4	42.6	131.8	-3.1	-3.8	0.0018	0.1788
213110_s_at	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	966.0	312.4	3.1	4.2	0.0018	0.1788
213863_s_at	OAZ3	Ornithine decarboxylase antizyme 3	12.0	54.8	-4.6	-4.3	0.0018	0.1788
204494_s_at	DKFZP434H132	DKFZP434H132 protein	658.5	1105.4	-1.7	-4.6	0.0018	0.1790
200650_s_at	LDHA	lactate dehydrogenase A	8103.2	10870.9	-1.3	-4.6	0.0019	0.1803
206756_at	CHST7	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	22.6	70.5	-3.1	-3.4	0.0019	0.1803
218495_at	UXT	ubiquitously-expressed transcript	2509.9	3432.9	-1.4	-4.5	0.0019	0.1803
209253_at	SCAM-1	vinexin beta (SH3-containing adaptor molecule-1)	187.2	429.8	-2.3	-4.1	0.0019	0.1836
201621_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	23.7	127.0	-5.3	-3.8	0.0020	0.1839
205669_at	NCAM2	neural cell adhesion molecule 2	122.7	95.5	1.3	3.4	0.0020	0.1839
210110_x_at	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	1479.2	1013.8	1.5	4.2	0.0019	0.1839
210969_at	PKN2	protein kinase N2	146.6	102.9	1.4	3.6	0.0020	0.1839
218857_s_at	ASRGL1	asparaginase like 1	921.0	620.3	1.5	3.5	0.0019	0.1839
216308_x_at	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	971.3	1317.1	-1.4	-3.9	0.0020	0.1843
219454_at	EGFL6	EGF-like-domain, multiple 6	183.0	134.5	1.4	3.4	0.0020	0.1864
221613_s_at	ZA20D3	zinc finger, A20 domain containing 3	1417.8	1079.0	1.3	4.3	0.0020	0.1865
213754_s_at	PAIP1	poly(A) binding protein interacting protein 1	367.1	277.7	1.3	3.5	0.0020	0.1875
210298_x_at	FHL1	four and a half LIM domains 1	59.7	412.8	-6.9	-4.6	0.0021	0.1904
201146_at	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1354.1	977.2	1.4	4.0	0.0021	0.1915
204438_at	MRC1	mannose receptor, C type 1	99.6	887.5	-8.9	-3.5	0.0021	0.1915
208072_s_at	DGKD	diacylglycerol kinase, delta 130kDa	839.8	1185.1	-1.4	-3.3	0.0021	0.1924
219203_at	C14orf122	chromosome 14 open reading frame 122	210.7	76.3	2.8	4.3	0.0021	0.1924
200684_s_at	UBE2L3	ubiquitin-conjugating enzyme E2L 3	455.8	667.1	-1.5	-3.6	0.0022	0.1938
201845_s_at	---	---	1157.3	887.3	1.3	3.4	0.0022	0.1938
203955_at	KIAA0649	KIAA0649	497.1	195.5	2.5	3.9	0.0022	0.1938
210282_at	ZNF198	zinc finger protein 198	134.7	64.2	2.1	3.8	0.0022	0.1938
214812_s_at	---	---	1957.5	2464.0	-1.3	-4.0	0.0022	0.1938
201828_x_at	CXX1	CAAX box 1	1167.2	857.0	1.4	3.4	0.0022	0.1952
207108_s_at	NIPBL	Nipped-B homolog (Drosophila)	445.2	355.0	1.3	3.5	0.0022	0.1953
203266_s_at	MAP2K4	mitogen-activated protein kinase kinase 4	478.6	363.5	1.3	3.7	0.0023	0.1968
210126_at	PSG9	pregnancy specific beta-1-glycoprotein 9	15.0	38.2	-2.5	-3.4	0.0023	0.1968
216050_at	---	Transcribed locus, moderately similar to NP_803425.1 DNA segment, Chr 19, Brigham & Womens Genetics 1357 expressed [Mus musculus]	8.0	42.2	-5.3	-3.6	0.0023	0.1968
221713_s_at	FLJ12748	hypothetical protein FLJ12748 /// hypothetical protein FLJ12748	168.5	99.6	1.7	3.6	0.0023	0.1968
217517_x_at	SRPK2	SFRS protein kinase 2	198.7	104.1	1.9	4.0	0.0023	0.1991
