Order	F	Probe Set	Contrast	P value	Boot- strap	Gene	Chromosome	Description
33	40.9	1985_s_at	1437.31	0.028	114.6	NME1	17q21.3	non-metastatic cells 1, protein (NM23A) expressed in
34	40.7 4	32021_at	-667.11	0.028	101.7			H. sapiens transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]
35	40.6 9	37666_at	1037.12	0.035	95.1	PSMB5	14q11.2	proteasome (prosome, macropain) subunit, beta type, 5
36	40.5 2	36813_at	964.6	0.037	96.7	TRIP13	5p15.33	thyroid hormone receptor interactor 13
37	40.4 6	38720_at	1087.53	0.023	108.2	CCT7	2p13.2	chaperonin containing TCP1, subunit 7 (eta)
38	40.0 4	40846_g_ at	765.72	0.040	127.0	ILF3	19p13.2	interleukin enhancer binding factor 3, 90kDa
39	39.8 7	1789_at	993.11	0.034	121.3	COPS5	8q13.1	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)
40	39.7 1	41788_i_a t	-615.67	0.046	117.5	KIAA0669	3q25.1	KIAA0669 gene product
41	39.6 6	40779_at	710.15	0.070	181.2	KIFAP3	1q23.3	kinesin-associated protein 3
42	39.5 8	37809_at	-3723.45	0.056	180.7	HOXA9	7p15-p14	homeo box A9
43	39.3	35312_at	1480.21	0.041	119.0	MCM2	3q21	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
44	39.2	538_at	2096.81	0.058	139.3	CD34	1q32	CD34 antigen
45	39.0 8	38094_at	1015.77	0.052	126.6	HNRPAB	5q35.3	heterogeneous nuclear ribonucleoprotein A/B
46	38.8 9	41146_at	1697.03	0.040	125.3	ADPRT	1q41-q42	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
47	38.8 4	37458_at	707.1	0.049	176.4	CDC45L	22q11.21	CDC45 cell division cycle 45-like (S. cerevisiae)
48	38.5 9	37322_s_ at	368.93	0.064	196.6	HPGD	4q34-q35	hydroxyprostaglandin dehydrogenase 15-(NAD)
49	38.5 8	32570_at	1274.8	0.054	178.9	HPGD	4q34-q35	hydroxyprostaglandin dehydrogenase 15-(NAD)
50	38.4 1	524_at	440.34	0.050	173.7	PMS1	2q31.1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)
