P	Gene symbol	Map	Description
0.029	APBB2	4p14	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
0.029	CYSLTR1	Xq13.2-21.1	cysteinyl leukotriene receptor 1
0.0287	C20orf30	20p12.3	chromosome 20 open reading frame 30
0.0287	CASC5	15q14	cancer susceptibility candidate 5
0.0287	FLJ21820	2p24.1	hypothetical protein FLJ21820
0.0287	KIAA1333	14q12	KIAA1333
0.0287	MAX	14q23	MYC associated factor X
0.0287	TP53BP2	1q42.1	tumor protein p53 binding protein, 2
0.0285	AFF4	5q31	AF4/FMR2 family, member 4
0.0285	CRKL	22q11|22q11.21	v-crk sarcoma virus CT10 oncogene homolog (avian)-like
0.0285	FCHSD2	11q13.4	FCH and double SH3 domains 2
0.0285	PI4KII	10q24	phosphatidylinositol 4-kinase type II
0.0285			CDNA FLJ34374 fis, clone FEBRA2017502
0.0285			Full-length cDNA clone CS0DK008YI09 of HeLa cells Cot 25-normalized of Homo sapiens (human)
0.0283	CBFA2T2	20q11	core-binding factor, runt domain, alpha subunit 2; translocated to, 2
0.0283	FBXO45	3q29	F-box protein 45
0.0283	PYGM	11q12-q13.2	phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V)
0.0283	QDPR	4p15.31	quinoid dihydropteridine reductase
0.0282	IHPK1	3p21.31	Inositol hexaphosphate kinase 1
0.0281	HLA-DQA1	6p21.3	major histocompatibility complex, class II, DQ alpha 1 ; major histocompatibility complex, class II, DQ alpha 1
0.0281	JUN	1p32-p31	v-jun sarcoma virus 17 oncogene homolog (avian)
0.028	FGD2	6p21.2	FYVE, RhoGEF and PH domain containing 2
0.0279	IREB2	15q25.1	iron-responsive element binding protein 2
0.0279	UGDH	4p15.1	UDP-glucose dehydrogenase
0.0278	CSTB	21q22.3	cystatin B (stefin B)
0.0277	CD79B	17q23	CD79B antigen (immunoglobulin-associated beta)
0.0275	FLJ33641	5q11.2	hypothetical protein FLJ33641
0.0273	HSPC268	7q34	hypothetical protein HSPC268
0.0273	LOC157697	8p23.3	Glutamate-rich 1
0.0272	MAP2K1IP1	4q23	mitogen-activated protein kinase kinase 1 interacting protein 1
0.0271	ATP11A	13q34	ATPase, Class VI, type 11A
0.0271	ATP6V0E	5q35.1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e
0.0271	MS4A1	11q12	Membrane-spanning 4-domains, subfamily A, member 1
0.0271	PEX6	6p21.1	peroxisomal biogenesis factor 6
0.0271	PREI3	2q33.1	preimplantation protein 3
0.027	LOC84661	2p22.3	dpy-30-like protein
0.0267	HSPA1A ; HSPA1B	6p21.3	heat shock 70kDa protein 1A ; heat shock 70kDa protein 1B
0.026	CLDN20	6q25	Claudin 20
0.026	NKTR	3p23-p21	natural killer-tumor recognition sequence
0.026	POLR3E	16p12.1	polymerase (RNA) III (DNA directed) polypeptide E (80kD)
0.026	PPT1	1p32	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)
0.026			Transcribed locus, strongly similar to XP_531023.1 PREDICTED: hypothetical protein XP_531023 [Pan troglodytes]
0.0259	AXIN1	16p13.3	Axin 1
0.0259	RGC32	13q14.11	response gene to complement 32
0.0256	LOC159091	Xq26.3	Hypothetical protein BC017868
0.0253	ZNF317		zinc finger protein 317
0.0251	RFP2	13q14	ret finger protein 2
0.025	ANKRD11	16q24.3	Ankyrin repeat domain 11
0.025	TPM3	1q21.2	tropomyosin 3
0.0245	LOC56755	5q31-q32	hypothetical protein LOC56755
0.0242	DNAPTP6	2q33.1	DNA polymerase-transactivated protein 6
0.0242	MSH2	2p22-p21	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)
0.0239	FLJ20186	16q24.3	hypothetical protein FLJ20186
0.0239	KIAA0701	12q23.1	KIAA0701 protein
0.0239	PHGDHL1	13q32.3	Phosphoglycerate dehydrogenase like 1
0.0239	PKIG	20q12-q13.1	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
0.0238	FLJ21415	12q24.22	hypothetical protein FLJ21415
0.0238	IER2	19p13.13	immediate early response 2
0.0238	RBM13	8p12	RNA binding motif protein 13 ; RNA binding motif protein 13
0.0233	KIAA0251	16p13.11	KIAA0251 protein
0.0228	PMS1	2q31-q33|2q31.1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)
0.0227	HIST1H2BI	6p21.3	histone 1, H2bi
0.0226			CDNA FLJ14057 fis, clone HEMBB1000337
0.0223	OGG1	3p26.2	8-oxoguanine DNA glycosylase
0.0223	TFAM	10q21	transcription factor A, mitochondrial
0.0223	ZFP36L2	2p22.3-p21	zinc finger protein 36, C3H type-like 2
0.0218	AFF4	5q31	AF4/FMR2 family, member 4
0.0217	ACYP1	14q24.3	acylphosphatase 1, erythrocyte (common) type
0.0217	CTRL	16q22.1	chymotrypsin-like
0.0217	GTF2H1	11p15.1-p14	general transcription factor IIH, polypeptide 1, 62kDa
0.0217	SDHAL2	3q29	Succinate dehydrogenase complex, subunit A, flavoprotein-like 2
0.0217	SLC25A25	9q34.11	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25
0.0214	DHX8	17q21.31	DEAH (Asp-Glu-Ala-His) box polypeptide 8
0.0214	KCNRG	13q14.2	potassium channel regulator
0.0214	PDCD6IP	3p23	programmed cell death 6 interacting protein
0.021	IL24	1q32	Interleukin 24
0.0207	CHP	15q13.3	calcium binding protein P22
0.0207	FAM11A	Xq28	family with sequence similarity 11, member A
0.0207	KIAA0261	10q23.2	KIAA0261
0.0207	ZNF451	6p12.1	zinc finger protein 451
0.0206	TMEM11	17p11.2	transmembrane protein 11
0.0203	SNIP1	1p34.3	Smad nuclear interacting protein 1
0.0201	FAS	10q24.1	Fas (TNF receptor superfamily, member 6)
0.02	HPCAL1	2p25.1	hippocalcin-like 1
0.0198	ATP6V0E	5q35.1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e
0.0198	C6orf61	6q22.31	chromosome 6 open reading frame 61
0.0198	CDA08	16q12.1	T-cell immunomodulatory protein
0.0198	EXOSC1	10q24	exosome component 1
0.0196	CBX4	17q25.3	chromobox homolog 4 (Pc class homolog, Drosophila)
0.0196	HINT3	6q22.32	histidine triad nucleotide binding protein 3
0.0196	RAC2	22q13.1	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
0.0194	ATP8B1	18q21-q22	ATPase, Class I, type 8B, member 1
0.0194	LOC283874	16p13.3	hypothetical protein LOC283874
0.0191	FLJ20719	1p36.13	hypothetical protein FLJ20719
0.0191	HIST1H2AJ	6p22-p21.3	histone 1, H2aj
0.0191	MAPKAP1	9q33.3	mitogen-activated protein kinase associated protein 1
0.0191	MGC13024	16p11.2	hypothetical protein MGC13024
0.0191	SCAP2	7p21-p15	Src family associated phosphoprotein 2
0.0191	SMC5L1	9q21.11	SMC5 structural maintenance of chromosomes 5-like 1 (yeast)
0.0191	TMEM4	12q15	transmembrane protein 4
0.019	ZNF141	4p16.3	Zinc finger protein 141 (clone pHZ-44)
0.0187	ALDH18A1	10q24.3	aldehyde dehydrogenase 18 family, member A1
0.0184	LOC51315	2p11.2	hypothetical protein LOC51315
0.0183	KIAA1935	5q33.3	KIAA1935 protein
0.0183	TALDO1	11p15.5-p15.4	transaldolase 1
0.0182	CCNC	6q21	Cyclin C
0.0182	KIAA0251	16p13.11	KIAA0251 protein
0.0182	ZIK1	19q13.43	zinc finger protein interacting with K protein 1
0.0179	PAIP1	5p12	poly(A) binding protein interacting protein 1
0.0179	SELL	1q23-q25	selectin L (lymphocyte adhesion molecule 1)
0.0178	C10orf118	10q25.3	chromosome 10 open reading frame 118
0.0177	BCCIP	10q26.1	BRCA2 and CDKN1A interacting protein
0.0177	CANT1	17q25.3	calcium activated nucleotidase 1
0.0177	CANT1	17q25.3	calcium activated nucleotidase 1
0.0177	KIAA1189	2q24.1	KIAA1189
0.0177	LOC51315	2p11.2	hypothetical protein LOC51315
0.0177	PPP2R1B	11q23.2	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform
0.0175	C12orf5	12p13.3	chromosome 12 open reading frame 5
0.0174	HIST1H2BF	6p21.3	histone 1, H2bf
0.0174	SLC18A2	10q25	Solute carrier family 18 (vesicular monoamine), member 2
0.0173	ARIH1	15q24	Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
0.0173	CBL	11q23.3	Cas-Br-M (murine) ecotropic retroviral transforming sequence
0.0173	STAMBP	2p13.1	STAM binding protein
0.0173	TRADD	16q22	TNFRSF1A-associated via death domain
0.0172	LOC388796	20q11.23	hypothetical LOC388796
0.0172	NT5C2L1	6q22.1	5-nucleotidase, cytosolic II-like 1
0.0172	PAIP1	5p12	poly(A) binding protein interacting protein 1
0.0172	TRADD	16q22	TNFRSF1A-associated via death domain
0.0169	FLJ14107	8p21.3	hypothetical protein FLJ14107
0.0169	OSBP	11q12-q13	oxysterol binding protein
0.0169	TMEM14A	6p12.3	transmembrane protein 14A
0.0168	ADAMDEC1	8p21.2	ADAM-like, decysin 1
0.0168	SERPINI1	3q26.1	serpin peptidase inhibitor, clade I (neuroserpin), member 1
0.0165	SPOCK2	10pter-q25.3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
0.0163	C10orf137	10q26.13-q26.2	chromosome 10 open reading frame 137 ; chromosome 10 open reading frame 137
0.0163	CRSP6	11q14	cofactor required for Sp1 transcriptional activation, subunit 6, 77kDa
0.0159	VKORC1	16p11.2	vitamin K epoxide reductase complex, subunit 1
0.0156	ARV1	1q42.2	ARV1 homolog (yeast)
0.0156	STK35	20p13	Serine/threonine kinase 35
0.0155	RPS27L	15q22.2	ribosomal protein S27-like
0.0152	CD58	1p13	CD58 antigen, (lymphocyte function-associated antigen 3) ; CD58 antigen, (lymphocyte function-associated antigen 3)
0.0152	MYST3	8p11	MYST histone acetyltransferase (monocytic leukemia) 3
0.0151	CDS2	20p13	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
0.0151	IL7	8q12-q13	interleukin 7
0.0151	LAIR1	19q13.4	leukocyte-associated Ig-like receptor 1
0.0151	LOC285535	4p16.1	hypothetical protein LOC285535
0.0149	ZNF364	1q21.1	Zinc finger protein 364
0.0149			Homo sapiens, clone IMAGE:4272847, mRNA
0.0147	ARID5A	2q11.2	AT rich interactive domain 5A (MRF1-like)
0.0147	DREV1	16p13-p12	DORA reverse strand protein 1
0.0145	CKAP4	12q23.3	cytoskeleton-associated protein 4
0.0145	DDX52	17q21.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
0.0145	FLJ21415	12q24.22	hypothetical protein FLJ21415
0.0145	LOC255326	10q11.22	Hypothetical protein LOC255326
0.0145	SPOCK2	10pter-q25.3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
0.0145	TCP11L2	12q23.3	t-complex 11 (mouse) like 2
0.0145	TMF1	3p21-p12	TATA element modulatory factor 1
0.0145	ZNF416	19q13.4	zinc finger protein 416
0.0145			CDNA FLJ43087 fis, clone BRTHA3019105
0.0145			CDNA: FLJ21531 fis, clone COL06036
0.0144	BTN3A3	6p21.3	butyrophilin, subfamily 3, member A3
0.0144	USP30	12q24.11	ubiquitin specific peptidase 30
0.0143	ANKRD11	16q24.3	ankyrin repeat domain 11
0.0143	MR-1	2q35	myofibrillogenesis regulator 1
0.0143	RAB6IP2	12p13.3	RAB6 interacting protein 2
0.0142	OAS1	12q24.1	2,5-oligoadenylate synthetase 1, 40/46kDa
0.014	ICAM2	17q23-q25	intercellular adhesion molecule 2
0.0139	DYRK2	12q15	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
0.0139	HIST1H2BE	6p21.3	histone 1, H2be
0.0138	AFF4	5q31	AF4/FMR2 family, member 4
0.0138	PRO1580	5q31.3	hypothetical protein PRO1580
0.0137	BIRC4BP	17p13.1	XIAP associated factor-1
0.0137	BTN3A2	6p22.1	butyrophilin, subfamily 3, member A2
0.0137	CAT	11p13	catalase ; catalase
0.0137	DKFZP564J0123	3p21.31	nuclear protein E3-3
0.0137	FLJ13955	8q22.2	NIPA-like domain containing 2
0.0137	GMEB2	20q13.33	glucocorticoid modulatory element binding protein 2
0.0137	GPATC3	1p35.3-p35.1	G patch domain containing 3
0.0137	PRDM2	1p36	PR domain containing 2, with ZNF domain
0.0137	RAC2	22q13.1	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
0.0137	RNASEH1	2p25	Ribonuclease H1
0.0137			Homo sapiens, clone IMAGE:3930408, mRNA
0.0136	CKS1B	1q21.2	CDC28 protein kinase regulatory subunit 1B
0.0136	LOC92558	12q24.23	Hypothetical protein LOC92558
0.0136	RAB22A	20q13.32	RAB22A, member RAS oncogene family
0.0135	C10orf104	10q22.1	chromosome 10 open reading frame 104
0.0135	KMO	1q42-q44	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
0.0135	PIAS1	15q	Protein inhibitor of activated STAT, 1
0.0135	RYK	3q22	RYK receptor-like tyrosine kinase
0.0135	SAMD9L	7q21.3	sterile alpha motif domain containing 9-like
0.0133	HRPT2	1q25	Cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)
0.0133			CDNA FLJ42484 fis, clone BRACE2032182
0.0132	AKT2	19q13.1-q13.2	V-akt murine thymoma viral oncogene homolog 2
0.0132	CSNK1D	17q25	casein kinase 1, delta
0.0131	TOR1AIP1	1q24.2	torsin A interacting protein 1
0.013	C6orf136	6p21.33	chromosome 6 open reading frame 136
0.013	CUL4A	13q34	Cullin 4A
0.013	HIST1H2BD	6p21.3	histone 1, H2bd
0.013	KIAA1008	13q22.1	KIAA1008
0.013	PHKB	16q12-q13	Phosphorylase kinase, beta
0.013	STYXL1	7q11.23	serine/threonine/tyrosine interacting-like 1
0.013	THOC3	5q35.2	THO complex 3
0.013			5.5 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells
0.0129	ATP6V0E	5q35.1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e
0.0129	PCMTD1	8q11.23	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
0.0128	C16orf52	16p12.1	chromosome 16 open reading frame 52
0.0128	HRMT1L1	21q22.3	HMT1 hnRNP methyltransferase-like 1 (S. cerevisiae)
0.0128	LOC400368	15q21.1	hypothetical gene supported by BC031266
0.0128	OSGEPL1	2q32.2	O-sialoglycoprotein endopeptidase-like 1
0.0128	ZFP64	20q13.2	zinc finger protein 64 homolog (mouse)
0.0128			LOC440441
0.0127	ILF3	19p13.2	interleukin enhancer binding factor 3, 90kDa
0.0127	LOC286052	8q24.13	hypothetical protein LOC286052
0.0126	ICAM2	17q23-q25	intercellular adhesion molecule 2
0.0126	OAS1	12q24.1	2,5-oligoadenylate synthetase 1, 40/46kDa
0.0125	HACE1	6q21	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1
0.0124	HLC-8	17q25.1	lung cancer-related protein 8
0.0124	MDH2	7p12.3-q11.2	malate dehydrogenase 2, NAD (mitochondrial)
0.0123	SAMD9L	7q21.3	sterile alpha motif domain containing 9-like
0.0121	HIVEP1	6p24-p22.3	human immunodeficiency virus type I enhancer binding protein 1
0.0121	KIAA1333	14q12	KIAA1333
0.0119	DDX17	22q13.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
0.0117	CAND1	12q14	cullin-associated and neddylation-dissociated 1
0.0117	CARD8	19q13.32	caspase recruitment domain family, member 8
0.0117	ELAVL1	19p13.2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)
0.0117	FLJ33167	4q35.1	hypothetical protein FLJ33167
0.0117	GOLGA4	3p22-p21.3	golgi autoantigen, golgin subfamily a, 4
0.0117	HIST1H2AC	6p21.3	histone 1, H2ac
0.0117	KIAA1008	13q22.1	KIAA1008
0.0117	PPP1R7	2q37.3	protein phosphatase 1, regulatory subunit 7
0.0117	PRDX2	19p13.2	peroxiredoxin 2
0.0117	SCRN2	17q21.32	secernin 2
0.0117	TRAF3IP3	1q32.3-q41	TRAF3 interacting protein 3
0.0117	VPS45A	1q21-q22	vacuolar protein sorting 45A (yeast)
0.0117	ZC3HAV1	7q34	zinc finger CCCH-type, antiviral 1
0.0116	ABHD14A	3p21.1	abhydrolase domain containing 14A
0.0116	FYTTD1	3q29	forty-two-three domain containing 1
0.0116	HERC6	4q22.1	hect domain and RLD 6
0.0116	MDM4	1q32	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)
0.0116	PHB	17q21	prohibitin
0.0116	PRKCE	2p21	Protein kinase C, epsilon
0.0116	TFB2M	1q44	transcription factor B2, mitochondrial
0.0116	TIA1	2p13	TIA1 cytotoxic granule-associated RNA binding protein
0.0114	ARFIP1	4q31.3	ADP-ribosylation factor interacting protein 1 (arfaptin 1)
0.0114	ATP8B1	18q21-q22	ATPase, Class I, type 8B, member 1
0.0114	BLNK	10q23.2-q23.33	B-cell linker
0.0114	CCT7	2p13.2	chaperonin containing TCP1, subunit 7 (eta)
0.0114	CKLFSF3	16q22.1	chemokine-like factor superfamily 3
0.0114	HRSP12	8q22	heat-responsive protein 12
0.0114	HSD17B8	6p21.3	hydroxysteroid (17-beta) dehydrogenase 8
0.0114	KIAA1429	8q22.1	KIAA1429
0.0114	MGEA5	10q24.1-q24.3	Meningioma expressed antigen 5 (hyaluronidase)
0.0114	POLR1C	6p21.1	polymerase (RNA) I polypeptide C, 30kDa
0.0114	SEC22L3	3p22.1	SEC22 vesicle trafficking protein-like 3 (S. cerevisiae) ; SEC22 vesicle trafficking protein-like 3 (S. cerevisiae)
0.0114	TCF4	18q21.1	Transcription factor 4
0.0113	C10orf104	10q22.1	chromosome 10 open reading frame 104
0.0113	RNASEH2A	19p13.13	ribonuclease H2, large subunit
0.0112	TRA@ ; TRDV2 ; TRAV20 ; TRAJ17 ; TRAC	14q11.2 ; 14q11	T cell receptor alpha locus ; T cell receptor delta variable 2 ; T cell receptor alpha variable 20 ; T cell receptor alpha joining 17 ; T cell receptor alpha constant
0.0112	WSB1	17q11.1	WD repeat and SOCS box-containing 1
0.011	CAT	11p13	catalase
0.011	HIST2H2AA	1q21.2	histone 2, H2aa
0.011	ITCH	20q11.22-q11.23	Itchy homolog E3 ubiquitin protein ligase (mouse)
0.0109	MPP5	14q23.3	Membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)
0.0105	SLC36A4	11q21	Solute carrier family 36 (proton/amino acid symporter), member 4
0.0104	CD58	1p13	CD58 antigen, (lymphocyte function-associated antigen 3)
0.0104	COMT	22q11.21-q11.23|22q11.21	catechol-O-methyltransferase
0.0104	CTPS	1p34.1	CTP synthase
0.0104	RNF5	6p21.3	ring finger protein 5
0.0103	HSF2	6q22.31	heat shock transcription factor 2
0.0103	SNRPN	15q11.2	small nuclear ribonucleoprotein polypeptide N
0.0103	TNFRSF17	16p13.1	tumor necrosis factor receptor superfamily, member 17
0.0102	DYRK2	12q15	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
0.0102	HRMT1L2	19q13.3	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)
0.0102	MGC40368	12q23.3	T-complex 11 (mouse) like 2
0.0101	PSMB9	6p21.3	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)
0.0101	SUPT4H1	17q21-q23	Suppressor of Ty 4 homolog 1 (S. cerevisiae)
0.01	RAB6IP2	12p13.3	RAB6 interacting protein 2
0.00998	FCGR2B	1q23	Fc fragment of IgG, low affinity IIb, receptor (CD32)
0.00996	BCL11A	2p16.1	B-cell CLL/lymphoma 11A (zinc finger protein)
0.00996	P18SRP	5q12.3	p18 splicing regulatory protein
0.00995	MGC4368	17q25.3	hypothetical protein MGC4368
0.00995	RUVBL2	19q13.3	RuvB-like 2 (E. coli)
