Rank #	Lion ID	Gene Symbol	Acc ID	Chip Experiment #1	Chip Experiment #2	Chip Experiment #3	Chip Experiment #4	Chip Experiment #5	Gene Name	Chrom Position	Molecular Function	Biological Process
12	MG-15-248b17	Cd44	88338	2,6|484	4,4|434	2,1|1923	2,9|1454	2,1|1481	CD44 antigen	2 / 104Mb	cell adhesion receptor activity / hyaluronic acid binding / receptor activity	cell adhesion / defense response / ureteric bud branching
13	MG-3-77g1	Tnfaip2	104960	2,9|442	2,3|597	4,2|963	2,1|1067	4,6|2785	tumor necrosis factor, alpha-induced protein 2	12 / 105Mb	NA	angiogenesis
14	MG-6-33e18	Dnajc7	1928373	2,5|609	2,7|575	2,1|1831	2,1|1640	2,2|704	DnaJ (Hsp40) homolog, subfamily C, member 7	11 / 101Mb	chaperone activity / protein binding	protein folding
15	MG-14-140b23	D130038B21Rik	2143181	2,0|212	4,1|149	2,8|1241	2,5|396	2,7|584	RIKEN cDNA D130038B21 gene	9 / 43Mb	NA	NA
16	MG-3-29c23	1700066B17Rik	1920676	2,0|327	2,3|281	2,0|1174	2,6|454	2,4|466	RIKEN cDNA 1700066B17 gene	1 / 40 Mb	NA	NA
17	MG-12-145a21	Klf5	1338056	4,9|136	4,9|192	2,0|1571	4,9|689	4,0|872	Kruppel-like factor 5	14 / 90Mb	DNA binding / translation regulator activity	regulation of transcription
18	MG-12-142j18	D5Ertd593e	1261768	1,9|223	2,5|114	2,3|956	7,8|357	2,1|515	DNA segment, Chr 5, ERATO Doi 593, expressed	5 / 92Mb	NA	NA
19	MG-6-33n19	Gprk6	1347078	2,2|289	2,7|457	2,1|938	1,9|712	2,3|1333	G protein-coupled receptor kinase 6	13 / 54Mb	G-protein coupled receptor kinase activity / protein serine/threonine kinase activity / protein tyrosine kinase activity	G-protein coupled receptor protein signaling pathway / protein amino acid phosphorylation / signal transduction
20	MG-3-116d20	NA	AL807248	2,4|429	2,2|711	1,9|1271	2,3|1624	2,6|1413	testis derived transcript	X / 21Mb	3 LIM domain containing protein	NA
21	MG-14-113p17	NA	NA	4,0|223	2,1|365	1,9|1897	3,1|750	2,4|2104	NA	14 / 111Mb	NA	NA
22	MG-3-106g3	NA	NA	1,8|178	3,2|199	2,1|1207	2,7|530	2,0|293	weakly similar to: Kruppel-related zincfinger protein F80-L	multiple matches	NA	NA
23	MG-8-86l10	Ndr1	1341799	1,8|3406	2,3|3267	3,9|6238	1,9|6604	2,9|3864	N-myc downstream regulated 1	15 / 67Mb	NA	NA
24	MG-13-4e3	Fosl1	107179	2,3|1134	3,2|1304	2,2|2990	2,3|1640	1,8|224	fos-like antigen 1	19 / 5Mb	DNA binding	regulation of transcription, DNA-dependent
25	MG-13-118f18	Prkg2	108173	3,8|115	4,8|123	1,8|1354	5,1|715	3,2|1218	protein kinase, cGMP-dependent, type II	5 / 96Mb	cAMP-dependent protein kinase, intrinsic regulator activity / protein kinase activity / protein serine/threonine kinase activity / protein tyrosine kinase activity	protein amino acid phosphorylation
26	MG-6-52b19	Mras	1100856	2,1|476	2,0|891	2,0|828	1,8|1446	4,7|2711	muscle and microspikes RAS	9 / 99Mb	RAS small monomeric GTPase activity / ATP binding	small GTPase mediated signal transduction
27	MG-8-55p22	Prdx2	109486	2,4|359	3,0|596	2,2|1740	1,8|1116	2,4|1751	peroxiredoxin 2	8 / 84Mb	antioxidant activity / apoptosis inhibitor activity / oxidoreductase activity / peroxidase activity / selenium binding / thioredoxin peroxidase activity	anti-apoptosis / oxygen and reactive oxygen species metabolism / response to oxidative stress
28	MG-3-70c20	NA	NA	2,0|287	2,1|418	1,8|1320	2,7|711	1,8|575	NA	16 / 42Mb	NA	NA
29	MG-13-57n5	Nol5a	1914384	2,0|1266	2,2|1097	2,3|3396	1,8|2287	2,2|1823	nucleolar protein 5A	2 / 131Mb	NA	ribosome biogenesis
30	MG-3-22m6	Tes	105081	1,8|2404	2,6|1926	3,1|3763	2,6|4213	3,0|6208	testis derived transcript	6 / 16Mb	electron transporter activity	electron transport
31	MG-6-75l10	1110003G10Rik	2447827	2,0|427	1,9|740	2,2|1082	1,8|1157	2,3|968	RIKEN cDNA 1110003G10 gene / RNA polymerase 1-3 (16 kDa subunit), provisional	5 / 144Mb (4 / 34Mb)	NA	NA
32	MG-13-100b20	Snrpf	1917128	4,5|718	1,7|1444	1,9|6468	2,8|3067	1,8|2844	small nuclear ribonucleoprotein polypeptide F	4 / 146Mb	pre-mRNA splicing factor activity	nuclear mRNA splicing, via spliceosome
33	MG-3-135e22	NA	NA	3,0|134	5,5|192	4,1|653	2,2|673	1,7|379	NA	7 / 128Mb	NA	NA
34	MG-3-108j7	NA	AC_12420	1,7|219	2,7|321	2,1|937	2,9|707	1,8|401	NA	14 / 61Mb	NA	NA
35	MG-6-7j8	Sema3c	107557	3,2|369	3,3|408	1,7|709	2,4|1285	3,8|1656	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	5 / 15Mb	NA	development / neurogenesis
36	MG-16-188d8	Tscot	1353616	1,9|293	2,1|302	1,7|1003	2,7|587	1,9|728	thymic stromal cotransporter	4 / 59Mb	NA	NA
37	MG-3-108n9	1700120E02Rik	1923916	2,7|178	3,5|210	2,9|505	2,2|540	1,7|417	RIKEN cDNA 1700120E02 gene	9 / 58Mb	NA	NA
38	MG-6-24k8	Dusp7	2387100	2,0|287	1,7|611	1,7|636	1,7|665	2,7|1228	dual specificity phosphatase 7	9 / 106Mb	protein tyrosine/serine/threonine phosphatase activity / hydrolase activity	protein amino acid dephosphorylation
39	MG-6-16l22	Pairbp1	1914120	2,2|1227	1,7|2054	1,7|14379	2,4|3939	2,0|3071	PAI-1 mRNA-binding protein	6 / 67Mb	Hyaluronan/mRNA binding protein	NA
1	MG-15-2f14	Col1a1	88467	40,3|9753	44,3|15492	39,2|42657	29,9|365	59,4|543	procollagen, type I, alpha 1	11 / 95Mb	extracellular matrix structural constituent	cell adhesion
2	MG-13-22a2	Lox	96817	51,9|2852	25,8|2114	47,7|27476	60,7|50	54,5|87	lysyl oxidase	18 / 52Mb	copper ion binding / oxidoreductase activity / protein-lysine 6-oxidase activity	extracellular space
3	MG-68-162d21	9130210N20Rik	2442664	181,6|2724	21,1|2495	46,5|12367	22,5|172	46,9|88	NA	15 / 76Mb	Nicotinate phosphoribosyltransferase related	NA
4	MG-8-23n20	Col1a2	88468	19,4|9900	19,2|13817	18,1|72922	31,6|718	34,1|1311	procollagen, type I, alpha 2	6 / 4Mb	extracellular matrix structural constituent	cell adhesion
5	MG-15-200d4	Fn1	95566	17,6|3483	21,4|5640	32,8|45850	30,2|179	36,0|796	fibronectin 1	1 / 72Mb	heparin binding / oxidoreductase activity	acute-phase response / cell adhesion / metabolism / wound healing
6	MG-68-190h22	Lox	96817	38,4|1499	49,6|3226	13,7|16172	54,6|117	91,8|125	lysyl oxidase	18 / 52Mb	copper ion binding / oxidoreductase activity / protein-lysine 6-oxidase activity	extracellular space
7	MG-8-64b22	Fn1	95566	12,3|2472	15,3|4110	19,6|35434	17,3|229	29,5|299	fibronectin 1	1 / 72Mb	heparin binding / oxidoreductase activity	acute-phase response / cell adhesion / metabolism / wound healing
8	MG-13-52d13	Fn1	95566	33,8|4221	12,1|4166	20,6|42328	23,0|159	18,8|295	fibronectin 1	1 / 72Mb	heparin binding / oxidoreductase activity	acute-phase response / cell adhesion / metabolism / wound healing
9	MG-15-141o2	NA	NA	9,8|1157	23,9|4403	16,8|51223	28,6|163	35,1|374	NA	16 / 38Mb	NA	NA
10	MG-68-176p3	Col1a2	88468	8,5|6511	14,2|6579	7,6|13000	21,3|453	30,6|724	procollagen, type I, alpha 2	6 / 4Mb	extracellular matrix structural constituent	cell adhesion
11	MG-3-251i14	Sparc	98373	10,5|4674	7,0|8161	8,1|20047	11,5|635	7,3|1288	secreted acidic cysteine rich glycoprotein	11 / 55Mb	calcium ion binding	basement membrane / extracellular matrix
12	MG-15-79e15	Sparc	98373	8,5|8300	6,1|7518	7,5|31601	9,9|1063	6,4|1866	secreted acidic cysteine rich glycoprotein	11 / 55Mb	calcium ion binding	basement membrane / extracellular matrix
13	MG-15-261m9	BC024814	2384301	10,7|5593	5,1|2277	5,9|13773	8,1|316	8,4|732	cDNA sequence BC024814	16 / 7Mb	S-adenosylmethionine-dependent methyltransferase activity	NA
14	MG-3-114h8	Sparc	98373	9,9|7402	6,7|8927	7,0|27404	10,8|818	5,0|1477	secreted acidic cysteine rich glycoprotein	11 / 55Mb	calcium ion binding	basement membrane / extracellular matrix
15	MG-12-195b2	Timp3	98754	14,4|1299	12,2|903	4,3|4076	9,9|121	13,1|82	tissue inhibitor of metalloproteinase 3	10 / 86Mb	metalloendopeptidase inhibitor activity	NA
16	MG-3-7d22	1700019G06Rik	1916654	4,0|601	4,8|902	4,2|5090	4,7|195	15,2|162	NA	7 / 77Mb	NA	NA
17	MG-15-284j19	Rgs2	1098271	75,5|1057	13,8|964	3,6|1362	16,3|56	12,8|33	regulator of G-protein signaling 2	1 / 144Mb	GTPase activator activity / signal transducer activity	cell cycle / G-protein coupled receptor protein signaling pathway / signal transduction
18	MG-6-85k19	Rgs2	1098271	28,1|2979	19,6|2740	3,5|2413	17,5|175	5,1|440	regulator of G-protein signaling 2	1 / 144Mb	GTPase activator activity / signal transducer activity	cell cycle / G-protein coupled receptor protein signaling pathway / signal transduction
19	MG-14-43p24	C130068O12Rik	2444891	4,6|4260	3,5|5454	3,5|31255	7,5|566	4,2|2546	RIKEN cDNA C130068O12 gene	15 / 41Mb	NA	NA
20	MG-8-48c21	P5	1919103	7,8|8354	5,2|4148	4,0|26968	8,7|894	3,3|1017	protein disulfide isomerase-related protein	12 / 17Mb	arsenate reductase (thioredoxin) activity / calcium ion binding / protein disulfide isomerase activity	electron transport
21	MG-3-45k24	Gsn	95851	4,9|2323	3,7|3799	3,2|10699	5,3|616	5,6|1069	gelsolin	2 / 35Mb	actin filament severing activity / barbed-end actin capping/severing activity / calcium ion binding / structural constituent of cytoskeleton	NA
22	MG-12-186g7	Timp3	98754	19,2|1017	8,5|705	3,2|2832	12,4|61	5,9|243	tissue inhibitor of metalloproteinase 3	10 / 86Mb	metalloendopeptidase inhibitor activity	NA
23	MG-3-89n14	Ncoa4	1350932	3,6|790	4,7|794	3,7|2258	4,6|174	3,1|225	nuclear receptor coactivator 4	14 / 27Mb            12 / 113Mb	NA	NA
24	/	Tpm2	98810	3,1|524	3,3|1453	5,5|14732	5,3|193	7,2|600	tropomyosin 2, beta	4	actin binding / structural constituent of cytoskeleton	muscle contraction / muscle development
25	MG-15-68i13	Ccl9	104533	17,4|1217	5,4|441	6,8|4027	2,9|195	9,5|120	chemokine (C-C motif) ligand 9	11 / 84Mb	chemokine activity / cytokine activity	chemotaxis / immune response / signal transduction
26	MG-3-68c7	NA	NA	3,1|1467	2,9|1590	4,0|23011	3,0|703	2,8|1638	NA	5 / 88Mb	NA	NA
27	MG-8-90b21	Ncoa4	1350932	4,5|790	3,9|983	2,7|4943	7,5|140	10,3|156	nuclear receptor coactivator 4	14 / 27Mb            12 / 113Mb	NA	NA
28	MG-13-18j9	Ptprs	97815	4,3|597	4,1|950	2,6|1696	4,5|241	5,6|167	protein tyrosine phosphatase, receptor type, S	17 / 54Mb	hydrolase activity / prenylated protein tyrosine phosphatase activity / receptor activity	cell adhesion / protein amino acid dephosphorylation / transmembrane receptor protein tyrosine phosphatase signaling pathway
29	MG-12-161c5	Rbl2	105085	3,3|9069	3,8|15464	2,6|48860	7,0|2975	7,9|2149	retinoblastoma-like 2	8 / 90Mb	DNA binding	cell cycle / cell growth and/or maintenance / regulation of transcription, DNA-dependent
30	MG-14-29e14	Lcn7	2137617	4,8|639	3,5|1117	2,6|2964	4,7|246	5,3|296	lipocalin 7	4 / 128Mb	cysteine-type endopeptidase activity / transporter activity	proteolysis and peptidolysis / transport
31	MG-3-22g11	Gstm1	95860	8,6|2397	7,1|3657	2,6|5131	12,0|328	4,3|763	glutathione S-transferase, mu 1	3 / 108Mb	glutathione transferase activity / transferase activity	glutathione conjugation reaction
32	MG-3-86o3	NA	NA	3,5|1030	3,3|1505	2,5|4775	4,7|286	4,8|399	NA	12 / 19Mb	NA	NA
33	MG-13-50a13	Cyp26b1	2176159	4,9|618	2,4|432	4,1|5046	4,7|130	5,7|238	cytochrome P450, family 26, subfamily b, polypeptide 1	6 / 85Mb	NA	NA
34	MG-4-6h18	Fgls	1913391	3,7|2138	2,9|2322	2,5|7743	2,9|830	2,4|458	fragilis	7 / 130Mb	NA	immune response
35	MG-6-41n6	Idb3	96398	3,1|541	3,8|967	2,4|2703	7,0|156	8,0|136	inhibitor of DNA binding 3	4 / 134Mb	protein domain specific binding	negative regulation of transcription from Pol II promoter
36	MG-8-20p4	Zfp36l1	107946	2,9|832	4,2|1582	3,1|4984	2,3|518	2,3|732	zinc finger protein 36, C3H type-like 1	12 / 74Mb	DNA binding	NA
37	MG-15-126j8	Csf1	1339753	7,1|1465	2,2|1231	5,3|7112	2,8|239	3,8|44	colony stimulating factor 1 (macrophage)	3 / 108Mb	cytokine activity / growth factor activity	NA
38	MG-15-273o2	Ftl1	95589	4,1|8279	4,0|14549	2,2|30281	6,2|2446	5,0|2995	ferritin light chain 1	13 / 70Mb	ferric iron binding	iron ion homeostasis / iron ion transport
39	MG-12-184j2	Ero1l	1354385	4,6|5268	3,6|4941	2,2|5205	6,1|1148	2,5|2957	ERO1-like (S. cerevisiae)	14 / 36Mb	NA	protein folding
40	MG-6-57j12	Cryab	88516	2,7|628	4,7|738	2,2|2875	4,9|156	2,2|712	crystallin, alpha B	9 / 51Mb	heat shock protein activity / structural constituent of eye lens	response to heat / sensory organ development
41	MG-8-74i4	Ddef1	1342335	4,2|1145	2,9|989	2,7|8614	3,3|231	2,2|541	development and differentiation enhancing	15 / 64Mb	DNA binding / transcription factor activity	regulation of transcription, DNA-dependent
42	MG-15-3k1	Igfbp4	96439	6,4|2128	5,8|2046	2,2|3443	5,8|231	5,5|261	insulin-like growth factor binding protein 4	11 / 99Mb	growth factor binding / insulin-like growth factor binding	regulation of cell growth
43	MG-6-4m17	Basp1	1917600	3,9|977	5,0|1082	2,1|1710	3,8|255	3,3|725	brain abundant, membrane attached signal protein 1	15 / 25Mb	DNA binding	regulation of transcription, DNA-dependent
44	MG-3-44m2	5730592L21Rik	1923987	7,2|3051	6,5|2356	2,7|3258	6,4|305	2,1|812	RIKEN cDNA 5730592L21 gene	15 / 89Mb	structural molecule activity	NA
45	MG-6-62e6	Serpinf1	108080	4,0|5445	3,1|6167	2,5|7449	5,1|1035	2,1|4296	serine (or cysteine) proteinase inhibitor, clade F), member 1	11 / 76Mb	endopeptidase inhibitor activity / serine protease inhibitor activity	NA
46	MG-13-5n3	Cryab	88516	2,1|896	3,9|1612	2,7|6588	3,7|315	3,0|428	crystallin, alpha B	9 / 51Mb	heat shock protein activity / structural constituent of eye lens	response to heat / sensory organ development
47	MG-3-81d5	Gstm2	95861	7,5|1380	4,4|1085	2,1|3098	4,7|142	3,0|414	glutathione S-transferase, mu 2	3 / 108Mb	glutathione transferase activity	glutathione conjugation reaction
48	MG-8-58b6	Glud	95753	4,6|2393	2,2|2245	2,1|4855	3,5|712	4,8|714	glutamate dehydrogenase	14 / 29Mb	glutamate dehydrogenase (NAD(P)+) activity / oxidoreductase activity	amino acid metabolism
49	/	NA	NA	4,5|593	2,0|1022	2,7|10521	3,4|334	14,0|246	unknown sequence	NA	NA	NA
50	MG-13-140m5	5730521P14Rik	1917887	2,8|1733	2,5|2331	2,2|9274	4,2|521	2,0|1778	RIKEN cDNA 5730521P14 gene	6 / 119Mb	DNA binding / transcription factor activity	regulation of transcription, DNA-dependent
51	MG-71-1m21	Fth	95588	2,4|12027	2,3|15610	2,0|61005	4,0|3729	2,4|11221	ferritin heavy chain	19 / 8Mb	ferric iron binding	iron ion homeostasis / iron ion transport
52	MG-13-50j9	Cyr61	88613	4,0|618	2,0|839	8,8|11724	12,6|76	32,2|120	cysteine rich protein 61	3 / 146Mb	growth factor binding / insulin-like growth factor binding	patterning of blood vessels / regulation of cell growth
53	MG-14-43p17	Ltbr	104875	3,2|2285	2,0|1972	3,3|29651	4,4|671	4,5|1191	lymphotoxin B receptor	6 / 126Mb	receptor activity	apoptosis / lymph gland development
54	MG-6-80p15	Glud	95753	2,4|2355	2,4|3641	1,9|6436	3,5|1202	2,9|2088	glutamate dehydrogenase	14 / 29Mb	glutamate dehydrogenase (NAD(P)+) activity / oxidoreductase activity	amino acid metabolism
55	MG-6-24a9	Calr	88252	6,5|10742	5,2|18764	2,1|5927	6,5|2288	1,9|4942	calreticulin	8 / 84Mb	calcium ion binding / calcium ion storage activity	NA
56	MG-13-63p12	Gadd45b	107776	8,2|2208	3,2|983	1,9|3834	3,5|338	2,8|421	growth arrest and DNA-damage-inducible 45 beta	10 / 80Mb	structural constituent of ribosome	activation of MAPKK / apoptosis / cell differentiation / protein biosynthesis
57	MG-6-88m11	Mid1	1100537	2,1|920	2,0|1318	1,9|4842	2,1|747	2,5|642	midline 1	X / 149Mb	zinc ion binding	regulation of transcription, DNA-dependent
58	MG-3-287a1	2510048K03Rik	1919711	5,4|781	1,9|918	2,7|5964	2,9|305	4,8|234	RIKEN cDNA 2510048K03 gene	7 / 81,36Mb	NA	NA
59	MG-14-28c7	2210409B22Rik	1917424	1,9|456	3,0|759	2,0|1102	3,2|259	2,7|474	RIKEN cDNA 2210409B22 gene	4 / 52,73Mb	NA	NA
60	MG-12-153a21	Fth	95588	2,2|10596	2,3|24759	1,9|49592	3,3|6796	2,3|10152	ferritin heavy chain	19 / 10Mb	ferric iron binding	iron ion homeostasis / iron ion transport
61	MG-12-203o13	NA	AK083203	2,2|2805	1,9|2875	2,0|45083	2,9|1496	4,5|2205	NA	4 / 150Mb	NA	NA
62	MG-12-153n19	D7Ertd671e	1277122	2,6|467	2,5|671	1,9|1199	2,8|266	1,9|413	DNA segment, Chr 7, ERATO Doi 671, expressed	7 / 33Mb	calcium ion binding	/
63	MG-3-253p19	Selk	1931466	1,9|244	2,2|528	2,2|7103	2,2|499	2,6|485	selenoprotein K	14 / 14Mb	NA	NA
64	MG-3-25c6	Xpnpep1	2180003	2,3|847	1,9|1433	2,3|2753	2,7|383	2,1|1043	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	19 / 52Mb	aminopeptidase activity / metalloexopeptidase activity	proteolysis and peptidolysis
65	MG-15-114c6	Mil2	1915963	2,4|779	2,3|1150	1,8|3565	2,4|438	2,1|550	interferon induced transmembrane protein 2 like	7 / 130Mb	NA	NA
66	MG-16-55a6	Npc2	1915213	2,4|688	1,8|1070	1,8|3007	2,6|441	2,6|766	Niemann Pick type C2	12 / 79Mb	NA	NA
67	MG-15-130f11	Adfp	87920	3,0|696	2,6|1103	1,8|3558	2,7|435	4,1|281	adipose differentiation related protein	4 / 84Mb	NA	NA
68	MG-6-55e17	Cd34	88329	3,5|2039	3,3|3129	1,8|5240	4,4|704	4,6|1214	CD34 antigen	1 / 195Mb	NA	cell adhesion
69	MG-13-119e12	Anxa3	1201378	1,8|966	1,9|2037	1,8|5894	2,0|1107	3,0|1778	annexin A3	5 / 93Mb	anticoagulant activity / calcium ion binding / calcium-dependent phospholipid binding / phospholipase A2 inhibitor activity	NA
70	MG-6-16e5	4632413K17Rik	1924301	2,8|454	2,7|683	1,8|3891	4,6|168	3,5|512	RIKEN cDNA 4632413K17 gene	10 / 127Mb	NA	NA
71	MG-16-146d16	H2Q7	95936	2,8|641	2,1|1050	1,8|5099	2,3|362	4,0|321	histocompatibility 2, Q region locus 7	17 / 34Mb	MHC class I receptor activity	antigen presentation, endogenous antigen / antigen processing, endogenous antigen via MHC class I / defense response / immune response
