PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
201497_x_at	MYH11	striated muscle contraction /// regulation of progression through cell cycle /// physiological process /// cell proliferation /// skeletal development /// imprinting /// development /// insulin receptor signaling pathway
211914_x_at	NF1	cell cycle /// Ras protein signal transduction /// negative regulation of cell proliferation /// negative regulation of progression through cell cycle /// regulation of small GTPase mediated signal transduction
211012_s_at	PML /// LOC161527 /// LOC652671	DNA repair /// transcription /// regulation of transcription, DNA-dependent /// protein complex assembly /// apoptosis /// DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest /// cell cycle arrest /// cell aging /
214146_s_at	PPBP	regulation of progression through cell cycle /// chemotaxis /// immune response /// cell proliferation /// response to pest, pathogen or parasite /// glucose transport /// defense response to bacteria
209466_x_at	PTN	regulation of progression through cell cycle /// transmembrane receptor protein tyrosine phosphatase signaling pathway /// nervous system development /// cell proliferation /// positive regulation of cell proliferation
204828_at	RAD9A	regulation of progression through cell cycle /// DNA replication checkpoint /// DNA damage checkpoint /// DNA repair /// DNA repair /// response to DNA damage stimulus /// response to DNA damage stimulus
216153_x_at	RECK	cell cycle /// negative regulation of progression through cell cycle
201308_s_at	11-Sep	cell cycle /// protein heterooligomerization /// cell division
222030_at	SIVA	apoptosis /// defense response /// induction of apoptosis by extracellular signals /// positive regulation of apoptosis /// induction of apoptosis
206716_at	UMOD	cellular defense response /// negative regulation of cell proliferation
204812_at	ZW10	mitotic sister chromatid segregation /// protein complex assembly /// transport /// ER to Golgi vesicle-mediated transport /// cell cycle /// mitotic checkpoint /// regulation of exit from mitosis /// meiosis /// cell division /// ER to Golgi vesicle-medi
