AFFY ID	OMIM ID	REFSEQ_MRNA	description	GENE SYMBOL	CHROMOSOME	ENTREZ_GENE_ID	UNIGENE	CYTOBAND
206336_at	138965	NM_002993	chemokine (c-x-c motif) ligand 6 (granulocyte chemotactic protein 2)	CXCL6	4	6372	Hs.164021	4q21
204776_at	600715	NM_003248	thrombospondin 4	THBS4	5	7060	Hs.211426	5q13
206214_at	601690	NM_005084	phospholipase a2, group vii (platelet-activating factor acetylhydrolase, plasma)	PLA2G7	6	7941	Hs.584823	6p21.2-p12
203417_at	156790	NM_002403, NM_017459	microfibrillar-associated protein 2	MFAP2	1	4237	Hs.389137	1p36.1-p35
212942_s_at	608366		hypothetical protein ir2155535	KIAA1199	15	57214	Hs.459088	15q24
217875_s_at,222450_at, 222449_at	606564	NM_020182, NM_199169, NM_199170, NM_199171	transmembrane, prostate androgen induced rna	TMEPAI	20	56937	Hs.517155	20q13.31-q13.33,
202363_at	602264	NM_004598	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	SPOCK1	5	6695	Hs.567340	5q31
227566_at	607938	NM_016522	neurotrimin	HNT	11	50863	Hs.504352	11q25
221729_at, 221730_at	120190, 130000, 130010	NM_000393	collagen, type v, alpha 2	COL5A2	2	1290	Hs.445827	2q14-q32
202237_at, 202238_s_at	600008	NM_006169	nicotinamide n-methyltransferase	NNMT	11	4837	Hs.503911	11q23.1,
200665_s_at	182120	NM_003118	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	5	6678	Hs.111779	5q31.3-q32
206025_s_at,206026_s_at	600410	NM_007115	tumor necrosis factor, alpha-induced protein 6	TNFAIP6	2	7130	Hs.437322	2q23.3
206994_at	123857	NM_001899	cystatin s	CST4	20	1472	Hs.56319	20p11.21
230493_at		NM_001007538	transmembrane protein 46	TMEM46	13	387914	Hs.433791	13q12.13
203699_s_at,231240_at, 203700_s_at	601413	NM_000793, NM_001007023, NM_013989	deiodinase, iodothyronine, type ii	DIO2	14	1734	Hs.202354	14q24.2-q24.3
205990_s_at,231227_at, 213425_at	164975	NM_003392	wingless-type mmtv integration site family, member 5a	WNT5A	3	7474	Hs.152213	3p21-p14
211980_at, 211981_at	120130	NM_001845	collagen, type iv, alpha 1	COL4A1	13	1282	Hs.17441	13q34
201291_s_at, 201292_at	126430	NM_001067	topoisomerase (dna) ii alpha 170kda	TOP2A	17	7153	Hs.156346	17q21-q22
1554018_at	604368	NM_001005340, NM_002510	glycoprotein (transmembrane) nmb	GPNMB	7	10457	Hs.190495	7p15
226695_at	167420	NM_006902, NM_022716	paired related homeobox 1	PRRX1	1	5396	Hs.283416	1q24
210004_at	104300, 602601, 608557	NM_002543	oxidised low density lipoprotein (lectin-like) receptor 1	OLR1	12	4973	Hs.412484	12p13.2-p12.3
201438_at	120250, 158810, 254090	NM_004369, NM_057164, NM_057165, NM_057166, NM_057167	collagen, type vi, alpha 3	COL6A3	2	1293	Hs.233240	2q37
219773_at	605261	NM_016931	nadph oxidase 4	NOX4	11	50507	Hs.371036	11q14.2-q21
208555_x_at	123856	NM_001322	cystatin sa	CST2	20	1470	Hs.516939	20p11.21
218145_at	607898	NM_021158	tribbles homolog 3 (drosophila)	TRIB3	20	57761	Hs.516826	20p13-p12.2
238623_at	602425		mitogen-activated protein kinase kinase kinase 4	MAP3K4	6	4216	Hs.390428	6q26
238542_at	605698	NM_025217,	ul16 binding protein 2	ULBP2	6	80328	Hs.250618	6q25
210643_at	602642	NM_003701, NM_033012	tumor necrosis factor (ligand) superfamily, member 11	TNFSF11	13	8600	Hs.333791	13q14
226777_at	602714	NM_003474, NM_021641	adam metallopeptidase domain 12 (meltrin alpha)	ADAM12	10	8038	Hs.386283	10q26.3
221942_s_at	139396	NM_000856	guanylate cyclase 1, soluble, alpha 3	GUCY1A3	4	2982	Hs.24258	4q31.3-q33
1553764_a_at,225806_at	609066	NM_032876, NM_198086	jub, ajuba homolog (xenopus laevis)	JUB	14	84962	Hs.584994	14q11.2
208850_s_at,208851_s_at,213869_x_at	188230	NM_006288	thy-1 cell surface antigen	THY1	11	7070	Hs.134643	11q22.3-q23
222549_at, 238967_at	603718	NM_021101	claudin 1	CLDN1	3	9076	Hs.439060	3q28-q29
204619_s_at,204620_s_at,221731_x_at,211571_s_at	118661	NM_004385	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	5	1462	Hs.443681	5q14.3
205206_at	308700	NM_000216	kallmann syndrome 1 sequence	KAL1	X	3730	Hs.521869	Xp22.32
224694_at	606410	NM_018153, NM_032208, NM_053034	hypothetical protein flj10601	ANTXR1	2	84168	Hs.165859	2p13.1
227628_at		NM_001008397	similar to riken cdna 2310016c16	LOC493869	5	493869	Hs.586212	5q11.2,
204114_at	605399	NM_007361	nidogen 2 (osteonidogen)	NID2	14	22795	Hs.369840	14q21-q22
205479_s_at,211668_s_at	191840	NM_002658	plasminogen activator, urokinase	PLAU	10	5328	Hs.77274	10q24
207191_s_at	602059	NM_005545, NM_201526	immunoglobulin superfamily containing leucine-rich repeat	ISLR	15	3671	Hs.513022	15q23-q24
204463_s_at,204464_s_at	131243	NM_001957	endothelin receptor type a	EDNRA	4	1909	Hs.183713	4q31.23,
229459_at, 237094_at		NM_015381	family with sequence similarity 19 (chemokine (c-c motif)-like), member a5	FAM19A5	22	25817	Hs.436854	22q13.32
204416_x_at	107710	NM_001645	apolipoprotein c-i	APOC1	19	341	Hs.110675	19q13.2
217762_s_at,217764_s_at,217763_s_at	605694	NM_006868	rab31, member ras oncogene family	RAB31	18	11031	Hs.99528	18p11.3
1566342_at, 216841_s_at,215223_s_at	147460	NM_000636, NM_001024465,NM_001024466	superoxide dismutase 2, mitochondrial	SOD2	6	6648	Hs.487046, Hs.589976	6q25.3
206172_at	300130	NM_000640	interleukin 13 receptor, alpha 2	IL13RA2	X	3598	Hs.336046	Xq13.1-q28
208782_at	605547	NM_007085	follistatin-like 1	FSTL1	3	11167	Hs.269512	3q13.33
218959_at	605560	NM_017409	homeobox c10	HOXC10	12	3226	Hs.44276	12q13.3
201162_at, 201163_s_at	602867	NM_001553	insulin-like growth factor binding protein 7	IGFBP7	4	3490	Hs.479808	4q12,
201615_x_at,201616_s_at	114213	NM_004342, NM_033138, NM_033139, NM_033140, NM_033157,	caldesmon 1	CALD1	7	800	Hs.490203	7, 7q33,
236297_at, 238455_at		XM_295865	chromosome 10 open reading frame 112	C10orf112	10	340895	Hs.567855	10p12.33-p12.32
215729_s_at		NM_016267	vestigial like 1 (drosophila)	VGLL1	X	51442	Hs.496843	Xq26.3
214511_x_at,216950_s_at	146760	NM_000566	fc fragment of igg, high affinity ia, receptor (cd64)	FCGR1A	1	2209	Hs.77424	1q21.2-q21.3,
214173_x_at	603494	NM_003796, NM_134447,	chromosome 19 open reading frame 2	C19orf2	19	8725	Hs.466391	19q12,
201852_x_at,211161_s_at,215076_s_at	120180, 130020, 130050, 201200	NM_000090	collagen, type iii, alpha 1 (ehlers-danlos syndrome type iv, autosomal dominant)	COL3A1	2	1281	Hs.443625	2q31,
205729_at, 226621_at	601743	NM_003999	oncostatin m receptor	OSMR	5	9180	Hs.120658	5p13.1,
202132_at, 202133_at	607392	NM_015472	ww domain containing transcription regulator 1	WWTR1	3	25937	Hs.477921	3q23-q24
230147_at	601919	NM_004101	coagulation factor ii (thrombin) receptor-like 2	F2RL2	5	2151	Hs.42502	5q13
214511_x_at,216950_s_at	146760	NM_000566	fc fragment of igg, high affinity ia, receptor (cd64)	FCGR1A	1	2209	Hs.77424	1q21.2-q21.3,
213338_at		NM_015444	ras-induced senescence 1	RIS1	3	25907	Hs.35861	3p21.3,
226670_s_at, 231838_at			chromosome 20 open reading frame 119	C20orf119	20	80336	Hs.411022
206391_at, 206392_s_at, 221872_at	605090	NM_002888, NM_206963,	retinoic acid receptor responder (tazarotene induced) 1	RARRES1	3	5918	Hs.131269	3q25.32-q25.33
201744_s_at,229554_at	600616	NM_002345,	lumican	LUM	12	4060	Hs.406475	12q21.3-q22
228141_at		NM_152623	cdc20-like protein	FLJ37927	5	166979	Hs.289044	5q11.2
1552619_a_at,222608_s_at		NM_018685	anillin, actin binding protein (scraps homolog, drosophila)	ANLN	7	54443	Hs.62180	7p15-p14,
227276_at	606827	NM_032812	plexin domain containing 2	PLXDC2	10	84898	Hs.498939	10p12.32-p12.31
204682_at	602091	NM_000428	latent transforming growth factor beta binding protein 2	LTBP2	14	4053	Hs.512776	14q24, 14q24.2
219787_s_at	600586	NM_018098	epithelial cell transforming sequence 2 oncogene	ECT2	3	1894	Hs.518299	3q26.1-q26.2
204992_s_at	176590	NM_002628, NM_053024	profilin 2	PFN2	3	5217	Hs.91747	3q25.1-q25.2
201666_at	305370	NM_003254	timp metallopeptidase inhibitor 1	TIMP1	X	7076	Hs.522632	Xp11.3-p11.23
202052_s_at	606586	NM_015577	retinoic acid induced 14	RAI14	5	26064	Hs.431400	5p13.3-p13.2
202087_s_at	116880	NM_001912, NM_145918	cathepsin l	CTSL	9	1514	Hs.418123	9q21-q22
230875_s_at	605868	NM_015205, NM_032189	atpase, class vi, type 11a	ATP11A	13	23250	Hs.29189, Hs.508757	13, 13q34
218782_s_at,228401_at, 235266_at, 222740_at	---	---	atpase family, aaa domain containing 2	ATAD2	8	29028	Hs.370834
235944_at	603075, 608548	NM_031935	hemicentin 1	HMCN1	1	83872	Hs.58877	1q25.3-q31.1
202145_at	601384	NM_002346	lymphocyte antigen 6 complex, locus e	LY6E	8	4061	Hs.521903	8q24.3
228776_at	608655	NM_005497	gap junction protein, alpha 7, 45kda (connexin 45)	GJA7	17	10052	Hs.532593	17q21.31,
1554474_a_at,209708_at	609000	NM_001031699, NM_015529	monooxygenase, dbh-like 1	MOXD1	6	26002	Hs.6909	6q23.1-23.3,
232080_at		NM_020760	hect, c2 and ww domain containing e3 ubiquitin protein ligase 2	HECW2	2	57520	Hs.314436	2q32.3-q33.1,
223381_at		NM_031423, NM_145697	cell division cycle associated 1	CDCA1	1	83540	Hs.234545	1q23.3
210095_s_at	146732	NM_000598, NM_001013398	insulin-like growth factor binding protein 3	IGFBP3	7	3486	Hs.450230	7p13-p12
220651_s_at	609357	NM_018518, NM_182751	mcm10 minichromosome maintenance deficient 10 (s cerevisiae)	MCM10	10	55388	Hs.198363	10p13
204136_at	120120, 131705, 131750, 131850, 132000, 226600, 604129, 607523, 607600	NM_000094	collagen, type vii, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)	COL7A1	3	1294	Hs.476218	3p21.1
212488_at, 212489_at	120215, 130000, 130010	NM_000093	collagen, type v, alpha 1	COL5A1	9	1289	Hs.210283	9q34.2-q34.3
201111_at, 201112_s_at,210766_s_at	601342	NM_001316	cse1 chromosome segregation 1-like (yeast)	CSE1L	20	1434	Hs.90073	20q13
227295_at, 236249_at	609861	NM_153687, NM_201612, NM_201613, NM_201614	ikk interacting protein	IKIP	12	121457	Hs.252543	12q23.1
206420_at	606222	NM_005849	immunoglobulin superfamily, member 6	IGSF6	16	10261	Hs.530902	16p12-p13
203878_s_at	185261	NM_005940	matrix metallopeptidase 11 (stromelysin 3)	MMP11	22	4320	Hs.143751	22q11.2,
207714_s_at	600943	NM_001235	serpin peptidase inhibitor, clade h (heat shock protein 47), member 1, (collagen binding protein 1)	SERPINH1	11	871	Hs.241579, Hs.568427	11q13.5,
205499_at		NM_014467	sushi-repeat-containing protein, x-linked 2	SRPX2	X	27286	Hs.306339	Xq21.33-q23
203989_x_at	187930	NM_001992	coagulation factor ii (thrombin) receptor	F2R	5	2149	Hs.482562	5q13
213194_at	602430	NM_002941, NM_133631	roundabout, axon guidance receptor, homolog 1 (drosophila)	ROBO1	3	6091	Hs.13640	3p12
208394_x_at	601521	NM_007036	endothelial cell-specific molecule 1	ESM1	5	11082	Hs.129944	5q11.2
208964_s_at,208963_x_at	606148	NM_013402	fatty acid desaturase 1	FADS1	11	3992	Hs.503546	11q12.2-q13.1
203560_at	601509	NM_003878	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	GGH	8	8836	Hs.78619	8q12.3
232090_at		NM_015569	dynamin 3	DNM3	1	26052	Hs.584880	1q24.3
202872_at, 202874_s_at	603097	NM_001007254, NM_001695	atpase, h+ transporting, lysosomal 42kda, v1 subunit c1	ATP6V1C1	8	528	Hs.86905	8q22.3
213007_at, 213008_at		NM_018193	kiaa1794	KIAA1794	15	55215	Hs.513126	15q25-q26
212364_at, 212365_at	606537	NM_012223	myosin ib	MYO1B	2	4430	Hs.439620	2q12-q34
213793_s_at, 226651_at	604798	NM_004272	homer homolog 1 (drosophila)	HOMER1	5	9456	Hs.129051	5q14.2
204489_s_at,204490_s_at,210916_s_at,212014_x_at,209835_x_at	.107269, 609027	NM_000610, NM_001001389, NM_001001390, NM_001001391, NM_001001392,	cd44 antigen (indian blood group)	CD44	11	960	Hs.502328	11p13
210220_at	600667	NM_001466	frizzled homolog 2 (drosophila)	FZD2	17	2535	Hs.142912	17q21.1
222235_s_at		NM_018590	chondroitin sulfate galnact-2	GALNACT-2	10	55454	Hs.180758	10q11.21
201578_at	602632	NM_001018111, NM_005397	podocalyxin-like	PODXL	7	5420	Hs.16426	7q32-q33,
205695_at	182128	NM_006843	serine dehydratase	SDS	12	10993	Hs.439023	12q24.13,
207719_x_at,212746_s_at		NM_014812	centrosomal protein 170kda	CEP170	1	9859	Hs.533635	1q44,
202998_s_at	606663	NM_002318	lysyl oxidase-like 2	LOXL2	8	4017	Hs.116479	8p21.3-p21.2
201042_at	190196	NM_004613, NM_198951	transglutaminase 2 (c polypeptide, protein-glutamine-gamma-glutamyltransferase)	TGM2	20	8052	Hs.517033	20q12
214081_at, 219700_at	606826	NM_020405	plexin domain containing 1	PLXDC1	17	57125	Hs.125036	17q21.1
204879_at, 221898_at, 226658_at	608863	NM_001006624,NM_001006625,NM_006474, NM_198389	podoplanin	PDPN	1	10630	Hs.468675	1p36.21
218404_at		NM_013322	sorting nexin 10	SNX10	7	29887	Hs.520714	7p15.2
219229_at, 227367_at		NM_013272	solute carrier organic anion transporter family, member 3a1	SLCO3A1	15	28232	Hs.311187	15q26
201506_at	121900, 122200, 601692, 602082, 607541, 608470, 608471,	NM_000358	transforming growth factor, beta-induced, 68kda	TGFBI	5	7045	Hs.369397	5q31,
205339_at	181590	NM_003035	scl/tal1 interrupting locus	STIL	1	6491	Hs.525198	1q32
225520_at, 240552_at		NM_015440	methylenetetrahydrofolate dehydrogenase (nadp+ dependent) 1-like	MTHFD1L	6	25902	Hs.268698	6q25.1
212951_at		NM_015234	g protein-coupled receptor 116	GPR116	6	221395	Hs.362806	6p12.3
218638_s_at	605918	NM_012445	spondin 2, extracellular matrix protein	SPON2	4	10417	Hs.302963	4p16.3,
204589_at	608130	NM_014840	nuak family, snf1-like kinase, 1	NUAK1	12	9891	Hs.524692	12q23.3
228121_at	190220	NM_003238	transforming growth factor, beta 2	TGFB2	1	7042	Hs.133379	1q41
201340_s_at, 201341_at	605173	NM_003633,	ectodermal-neural cortex (with btb-like domain	ENC1	5	8507	Hs.104925	5q12-q13.3,
211712_s_at	169610, 603319	NM_003568,	annexin a9	ANXA9	1	8416	Hs.430324	1q21,
205282_at, 208433_s_at, 228955_at	602600	NM_001018054, NM_004631, NM_017522, NM_033300	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	LRP8	1	7804	Hs.280387	1p34
203238_s_at	125310, 600276	NM_000435	notch homolog 3 (drosophila)	NOTCH3	19	4854	Hs.8546	19p13.2-p13.1
1556423_at,203940_s_at	609011	NM_014909,	vasohibin 1	VASH1	14	22846	Hs.525479	14q24.3
203284_s_at	604844	NM_012262	heparan sulfate 2-o-sulfotransferase 1	HS2ST1	1	9653	Hs.48823	1p31.1-p22.1
205943_at	191070	NM_005651	tryptophan 2,3-dioxygenase	TDO2	4	6999	Hs.183671	4q31-q32,
206364_at, 236641_at		NM_014875	kinesin family member 14	KIF14	1	9928	Hs.3104	1pter-q31.3
205099_s_at	601159		chemokine (c-c motif) receptor 1	CCR1	3	1230	Hs.301921
207828_s_at	600236	NM_016343	centromere protein f, 350/400ka (mitosin)	CENPF	1	1063	Hs.497741	1q32-q41
218627_at		NM_018370	hypothetical protein flj11259	FLJ11259	12	55332	Hs.525634	12q23.2,
201518_at	604511	NM_006807	chromobox homolog 1 (hp1 beta homolog drosophila )	CBX1	17	10951	Hs.77254	17q
212012_at, 212013_at	605158	XM_056455,XM_935180, XM_935181, XM_935182, XM_935183, XM_935184, XM_936786, XM_942966, XM_942982, XM_942986, XM_942994, XM_943000	peroxidasin homolog (drosophila)	PXDN	2	7837	Hs.332197	2p25
205394_at	603078	NM_001274	chk1 checkpoint homolog (s pombe)	CHEK1	11	1111	Hs.24529	11q24-q24,
211964_at, 211966_at	120090	NM_001846	collagen, type iv, alpha 2	COL4A2	13	1284	Hs.508716	13q34,
219479_at			kdel (lys-asp-glu-leu) containing 1	KDELC1	13	79070	Hs.408629	13q33
209081_s_at,209082_s_at	120328, 267750	NM_030582, NM_130444, NM_130445	collagen, type xviii, alpha 1	COL18A1	21	80781	Hs.517356	21q22.3
221524_s_at	608268	NM_021244	ras-related gtp binding d	RRAGD	6	58528	Hs.485938	6q15-q16,
221558_s_at	153245	NM_016269	lymphoid enhancer-binding factor 1	LEF1, LOC641518	4	.51176, 641518	Hs.535760, Hs.555947	4q23-q25
210568_s_at	600537	NM_002907, NM_032941	recq protein-like (dna helicase q1-like)	RECQL	19	5965	Hs.235069	12p12
41037_at	601714	NM_003213, NM_201441, NM_201443	tea domain family member 4	TEAD4	12	7004	Hs.94865	12p13.2-p13.3
201939_at	607023	NM_006622	polo-like kinase 2 (drosophila)	PLK2	5	10769	Hs.398157	5q12.1-q13.2
219000_s_at		NM_024094	defective in sister chromatid cohesion homolog 1 (s cerevisiae)	DCC1	8	79075	Hs.315167	8q24.12,
225295_at	608733	NM_020342	solute carrier family 39 (zinc transporter), member 10	SLC39A10	2	57181	Hs.413434	2q32.3
212624_s_at	118423	NM_001025201, NM_001822	chimerin (chimaerin) 1	CHN1	2	1123	Hs.380138	2q31-q32.1
225439_at	606109	NM_032869	nudc domain containing 1	NUDCD1	8	84955	Hs.558577	8q23
212758_s_at	189909	NM_030751	transcription factor 8 (represses interleukin 2 expression)	TCF8	10	6935	Hs.124503	10p11.2
203934_at	191306	NM_002253	kinase insert domain receptor (a type iii receptor tyrosine kinase)	KDR	4	3791	Hs.479756	4q11-q12
230071_at		NM_018243	septin 11	11-Sep	4	55752	Hs.128199	4q21.1
200838_at, 227961_at, 213275_x_at,213274_s_at,200839_s_at	116810	NM_001908, NM_147780, NM_147781, NM_147782, NM_147783	cathepsin b	CTSB	8	1508	Hs.520898	8p22,
204078_at		NM_006455	synaptonemal complex protein sc65	SC65	17	10609	Hs.446459	17q21.2,
204033_at	604507	NM_004237	thyroid hormone receptor interactor 13	TRIP13	5	9319	Hs.436187	5p15.33
202954_at	605574	NM_007019, NM_181799, NM_181800, NM_181801, NM_181802, NM_181803	ubiquitin-conjugating enzyme e2c	UBE2C	20	11065	Hs.93002	20q13.12,
211709_s_at	604713	NM_002975	c-type lectin domain family 11, member a	CLEC11A	19	6320	Hs.512680	19q13.3
223463_at	606144	NM_016277, NM_183227	rab23, member ras oncogene family	RAB23		51715	Hs.567506	6p11
229796_at	606342		sine oculis homeobox homolog 4 (drosophila)	SIX4	14	51804	Hs.97849	14q23
206091_at	602109, 607078, 607850, 608728	NM_002381	matrilin 3	MATN3	2	4148	Hs.6985	2p24-p23,
200989_at	603348	NM_001530, NM_181054	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	HIF1A	14	3091	Hs.509554	14q21-q24
1556656_at,242665_at, 226184_at		NM_001004417, NM_001004421, NM_001004422, NM_052905,	formin-like 2	FMNL2	2	114793	Hs.149566	2q23.3,
212501_at	189965	NM_005194	ccaat/enhancer binding protein (c/ebp), beta	CEBPB	20	1051	Hs.517106	20q13.1
225303_at	607428	NM_018240	kin of irre like (drosophila)	KIRREL	1	55243	Hs.272234	1q21-q25, 1q23.1
228904_at	142966	NM_002146	homeobox b3	HOXB3	17	3213	Hs.567288	17q21.3
200755_s_at,200757_s_at,214845_s_at	603420	NM_001219	calumenin	CALU	7	813	Hs.7753	7q32
218984_at		NM_019042	pseudouridylate synthase 7 homolog (s cerevisiae	PUS7	7	54517	Hs.520619	7q22.2
205443_at	600591		small nuclear rna activating complex, polypeptide 1, 43kda	SNAPC1	14	6617	Hs.179312	14q22
228785_at		NM_012482,	zinc finger protein 281	ZNF281	1	23528	Hs.59757	1q32.1
1555501_s_at		NM_016625	arginine/serine-rich coiled-coil 1	RSRC1	3	51319	Hs.478064	3q25.32,
208178_x_at,209012_at,209013_x_at	601893	NM_007118	triple functional domain (ptprf interacting)	TRIO	5	7204	Hs.130031	5p15.1-p14
218700_s_at	603949	NM_003929,	rab7, member ras oncogene family-like 1	RAB7L1	1	8934	Hs.115325	1q32,
1554414_a_at,204024_at	604598	NM_004337	chromosome 8 open reading frame 1	C8orf1	8	734	Hs.436445	8q21
215623_x_at	605575	NM_001002799, NM_001002800, NM_005496	smc4 structural maintenance of chromosomes 4-like 1 (yeast)	SMC4L1	3	10051	Hs.58992	3q26.1
203052_at	217000	NM_000063	complement component 2	C2	6	717	Hs.408903	6p21.3
226814_at	605421	NM_182920	adam metallopeptidase with thrombospondin type 1 motif, 9	ADAMTS9	3	56999	Hs.559387
204023_at	102577	NM_002916, NM_181573	replication factor c (activator 1) 4, 37kda	RFC4	3	5984	Hs.518475	3q27,
205361_s_at	604898	NM_002623	prefoldin subunit 4	PFDN4	20	5203	Hs.91161	20q13.2,
226075_at		NM_025106	spla/ryanodine receptor domain and socs box containing 1	SPSB1	1	80176	Hs.8261	1p36.22
210052_s_at	605917	NM_012112	tpx2, microtubule-associated, homolog (xenopus laevis)	TPX2	20	22974	Hs.244580	20q11.2
239246_at	602654	NM_001001715, NM_005766	ferm, rhogef (arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)	FARP1	13	10160	Hs.403917	13q32.2,
214804_at	300065	NM_006733	fsh primary response (lrpr1 homolog, rat) 1	FSHPRH1	X	2491	Hs.318398, Hs.348920	Xq22.1
205395_s_at	600814, 604391	NM_005590, NM_005591	mre11 meiotic recombination 11 homolog a (s cerevisiae)	MRE11A	11	4361	Hs.192649	11q21
204728_s_at,216228_s_at	608126	NM_001008396, NM_007086	wd repeat and hmg-box dna binding protein 1	WDHD1	14	11169	Hs.385998	14q22.3
201818_at		NM_024830	acyltransferase like 2	AYTL2	5	79888	Hs.368853	5p15.33
206825_at	167055	NM_000916	oxytocin receptor	OXTR	3	5021	Hs.2820	3p25
213391_at		NM_181787	dpy-19-like 4 (c elegans)	DPY19L4	8	286148	Hs.567828	8q22.1,
219725_at	221770, 605086	NM_018965	triggering receptor expressed on myeloid cells 2	TREM2	6	54209	Hs.435295	6p21.1
204068_at	605030	NM_006281	serine/threonine kinase 3 (ste20 homolog, yeast)	STK3	8	6788	Hs.492333	8q22.2
