Order	F	ProbeSet	Contrast	p value	Boot- strap	Gene	Chromosom e	Description
29	154.11	341_at	3746.41	0.008	35.5	PTAFR	1p35-p34.3	platelet-activating factor receptor
30	153.93	37021_at	6516.89	0.008	36.3	CTSH	15q24-q25	cathepsin H
31	153.41	769_s_at	12088.12	0.014	47.5	ANXA2	15q21-q22	annexin A2
32	147.52	34473_at	1443.06	0.019	53.5	TLR5	1q41-q42	toll-like receptor 5
33	142.88	574_s_at	3228.41	0.014	48.6	CASP1	11q23	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
34	142.54	37604_at	2416.91	0.016	56.5	HNMT	2q22.1	histamine N-methyltransferase
35	140.83	2045_s_at	4606.45	0.017	54.9	HCK	20q11-q12	hemopoietic cell kinase
36	140.29	1780_at	4831.81	0.022	57.0	FGR	1p36.2-p36.1	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog
37	140.24	39320_at	2318.19	0.015	53.4	CASP1	11q23	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
38	140.02	37826_at	5057.69	0.007	56.5	UBE2D1	10q11.2-q21	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)
39	139.38	39593_at	10300.61	0.015	54.7	FGL2	7q11.23	fibrinogen-like 2
40	139.31	39994_at	8204.68	0.008	49.1	CCR1	3p21	chemokine (C-C motif) receptor 1
41	133.59	41549_s_at	4338.81	0.010	51.7	AP1S2	Xp22.31	adaptor-related protein complex 1, sigma 2 subunit
42	129.56	38112_g_at	10056.91	0.012	63.0	CSPG2	5q14.3	chondroitin sulfate proteoglycan 2 (versican)
43	129.46	38567_at	6412.03	0.011	67.2	CD1D	1q22-q23	CD1D antigen, d polypeptide
44	127.61	31816_at	2879.53	0.024	98.1	GAA	17q25.2-q25.3	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
45	127.35	41038_at	6008.13	0.012	65.2	NCF2	1q25	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)
46	126.43	32514_s_at	1858.25	0.018	78.5	CTSZ	20q13	cathepsin Z
47	125.52	33811_at	1935.22	0.013	69.7	PIGB	15q21-q22	phosphatidylinositol glycan, class B
48	125.13	38034_at	1481.73	0.017	74.6	STS	Xp22.32	steroid sulfatase (microsomal), arylsulfatase C, isozyme S
49	125.02	467_at	2760.88	0.009	67.3	OSTF1	12q24.1-24.2	osteoclast stimulating factor 1
50	124.56	36650_at	-3498.12	0.019	80.4	CCND2	12p13	cyclin D2
