Name	Accession	Symbol	Linear fold change	p-value
Synuclein, gamma (breast cancer-specific protein 1)	NM_003087	SNCG	2.178	8.04E-05
Complement component 4 binding protein, beta	NM_000716	C4BPB	2.171	8.13E-05
Dermatan sulfate proteoglycan 3	NM_004950	DSPG3	2.162	3.01E-05
Clone 23629 mRNA sequence	U79300		2.158	2.98E-04
Regulator of G-protein signalling 20	NM_003702	RGS20	2.157	1.36E-04
One cut domain, family member 1	U96173	ONECUT1	2.156	1.91E-04
Myosin VI	NM_004999	MYO6	2.155	2.38E-04
V-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	AF007153	ERBB4	2.155	2.46E-04
Chimerin (chimaerin) 2	AK026415	CHN2	2.154	2.14E-04
Cerebellin 1 precursor	NM_004352	CBLN1	2.154	1.40E-04
Calcium channel, voltage-dependent, alpha 1E subunit	AW138217	CACNA1E	2.152	4.94E-05
Transferrin	H69531	TF	2.148	2.00E-04
Protein tyrosine phosphatase, receptor type, T	NM_133170	PTPRT	2.148	1.91E-04
Arginine vasopressin receptor 1A	NM_000706	AVPR1A	2.137	5.35E-05
26 serine protease	NM_006025	P11	2.131	1.08E-04
Nidogen 2 (osteonidogen)	NM_007361	NID2	2.125	2.68E-05
BAC clone CTB-13F3 from 7q22, complete sequence	AC_005046.3		2.121	8.51E-05
Syntaxin binding protein 1	NM_003165	STXBP1	2.12	3.72E-05
Melan-A	NM_005511	MLANA	2.12	1.12E-04
Glycoprotein M6A	NM_005277	GPM6A	2.114	1.35E-04
Chromosome 5 open reading frame 13	NM_004772	C5orf13	2.113	7.65E-05
UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	NM_004482	GALNT3	2.109	7.44E-05
Phosphorylase kinase, gamma 1 (muscle)	NM_006213	PHKG1	2.103	7.70E-05
Poly (ADP-ribose) glycohydrolase	NM_003631	PARG	2.101	1.18E-04
Leucine rich repeat containing 17	NM_005824	LRRC17	2.1	1.10E-04
Fragile X mental retardation, autosomal homolog 2	NM_004860	FXR2	2.097	4.23E-05
Potassium voltage-gated channel, KQT-like subfamily, member 3	NM_004519	KCNQ3	2.096	1.68E-04
Collagen, type VI, alpha 3	NM_004369	COL6A3	2.096	1.80E-04
ATP-binding cassette, sub-family A (ABC1), member 3	NM_001089	ABCA3	2.095	1.93E-04
Microfibrillar associated protein 5	NM_003480	MFAP5	2.087	1.45E-04
Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	NM_001046	SLC12A2	2.084	3.01E-04
Catenin (cadherin-associated protein), alpha 2	NM_004389	CTNNA2	2.072	6.51E-05
Chromosome 10 open reading frame 116	NM_006829	C10orf116	2.07	2.87E-04
Msh homeo box homolog 1 (Drosophila)	NM_002448	MSX1	2.066	4.75E-05
Insulin-like growth factor binding protein 1	NM_000596	IGFBP1	2.066	3.82E-05
N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	NM_003635	NDST2	2.061	1.39E-04
Dual specificity phosphatase 2	NM_004418	DUSP2	2.057	2.67E-04
Hydroxysteroid (17-beta) dehydrogenase 6	NM_003725	RODH	2.053	1.69E-04
Pregnancy specific beta-1-glycoprotein 5	NM_002781	PSG5	2.053	2.10E-04
G protein-coupled receptor 64	NM_005756	GPR64	2.05	1.42E-04
Dopa decarboxylase (aromatic L-amino acid decarboxylase)	NM_000790	DDC	2.049	2.06E-04
Forkhead box J1	NM_001454	FOXJ1	2.047	2.78E-04
Vacuolar protein sorting 45A (yeast)	BC028382.1	VPS45A	2.046	3.71E-05
Pregnancy specific beta-1-glycoprotein 2	NM_031246	PSG2	2.045	1.08E-04
Yes-associated protein 1, 65kDa	AL832620	YAP1	2.038	6.12E-05
Aquaporin 4	N46843	AQP4	2.032	3.04E-04
Keratin 13	NM_002274	KRT13	2.031	2.66E-04
Hypothetical LOC388650	AK027146	LOC388650	2.029	3.39E-05
Activin A receptor, type II	NM_001616	ACVR2	2.027	1.21E-04
Aquaporin 4	AK026728	AQP4	2.025	2.47E-04
Membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	AL136554	MPP2	2.016	1.86E-04
Transcription factor 21	BC025697	TCF21	2.016	1.87E-04
General transcription factor IIE, polypeptide 1, alpha 56kDa	NM_005513	GTF2E1	2.012	1.55E-04
PAC clone RP4-726N20 from 7q32-q34, complete sequence	AC_006344.2		2.011	1.18E-04
Fibroblast activation protein, alpha	AL832166	FAP	2.01	1.89E-04
Hydroxysteroid (17-beta) dehydrogenase 3	NM_000197	HSD17B3	2.008	1.47E-04
Zona pellucida binding protein	NM_007009	ZPBP	2.002	2.67E-04
Apolipoprotein B (including Ag(x) antigen)	NM_000384	APOB	1.997	1.97E-04
Dishevelled associated activator of morphogenesis 2	AL833083	DAAM2	1.993	1.19E-04
Transmembrane protein 41B	D26067	TMEM41B	1.986	1.35E-04
	AC_007057.3		1.986	1.40E-04
Chemokine (C-C motif) ligand 8	NM_005623	CCL8	1.985	1.52E-04
Solute carrier organic anion transporter family, member 1A2	NM_134431	SLCO1A2	1.983	3.81E-05
Werner syndrome	NM_000553	WRN	1.98	1.88E-04
Chromosome X open reading frame 6	NM_005491	CXorf6	1.98	1.21E-04
CD3G antigen, gamma polypeptide (TiT3 complex)	NM_000073	CD3G	1.98	1.14E-05
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	AL832238	PLOD2	1.977	7.15E-05
Doublecortin and CaM kinase-like 1	NM_004734	DCAMKL1	1.97	8.00E-05
Peptidylglycine alpha-amidating monooxygenase	NM_000919	PAM	1.967	3.83E-05
Dystrophin (muscular dystrophy, Duchenne and Becker types)	NM_004010	DMD	1.961	1.54E-04
Protein tyrosine phosphatase, receptor type, O	NM_030667	PTPRO	1.957	1.45E-04
Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	NM_000362.3	TIMP3	1.953	1.84E-04
Wingless-type MMTV integration site family, member 5A	NM_003392	WNT5A	1.948	2.10E-04
	AL445204.3		1.946	5.25E-05
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	NM_003069	SMARCA1	1.944	2.97E-04
Microtubule-associated protein 1A	NM_002373	MAP1A	1.942	2.26E-04
Transmembrane protein with EGF-like and two follistatin-like domains 1	NM_003692	TMEFF1	1.941	5.16E-05
Solute carrier organic anion transporter family, member 2A1	NM_005630	SLCO2A1	1.931	4.58E-05
DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	NM_001356	DDX3X	1.924	2.62E-04
Ankyrin repeat domain 7	NM_019644	ANKRD7	1.92	2.99E-04
Epidermal growth factor (beta-urogastrone)	NM_001963	EGF	1.916	1.15E-04
Tubby like protein 2	NM_003323	TULP2	1.915	1.87E-04
Chromosome 5 open reading frame 19	AF070551	C5orf19	1.914	1.13E-04
Zinc finger protein-like 1	NM_006782	ZFPL1	1.914	1.87E-04
EPH receptor A1	NM_005232	EPHA1	1.912	1.50E-04
Nuclear factor I/C (CCAAT-binding transcription factor)	NM_005597	NFIC	1.911	1.68E-04
	AL832145		1.909	7.05E-05
Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	NM_022829	SLC13A3	1.903	2.76E-04
Left-right determination factor 2	NM_003240	LEFTY2	1.902	1.23E-04
Janus kinase 1 (a protein tyrosine kinase)	AA284634	JAK1	1.899	8.63E-05
F-box protein 21	U79257	FBXO21	1.895	9.67E-05
Hypothetical protein LOC285540	C21267	LOC285540	1.893	7.15E-05
Neural precursor cell expressed, developmentally down-regulated 4	AL832063	NEDD4	1.89	1.64E-04
Echinoderm microtubule associated protein like 1	NM_004434	EML1	1.885	7.45E-05
Thrombospondin 4	NM_003248	THBS4	1.883	1.68E-04
Chemokine (C-C motif) receptor 2	NM_000647	CCR2	1.882	8.49E-05
Protocadherin 1 (cadherin-like 1)	BC035812.1	PCDH1	1.879	2.60E-04
Kallikrein 6 (neurosin, zyme)	NM_002774	KLK6	1.872	1.55E-04
LIM domain only 4	H27986	LMO4	1.861	1.33E-04
Phospholamban	NM_002667	PLN	1.86	2.52E-04
Creatine kinase, brain	NM_001823	CKB	1.858	2.20E-04
Ryanodine receptor 2 (cardiac)	R15791	RYR2	1.853	1.06E-04
Jagged 1 (Alagille syndrome)	T96855	JAG1	1.85	3.10E-04
Cartilage paired-class homeoprotein 1	NM_006982	CART1	1.846	5.67E-05
T-cell lymphoma invasion and metastasis 1	U90902	TIAM1	1.842	2.60E-04
Presenilin 2 (Alzheimer disease 4)	NM_000447	PSEN2	1.838	2.91E-04
Baculoviral IAP repeat-containing 4	BC032729.1	BIRC4	1.835	2.66E-04
Potassium inwardly-rectifying channel, subfamily J, member 6	AL355730	KCNJ6	1.835	1.17E-04
Hepsin (transmembrane protease, serine 1)	NM_002151	HPN	1.833	4.99E-05
Suppressor of cytokine signaling 7	AB005216	SOCS7	1.833	2.04E-04
Matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	T72581	MMP9	1.829	2.32E-04
	NM_003832		1.82	1.60E-04
Chemokine orphan receptor 1	BC036661	CMKOR1	1.819	1.93E-04
CDC42 effector protein (Rho GTPase binding) 2	NM_006779	CDC42EP2	1.819	1.71E-04
Mitogen-activated protein kinase 10	NM_002753	MAPK10	1.819	1.42E-04
Microfibrillar associated protein 5	NM_003480	MFAP5	1.816	1.93E-04
Importin 8	AK025607	IPO8	1.814	1.24E-04
Hypothetical protein FLJ10986	NM_018291	FLJ10986	1.807	2.46E-04
Branched chain aminotransferase 1, cytosolic	BC033864	BCAT1	1.803	2.87E-04
Hypothetical protein LOC157567	U79297	LOC157567	1.796	2.28E-04
	AC_006020.2		1.79	1.75E-04
LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	NM_014462	LSM1	1.789	2.18E-04
Paired box gene 9	NM_006194	PAX9	1.78	1.38E-04
Frizzled homolog 6 (Drosophila)	NM_003506	FZD6	1.777	1.70E-04
Calponin 2	AK024835	CNN2	1.767	3.63E-05
Ectodermal-neural cortex (with BTB-like domain)	NM_003633	ENC1	1.767	9.58E-05
Lipoma HMGIC fusion partner-like 2	D86961	LHFPL2	1.761	3.59E-05
Pancreatic polypeptide	NM_002722	PPY	1.756	1.82E-04
	AF338650		1.751	2.55E-04
Integrin, alpha 6	NM_000210	ITGA6	1.746	2.43E-04
Acyl-CoA synthetase long-chain family member 3	NM_004457	ACSL3	1.74	1.07E-04
B-cell CLL/lymphoma 2	NM_000633	BCL2	1.736	1.22E-04
	AL160397.17		1.734	1.19E-04
Transcribed locus, moderately similar to XP_377577.2 PREDICTED: hypothetical protein XP_377577 [Homo sapiens]	AI828439		1.733	1.52E-04
KIAA0830 protein	AF131747	KIAA0830	1.719	1.84E-04
MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	AL831995	MEF2A	1.714	2.13E-04
Cholecystokinin	NM_000729	CCK	1.709	2.71E-04
Neural cell adhesion molecule 2	NM_004540	NCAM2	1.706	1.21E-04
RAD51-like 3 (S. cerevisiae)	Y15572.1	RAD51L3	1.704	8.73E-05
Adrenergic, beta-2-, receptor, surface	M15169	ADRB2	1.702	1.50E-04
Pleckstrin homology, Sec7 and coiled-coil domains 3	BC028717	PSCD3	1.686	1.66E-04
Vasoactive intestinal peptide	NM_003381	VIP	1.683	2.61E-04
Cysteine-rich secretory protein 2	NM_003296	CRISP2	1.682	2.95E-04
	AB040937		1.67	1.57E-04
Regulator of G-protein signalling 6	NM_004296	RGS6	1.669	2.55E-04
Chromosome 1 open reading frame 21	AF035282	C1orf21	1.668	8.80E-05
	NM_014769		1.668	2.16E-04
Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	NM_002249	KCNN3	1.667	7.51E-05
	AL662884.10		1.662	6.16E-05
	AL157791.4		1.646	3.16E-05
Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	NM_006379	SEMA3C	1.644	2.91E-04
Family with sequence similarity 12, member A	AW006718	FAM12A	1.641	3.09E-04
TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	NM_005680	TAF1B	1.639	3.01E-04
Advanced glycosylation end product-specific receptor	NM_001136	AGER	1.638	1.71E-04
Thymus high mobility group box protein TOX	NM_014729	TOX	1.611	1.11E-04
E2F transcription factor 5, p130-binding	NM_001951	E2F5	1.597	2.13E-04
Ets variant gene 6 (TEL oncogene)	NM_001987	ETV6	1.584	2.56E-04
	AC_006559.6		1.571	2.77E-04
Plasminogen activator, urokinase	NM_002658	PLAU	1.57	2.60E-04
Heparan sulfate (glucosamine) 3-O-sulfotransferase 1	H86812	HS3ST1	1.57	1.97E-04
Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	M98479	TGM2	1.563	1.87E-04
Butyrophilin, subfamily 3, member A3	AA478585	BTN3A3	1.562	2.04E-04
Serine/threonine kinase 38 like	AB023182	STK38L	1.558	7.02E-05
Casein kinase 2, alpha prime polypeptide	NM_001896	CSNK2A2	1.558	1.62E-04
Wilms tumor 1	NM_024426	WT1	1.544	2.99E-04
Thyroid hormone receptor interactor 4	NM_016213	TRIP4	1.508	1.63E-04
N-acetyltransferase 1 (arylamine N-acetyltransferase)	BC013732	NAT1	1.496	2.37E-04
Transient receptor potential cation channel, subfamily V, member 6	NM_018646	TRPV6	1.472	2.81E-04
Chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	NM_002993	CXCL6	1.451	3.78E-05
Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	NM_002715	PPP2CA	-1.334	8.52E-05
Zinc finger protein 161	NM_007146	ZNF161	-1.361	1.38E-04
Chloride intracellular channel 1	NM_001288	CLIC1	-1.376	1.41E-04
Actin, alpha, cardiac muscle	NM_005159	ACTC	-1.392	1.06E-04
Ribosomal protein S23	NM_001025	RPS23	-1.454	9.14E-05
Full-length cDNA clone CS0DI026YJ05 of Placenta Cot 25-normalized of Homo sapiens (human)	BG254709		-1.46	8.53E-05
Protein tyrosine phosphatase type IVA, member 2	BC018662	PTP4A2	-1.466	2.24E-04
Niemann-Pick disease, type C2	NM_006432	NPC2	-1.466	5.61E-05
Serine hydroxymethyltransferase 2 (mitochondrial)	NM_005412	SHMT2	-1.475	2.25E-04
Small nuclear ribonucleoprotein polypeptide A	NM_003090	SNRPA1	-1.481	2.90E-04
Protein tyrosine phosphatase type IVA, member 2	NM_003479	PTP4A2	-1.481	2.91E-04
	BG531707		-1.494	2.60E-04
HIV-1 rev binding protein 2	AA251800	HRB2	-1.498	1.72E-04
Peroxiredoxin 3	NM_006793	PRDX3	-1.505	9.28E-05
Glyceraldehyde-3-phosphate dehydrogenase	X01677	GAPD	-1.51	2.98E-04
Translocation associated membrane protein 1	NM_014294	TRAM1	-1.512	1.58E-04
Sorting nexin 2	AA045230	SNX2	-1.519	1.72E-04
Splicing factor 1	NM_004630	SF1	-1.526	2.37E-04
Galactokinase 1	NM_000154	GALK1	-1.533	3.74E-05
C-terminal binding protein 1	AA478268	CTBP1	-1.533	7.36E-05
Ras homolog gene family, member A	NM_001664	RHOA	-1.534	6.85E-05
	BC009320		-1.543	1.39E-04
Melanoma antigen family D, 2	AW391980	MAGED2	-1.555	7.15E-05
Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	NM_001152	SLC25A5	-1.558	5.76E-05
Actin, beta	X00351	ACTB	-1.562	2.45E-04
Actin related protein 2/3 complex, subunit 3, 21kDa	NM_005719.2	ARPC3	-1.566	2.75E-04
	BG531707		-1.568	2.75E-05
	AI150325		-1.571	2.18E-04
Protein tyrosine phosphatase type IVA, member 2	BC018662	PTP4A2	-1.574	2.43E-04
Actin, beta	X00351	ACTB	-1.575	1.63E-04
Actin, beta	X00351	ACTB	-1.576	3.70E-05
Actin, beta	X00351	ACTB	-1.576	2.37E-04
	NM_003197		-1.576	3.42E-05
Actin, beta	X00351	ACTB	-1.576	3.59E-05
Chromosome 6 open reading frame 32	BE676121	C6orf32	-1.577	2.06E-04
Actin, beta	X00351	ACTB	-1.578	1.87E-04
Actin, beta	X00351	ACTB	-1.58	3.10E-04
Actin, beta	X00351	ACTB	-1.581	7.93E-05
Hepatitis B virus x interacting protein	NM_006402	HBXIP	-1.582	4.10E-05
Actin, beta	X00351	ACTB	-1.584	2.74E-04
Quiescin Q6	NM_002826	QSCN6	-1.589	1.14E-04
Tripartite motif-containing 38	NM_006355	TRIM38	-1.589	1.26E-04
Actin, beta	X00351	ACTB	-1.592	2.53E-04
Neuroepithelial cell transforming gene 1	AK024919	NET1	-1.592	1.27E-04
Actin, beta	X00351	ACTB	-1.595	5.35E-05
Caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	NM_033292	CASP1	-1.597	2.82E-04
NPD014 protein	NM_014313	SMP1	-1.603	5.58E-05
Actin, beta	X00351	ACTB	-1.606	2.22E-04
Actin, beta	X00351	ACTB	-1.615	9.59E-05
CD97 antigen	NM_078481	CD97	-1.616	3.56E-05
Actin, beta	X00351	ACTB	-1.63	4.37E-05
Actin, beta	X00351	ACTB	-1.636	1.88E-05
	AI623834		-1.644	1.12E-04
Solute carrier family 16 (monocarboxylic acid transporters), member 1	AJ438942	SLC16A1	-1.664	2.49E-04
Protein kinase C, delta	NM_006254	PRKCD	-1.668	1.21E-04
Histidine ammonia-lyase	NM_002108	HAL	-1.671	1.41E-04
HIV-1 induced protein HIN-1	R78541	HSHIN1	-1.674	1.74E-05
DAZ associated protein 2	NM_014764	DAZAP2	-1.683	1.45E-04
Lysosomal associated multispanning membrane protein 5	NM_006762	LAPTM5	-1.685	1.37E-04
Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	BM083907	LILRB1	-1.688	1.26E-04
	AA488715		-1.689	2.77E-05
	XM_166508.1		-1.697	2.27E-04
