U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
214657_s_at	multiple endocrine neoplasia I	MEN1	11q13	AU134977	Hs.240443	43.3	Above	2.3
202771_at	KIAA0233 gene product	KIAA0233	16q24.3	NM_014745.1	Hs.79077	43.3	Above	1.9
217967_s_at	chromosome 1 open reading frame 24	C1orf24	1q25	AF288391.1	Hs.48778	43.3	Above	3.3
220024_s_at	Periaxin	PRX	19q13.13-q13.2	NM_020956.1	Hs.205457	43.3	Above	8.1
203217_s_at	sialyltransferase 9	SIAT9	2p11.2	NM_003896.1	Hs.225939	43.2	Above	1.8
238689_at	Homo sapiens cDNA FLJ30646 fis, clone CTONG2004716, weakly similar to Rattus norvegicus mRNA for seven transmembrane receptor			BG426455	Hs.256897	43.2	Above	10.8
200665_s_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	5q31.3-q32	NM_003118.1	Hs.111779	42.9	Above	10.5
200864_s_at	RAB11A, member RAS oncogene family	RAB11A	15q21.3-q22.31	NM_004663.1	Hs.75618	42.9	Above	1.4
213075_at	Homo sapiens, clone IMAGE:3140802, mRNA			AL050002.1	Hs.94795	42.9	Above	26.4
236489_at	ESTs			AI282097	Hs.72307	42.9	Above	16.6
48106_at	hypothetical protein FLJ20489	FLJ20489	12p11.1	H14241	Hs.306989	42.6	Above	2.8
203005_at	lymphotoxin beta receptor (TNFR superfamily, member 3)	LTBR	12p13	NM_002342.1	Hs.1116	42.6	Above	9.9
205467_at	caspase 10, apoptosis-related cysteine protease	CASP10	2q33-q34	NM_001230.1	Hs.5353	42.6	Above	3.6
220454_s_at	semaphorin 6A	SEMA6A	5q23.1	NM_020796.1	Hs.263395	42.6	Above	3.3
228696_at	prostein protein	LOC85414	1q31.1	AA631143	Hs.278695	42.6	Above	95.9
235306_at	hypothetical protein DKFZp667I133	DKFZp667I133	7q35	AI611648	Hs.95834	42.6	Above	3.5
239272_at	matrix metalloproteinase 28	MMP28	17q11-q21.1	AI927208	Hs.231958	42.6	Above	14.2
242572_at	ESTs			BF435438	Hs.269924	42.6	Above	4.9
242677_at	ESTs			AI088099	Hs.173548	42.6	Above	469.2
244597_at	ESTs			AA701247	Hs.269548	42.6	Above	11.7
218013_x_at	dynactin 4 (p62)	DCTN4	5q31-q32	NM_016221.1	Hs.180952	41.5	Above	3.6
218084_x_at	FXYD domain containing ion transport regulator 5	FXYD5	19q12-q13.1	NM_014164.2	Hs.333418	41.5	Above	1.5
221790_s_at	LDL receptor adaptor protein	ARH	1p36-p35	AL545035	Hs.184482	41.5	Above	3.5
201028_s_at	antigen identified by monoclonal antibodies 12E7, F21 and O13	MIC2	Xp22.32	U82164.1	Hs.177543	41.4	Above	2.6
210105_s_at	FYN oncogene related to SRC, FGR, YES	FYN	6q21	M14333.1	Hs.169370	40.7	Above	1.8
201445_at	calponin 3, acidic	CNN3	1p22-p21	NM_001839.1	Hs.194662	39.8	Above	10.7
229139_at	Homo sapiens, clone IMAGE:4245141, mRNA			AI202201	Hs.293836	39.5	Above	10.7
229975_at	ESTs			AI826437	Hs.72472	39	Above	9
205055_at	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	ITGAE	17p13	NM_002208.3	Hs.851	38.8	Below	2.1
226190_at	glucose phosphate isomerase	GPI	19q13.1	BG029496	Hs.279789	38.8	Above	3.5
209732_at	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)	CLECSF2	12p13-p12	BC005254.1	Hs.85201	37.1	Above	2.3
210487_at	deoxynucleotidyltransferase, terminal	DNTT	10q23-q24	M11722.1	Hs.272537	37.1	Above	2
203508_at	tumor necrosis factor receptor superfamily, member 1B	TNFRSF1B	1p36.3-p36.2	NM_001066.1	Hs.256278	36.4	Above	2.6
209321_s_at	adenylate cyclase 3	ADCY3	2p24-p22	AF033861.1	Hs.8402	36.4	Above	2
212552_at	hippocalcin-like 1	HPCAL1	2p25.1	BE617588	Hs.3618	36.4	Above	2
219871_at	hypothetical protein FLJ13197	FLJ13197	4p14	NM_024614.1	Hs.29725	36.4	Above	14.4
203159_at	glutaminase	GLS	2q32-q34	NM_014905.1	Hs.239189	36.4	Above	1.5
203725_at	growth arrest and DNA-damage-inducible, alpha	GADD45A	1p31.2-p31.1	NM_001924.2	Hs.80409	36.4	Above	3.1
208893_s_at	dual specificity phosphatase 6	DUSP6	12q22-q23	BC005047.1	Hs.180383	36.4	Above	3.6
228297_at	calponin 3, acidic	CNN3	1p22-p21	AI807004	Hs.194662	36.4	Above	4.9
231055_at	ESTs			BF432941	Hs.263462	36.4	Above	3.4
202123_s_at	v-abl Abelson murine leukemia viral oncogene homolog 1	ABL1	9q34.1	NM_005157.2	Hs.146355	35.2	Above	1.8
225108_at	ESTs			BF111719	Hs.356237	35	Above	3
239519_at	ESTs			AA927670	Hs.131704	35	Above	18.1
64064_at	immune associated nucleotide 4 like 1 (mouse)	IAN4L1	7q36	AI435089	Hs.26194	34.1	Above	3.4
204576_s_at	KIAA0643 protein	KIAA0643	16p12.3	AA207013	Hs.155995	34.1	Above	1.9
205376_at	inositol polyphosphate-4-phosphatase, type II, 105kDa	INPP4B	4q31.1	NM_003866.1	Hs.153687	34.1	Above	16.7
218693_at	transmembrane 4 superfamily member tetraspan NET-7	NET-7	10q22.3	NM_012339.1	Hs.95583	34.1	Above	21.9
219073_s_at	oxysterol binding protein-like 10	OSBPL10	3p22.3	NM_017784.1	Hs.321622	34.1	Above	4.9
222126_at	insulin receptor substrate 3-like	IRS3L	7q22	AI247494	Hs.30827	34.1	Above	7.4
216985_s_at	syntaxin 3A	STX3A	11q12.3	AJ002077.1	Hs.82240	34.1	Above	11.9
201809_s_at	endoglin (Osler-Rendu-Weber syndrome 1)	ENG	9q33-q34.1	NM_000118.1	Hs.76753	34.1	Above	6
201204_s_at	ribosome binding protein 1 homolog 180kDa	RRBP1	20p12	AI921320	Hs.98614	33.7	Above	2.6
201743_at	CD14 antigen	CD14	5q31.1	NM_000591.1	Hs.75627	33.7	Above	3.6
202180_s_at	major vault protein	MVP	16p13.1-p11.2	NM_017458.1	Hs.80680	33.7	Above	4.3
203253_s_at	KIAA0433 protein	KIAA0433	5q15	NM_015216.1	Hs.26179	33.7	Above	1.5
209030_s_at	immunoglobulin superfamily, member 4	IGSF4	11q23.2	NM_014333.1	Hs.70337	33.7	Above	10.8
209829_at	chromosome 6 open reading frame 32	C6orf32	6p22.3-p21.32	AB002384.1	Hs.101359	33.7	Above	2.1
212365_at	myosin IB	MYO1B	2q12-q34	AK000160.1	Hs.121576	33.7	Above	3
214255_at	ATPase, Class V, type 10C	ATP10C	15q11-q13	AB011138.1	Hs.44697	33.7	Above	9.8
214321_at	nephroblastoma over expressed gene	NOV	8q24.1	BF440025	Hs.235935	33.7	Above	49.2
218086_at	neural proliferation, differentiation and control, 1	NPDC1	9q34.3	NM_015392.1	Hs.105547	33.7	Above	28.8
222937_s_at	matrix metalloproteinase 28	MMP28	17q11-q21.1	AF219624.1	Hs.231958	33.7	Above	70.2
225113_at	Homo sapiens mRNA; cDNA DKFZp762O2215 (from clone DKFZp762O2215)			BF111719	Hs.331666	33.7	Above	7.2
225244_at	IMAGE3451454: GRASP protein	IMAGE3451454	1q42.13	AA019893	Hs.325081	33.7	Above	2
228573_at	capillary morphogenesis protein 2	CMG2	4q21.21	BE673665	Hs.5897	33.7	Above	2.2
