AFFY ID	OMIM ID	REFSEQ_MRNA	description	GENE SYMBOL	CHROMOSOME	ENTREZ_GENE_ID	UNIGENE	CYTOBAND
227629_at	176761	NM_000949	.prolactin receptor	PRLR	5	5618	Hs.584792	.5p14-p13,
230252_at, 231788_at	606926	NM_020400	.g protein-coupled receptor 92	GPR92	12	57121	Hs.155538	.12p13.31
220161_s_at, 220524_at, 223426_s_at		NM_018424, NM_019114	.erythrocyte membrane protein band 4.1 like 4b	EPB41L4B,	9	54566	Hs.269180	.9q31-q32, 9q32,
205259_at	177735, 600983, 605115	NM_000901	.nuclear receptor subfamily 3, group c, member 2	NR3C2	4	4306	Hs.163924	.4q31.1,
207522_s_at,213042_s_at	601929	NM_005173, NM_174953, NM_174954, NM_174955, NM_174956, NM_174957, NM_174958	.atpase, ca++ transporting, ubiquitous	ATP2A3	17	489	Hs.513870	.17p13.3,
240770_at		NM_173490	.proline-rich protein prp2	PRP2	5	134285	Hs.162246	.5q13.2
205141_at	105850	NM_001145,	.angiogenin, ribonuclease, rnase a family, 5	ANG	14	283		.14q11.1-q11.2
229740_at	603781	NM_001003715, NM_001003716, NM_004259	.recq protein-like 5	RECQL5	17	9400	Hs.514480	.17q25.2-q25.3,
201035_s_at,201036_s_at,211569_s_at	601609, 609609	NM_005327	.l-3-hydroxyacyl-coenzyme a dehydrogenase, short chain	HADHSC	4	3033	Hs.438289	.4q22-q26
242998_at	604232, 608830	NM_152443	.retinol dehydrogenase 12 (all-trans and 9-cis)	RDH12,	14	145226	Hs.415322	.14q24.1
207761_s_at		NM_014033	.methyltransferase like 7a	METTL7A	12	25840	Hs.288771	.12q13.13,
219429_at		NM_024306	.fatty acid 2-hydroxylase	FA2H	16	79152	Hs.461329	.16q23
204248_at	139313	NM_002067	.guanine nucleotide binding protein (g protein), alpha 11 (gq class)	GNA11	19	2767	Hs.515056, Hs.585185	.19p13.3
234312_s_at	605832	NM_018677, NM_139274	.acyl-coa synthetase short-chain family member 2	ACSS2	20	55902	Hs.517034	.20q11.22
206844_at	603027	NM_003837	.fructose-1,6-bisphosphatase 2	FBP2	9	8789	Hs.61255	.9q22.3
228184_at	607502	NM_032890,	.hypothetical protein dkfzp434i0428	DISP1	1	84976	Hs.528817	.1q41,
203658_at	212138	NM_000387	.solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	SLC25A20	3	788	Hs.13845	.3p21.31,
202284_s_at	116899	NM_000389, NM_078467	.cyclin-dependent kinase inhibitor 1a (p21, cip1)	CDKN1A	6	1026	Hs.370771	.6p21.2,
228696_at	605097, 608319	NM_033102	.solute carrier family 45, member 3	SLC45A3	1	85414	Hs.278695	.1q32.1,
234008_s_at		NM_024922	.esterase 31	FLJ21736,	16	79984	Hs.268700	.16q22.1,
227750_at	604605, 608128,	NM_001024660, NM_003947, NM_007064,	.kalirin, rhogef kinase	KALRN	3	8997	Hs.162189, Hs.586817, Hs.8004	.3q21.1-q21.2, 3q21.2,
228568_at		NM_001018090, NM_001018091, NM_001018092, NM_001018093, NM_001018094, NM_001018095, NM_001018096, NM_001018097, NM_001018098, NM_001018099, NM_001018100, NM_001018101, NM_152451	.grinl1a combined protein	Gcom1
212859_x_at	156351	NM_175617	.metallothionein 1e (functional)	MT1E	16	4493	Hs.534330	.16q12.1, 16q13
.200793_s_at	100850	NM_001098,	.aconitase 2, mitochondrial	ACO2	22	50	Hs.474982	.22q11.2-q13.31,
218078_s_at		NM_016598	.zinc finger, dhhc-type containing 3	ZDHHC3	3	51304	Hs.61430	.3p21.31
218765_at, 56256_at		NM_015996	.sid1 transmembrane family, member 2	SIDT2	11	51092	Hs.410977	.11q23.3,
218951_s_at		NM_018390	.phosphatidylinositol-specific phospholipase c, x domain containing 1	PLCXD1	X,Y	55344	Hs.522568	.Xp22.33; Yp11.32,
212719_at		NM_194449	.ph domain and leucine rich repeat protein phosphatase	PHLPP	18	23239	Hs.465337	.18q21.33,
208534_s_at		XM_376602, XM_379820, XM_934277, XM_934280, XM_934281, XM_934283, XM_934285, XM_934290, XM_934292, XM_934295, XM_934299, XM_934303, XM_934306, XM_936011, XM_936013, XM_936014, XM_936015, XM_936016, XM_936017, XM_936018, XM_936019, XM_936020, XM_936021, XM_936022,	.hypothetical protein flj21767	FLJ21767	7	401336	Hs.568107	.7p13,
219076_s_at		NM_018663	.peroxisomal membrane protein 2, 22kda	PXMP2	12	5827	Hs.430299	.12q24.33
206001_at	162640	NM_000905	.neuropeptide y	NPY	7	4852	Hs.1832	.7p15.1,
229582_at		NM_194281	.chromosome 18 open reading frame 37	C18orf37	18	125476	Hs.464903	.18q12.2,
229909_at		NM_173593	.beta-1,4-n-acetyl-galactosaminyl transferase 3	B4GALNT3	12	283358	Hs.504416	.12p13.33,
1554628_at		NM_173480	.hypothetical protein loc126295	LOC126295	19	126295	Hs.374945	.19p13.3
202201_at	600941	NM_000713	.biliverdin reductase b (flavin reductase (nadph))	BLVRB	19	645	Hs.515785	.19q13.1-q13.2,
228806_at	602943	NM_001001523, NM_005060,	.rar-related orphan receptor c	RORC,	1	6097	Hs.256022	.1q21,
221552_at, 45288_at		NM_020676	.abhydrolase domain containing 6	ABHD6	3	57460	Hs.476454	.3p14.3,
211456_x_at		NM_007209	.ribosomal protein l35	RPL35	9	11224	Hs.182825	.9q34.1
221856_s_at		NM_018379	.family with sequence similarity 63, member a	FAM63A	1	55793	Hs.3346	.1q21.2,
224821_at		NM_032750	.abhydrolase domain containing 14b	ABHD14B	3	84836	Hs.420796	.3p21.1
204167_at, 214117_s_at	253260, 609019	NM_000060	.biotinidase	BTD	3	686	Hs.517830	.3p25
207843_x_at,209366_x_at,215726_s_at	250790	NM_001914, NM_148923	.cytochrome b5 type a (microsomal)	CYB5A	18	1528	Hs.465413	.18q23,
202838_at	230000	NM_000147,	.fucosidase, alpha-l- 1, tissue	FUCA1	1	2517	Hs.370858	.1p34,
228360_at		NM_177964	.hypothetical protein loc130576	LOC130576	2	130576	Hs.357567	.2q23.2
242300_at	191321, 191339, 191340, 191343	NM_001033930, NM_003333	.ubiquitin a-52 residue ribosomal protein fusion product 1	UBA52,	19	7311	Hs.5308	.19p13.1-p12,
230788_at	110800, 600429,	NM_001491, NM_145649, NM_145655	.glucosaminyl (n-acetyl) transferase 2, i-branching enzyme (i blood group)	GCNT2,	6	2651	Hs.519884	.6p24
219281_at	601250	NM_012331,	.methionine sulfoxide reductase a	MSRA	8	4482	Hs.490981	.8p23.1,
221823_at		NM_033211	.hypothetical gene supported by af038182; bc009203	LOC90355	5	90355	Hs.482976	.5q21.1,
205232_s_at	602344	NM_000437	.platelet-activating factor acetylhydrolase 2, 40kda	PAFAH2	1	5051	Hs.477083	.1p34.3,
218797_s_at	179035, 606212	NM_006907, NM_016538, NM_153824,	.pyrroline-5-carboxylate reductase 1	PYCR1, SIRT7	17	.51547, 5831	Hs.458332, Hs.514636, Hs.528641	.17q25, 17q25.3,
232408_at		NM_020972	.zinc finger, fyve domain containing 28	ZFYVE28	4	57732	Hs.292056	.4p16.3
229893_at	607619	NM_174938	.ferm domain containing 3	FRMD3,	9	257019	Hs.127535	.9q21.32,
208072_s_at	601826	NM_003648, NM_152879,	.diacylglycerol kinase, delta 130kda	DGKD,	2	8527	Hs.471675	.2q37.1
219223_at		NM_017586	.chromosome 9 open reading frame 7	C9orf7,	9	11094	Hs.62003	.9q34
212400_at		NM_001035254, NM_203305	.family with sequence similarity 102, member a	FAM102A	9	399665	Hs.568044	.9q34.11
207507_s_at	602736	NM_001002258, NM_001689	.atp synthase, h+ transporting,mitochondrial f0 complex, subunit c3 (subunit 9)	ATP5G3	2	518	Hs.429	.2q31.1,
231069_at	604782	NM_004674	.ash2 (absent, small, or homeotic)-like (drosophila)	ASH2L	8	9070	Hs.521530	.8p11.2,
227865_at		NM_001001551	.chromosome 9 open reading frame 103	C9orf103	9	414328	Hs.530261	.9q21-q22, 9q21.32,
205464_at	177200, 264350, 600760	NM_000336	.sodium channel, nonvoltage-gated 1, beta (liddle syndrome)	SCNN1B	16	6338	Hs.414614	.16p12.2-p12.1,
218523_at		NM_022126	.phospholysine phosphohistidine inorganic pyrophosphate phosphatase	LHPP	10	64077	Hs.527748	.10q26.13
215684_s_at		NM_032204	.hypothetical protein dkfzp586o0223	ASCC2	22	84164	Hs.517438	.22q12.1
230409_at		NM_020965, NM_152900,	.kiaa1634 protein	MAGI3	1	260425	Hs.486189	.1p12-p11.2,
225804_at		NM_144611	.cytochrome b5 domain containing 2	CYB5D2	17	124936	Hs.513871	.17p13.2,
218869_at	248360, 606761	NM_012213	.malonyl-coa decarboxylase	MLYCD	16	23417	Hs.461571	.16q24,
200086_s_at,202698_x_at	123864	NM_001861	.cytochrome c oxidase subunit iv isoform 1	COX4I1,	16	1327	Hs.433419	.16q22-qter,
201569_s_at, 201570_at		NM_015380	.sorting and assembly machinery component 50 homolog (s. cerevisiae	SAMM50	22	25813	Hs.505824	.22q13.31,
212459_x_at,215772_x_at	603922	NM_003848,	.succinate-coa ligase, gdp-forming, beta subunit	SUCLG2,	3	8801	Hs.186512	.3p14.1,
227464_at		NM_174917	.hypothetical protein loc197322	LOC197322	16	197322	Hs.461727	.16q24.3
228142_at		NM_001003684, NM_013387,	.ubiquinol-cytochrome c reductase complex (7.2 kd)	UCRC	22	29796	Hs.284292	.22cen-q12.3,
206263_at	136131	NM_002022	.flavin containing monooxygenase 4	FMO4	1	2329	Hs.386502	.1q23-q25
212112_s_at	606892	NM_177424	.syntaxin 12	STX12	1	23673	Hs.523855	.1p35-p34.1
218024_at		NM_016098	.brain protein 44-like	BRP44L	6	15660	Hs.172755	.6q27
213738_s_at	164360	NM_001001937, NM_004046	.atp synthase, h+ transporting, mitochondrial f1 complex, alpha subunit 1, cardiac muscle	ATP5A1	18	498	Hs.298280	.18q12-q21,
202772_at	246450	NM_000191	.3-hydroxymethyl-3-methylglutaryl-coenzyme a lyase (hydroxymethylglutaricaciduria)	HMGCL	1	3155	Hs.533444	.1p36.1-p35,
200932_s_at	607376	NM_006400	.dynactin 2 (p50)	DCTN2	12	10540	Hs.289123	.12q13.2-q13.3,
218487_at	125270	NM_000031, NM_001003945	.aminolevulinate, delta-, dehydratase	ALAD,	9	21	Hs.1227	.9q33.1,
209092_s_at		NM_016080	.chromosome 17 open reading frame 25	C17orf25,	17	51031	Hs.279061	.17p13.3,
215417_at	607880	XM_039570, XM_942341, XM_945916, XM_945918	.sec15-like 2 (s. cerevisiae)	SEC15L2	2	23233	Hs.303454	.2p13.3-p13.2
207404_s_at	182132	NM_000865	.5-hydroxytryptamine (serotonin) receptor 1e	HTR1E,	6	3354	Hs.1611	.6q14-q15
206183_s_at	605200	NM_014606	.hect domain and rld 3	HERC3	4	8916	Hs.35804	.4q21,
220630_s_at	606080	NM_021797, NM_201653	.chitinase, acidic	CHIA	1	27159	Hs.128814	.1p13.1-p21.3
239738_at		NM_053281	.dachshund homolog 2 (drosophila)	DACH2,	X	117154	Hs.86603	.Xq21.3,
