Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
W79306	programmed cell death 6	PDCD6	10016	346933	1.239587	-
AA026605	Multiple Cluster Hits:9194&420269	GBDR1 / COL6A2	10422, 1292	366518	1.480697	+
H78483	huntingtin interacting protein 2	HIP2	3093	233581	1.315771	+
W03469	catenin (cadherin-associated protein), delta 1	CTNND1	1500	291908	2.194236	+
W75938	cathepsin L	CTSL	1514	345538	1.389218	+
BX106539	crystallin, mu	CRYM	1428	42373	1.20636	+
AA479243	autocrine motility factor receptor	AMFR	267	753897	1.105678	+
N63635	pim-1 oncogene	PIM1	5292	292726	1.13353	+
R11688	solute carrier family 2 (facilitated glucose transporter), member 1	SLC2A1	6513	25389	1.24522	+
W92603	Multiple Cluster Hits:421724&196352	CTSG / NCF4	1511, 4689	357681	1.317573	-
AA495759	KIAA0924 protein	KIAA0924	22834	768299	1.168448	+
BX089296	BAI1-associated protein 1	BAIAP1	9223	141931	1.404118	+
AI950601	solute carrier family 2 (facilitated glucose transporter), member 1	SLC2A1	6513	2547341	1.468148	+
AA480906	protein kinase C binding protein 1	PRKCBP1	23613	814595	1.244917	+
AA464028	hypothetical protein FLJ14525	FLJ14525	84886	810603	1.204253	+
R71440	serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	SERPINH1	871	142788	1.395126	+
N30225	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55	DDX55	57696	256983	1.979116	+
AA290955	CASP2 and RIPK1 domain containing adaptor with death domain	CRADD	8738	700353	1.085283	+
AA043416	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	CES1	1066	487458	1.103458	-
AA136221	spermine synthase	SMS	6611	565235	1.233116	-
N35592	hypothetical protein Ells1	Ells1	222166	272262	2.353271	+
W47597	N-acylsphingosine amidohydrolase (acid ceramidase)-like	ASAHL	27163	324342	1.278621	-
W05834	likely ortholog of mouse IRA1 protein	IRA1	79718	299815	1.376076	-
AA130042	likely ortholog of mouse IRA1 protein	IRA1	79718	503851	1.187136	-
N38809	cell division cycle associated 7	CDCA7	83879	244058	1.702647	-
AA490938	NAD(P)H dehydrogenase, quinone 2	NQO2	4835	824024	1.089402	+
AA423800	thymosin, beta 4, X-linked	TMSB4X	7114	755444	1.146632	-
AA455338	glycophorin B (includes Ss blood group)	GYPB	2994	812126	1.186996	+
AA486628	early growth response 1	EGR1	1958	840944	1.156773	+
H16239	Hs cDNA: FLJ22539 fis, clone HRC13227		0	47527	1.28298	+
AI685018	ras homolog gene family, member C	ARHC	389	2316441	1.469543	+
N79334	TAR (HIV) RNA binding protein 1	TARBP1	6894	287745	1.459912	-
AA504752	nucleoporin 210	NUP210	23225	825647	1.529867	-
AA047338	proteasome (prosome, macropain) subunit, alpha type, 6	PSMA6	5687	509495	1.271407	-
T65407	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	HADHSC	3033	21738	1.26628	-
AA705225	myosin, light polypeptide 4, alkali; atrial, embryonic	MYL4	4635	461425	1.104476	+
