Gene	Unigene title	Source mRNA	Class	Cluster
LPGAT1	Lysophosphatidylglycerol acyltransferase 1	XM_375837	Class I	Cluster 5
PDE4DIP	Phosphodiesterase 4D interacting protein (myomegalin)	AK000835	Class I	Cluster 5
ATP11B	ATPase, Class VI, type 11B	XM_087254	Class I	Cluster 5
ARHGAP26	Rho GTPase activating protein 26	AL833523	Class I	Cluster 5
CHN2	Chimerin (chimaerin) 2	AK026415	Class I	Cluster 5
PTK9	PTK9 protein tyrosine kinase 9	BC043148	Class I	Cluster 5
HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	AK095525	Class I	Cluster 5
B3GTL	Beta 3-glycosyltransferase-like	BC031597	Class I	Cluster 5
MIPOL1	Mirror-image polydactyly 1	NM_138731	Class I	Cluster 5
SPIRE1	Spire homolog 1 (Drosophila)	AK025433	Class I	Cluster 5
KITLG	KIT ligand	AK055903	Class I	Cluster 5
UBL3	Ubiquitin-like 3	NM_007106	Class I	Cluster 5
MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	af055376	Class I	Cluster 5
ANKRD6	Ankyrin repeat domain 6	NM_014942	Class I	Cluster 5
RAB11FIP2	RAB11 family interacting protein 2 (class I)	NM_014904	Class I	Cluster 5
PPM2C	Protein phosphatase 2C, magnesium-dependent, catalytic subunit	NM_018444	Class I	Cluster 5
FLJ10808	Hypothetical protein FLJ10808	ak094969	Class I	Cluster 5
TRIM9	Tripartite motif-containing 9	NM_015163	Class I	Cluster 5
ZNF239	Zinc finger protein 239	NM_005674	Class I	Cluster 5
SMILE	SMILE protein	NM_181783	Class I	Cluster 5
HECTD1	HECT domain containing 1	NM_015382	Class I	Cluster 5
SGPP1	Sphingosine-1-phosphate phosphatase 1	NM_030791	Class I	Cluster 5
SYT1	Synaptotagmin I	NM_005639	Class I	Cluster 5
NSBP1	Nucleosomal binding protein 1	NM_030763	Class I	Cluster 5
LZTFL1	Leucine zipper transcription factor-like 1	NM_020347	Class I	Cluster 5
CUL3	Cullin 3	NM_003590	Class I	Cluster 5
LOC159090	Similar to hypothetical protein MGC17347	ak026660	Class I	Cluster 5
PSD3	Pleckstrin and Sec7 domain containing 3	NM_015310	Class I	Cluster 5
FLJ10287	Hypothetical protein FLJ10287	NM_019083	Class I	Cluster 5
ARTS-1	Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	NM_016442	Class I	Cluster 5
ITSN2	Intersectin 2	NM_019595	Class I	Cluster 5
DKFZp667G2110	Hypothetical protein DKFZp667G2110	ak091199	Class I	Cluster 5
SLC6A15	Solute carrier family 6 (neurotransmitter transporter), member 15	NM_018057	Class I	Cluster 5
EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	NM_003760	Class I	Cluster 5
CDC40	Cell division cycle 40 homolog (yeast)	NM_015891	Class I	Cluster 5
CENTD1	Centaurin, delta 1	NM_139182	Class I	Cluster 5
FLJ20152	Hypothetical protein FLJ20152	NM_019000	Class I	Cluster 5
RNASEL	Ribonuclease L (2,5-oligoisoadenylate synthetase-dependent)	NM_021133	Class I	Cluster 5
NPHP3	Nephronophthisis 3 (adolescent)	NM_153240	Class I	Cluster 5
FLJ11171	Hypothetical protein FLJ11171	NM_018348	Class I	Cluster 5
ATP11C	ATPase, Class VI, type 11C	NM_173694	Class I	Cluster 5
PGK1	Phosphoglycerate kinase 1	NM_000291	Class I	Cluster 5
CSRP2BP	CSRP2 binding protein	NM_020536	Class I	Cluster 5
EIF2C2	Eukaryotic translation initiation factor 2C, 2	AK096164	Class I	Cluster 5
PDE4DIP	Phosphodiesterase 4D interacting protein (myomegalin)	AK000835	Class I	Cluster 5
MBTPS2	Membrane-bound transcription factor protease, site 2	AK056736	Class I	Cluster 5
ZNF586	Zinc finger protein 586	NM_017652	Class I	Cluster 5
ATAD2	ATPase family, AAA domain containing 2	NM_014109	Class I	Cluster 5
FLJ21924	Hypothetical protein FLJ21924	AK055185	Class I	Cluster 5
SEC10L1	SEC10-like 1 (S. cerevisiae)	NM_006544	Class I	Cluster 5
MLL5	Myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	NM_018682	Class I	Cluster 5
PLEKHA1	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	AK095775	Class I	Cluster 5
DLG1	Discs, large homolog 1 (Drosophila)	AL831922	Class I	Cluster 5
PIK3CB	Phosphoinositide-3-kinase, catalytic, beta polypeptide	BC022049	Class I	Cluster 5
BVES	Blood vessel epicardial substance	BC040502	Class I	Cluster 5
KIAA0103	KIAA0103	NM_014673	Class I	Cluster 5
CNOT6L	CCR4-NOT transcription complex, subunit 6-like	AL133112	Class I	Cluster 5
TIA1	TIA1 cytotoxic granule-associated RNA binding protein	NM_022037	Class I	Cluster 5
JAM2	Junctional adhesion molecule 2	AK056079	Class I	Cluster 5
C18orf25	Chromosome 18 open reading frame 25	AL713661	Class I	Cluster 5
FNBP1L	Formin binding protein 1-like	NM_017737	Class I	Cluster 5
NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	NM_005966	Class I	Cluster 5
FLJ39370	Hypothetical protein FLJ39370	NM_152400	Class I	Cluster 5
DKFZP564O0523	Hypothetical protein DKFZp564O0523	NM_032120	Class I	Cluster 5
FLJ10808	Hypothetical protein FLJ10808	ak094969	Class I	Cluster 5
UGDH	UDP-glucose dehydrogenase	NM_003359	Class I	Cluster 5
EFCBP1	EF hand calcium binding protein 1	NM_022351	Class I	Cluster 5
ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	NM_015313	Class I	Cluster 5
OSBPL8	Oxysterol binding protein-like 8	NM_020841	Class I	Cluster 5
PLEKHA3	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3	NM_019091	Class I	Cluster 5
PRKX	Protein kinase, X-linked	NM_005044	Class I	Cluster 5
C10orf18	Chromosome 10 open reading frame 18	ak027014	Class I	Cluster 5
CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	NM_001263	Class I	Cluster 5
DEPDC1	DEP domain containing 1	ak022792	Class I	Cluster 5
SLC11A2	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	af064484	Class I	Cluster 5
CENTB2	Centaurin, beta 2	NM_012287	Class I	Cluster 5
SLK	STE20-like kinase (yeast)	NM_014720	Class I	Cluster 5
P15RS	Hypothetical protein FLJ10656	NM_018170	Class I	Cluster 5
PRKACB	Protein kinase, cAMP-dependent, catalytic, beta	NM_182948	Class I	Cluster 5
HPS3	Hermansky-Pudlak syndrome 3	NM_032383	Class I	Cluster 5
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	NM_018361	Class I	Cluster 5
TLOC1	Translocation protein 1	NM_003262	Class I	Cluster 5
NIPSNAP3A	Nipsnap homolog 3A (C. elegans)	NM_015469	Class I	Cluster 5
DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	NM_018981	Class I	Cluster 5
TRAF5	TNF receptor-associated factor 5	NM_145759	Class I	Cluster 5
EPHA7	EPH receptor A7	NM_004440	Class I	Cluster 5
JARID1A	Jumonji, AT rich interactive domain 1A (RBBP2-like)	AL133026	Class I	Cluster 5
SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)	NM_001003652	Class I	Cluster 5
ERCC4	Excision repair cross-complementing rodent repair deficiency, complementation group 4	NM_005236	Class I	Cluster 5
SOCS5	Suppressor of cytokine signaling 5	NM_144949	Class I	Cluster 5
SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	AK056188	Class I	Cluster 5
FLJ13305	Hypothetical protein FLJ13305	BC036448	Class I	Cluster 5
PCDH20	Protocadherin 20	AL833830	Class I	Cluster 5
C1orf27	Chromosome 1 open reading frame 27	AK000171	Class I	Cluster 5
SEC10L1	SEC10-like 1 (S. cerevisiae)	NM_006544	Class I	Cluster 5
ETS1	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	BC017314	Class I	Cluster 5
MLLT10	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	AK127302	Class I	Cluster 5
CXorf53	Chromosome X open reading frame 53	AY438030	Class I	Cluster 5
ARID2	AT rich interactive domain 2 (ARID, RFX-like)	BX537879	Class I	Cluster 5
PGM3	Phosphoglucomutase 3	AL117443	Class I	Cluster 5
SLC12A2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	NM_001046	Class I	Cluster 5
PTK9	PTK9 protein tyrosine kinase 9	BC043148	Class I	Cluster 5
ZCCHC6	Zinc finger, CCHC domain containing 6	AK058021	Class I	Cluster 5
UTRN	Utrophin (homologous to dystrophin)	NM_007124	Class I	Cluster 5
TTN	Titin	AK090903	Class I	Cluster 5
TIA1	TIA1 cytotoxic granule-associated RNA binding protein	NM_022037	Class I	Cluster 5
PDE7A	Phosphodiesterase 7A	AK057586	Class I	Cluster 5
TDRD3	Tudor domain containing 3	AK023578	Class I	Cluster 5
Cep192	Centrosomal protein 192 kDa	NM_018069	Class I	Cluster 5
FLJ10726	Hypothetical protein FLJ10726	NM_018195	Class I	Cluster 5
B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	NM_033252	Class I	Cluster 5
MDM1	Nuclear protein double minute 1	NM_017440	Class I	Cluster 5
YES1	V-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	NM_005433	Class I	Cluster 5
ZNF503	Zinc finger protein 503	NM_032772	Class I	Cluster 5
GCL	Germ cell-less homolog 1 (Drosophila)	ak023261	Class I	Cluster 5
PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	ab044805	Class I	Cluster 5
FOXJ3	Forkhead box J3	NM_014947	Class I	Cluster 5
IFIT5	Interferon-induced protein with tetratricopeptide repeats 5	NM_012420	Class I	Cluster 5
HECTD1	HECT domain containing 1	NM_015382	Class I	Cluster 5
PLEKHA8	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	AK023180	Class I	Cluster 5
BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	NM_138559	Class I	Cluster 5
RAB11A	RAB11A, member RAS oncogene family	NM_004663	Class I	Cluster 5
PHF20L1	PHD finger protein 20-like 1	ak023711	Class I	Cluster 5
C20orf6	Chromosome 20 open reading frame 6	NM_016649	Class I	Cluster 5
NEK3	NIMA (never in mitosis gene a)-related kinase 3	NM_152720	Class I	Cluster 5
PTPRG	Protein tyrosine phosphatase, receptor type, G	NM_002841	Class I	Cluster 5
OACT2	O-acyltransferase (membrane bound) domain containing 2	AK074779	Class I	Cluster 5
COL5A2	Collagen, type V, alpha 2	NM_000393	Class I	Cluster 5
DEPDC1	DEP domain containing 1	ak022792	Class I	Cluster 5
IL13RA1	Interleukin 13 receptor, alpha 1	NM_001560	Class I	Cluster 5
DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	NM_018981	Class I	Cluster 5
QKI	Quaking homolog, KH domain RNA binding (mouse)	ab067801	Class I	Cluster 5
WDR26	WD repeat domain 26	AK023023	Class I	Cluster 5
RSBN1	Round spermatid basic protein 1	AL050064	Class I	Cluster 5
SOCS5	Suppressor of cytokine signaling 5	NM_144949	Class I	Cluster 5
USP24	Ubiquitin specific protease 24	XM_371254	Class I	Cluster 5
RICS	Rho GTPase-activating protein	AY194287	Class I	Cluster 5
MRPL35	Mitochondrial ribosomal protein L35	NM_003651	Class I	Cluster 5
PSME4	Proteasome (prosome, macropain) activator subunit 4	NM_014614	Class I	Cluster 5
SLC12A2	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2	NM_001046	Class I	Cluster 5
PLK4	Polo-like kinase 4 (Drosophila)	NM_014264	Class I	Cluster 5
PPM1A	Protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	AK124299	Class I	Cluster 5
NIPA1	Non imprinted in Prader-Willi/Angelman syndrome 1	NM_144599	Class I	Cluster 5
CDC42SE2	CDC42 small effector 2	AK025620	Class I	Cluster 5
CXorf15	Chromosome X open reading frame 15	AK123142	Class I	Cluster 5
PRKAG2	Protein kinase, AMP-activated, gamma 2 non-catalytic subunit	ak001887	Class I	Cluster 5
ADAMTS3	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3	NM_014243	Class I	Cluster 5
ASPM	Asp (abnormal spindle)-like, microcephaly associated (Drosophila)	ak001379	Class I	Cluster 5
PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	NM_003913	Class I	Cluster 5
SLC25A24	Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	NM_013386	Class I	Cluster 5
TMEM1	Transmembrane protein 1	NM_003274	Class I	Cluster 5
LOC201895	Hypothetical protein LOC201895	NM_174921	Class I	Cluster 5
GALNACT-2	Chondroitin sulfate GalNAcT-2	NM_018590	Class I	Cluster 5
PKD2	Polycystic kidney disease 2 (autosomal dominant)	NM_000297	Class I	Cluster 5
FLJ14624	Hypothetical protein FLJ14624	NM_032813	Class I	Cluster 5
PLEKHF2	Pleckstrin homology domain containing, family F (with FYVE domain) member 2	NM_024613	Class I	Cluster 5
SLC19A2	Solute carrier family 19 (thiamine transporter), member 2	NM_006996	Class I	Cluster 5
MGC14161	Hypothetical protein MGC14161	NM_032892	Class I	Cluster 5
KPNA4	Karyopherin alpha 4 (importin alpha 3)	NM_002268	Class I	Cluster 5
ZBTB11	Zinc finger and BTB domain containing 11	NM_014415	Class I	Cluster 5
NXT2	Nuclear transport factor 2-like export factor 2	NM_018698	Class I	Cluster 5
BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	NM_138559	Class I	Cluster 5
WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	NM_023034	Class I	Cluster 5
LZTFL1	Leucine zipper transcription factor-like 1	NM_020347	Class I	Cluster 5
FLJ37562	Hypothetical protein FLJ37562	NM_152409	Class I	Cluster 5
PAX3	Paired box gene 3 (Waardenburg syndrome 1)	NM_181460	Class I	Cluster 5
MMD	Monocyte to macrophage differentiation-associated	NM_012329	Class I	Cluster 5
C8orf1	Chromosome 8 open reading frame 1	NM_004337	Class I	Cluster 5
SCAMP1	Secretory carrier membrane protein 1	NM_052822	Class I	Cluster 5
DMTF1	Cyclin D binding myb-like transcription factor 1	NM_021145	Class I	Cluster 5
ZNF555	Zinc finger protein 555	ak056659	Class I	Cluster 5
RANBP2L1	RAN binding protein 2-like 1	NM_005054	Class I	Cluster 5
CARD8	Caspase recruitment domain family, member 8	NM_014959	Class I	Cluster 5
C14orf24	Chromosome 14 open reading frame 24	NM_173607	Class I	Cluster 5
IL13RA1	Interleukin 13 receptor, alpha 1	NM_001560	Class I	Cluster 5
KIAA1008	KIAA1008	NM_014953	Class I	Cluster 5
STS	Steroid sulfatase (microsomal), arylsulfatase C, isozyme S	NM_000351	Class I	Cluster 5
PAFAH1B1	Platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	NM_000430	Class I	Cluster 5
QKI	Quaking homolog, KH domain RNA binding (mouse)	ab067801	Class I	Cluster 5
FAM18B	Family with sequence similarity 18, member B	NM_016078	Class I	Cluster 5
FCMD	Fukuyama type congenital muscular dystrophy (fukutin)	NM_006731	Class I	Cluster 5
UTX	Ubiquitously transcribed tetratricopeptide repeat, X chromosome	NM_021140	Class I	Cluster 5
PDE8A	Phosphodiesterase 8A	BC017164	Class I	Cluster 5
INSIG2	Insulin induced gene 2	BX647805	Class I	Cluster 5
KIAA1627	KIAA1627 protein	NM_020961	Class I	Cluster 5
PRKCI	Protein kinase C, iota	NM_002740	Class I	Cluster 5
APBB2	Amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	NM_173075	Class I	Cluster 5
182-FIP	82-kD FMRP Interacting Protein	AB037742	Class I	Cluster 5
PDE4DIP	Phosphodiesterase 4D interacting protein (myomegalin)	AK000835	Class I	Cluster 5
YPEL2	Yippee-like 2 (Drosophila)	AK096866	Class I	Cluster 5
PKN2	Protein kinase N2	NM_006256	Class I	Cluster 5
E2F7	E2F transcription factor 7	BC016658	Class I	Cluster 5
ARID2	AT rich interactive domain 2 (ARID, RFX-like)	BX537879	Class I	Cluster 5
GCLC	Glutamate-cysteine ligase, catalytic subunit	BC022487	Class I	Cluster 5
ZNF507	Zinc finger protein 507	AL713775	Class I	Cluster 5
SPIRE1	Spire homolog 1 (Drosophila)	AK025433	Class I	Cluster 5
SLC25A30	Solute carrier family 25, member 30	AK074457	Class I	Cluster 5
PDE7A	Phosphodiesterase 7A	AK057586	Class I	Cluster 5
CENPJ	Centromere protein J	AF217509	Class I	Cluster 5
MRPS30	Mitochondrial ribosomal protein S30	BX538300	Class I	Cluster 5
PRKAG2	Protein kinase, AMP-activated, gamma 2 non-catalytic subunit	ak001887	Class I	Cluster 5
CRNKL1	Crn, crooked neck-like 1 (Drosophila)	NM_016652	Class I	Cluster 5
GALNACT-2	Chondroitin sulfate GalNAcT-2	NM_018590	Class I	Cluster 5
ZNF217	Zinc finger protein 217	NM_006526	Class I	Cluster 5
MTMR2	Myotubularin related protein 2	NM_016156	Class I	Cluster 5
TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	NM_006290	Class I	Cluster 5
ZNF503	Zinc finger protein 503	NM_032772	Class I	Cluster 5
GCL	Germ cell-less homolog 1 (Drosophila)	ak023261	Class I	Cluster 5
PPP3R1	Protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)	NM_000945	Class I	Cluster 5
SMILE	SMILE protein	NM_181783	Class I	Cluster 5
RYK	RYK receptor-like tyrosine kinase	NM_002958	Class I	Cluster 5
AGA	Aspartylglucosaminidase	NM_000027	Class I	Cluster 5
RAB27A	RAB27A, member RAS oncogene family	NM_183236	Class I	Cluster 5
NXT2	Nuclear transport factor 2-like export factor 2	NM_018698	Class I	Cluster 5
FUSIP1	FUS interacting protein (serine-arginine rich) 1	NM_006625	Class I	Cluster 5
UGCG	UDP-glucose ceramide glucosyltransferase	NM_003358	Class I	Cluster 5
PHF20L1	PHD finger protein 20-like 1	ak023711	Class I	Cluster 5
PPM1B	Protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	NM_177968	Class I	Cluster 5
FUT4	Fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	NM_002033	Class I	Cluster 5
TCTE1L	T-complex-associated-testis-expressed 1-like	NM_006520	Class I	Cluster 5
DEPDC1	DEP domain containing 1	ak022792	Class I	Cluster 5
AP4E1	Adaptor-related protein complex 4, epsilon 1 subunit	NM_007347	Class I	Cluster 5
SCAMP1	Secretory carrier membrane protein 1	NM_052822	Class I	Cluster 5
USP25	Ubiquitin specific protease 25	NM_013396	Class I	Cluster 5
FLJ20152	Hypothetical protein FLJ20152	NM_019000	Class I	Cluster 5
TCF12	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	NM_003205	Class I	Cluster 5
ERO1L	ERO1-like (S. cerevisiae)	NM_014584	Class I	Cluster 5
GAS1	Growth arrest-specific 1	NM_002048	Class I	Cluster 5
LPGAT1	Lysophosphatidylglycerol acyltransferase 1	XM_375837	Class I	Cluster 5
PCM1	Pericentriolar material 1	NM_006197	Class I	Cluster 5
SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)	NM_001003652	Class I	Cluster 5
ATXN7	Ataxin 7	AK125125	Class I	Cluster 5
RICS	Rho GTPase-activating protein	AY194287	Class I	Cluster 5
KIAA1040	KIAA1040 protein	AB028963	Class I	Cluster 5
RAB18	RAB18, member RAS oncogene family	AK090947	Class I	Cluster 5
ATAD2	ATPase family, AAA domain containing 2	NM_014109	Class I	Cluster 5
SLC26A2	Solute carrier family 26 (sulfate transporter), member 2	NM_000112	Class I	Cluster 5
DLG1	Discs, large homolog 1 (Drosophila)	AL831922	Class I	Cluster 5
CNOT6L	CCR4-NOT transcription complex, subunit 6-like	AL133112	Class I	Cluster 5
MGC14798	Similar to RIKEN cDNA 5730421E18 gene	AK125017	Class I	Cluster 5
VPS4B	Vacuolar protein sorting 4B (yeast)	NM_004869	Class I	Cluster 5
TMEM30A	Transmembrane protein 30A	NM_018247	Class I	Cluster 5
ELOVL4	Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	NM_022726	Class I	Cluster 5
HSF2	Heat shock transcription factor 2	NM_004506	Class I	Cluster 5
ZCSL3	Zinc finger, CSL domain containing 3	NM_181706	Class I	Cluster 5
VAPA	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	NM_003574	Class I	Cluster 5
EPC2	Enhancer of polycomb homolog 2 (Drosophila)	NM_015630	Class I	Cluster 5
MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	NM_005587	Class I	Cluster 5
SSFA2	Sperm specific antigen 2	NM_006751	Class I	Cluster 5
CHD7	Chromodomain helicase DNA binding protein 7	ak000368	Class I	Cluster 5
SCAP2	Src family associated phosphoprotein 2	NM_003930	Class I	Cluster 5
RYK	RYK receptor-like tyrosine kinase	NM_002958	Class I	Cluster 5
PPAT	Phosphoribosyl pyrophosphate amidotransferase	NM_002703	Class I	Cluster 5
WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	NM_023034	Class I	Cluster 5
PPM1B	Protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	NM_177968	Class I	Cluster 5
PAQR3	Progestin and adipoQ receptor family member III	NM_177453	Class I	Cluster 5
DEPDC1	DEP domain containing 1	ak022792	Class I	Cluster 5
ZFPM2	Zinc finger protein, multitype 2	NM_012082	Class I	Cluster 5
SCAMP1	Secretory carrier membrane protein 1	NM_052822	Class I	Cluster 5
EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	NM_003760	Class I	Cluster 5
PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	NM_182943	Class I	Cluster 5
STAG2	Stromal antigen 2	NM_006603	Class I	Cluster 5
HS3ST3B1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	NM_006041	Class I	Cluster 5
P15RS	Hypothetical protein FLJ10656	NM_018170	Class I	Cluster 5
STX7	Syntaxin 7	NM_003569	Class I	Cluster 5
