Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
AA676460	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	KPNA2	3838	882510	1.449099	+
AI951084	diacylglycerol kinase, delta 130kDa	DGKD	8527	2548338	1.446696	-
AI668800	H2A histone family, member Z	H2AFZ	3015	2315147	1.436958	+
AA825491	interferon regulatory factor 4	IRF4	3662	1358229	1.434465	-
AA480906	protein kinase C binding protein 1	PRKCBP1	23613	814595	1.425599	-
BX118064	chromosome 3 open reading frame 6	C3orf6	152137	754455	1.420116	-
AA856556	Hs transcribed sequence with strong similarity to protein sp:P25112 (H.sapiens) RS28_HUMAN 40S ribosomal protein S28		0	1411726	1.418706	-
AA629262	polo-like kinase (Drosophila)	PLK	5347	744047	1.417967	+
W01871	maternal embryonic leucine zipper kinase	MELK	9833	327289	1.41371	+
AA282936	M-phase phosphoprotein 1	MPHOSPH1	9585	713236	1.411525	+
AA458926	osteopetrosis associated transmembrane protein 1	OSTM1	28962	814416	1.400685	+
W73443	hypothetical protein FLJ38101	FLJ38101	255919	344376	1.398559	+
