Affy metrix Identifier	Common Name	Genbank Accession	Gene Description#	Centroidscore†
209507_at	RPA3	BC005264	replication protein A3, 14kDa	-0.0805
213193_x_at	TRB@	AL559122	Homo sapiens T cell receptor beta chain BV20S1 BJ1-5 BC1 mRNA	-0.0798
218741_at	C22orf18	NM_024053	chromosome 22 open reading frame 18	-0.0773
205418_at	FES	NM_002005	feline sarcoma oncogene	0.0748
200762_at	DPYSL2	NM_001386	dihydropyrimidinase-like 2	-0.0735
241353_s_at	na	AW471181	Homo sapiens LOC378197 (LOC378197), mRNA	0.0734
201590_x_at	ANXA2	NM_004039	annexin A2	-0.0714
210142_x_at	FLOT1	AF117234	flotillin 1	-0.0698
201718_s_at	EPB41L2	BF511685	erythrocyte membrane protein band 4.1-like 2	-0.0691
210754_s_at	LYN	M79321	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	0.0675
228027_at	LOC114928	BF732712	hypothetical protein BC013576	-0.0675
219148_at	TOPK	NM_018492	T-LAK cell-originated protein kinase	-0.0651
202780_at	OXCT	NM_000436	3-oxoacid CoA transferase	-0.0642
225590_at	SH3MD2	AI686957	SH3 multiple domains 2	0.0642
227013_at	LATS2	AI535735	LATS, large tumor suppressor, homolog 2 (Drosophila)	0.0634
206364_at	KIF14	NM_014875	kinesin family member 14	-0.0611
214051_at	MGC39900	BF677486	hypothetical protein MGC39900	-0.0588
231431_s_at		AI125670	Homo sapiens, clone IMAGE:4812556, mRNA	0.0559
214450_at	CTSW	NM_001335	cathepsin W (lymphopain)	0.0529
204695_at	CDC25A	AI343459	cell division cycle 25A	-0.0516
226287_at	NY-REN-41	AI458313	NY-REN-41 antigen	-0.0500
226550_at	na	AI672159	Homo sapiens cDNA FLJ39602 fis, clone SKNSH2005061.	0.0458
202085_at	TJP2	NM_004817	tight junction protein 2 (zona occludens 2)	-0.0428
216203_at	SPTLC2	U15555	serine palmitoyltransferase, long chain base subunit 2	0.0413
218875_s_at	FBXO5	NM_012177	F-box only protein 5	-0.0410
216202_s_at	SPTLC2	U15555	serine palmitoyltransferase, long chain base subunit 2	0.0391
218618_s_at	FAD104	NM_022763	FAD104	0.0358
39248_at		4855867_RC	Cluster Incl. N74607:za55a01.s1 Homo sapiens cDNA, 3 end /clone)	-0.0340
219555_s_at	BM039	NM_018455	uncharacterized bone marrow protein BM039	-0.0335
221081_s_at	FLJ22457	NM_024901	hypothetical protein FLJ22457	-0.0320
210401_at	P2RX1	U45448	purinergic receptor P2X, ligand-gated ion channel, 1	0.0282
203467_at	PMM1	NM_002676	phosphomannomutase 1	-0.0282
204709_s_at	ANAPC7	NM_004856	anaphase-promoting complex subunit 7	-0.0243
208808_s_at	HMGB2	BC000903	high-mobility group box 2	-0.0235
202934_at	HK2	AI761561	hexokinase 2	0.0224
219837_s_at	C17	NM_018659	cytokine-like protein C17	0.0216
202954_at	UBE2C	NM_007019	ubiquitin-conjugating enzyme E2C	-0.0207
203744_at	HMGB3	NM_005342	high-mobility group box 3	-0.0176
203213_at	CDC2	AL524035	cell division cycle 2, G1 to S and G2 to M	-0.0168
223381_at	CDCA1	AF326731	cell division cycle associated 1	-0.0143
209543_s_at	CD34	M81104	CD34 antigen	0.0123
203233_at	IL4R	NM_000418	interleukin 4 receptor	-0.0082
230493_at		AW664964	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	-0.0080
224715_at	MGC20486	BG338983	hypothetical protein MGC20486	-0.0075
225723_at	C6orf129	BE794699	chromosome 6 open reading frame 129	-0.0053
226936_at		BG492359	Homo sapiens cDNA clone IMAGE:4448513, partial cds	-0.0049
227350_at	na	AI889959	Homo sapiens cDNA FLJ11381 fis, clone HEMBA1000501.	-0.0026
209179_s_at	LENG4	BC003164	leukocyte receptor cluster (LRC) member 4	0.0007
224666_at	NSE1	AF161451	non-SMC (structural maintenance of chromosomes) element 1	-0.0001
228033_at	LOC144455	AI341146	hypothetical protein BC016658	0.0000
