U133A probe set	Gene	MLL-rearranged	MLL-wild type	Fold	t statistic	P	q
219054_at	FLJ14054	303.4	2031.1	-6.7	-6.2	<0.0001	0.0012
200961_at	SEPHS2	978.9	711.1	1.4	5.9	<0.0001	0.0013
205301_s_at	OGG1	120.1	66.6	1.8	5.4	<0.0001	0.0013
215564_at	---	7.1	30.3	-4.3	-5.4	<0.0001	0.0013
218557_at	NIT2	766.3	1258	-1.6	-6	<0.0001	0.0013
221666_s_at	PYCARD	3453.3	2037.9	1.7	5.5	<0.0001	0.0013
209286_at	CDC42EP3	1358.6	519.6	2.6	5.6	<0.0001	0.0014
213119_at	SLC36A1	582.3	369.4	1.6	5.1	<0.0001	0.0014
217930_s_at	TOLLIP	413.3	304.4	1.4	4.9	<0.0001	0.0014
219790_s_at	NPR3	27.4	110.5	-4	-5.7	<0.0001	0.0014
203865_s_at	ADARB1	262.5	164.2	1.6	5.1	<0.0001	0.0014
206210_s_at	CETP	16.5	89.6	-5.4	-4.9	<0.0001	0.0014
212895_s_at	ABR	1427.2	903.4	1.6	5.4	<0.0001	0.0014
219745_at	C10orf77	324.8	222.8	1.5	5.1	<0.0001	0.0016
203760_s_at	SLA	1372.3	824.4	1.7	5.3	<0.0001	0.0017
219837_s_at	C17	138.1	996.2	-7.2	-6	<0.0001	0.0017
211341_at	POU4F1	19.1	1314.6	-69	-4.9	<0.0001	0.0018
206118_at	STAT4	229.7	400	-1.7	-5.5	<0.0001	0.0019
203570_at	LOXL1	11.8	39.6	-3.3	-4.8	<0.0001	0.0021
209575_at	IL10RB	1154.7	696.3	1.7	5.7	<0.0001	0.0022
214151_s_at	PIGB	421.2	257.1	1.6	5	<0.0001	0.0022
205582_s_at	GGTLA1	25.3	98	-3.9	-4.9	<0.0001	0.0022
218774_at	DCPS	783.4	448.3	1.7	5.3	<0.0001	0.0022
201621_at	NBL1	37.6	178.9	-4.8	-5.1	<0.0001	0.0023
212190_at	SERPINE2	230.7	502.8	-2.2	-4.8	<0.0001	0.0023
216831_s_at	CBFA2T1	6.3	77.4	-12.2	-4.6	<0.0001	0.0023
219293_s_at	PTD004	1933.6	2652.3	-1.4	-5.5	<0.0001	0.0023
209395_at	CHI3L1	15.2	116.9	-7.7	-4.7	<0.0001	0.0023
210128_s_at	LTB4R	356.2	231.6	1.5	4.9	<0.0001	0.0023
207550_at	MPL	53	472.5	-8.9	-5.6	<0.0001	0.0023
218217_at	SCPEP1	3392.6	1114.1	3	5.7	<0.0001	0.0023
208309_s_at	MALT1	334.2	199.5	1.7	4.9	<0.0001	0.0025
205996_s_at	AK2	2770.4	1414.8	2	5.9	<0.0001	0.0025
210365_at	RUNX1	279.3	597.1	-2.1	-5.2	<0.0001	0.0026
213603_s_at	RAC2	13528.7	10773.3	1.3	4.8	<0.0001	0.0026
221042_s_at	CLMN	29.3	115.7	-3.9	-5.6	<0.0001	0.0026
201162_at	IGFBP7	5490	2936.9	1.9	5.4	<0.0001	0.0027
218176_at	MAGEF1	709.3	295.5	2.4	5.8	<0.0001	0.0027
219491_at	LRFN4	227.7	160	1.4	4.8	<0.0001	0.0028
218813_s_at	SH3GLB2	409.1	258.5	1.6	4.7	<0.0001	0.0029
206341_at	IL2RA	17.9	91.6	-5.1	-4.9	<0.0001	0.0033
217028_at	CXCR4	6081.7	3502.3	1.7	5.1	<0.0001	0.0033
203010_at	STAT5A	838.9	1269.2	-1.5	-5.6	<0.0001	0.0033
203701_s_at	FLJ20244	662.8	927.9	-1.4	-5.1	<0.0001	0.0033
205317_s_at	SLC15A2	449.2	351.7	1.3	4.8	<0.0001	0.0033
206847_s_at	HOXA7	309.6	118.2	2.6	5.3	<0.0001	0.0033
221687_s_at	C9orf28	348.7	166.7	2.1	5.1	<0.0001	0.0035
213258_at	TFPI	76.8	407.9	-5.3	-5.6	<0.0001	0.0036
221628_s_at	N-PAC	154.8	105.1	1.5	4.7	<0.0001	0.0038
202933_s_at	YES1	36.5	155.8	-4.3	-5.7	<0.0001	0.004
204039_at	CEBPA	3951.7	2897.2	1.4	4.5	<0.0001	0.004
213915_at	NKG7	2885.1	1043.6	2.8	5.5	<0.0001	0.004
201191_at	PITPNA	396.2	241.2	1.6	4.8	<0.0001	0.0041
218825_at	EGFL7	195.1	975.6	-5	-5.7	<0.0001	0.0041
220416_at	ATP8B4	2429.3	1703.3	1.4	4.6	<0.0001	0.0041
200900_s_at	M6PR	1542.8	1145.1	1.3	4.6	<0.0001	0.0042
205449_at	SHD1	414.3	284	1.5	4.5	<0.0001	0.0042
217124_at	IQCE	146.6	105.2	1.4	4.6	<0.0001	0.0042
218170_at	CGI-111	304.3	476.9	-1.6	-5.1	<0.0001	0.0042
214147_at	FLJ46354	66.1	157	-2.4	-4.8	<0.0001	0.0042
218109_s_at	FLJ14153	6210.7	4183	1.5	5.3	<0.0001	0.0042
207075_at	CIAS1	642.9	393.9	1.6	4.7	<0.0001	0.0045
211722_s_at	HDAC6	110.9	84.4	1.3	4.4	<0.0001	0.0045
202897_at	PTPNS1	1629.5	864.8	1.9	5.1	<0.0001	0.0046
208885_at	LCP1	8587	5813.3	1.5	4.8	<0.0001	0.0046
209287_s_at	CDC42EP3	1073.4	468.4	2.3	5.4	<0.0001	0.0046
202370_s_at	CBFB	3428.8	2613	1.3	4.6	<0.0001	0.0046
205945_at	IL6R	1196.3	587.3	2	4.9	<0.0001	0.0046
212657_s_at	IL1RN	632.2	335.7	1.9	4.9	<0.0001	0.0046
221492_s_at	APG3L	2404.6	1477.1	1.6	5.5	<0.0001	0.0046
203741_s_at	ADCY7	859.8	462.1	1.9	4.8	<0.0001	0.0047
210548_at	CCL23	595.8	180.3	3.3	5.2	<0.0001	0.0047
211582_x_at	LST1	3153.3	2022.9	1.6	4.5	<0.0001	0.0047
221923_s_at	NPM1	1910.7	2964.2	-1.6	-5.4	<0.0001	0.0047
200761_s_at	ARL6IP5	6041	4089.5	1.5	5	<0.0001	0.0047
212811_x_at	SLC1A4	1481.4	868.4	1.7	5.2	<0.0001	0.0047
201079_at	SYNGR2	1812.6	1363	1.3	4.9	<0.0001	0.0051
216345_at	KIAA0913	13.4	30.5	-2.3	-4.7	<0.0001	0.0056
213746_s_at	FLNA	2441.9	1373.6	1.8	5	<0.0001	0.0056
216388_s_at	LTB4R	622.5	363.7	1.7	4.8	0.0001	0.0058
205407_at	RECK	174.5	117.9	1.5	4.5	0.0001	0.0058
206758_at	EDN2	22.8	55.4	-2.4	-4.5	0.0001	0.0058
215666_at	HLA-DRB4	6.5	49.8	-7.7	-4.5	0.0001	0.0058
218409_s_at	DNAJC1	1178.4	620.9	1.9	5.1	0.0001	0.0058
205244_s_at	SLC13A3	16.5	26.4	-1.6	-4.4	0.0001	0.0058
203833_s_at	TGOLN2	740.4	562.8	1.3	4.8	0.0001	0.0058
202054_s_at	ALDH3A2	573.2	251	2.3	4.8	0.0001	0.0059
218983_at	C1RL	378.1	260.7	1.5	4.4	0.0001	0.0059
202862_at	FAH	411.1	734.2	-1.8	-4.9	0.0001	0.0061
219183_s_at	PSCD4	1540.9	874.6	1.8	4.8	0.0001	0.0062
205875_s_at	TREX1	542.4	385.6	1.4	4.4	0.0001	0.0065
212076_at	MLL	479	718.1	-1.5	-5	0.0001	0.0067
205016_at	TGFA	264.2	191.9	1.4	4.4	0.0001	0.0067
206135_at	ST18	19.8	302.6	-15.3	-4.6	0.0001	0.0067
207008_at	IL8RB	160.7	73.1	2.2	4.8	0.0001	0.0067
210549_s_at	CCL23	824.8	138.3	6	5.2	0.0001	0.0067
203379_at	RPS6KA1	1509.2	1080.6	1.4	4.6	0.0001	0.0068
202932_at	YES1	57.1	230.3	-4	-5.4	0.0001	0.0068
206855_s_at	HYAL2	376.8	524.1	-1.4	-4.5	0.0001	0.0068
201281_at	ADRM1	1284.5	2025.4	-1.6	-4.4	0.0001	0.0069
204164_at	SIPA1	844.6	654.2	1.3	4.3	0.0001	0.0069
204391_x_at	TIF1	619.9	986.7	-1.6	-4.9	0.0001	0.0069
208036_at	OPN1SW	30.5	76.8	-2.5	-4.5	0.0001	0.0069
212045_at	GLG1	403	298.5	1.4	4.3	0.0001	0.0069
212080_at	MLL	616.7	1064.1	-1.7	-5.2	0.0001	0.0069
221866_at	TFEB	382.3	205.3	1.9	4.8	0.0001	0.0069
211137_s_at	ATP2C1	189.2	328.8	-1.7	-4.8	0.0001	0.0073
213566_at	RNASE6	2812.9	1203	2.3	4.6	0.0001	0.0073
200077_s_at	OAZ1	16879.1	13149.1	1.3	5	0.0001	0.0074
37005_at	NBL1	438.4	693.6	-1.6	-4.4	0.0001	0.0074
200602_at	APP	35.6	295.3	-8.3	-4.8	0.0001	0.0074
200760_s_at	ARL6IP5	3325.9	2383	1.4	4.8	0.0001	0.0074
204341_at	TRIM16	262.5	425.5	-1.6	-4.6	0.0001	0.0074
209993_at	ABCB1	86.1	225.9	-2.6	-4.9	0.0001	0.0074
215164_at	---	109.6	66.1	1.7	4.5	0.0001	0.0074
215633_x_at	LST1	2983.6	1853.2	1.6	4.4	0.0001	0.0074
217520_x_at	LOC283683	854.3	333.5	2.6	5	0.0001	0.0074
219594_at	NINJ2	597.7	452.9	1.3	4.2	0.0001	0.0074
210059_s_at	MAPK13	117.5	76.7	1.5	4.5	0.0001	0.0077
204276_at	TK2	312.6	191.6	1.6	4.6	0.0001	0.0077
215840_at	KIAA1503	31.4	67.5	-2.2	-4.6	0.0001	0.008
203913_s_at	HPGD	22.3	265	-11.9	-4.4	0.0001	0.0081
220059_at	BRDG1	135.2	503.1	-3.7	-5.1	0.0001	0.0081
205965_at	BATF	810.8	615.3	1.3	4.3	0.0001	0.0081
201944_at	HEXB	3124.8	1666.4	1.9	4.9	0.0001	0.0082
203752_s_at	JUND	6553.2	9215.5	-1.4	-4.4	0.0001	0.0082
218976_at	DNAJC12	73.2	313	-4.3	-4.7	0.0001	0.0082
210202_s_at	BIN1	41.5	157.1	-3.8	-4.7	0.0001	0.0082
206363_at	MAF	20.7	54.9	-2.6	-4.2	0.0001	0.0082
206726_at	PGDS	172.1	1292.7	-7.5	-4.7	0.0001	0.0083
214617_at	PRF1	372.2	786.9	-2.1	-4.8	0.0001	0.0083
201700_at	CCND3	4657.2	2965.5	1.6	4.7	0.0001	0.0083
204719_at	ABCA8	58.8	48.1	1.2	4.2	0.0001	0.0084
205418_at	FES	1549.6	896.9	1.7	4.6	0.0001	0.0084
209201_x_at	CXCR4	7520.5	4062.4	1.9	4.7	0.0001	0.0084
212855_at	KIAA0276	70.4	163.2	-2.3	-4.9	0.0001	0.0084
220579_at	FLJ14100	10.8	29.6	-2.7	-4.1	0.0001	0.0084
220690_s_at	DKFZp566O084	409.5	298.4	1.4	4.2	0.0001	0.0084
222222_s_at	HOMER3	427.2	137.5	3.1	4.8	0.0001	0.0084
49306_at	RASSF4	296.3	171.8	1.7	4.4	0.0001	0.0085
213159_at	PCNX	368.5	246.7	1.5	4.3	0.0001	0.0085
218473_s_at	GLT25D1	2476.7	2074.2	1.2	4.3	0.0001	0.0085
218550_s_at	LRRC20	225.6	164.5	1.4	4.3	0.0001	0.0085
216050_at	---	8.7	37.7	-4.3	-4.5	0.0001	0.0086
201192_s_at	PITPNA	694.4	497.2	1.4	4.8	0.0001	0.0086
202053_s_at	ALDH3A2	949.3	476.3	2	4.8	0.0001	0.0086
201551_s_at	LAMP1	1071.2	776.7	1.4	4.5	0.0001	0.0087
214394_x_at	---	5380.8	7353.1	-1.4	-4.6	0.0001	0.0087
214550_s_at	TNPO3	459.3	344.7	1.3	4.1	0.0001	0.0089
213370_s_at	SFMBT1	319.9	258.5	1.2	4.2	0.0001	0.0091
201906_s_at	CTDSPL	72.5	314.1	-4.3	-5	0.0001	0.0091
209610_s_at	SLC1A4	1149.9	589.2	2	4.7	0.0001	0.0091
212408_at	LAP1B	3307	2380.4	1.4	4.8	0.0001	0.0091
201048_x_at	RAB6A	204.2	158.5	1.3	4.1	0.0001	0.0091
203994_s_at	C21orf2	24.4	59.9	-2.5	-4.3	0.0001	0.0091
38241_at	BTN3A3	163.7	256	-1.6	-4.6	0.0001	0.0091
211521_s_at	PSCD4	605.6	391.7	1.5	4.5	0.0001	0.0091
201720_s_at	LAPTM5	9808.2	6901.5	1.4	4.3	0.0001	0.0092
206060_s_at	PTPN22	669.4	422.2	1.6	4.3	0.0001	0.0092
206850_at	RRP22	119.6	265.8	-2.2	-4.5	0.0001	0.0092
210067_at	AQP4	4.9	16.3	-3.3	-4.2	0.0001	0.0092
214752_x_at	FLNA	3074.1	1944.8	1.6	4.6	0.0001	0.0093
204895_x_at	MUC4	26.3	63.9	-2.4	-4.4	0.0001	0.0094
215952_s_at	OAZ1	10255.1	7313.5	1.4	4.7	0.0001	0.0094
200827_at	PLOD	594.4	393.3	1.5	4.4	0.0001	0.0095
207988_s_at	ARPC2	5387	4288.8	1.3	4.7	0.0001	0.0095
211102_s_at	LILRA2	802.3	415.3	1.9	4.4	0.0001	0.0095
210933_s_at	FSCN1	77.4	346	-4.5	-4.9	0.0001	0.0098
215273_s_at	TADA3L	985.7	594.3	1.7	4.3	0.0001	0.0098
212873_at	HA-1	2792.3	2027.2	1.4	4.5	0.0001	0.01
202996_at	POLD4	599.1	448.7	1.3	4.1	0.0001	0.0101
201163_s_at	IGFBP7	2952.3	1769	1.7	4.6	0.0002	0.0103
201564_s_at	FSCN1	112.8	461	-4.1	-4.9	0.0002	0.0103
203185_at	RASSF2	2903.8	1810	1.6	4.5	0.0002	0.0103
204468_s_at	TIE	46.2	225.5	-4.9	-4.6	0.0002	0.0103
210220_at	FZD2	341.2	267.2	1.3	4.1	0.0002	0.0103
214574_x_at	LST1	3853	2586	1.5	4.1	0.0002	0.0103
218966_at	MYO5C	487.4	1000.3	-2.1	-4.8	0.0002	0.0103
201721_s_at	LAPTM5	19579.3	15102.1	1.3	4.2	0.0002	0.0104
212003_at	DKFZp566C0424	434.7	299.8	1.4	4.2	0.0002	0.0104
220035_at	NUP210	956.8	680.7	1.4	4.2	0.0002	0.0107
205090_s_at	NAGPA	750	525.8	1.4	4.6	0.0002	0.0108
221235_s_at	---	616.2	1079.5	-1.8	-4.7	0.0002	0.011
211052_s_at	TBCD	543.3	329.3	1.6	4.3	0.0002	0.011
201582_at	SEC23B	361.2	251.7	1.4	4.2	0.0002	0.011
201251_at	PKM2	7949.8	5230.1	1.5	4.4	0.0002	0.0111
202255_s_at	SIPA1L1	43.5	165.1	-3.8	-4.5	0.0002	0.0111
212355_at	KIAA0323	882.8	749.2	1.2	4.1	0.0002	0.0111
218493_at	C16orf33	1226.3	833.2	1.5	4.4	0.0002	0.0111
220271_x_at	FLJ23588	17.2	32.3	-1.9	-4.2	0.0002	0.0111
1438_at	EPHB3	282.4	134.1	2.1	4.5	0.0002	0.0112
218262_at	FLJ22318	446.5	260.6	1.7	4.4	0.0002	0.0112
201497_x_at	MYH11	41.6	174.3	-4.2	-4	0.0002	0.0114
208807_s_at	CHD3	1360.8	1106.1	1.2	4	0.0002	0.0116
220795_s_at	KIAA1446	235.8	173.7	1.4	4.1	0.0002	0.0117
204554_at	PPP1R3D	291	205.1	1.4	4.1	0.0002	0.0119
211742_s_at	EVI2B	2985	2116.3	1.4	4.2	0.0002	0.0119
201905_s_at	CTDSPL	20.1	79.7	-4	-4.2	0.0002	0.0124
220560_at	C11orf21	2017.8	1329.3	1.5	4.2	0.0002	0.0127
201003_x_at	---	2294	1499.6	1.5	4.3	0.0002	0.0129
206278_at	PTAFR	406.8	165.2	2.5	4.4	0.0002	0.0129
210201_x_at	BIN1	430	842.9	-2	-4.7	0.0002	0.0129
211919_s_at	CXCR4	7525.1	4215.8	1.8	4.5	0.0002	0.0129
209994_s_at	ABCB1 /// ABCB4	17.4	91.2	-5.2	-4.2	0.0002	0.013
217223_s_at	BCR	360.5	636.4	-1.8	-4.4	0.0002	0.013
211395_x_at	FCGR2C	965	628.6	1.5	4.1	0.0002	0.0131
200661_at	PPGB	4966.7	3144.8	1.6	4.5	0.0002	0.0132
209611_s_at	SLC1A4	384.2	267	1.4	4.2	0.0002	0.0133
219654_at	PTPLA	241	572.4	-2.4	-4.6	0.0002	0.0133
204168_at	MGST2	1721.8	1268.4	1.4	4.1	0.0002	0.0134
203196_at	ABCC4	225.4	446.9	-2	-4.2	0.0002	0.0134
216503_s_at	MLLT10	313.6	188.6	1.7	4.2	0.0002	0.0135
201190_s_at	PITPNA	815.6	673.7	1.2	3.9	0.0002	0.0137
201434_at	TTC1	615.1	473	1.3	4	0.0002	0.0141
207782_s_at	PSEN1	1006.1	784.4	1.3	4	0.0003	0.0144
221401_at	CACNG5	32.5	83	-2.6	-4.1	0.0003	0.0144
203521_s_at	ZNF318	525.5	345.4	1.5	4.3	0.0003	0.0144
204981_at	SLC22A18	540.8	348.2	1.6	4.1	0.0003	0.0146
204497_at	ADCY9	993.6	205.8	4.8	4.4	0.0003	0.0147
209420_s_at	SMPD1	431.7	324	1.3	4	0.0003	0.0147
210859_x_at	CLN3	984.4	788.2	1.2	4	0.0003	0.0147
212750_at	PPP1R16B	44.1	127.9	-2.9	-4.3	0.0003	0.0147
212782_x_at	POLR2J	2441.5	2055.1	1.2	3.9	0.0003	0.0147
213127_s_at	MED8	428.4	360.3	1.2	3.8	0.0003	0.0147
214453_s_at	IFI44	275.9	678.3	-2.5	-4.5	0.0003	0.0147
215923_s_at	PSD4	247.2	178.9	1.4	4	0.0003	0.0147
218908_at	ASPSCR1	478	346.1	1.4	4.1	0.0003	0.0147
219551_at	EAF2	1542.4	1082.9	1.4	4.3	0.0003	0.0147
204504_s_at	HIRIP3	550.1	353.5	1.6	4.2	0.0003	0.0148
38290_at	RGS14	427.6	322.7	1.3	4	0.0003	0.0148
200728_at	ACTR2	7269.5	5018.8	1.4	4.4	0.0003	0.0148
201393_s_at	IGF2R	748.9	296.9	2.5	4.3	0.0003	0.0148
202026_at	SDHD	1129.7	863.8	1.3	4.2	0.0003	0.0148
203761_at	SLA	2435.4	1579.2	1.5	4.2	0.0003	0.0148
204971_at	CSTA	6394.1	3594.8	1.8	4.1	0.0003	0.0148
206187_at	PTGIR	126.2	423.3	-3.4	-4.4	0.0003	0.0148
211672_s_at	ARPC4	1324.8	992.5	1.3	3.9	0.0003	0.0148
212285_s_at	AGRN	304.6	591.4	-1.9	-4	0.0003	0.0148
212922_s_at	SMYD2	565.5	874.1	-1.5	-4.5	0.0003	0.0148
213539_at	CD3D	382.3	1360.6	-3.6	-4.2	0.0003	0.0148
219407_s_at	LAMC3	28.9	92.9	-3.2	-4.4	0.0003	0.0148
220591_s_at	EFHC2	182.9	322.3	-1.8	-4.1	0.0003	0.0149
210184_at	ITGAX	864.5	321.8	2.7	4.3	0.0003	0.0154
200727_s_at	ACTR2	2926.4	1659.1	1.8	4.3	0.0003	0.0154
201689_s_at	TPD52	34	114.9	-3.4	-4.2	0.0003	0.0154
202896_s_at	PTPNS1	1029.6	675.5	1.5	4.2	0.0003	0.0156
203467_at	PMM1	204.6	118.6	1.7	4.1	0.0003	0.0156
208982_at	PECAM1	4702.4	2846.1	1.7	4.2	0.0003	0.0163
204277_s_at	TK2	154.6	82.2	1.9	4.2	0.0003	0.0163
206574_s_at	PTP4A3	102.4	285.8	-2.8	-4.3	0.0003	0.0163
208270_s_at	RNPEP	2075.4	1338.8	1.6	4.4	0.0003	0.0165
203567_s_at	TRIM38	1306.9	921.4	1.4	4.1	0.0003	0.0165
207719_x_at	KAB	813.7	1192.5	-1.5	-4.3	0.0003	0.0165
209035_at	MDK	57.5	260.7	-4.5	-4.1	0.0003	0.0165
211688_x_at	KIR3DL2	22.2	39.8	-1.8	-3.9	0.0003	0.0165
219816_s_at	RBM23	1580.1	1341	1.2	4.2	0.0003	0.0166
200859_x_at	FLNA	5023	2969.7	1.7	4.3	0.0003	0.0166
209499_x_at	TNFSF13 /// TNFSF12-TNFSF13	1626.6	1274.1	1.3	3.9	0.0003	0.0166
208532_x_at	UHSKerB	41.3	64.2	-1.6	-4.1	0.0003	0.0166
218798_at	FLJ12949	366.4	276	1.3	3.9	0.0003	0.0166
207872_s_at	LILRA1	199.7	140.8	1.4	3.9	0.0003	0.0168
214215_s_at	---	38.5	92.7	-2.4	-4	0.0004	0.0172
201565_s_at	ID2	2373.5	980.2	2.4	4.3	0.0004	0.0173
216901_s_at	ZNFN1A1	221.6	144.3	1.5	3.9	0.0004	0.0173
203544_s_at	STAM	385.6	612.6	-1.6	-4.1	0.0004	0.0175
219686_at	STK32B	64.7	288.7	-4.5	-4.3	0.0004	0.0175
207270_x_at	CMRF35	805.2	488	1.7	4.1	0.0004	0.0178
200742_s_at	CLN2	6290.7	4239.7	1.5	4.2	0.0004	0.0178
212372_at	MYH10	246.2	446.6	-1.8	-3.9	0.0004	0.0178
203478_at	NDUFC1	2188.5	1646.3	1.3	3.9	0.0004	0.018
218899_s_at	BAALC	202.4	717.3	-3.5	-4.2	0.0004	0.018
201069_at	MMP2	213.8	619.5	-2.9	-4	0.0004	0.018
204203_at	CEBPG	557.6	341.6	1.6	4.2	0.0004	0.018
204960_at	PTPRCAP	418.6	1073.1	-2.6	-4.5	0.0004	0.018
203676_at	GNS	696.8	450.4	1.5	4	0.0004	0.0181
220023_at	APOB48R	790.4	425	1.9	4.2	0.0004	0.0181
209864_at	FRAT2	1132.1	674.8	1.7	4.3	0.0004	0.0182
203186_s_at	S100A4	13789.6	7193	1.9	4.2	0.0004	0.0182
204238_s_at	C6orf108	274.2	204.3	1.3	3.8	0.0004	0.0182
222294_s_at	EIF2C2	1041.9	745.1	1.4	4	0.0004	0.0182
213361_at	TDRD7	1195.3	711.9	1.7	4.1	0.0004	0.0184
201903_at	UQCRC1	2587.6	1851.6	1.4	4.1	0.0004	0.0184
202117_at	ARHGAP1	3606.1	2621	1.4	4.4	0.0004	0.0184
209652_s_at	PGF	16.8	44.2	-2.6	-3.8	0.0004	0.0184
209663_s_at	ITGA7	316.2	65.6	4.8	4.5	0.0004	0.0184
219577_s_at	ABCA7	667.8	430.9	1.5	4.2	0.0004	0.0184
221972_s_at	Cab45	690.3	519.4	1.3	3.9	0.0004	0.0185
201712_s_at	RANBP2	363.9	511.2	-1.4	-4	0.0004	0.0189
217118_s_at	C22orf9	3082.8	1860.1	1.7	4.3	0.0004	0.0189
202803_s_at	ITGB2	10357.2	6096.6	1.7	4	0.0004	0.019
204874_x_at	---	13.3	54.5	-4.1	-3.8	0.0004	0.0191
210956_at	PPYR1	129	90	1.4	3.9	0.0004	0.0191
217419_x_at	AGRN	280.8	476.8	-1.7	-4	0.0004	0.0191
221281_at	---	25.2	60.2	-2.4	-3.9	0.0004	0.0192
212771_at	C10orf38	249.9	598.7	-2.4	-3.9	0.0004	0.0192
202449_s_at	RXRA	970	500.6	1.9	4.2	0.0004	0.0193
202747_s_at	ITM2A	640.9	2792.7	-4.4	-4.3	0.0004	0.0193
218880_at	FOSL2	662.1	488.4	1.4	3.8	0.0004	0.0193
209515_s_at	RAB27A	3018.5	1968.7	1.5	4.1	0.0004	0.0197
213241_at	PLXNC1	1219.6	649.2	1.9	4.2	0.0004	0.0197
209448_at	HTATIP2	478.8	301.5	1.6	4	0.0005	0.0197
218526_s_at	RANGNRF	642.3	529.9	1.2	3.9	0.0005	0.0197
