Probe Set	Unigene acc. No.	Gene symbol	Gene	Fold Change	log2 Fold Change	std	p_value	lower cl	upper cl	Detection call
104128_at	Mm.22040	AW556797	expressed sequence AW556797	-1.57	-0.65	0.1	0.01	-0.96	-0.35	PP PPP
96340_at	Mm.29987	B230114J08Rik	RIKEN cDNA B230114J08 gene	-1.72	-0.78	0.07	0	-1.01	-0.55	PP PPP
104315_at	Mm.22413	B230365D05Rik	RIKEN cDNA B230365D05 gene	-1.74	-0.8	0.17	0.02	-1.33	-0.27	PP PPP
92243_at	Mm.211139	B930007L02Rik	RIKEN cDNA B930007L02 gene	1.33	0.41	0.05	0	0.27	0.56	PP PPP
100539_at	Mm.197523	Bach-pending	brain acyl-CoA hydrolase	1.62	0.69	0.12	0.01	0.31	1.07	PP PPP
160540_at	Mm.688	Bag1	Bcl2-associated athanogene 1	-1.53	-0.62	0.08	0	-0.88	-0.36	PP PPP
103098_at	Mm.197534	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	-1.87	-0.9	0.13	0.01	-1.31	-0.5	PP PPP
95673_s_at	Mm.29586	Basp1	brain abundant, membrane attached signal protein 1	5.66	2.5	0.11	0	2.14	2.86	PP PPP
95674_r_at	Mm.29586	Basp1	brain abundant, membrane attached signal protein 1	3.21	1.68	0.11	0	1.34	2.02	PP PPP
100949_at	Mm.6419	BC004044	cDNA sequence BC004044	-2.97	-1.57	0.16	0	-2.09	-1.05	PP PPP
103212_at	Mm.227167	BC006933	cDNA sequence BC006933	1.57	0.66	0.08	0	0.39	0.92	PP PPP
160976_at	Mm.195916	BC012974	hypothetical gene supported by BC012974	-2.81	-1.49	0.11	0	-1.84	-1.15	PP PPP
161990_f_at	Mm.195916	BC012974	hypothetical gene supported by BC012974	-1.74	-0.8	0.07	0	-1.03	-0.57	PP PPP
161698_f_at	Mm.200796	BC019977	cDNA sequence BC019977	-1.89	-0.91	0.09	0	-1.19	-0.64	PP PPP
93252_at	Mm.17	Bcap31	B-cell receptor-associated protein 31	-3.03	-1.6	0.14	0	-2.04	-1.16	PP PPP
98433_at	Mm.34384	Bid	BH3 interacting domain death agonist	1.85	0.88	0.1	0	0.58	1.19	PP PPA
101521_at	Mm.8552	Birc5	baculoviral IAP repeat-containing 5	3.11	1.64	0.22	0	0.95	2.32	PP PPA
100771_at	Mm.9749	Blnk	B-cell linker	-3.32	-1.73	0.23	0	-2.45	-1.01	PP PPP
99514_at	Mm.41881	Bmyc	brain expressed myelocytomatosis oncogene	1.83	0.87	0.12	0.01	0.48	1.26	PP PPP
93836_at	Mm.2159	Bnip3	BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3	5.38	2.43	0.11	0	2.08	2.78	PP PPA
96255_at	Mm.29820	Bnip3l	BCL2/adenovirus E1B 19kDa-interacting protein 3-like	-1.97	-0.98	0.09	0	-1.26	-0.69	PP PPP
102976_at	Mm.244975	Brca1	breast cancer 1	2.02	1.01	0.18	0.01	0.44	1.58	PP PPA
96037_at	Mm.38011	Bri3	brain protein I3	-3.88	-1.95	0.14	0	-2.4	-1.51	PP PPP
96146_at	Mm.2823	Btg3	B-cell translocation gene 3	1.39	0.48	0.06	0.01	0.27	0.68	PP PPA
104097_at	Mm.2185	Bub1	budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	3	1.59	0.13	0	1.16	2.02	PP PPA
101961_at	Mm.927	Bub3	budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)	2.31	1.21	0.09	0	0.93	1.48	PP PPP
98562_at	Mm.370	C1qa	complement component 1, q subcomponent, alpha polypeptide	2.02	1.01	0.19	0.01	0.39	1.63	PP PPP
96020_at	Mm.2570	C1qb	complement component 1, q subcomponent, beta polypeptide	2.23	1.16	0.24	0.02	0.39	1.93	PP PPP
92223_at	Mm.3453	C1qg	complement component 1, q subcomponent, gamma polypeptide	2.1	1.07	0.24	0.02	0.3	1.84	PP PPP
93454_at	Mm.681	C1qr1	complement component 1, q subcomponent, receptor 1	-6.02	-2.59	0.13	0	-2.99	-2.19	PP PPP
160683_at	Mm.137603	C330005L02Rik	RIKEN cDNA C330005L02 gene	1.63	0.71	0.12	0.01	0.34	1.08	PP PPA
104651_at	Mm.3154	C330035N22Rik	RIKEN cDNA C330035N22 gene	1.62	0.7	0.1	0.01	0.39	1	PP PPA
103707_at	Mm.2408	C3ar1	complement component 3a receptor 1	-2.18	-1.12	0.08	0	-1.37	-0.87	PP PPP
94689_at	Mm.153895	C79248	expressed sequence C79248	1.57	0.65	0.07	0	0.43	0.88	PP PPA
92988_i_at	Mm.260881	Cadps	Ca<2+>dependent activator protein for secretion	8.63	3.11	0.14	0	2.68	3.54	PP PPA
92989_f_at	Mm.260881	Cadps	Ca<2+>dependent activator protein for secretion	5.85	2.55	0.26	0	1.73	3.37	PP PPA
96522_at	Mm.34246	Calm1	calmodulin 1	-1.69	-0.76	0.08	0	-1.02	-0.49	PP PPP
93293_at	Mm.18041	Calm2	calmodulin 2	-1.9	-0.93	0.08	0	-1.17	-0.68	PP PPP
102632_at	Mm.168523	Calmbp1	calmodulin binding protein 1	1.77	0.82	0.16	0.01	0.31	1.33	PP PPA
93721_at	Mm.8687	Cap1	adenylyl cyclase-associated CAP protein homolog 1 (S. cerevisiae, S. pombe)	1.94	0.95	0.14	0.01	0.52	1.38	PP PPP
101040_at	Mm.6958	Capn2	calpain 2	-2.32	-1.21	0.17	0.01	-1.77	-0.66	PP PPP
100610_at	Mm.6534	Capns1	calpain, small subunit 1	-2.2	-1.14	0.08	0	-1.4	-0.88	PP PPP
95142_s_at	Mm.2945	Capzb	capping protein (actin filament) muscle Z-line, beta	-1.74	-0.8	0.09	0	-1.08	-0.52	PP PPP
104048_at	Mm.21505	Cars	cysteinyl-tRNA synthetase	1.59	0.67	0.07	0	0.45	0.88	PP PPP
160430_at	Mm.3476	Catnb	catenin beta	-1.79	-0.84	0.13	0.01	-1.25	-0.43	PP PPP
93546_s_at	Mm.2018	Cbfb	core binding factor beta	1.67	0.74	0.06	0	0.56	0.92	PP PPP
93547_at	Mm.2018	Cbfb	core binding factor beta	1.59	0.67	0.08	0	0.42	0.92	PP PPP
160272_at	Mm.28148	Cbx3	chromobox homolog 3 (Drosophila HP1 gamma)	2.7	1.43	0.13	0	1.01	1.86	PP PPA
95614_at	Mm.28003	Cbx5	chromobox homolog 5 (Drosophila HP1a)	2.2	1.14	0.13	0	0.74	1.54	PP PPA
102736_at	Mm.145	Ccl2	chemokine (C-C motif) ligand 2	-3.97	-1.99	0.19	0	-2.61	-1.37	PP PPP
102424_at	Mm.1282	Ccl3	chemokine (C-C motif) ligand 3	1.73	0.79	0.1	0	0.46	1.12	PP PPP
94146_at	Mm.1255	Ccl4	chemokine (C-C motif) ligand 4	2	1	0.1	0	0.68	1.31	PP PPP
104388_at	Mm.2271	Ccl9	chemokine (C-C motif) ligand 9	-3.97	-1.99	0.14	0	-2.42	-1.56	PP PPP
99186_at	Mm.4189	Ccna2	cyclin A2	2.53	1.34	0.14	0	0.9	1.78	PP PPP
160159_at	Mm.22569	Ccnb1	cyclin B1	3.14	1.65	0.14	0	1.21	2.09	AP APA
94294_at	Mm.22592	Ccnb2	cyclin B2	5.07	2.34	0.24	0	1.56	3.12	PP PPP
94231_at	Mm.22288	Ccnd1	cyclin D1	1.48	0.57	0.09	0.01	0.27	0.87	PP PPP
94232_at	Mm.22288	Ccnd1	cyclin D1	8.47	3.08	0.19	0	2.46	3.7	PP PPA
99073_at	Mm.4008	Ccnf	cyclin F	1.72	0.78	0.14	0.01	0.35	1.21	PP PPP
98478_at	Mm.3527	Ccng2	cyclin G2	1.98	0.99	0.15	0.01	0.51	1.47	PP PPP
94819_f_at	Mm.250419	Ccni	cyclin I	2.15	1.1	0.12	0	0.71	1.5	PP PPP
93295_at	Mm.1813	Cct5	chaperonin subunit 5 (epsilon)	2.42	1.28	0.1	0	0.95	1.61	PP PPP
160562_at	Mm.256510	Cct7	chaperonin subunit 7 (eta)	1.83	0.87	0.11	0	0.52	1.23	PP PPP
97312_at	Mm.28083	Cd164	CD164 antigen	-1.52	-0.6	0.09	0.01	-0.89	-0.32	PP PPP
102237_at	Mm.255003	Cd28	CD28 antigen	2.4	1.26	0.16	0	0.75	1.77	PP PPA
103005_s_at	Mm.24138	Cd44	CD44 antigen	-2.5	-1.32	0.22	0.01	-2.04	-0.6	PP PPP
103611_at	Mm.167842	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	-1.57	-0.65	0.1	0.01	-0.97	-0.32	PP PPP
103089_at	Mm.1738	Cd48	CD48 antigen	-4.01	-2	0.25	0	-2.81	-1.2	PA PAP
93637_at	Mm.779	Cd5	CD5 antigen	6.3	2.66	0.24	0	1.88	3.43	PP PPP
104606_at	Mm.24130	Cd52	CD52 antigen	2.28	1.19	0.18	0.01	0.63	1.75	PP PPP
94939_at	Mm.2692	Cd53	CD53 antigen	-2.21	-1.15	0.07	0	-1.36	-0.93	PP PPP
103016_s_at	Mm.15819	Cd68	CD68 antigen	-2.87	-1.52	0.14	0	-1.96	-1.08	PP PPP
101878_at	Mm.188157	Cd72	CD72 antigen	30.06	4.91	0.22	0	4.21	5.61	PP PPA
101495_at	Mm.806	Cd81	CD 81 antigen	4.82	2.27	0.17	0	1.74	2.8	PP PPP
97832_at	Mm.182255	Cd97	CD97 antigen	-1.91	-0.93	0.18	0.01	-1.51	-0.36	PP PPP
96319_at	Mm.29931	Cdc20	cell division cycle 20 homolog (S. cerevisiae)	2.37	1.25	0.2	0.01	0.61	1.88	PP PPP
100128_at	Mm.4761	Cdc2a	cell division cycle 2 homolog A (S. pombe)	4.51	2.17	0.15	0	1.69	2.66	PP PPP
103821_at	Mm.20912	Cdc6	cell division cycle 6 homolog (S. cerevisiae)	2.39	1.26	0.12	0	0.88	1.63	PP PPA
102804_at	Mm.14114	Ceacam1	CEA-related cell adhesion molecule 1	-2.4	-1.26	0.12	0	-1.65	-0.87	PP PPP
101908_s_at	Mm.155711	Ceacam2	CEA-related cell adhesion molecule 2	-2.66	-1.41	0.26	0.01	-2.25	-0.57	PP PPP
98447_at	Mm.34537	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	-8.42	-3.07	0.26	0	-3.91	-2.23	PP PPP
92925_at	Mm.4863	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	-3.11	-1.64	0.06	0	-1.84	-1.43	PP PPP
96606_at	Mm.27065	Chp-pending	calcium binding protein P22	-1.76	-0.81	0.16	0.02	-1.33	-0.3	PP PPP
96607_at	Mm.27065	Chp-pending	calcium binding protein P22	-1.79	-0.84	0.16	0.01	-1.36	-0.32	PP PPP
93284_at	Mm.17898	Cirbp	cold inducible RNA binding protein	-1.48	-0.56	0.08	0.01	-0.81	-0.32	PP PPP
101973_at	Mm.9524	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	2.8	1.48	0.13	0	1.07	1.9	PP PPP
104322_at	Mm.22448	Ckap2	cytoskeleton associated protein 2	1.83	0.87	0.11	0	0.51	1.24	PP PPA
93126_at	Mm.16831	Ckb	creatine kinase, brain	2.28	1.19	0.11	0	0.83	1.55	PP PPP
160312_at	Mm.28858	Cklfsf6	chemokine-like factor super family 6	-1.5	-0.58	0.09	0.01	-0.87	-0.3	AP APP
98492_at	Mm.35600	Cklfsf7	chemokine-like factor super family 7	-1.53	-0.61	0.07	0	-0.83	-0.39	PP PPP
97468_at	Mm.3049	Cks1	CDC28 protein kinase 1	3.45	1.79	0.15	0	1.3	2.27	PP PPA
97527_at	Mm.326	Cks2	CDC28 protein kinase regulatory subunit 2	2.89	1.53	0.12	0	1.16	1.9	PP PPA
102786_at	Mm.28842	Clcn3	chloride channel 3	1.55	0.64	0.1	0.01	0.32	0.96	PP PPA
95951_at	Mm.24920	Clecsf8	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 8	-2.51	-1.33	0.13	0	-1.75	-0.9	PP PPP
94254_at	Mm.22409	Clic4	chloride intracellular channel 4 (mitochondrial)	2.12	1.09	0.13	0	0.66	1.51	PP PPP
94255_g_at	Mm.22409	Clic4	chloride intracellular channel 4 (mitochondrial)	3.1	1.63	0.13	0	1.21	2.06	PP PPP
93595_at	Mm.20837	Cln2	ceroid-lipofuscinosis, neuronal 2	-1.96	-0.97	0.07	0	-1.18	-0.77	PP PPP
100579_s_at	Mm.198817	Clta	clathrin, light polypeptide (Lca)	-1.7	-0.76	0.13	0.01	-1.17	-0.35	PP PPP
160349_at	Mm.29646	Cn2-pending	cytosolic nonspecific dipeptidase	-2.58	-1.37	0.11	0	-1.72	-1.02	PP PPP
162081_f_at	Mm.29646	Cn2-pending	cytosolic nonspecific dipeptidase	-2.11	-1.08	0.16	0.01	-1.6	-0.56	PP PPP
101088_f_at	Mm.7335	Cnbp	cellular nucleic acid binding protein	1.88	0.91	0.1	0	0.6	1.21	PP PPP
101086_f_at	Mm.7335	Cnbp	cellular nucleic acid binding protein	1.75	0.8	0.08	0	0.56	1.05	PP PPP
97528_at	Mm.3261	Cnih	cornichon homolog (Drosophila)	-1.57	-0.65	0.12	0.01	-1.04	-0.27	PP PPP
94004_at	Mm.21776	Cnn2	calponin 2	-1.78	-0.84	0.12	0.01	-1.22	-0.45	PP PPP
96307_s_at	Mm.190641	Col25a1	collagen, type XXV, alpha 1	1.83	0.87	0.09	0	0.57	1.16	PP PPP
98535_at	Mm.35853	Comt	catechol-O-methyltransferase	-1.88	-0.91	0.12	0.01	-1.3	-0.51	PP PPP
101976_at	Mm.957	Cops4	COP9 (constitutive photomorphogenic) homolog, subunit 4 (Arabidopsis thaliana)	1.49	0.57	0.09	0.01	0.29	0.86	PP PPA
96648_at	Mm.27317	Coro1a	coronin, actin binding protein 1A	2.86	1.52	0.09	0	1.23	1.81	PP PPP
98928_at	Mm.28652	Coro1b	coronin, actin binding protein 1B	-1.77	-0.82	0.1	0	-1.13	-0.51	PP PPP
98107_at	Mm.200372	Coro1c	coronin, actin binding protein 1C	-3.08	-1.62	0.11	0	-1.98	-1.27	PP PPP
100550_f_at	Mm.548	Cox6c	cytochrome c oxidase, subunit VIc	1.52	0.6	0.1	0.01	0.27	0.93	PP PPP
94506_at	Mm.28961	Cpsf5	cleavage and polyadenylation specific factor 5	1.7	0.76	0.13	0.01	0.34	1.19	AP APA
93320_at	Mm.18522	Cpt1a	carnitine palmitoyltransferase 1, liver	-4.23	-2.08	0.18	0	-2.64	-1.52	PP PPP
99191_at	Mm.44244	Cri1	CREBBP/EP300 inhibitory protein 1	7.73	2.95	0.07	0	2.72	3.18	PP PPP
94061_at	Mm.22049	Crip1	cysteine-rich protein 1 (intestinal)	-10.04	-3.33	0.09	0	-3.63	-3.03	PP PPP
104354_at	Mm.22574	Csf1r	colony stimulating factor 1 receptor	2.51	1.33	0.11	0	0.97	1.68	PP PPP
99330_at	Mm.255931	Csf2ra	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	-2.73	-1.45	0.13	0	-1.88	-1.03	PP PPP
103210_at	Mm.1940	Csf2rb2	colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)	-3.45	-1.79	0.21	0	-2.45	-1.13	PP PPP
101845_s_at	Mm.248553	Csprs	component of Sp100-rs	2.51	1.33	0.21	0.01	0.66	2	PP PPA
160065_s_at	Mm.196484	Csrp1	cysteine and glycine-rich protein 1	1.99	0.99	0.14	0.01	0.55	1.43	PP PPP
92608_at	Mm.196484	Csrp1	cysteine and glycine-rich protein 1	1.77	0.83	0.14	0.01	0.37	1.28	PP PPP
161522_i_at	Mm.4263	Cst3	cystatin C	-1.84	-0.88	0.06	0	-1.07	-0.69	PP PPP
100581_at	Mm.6095	Cstb	cystatin B	-5.32	-2.41	0.09	0	-2.68	-2.14	PP PPP
95608_at	Mm.22753	Ctsb	cathepsin B	-12.3	-3.62	0.21	0	-4.27	-2.97	PP PPP
94831_at	Mm.22753	Ctsb	cathepsin B	-3.94	-1.98	0.06	0	-2.17	-1.78	PP PPP
101019_at	Mm.684	Ctsc	cathepsin C	-1.59	-0.67	0.13	0.01	-1.08	-0.27	PP PPP
93810_at	Mm.231395	Ctsd	cathepsin D	-4.33	-2.11	0.14	0	-2.56	-1.67	PP PPP
94834_at	Mm.2277	Ctsh	cathepsin H	-2.51	-1.33	0.13	0	-1.75	-0.91	PP PPP
160406_at	Mm.272085	Ctsk	cathepsin K	-3.81	-1.93	0.2	0	-2.56	-1.3	PP PPP
101963_at	Mm.930	Ctsl	cathepsin L	-13.54	-3.76	0.13	0	-4.19	-3.33	PP PPP
98543_at	Mm.3619	Ctss	cathepsin S	-4.44	-2.15	0.07	0	-2.39	-1.91	PP PPP
92633_at	Mm.156919	Ctsz	cathepsin Z	-1.81	-0.86	0.11	0	-1.2	-0.52	PP PPP
100059_at	Mm.448	Cyba	cytochrome b-245, alpha polypeptide	-2.45	-1.29	0.07	0	-1.51	-1.07	PP PPP
100300_at	Mm.200362	Cybb	cytochrome b-245, beta polypeptide	-2.37	-1.25	0.14	0	-1.7	-0.79	PP PPP
94256_at	Mm.257765	D0Jmb3	DNA segment, Jeremy M. Boss 3	3.21	1.68	0.05	0	1.53	1.84	PP PPP
