Clone ID	GenBank	UniGene	Symbol	Name	Entrez	Log Fold Change (BCR/ABL Positive/Negative)	q-value
51476	H22820	Hs.141120	KLF8	Kruppel-like factor 8	11279	1.21479727	0
591864	AA158396	Hs.1802	HLA-DOB	Major histocompatibility complex, class II, DO beta	3112	1.25071543	0
455123	AA676805	Hs.336994	MTSS1	Metastasis suppressor 1	9788	1.9834658	0
813254	AA455910	Hs.482562	F2R	Coagulation factor II (thrombin) receptor	2149	1.24327496	0
300632	N80769	Hs.435621	ROBO3	Roundabout, axon guidance receptor, homolog 3 (Drosophila)	64221	1.4127346	0
110746	T83098	Hs.188528	ADD2	Adducin 2 (beta)	119	-1.21175688	0
774751	AA442095	Hs.1565	NEDD4	Neural precursor cell expressed, developmentally down-regulated 4	4734	0.9931964	0
1322596	AA746038	Hs.287710	GPR110	G protein-coupled receptor 110	266977	1.8784749	0
897642	AA496785	Hs.431048	ABL1	V-abl Abelson murine leukemia viral oncogene homolog 1	25	1.34942756	0
417361	W88447	Hs.59106	CGRRF1	Cell growth regulator with ring finger domain 1	10668	1.2510652	0
526657	AA128607	Hs.584806	TCEB3	Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	6924	2.0824802	0
785913	AA449657	Hs.213087	ODZ4	Odz, odd Oz/ten-m homolog 4 (Drosophila)	26011	0.91697706	0
296679	N74018	Hs.113684	HSPD1	Cadherin 12, type 2 (N-cadherin 2)	3329	0.66823531	0
51460	H20847	Hs.22587	SSX2IP	Synovial sarcoma, X breakpoint 2 interacting protein	117178	-0.86837831	0
392624	AA708299	Hs.112143	FBXL17	F-box and leucine-rich repeat protein 17	64839	1.09999996	0
258860	N30205	Hs.555872	HLA-DQA1	Major histocompatibility complex, class II, DQ alpha 1	3117	1.9538314	0
786265	AA451844	Hs.501928	MICAL2	Microtubule associated monoxygenase, calponin and LIM domain containing 2	9645	-1.43049298	0
142134	R69153	Hs.102336	ARHGAP8	Rho GTPase activating protein 8	23779	-1.38906204	0
115143	T86708	Hs.443948	SLC4A1	Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	6521	-1.41796505	0
186785	AI820825	Hs.416043	FLJ35024	Hypothetical LOC401491	401491	-1.38605732	0
29828	R42331	Hs.507916	TSC22D1	TSC22 domain family, member 1	8848	1.14707472	0
950926	AA608730	Hs.378532	HBS1L	HBS1-like (S. cerevisiae)	10767	1.00825998	0
770878	AA434395	Hs.27935	TTYH2	Tweety homolog 2 (Drosophila)	94015	1.57203514	0
666110	AA193671	Hs.479451	CENTD1	Centaurin, delta 1	116984	0.76643882	0
344134	W73587	Hs.348935	IGLL1	Immunoglobulin lambda-like polypeptide 1	3543	-1.4658506	0
811139	AA485739	Hs.534322	HLA-DRB5	Major histocompatibility complex, class II, DR beta 5	3127	1.1372655	0
769028	AA426311	Hs.438	MEOX1	Mesenchyme homeobox 1	4222	1.444388	0
320606	W31391	Hs.50382	TJP2	Tight junction protein 2 (zona occludens 2)	9414	1.0131934	0
868630	AA664389	Hs.507916	TSC22D1	TSC22 domain family, member 1	8848	1.15419713	0
785542	AA450335	Hs.368307	NRXN3	Neurexin 3	9369	0.99505573	0
309246	N93865	Hs.175437	EPB41	Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	2035	-1.1650556	0
1554469	AA931528	Hs.546502	BTNL9	Butyrophilin-like 9	153579	0.94399046	0
289264	N68993	Hs.469879	FLJ10006	Hypothetical protein LOC55677	55677	1.2540859	0
417867	W90128	Hs.437638	XBP1	X-box binding protein 1	7494	0.95608894	0
310894	W19329	Hs.102336	ARHGAP8	Rho GTPase activating protein 8	23779	-1.31377457	0
240062	H82236	Hs.101307	SLC14A1	Solute carrier family 14 (urea transporter), member 1 (Kidd blood group)	6563	-1.35238477	0
346117	W72748	Hs.386567	GBP2	Guanylate binding protein 2, interferon-inducible	2634	0.82368838	0
681917	AA256132	Hs.478673	IL1RAP	Interleukin 1 receptor accessory protein	3556	1.36511928	0
139540	R64600	Hs.520259	OSBPL3	Oxysterol binding protein-like 3	26031	0.84087444	0
292272	N80653	Hs.80720	GAB1	GRB2-associated binding protein 1	2549	1.43168514	0
233199	H75760	NA	NA	NA	NA	1.13602936	0
257329	N29639	Hs.484918	CMAH	Cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	8418	1.04647054	0
199624	R96595	Hs.80720	GAB1	GRB2-associated binding protein 1	2549	1.62384733	0
178569	H49053	Hs.558435	SLC9A3R2	Solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2	9351	1.10712237	0
590120	AA156022	Hs.524121	ROBO4	Roundabout homolog 4, magic roundabout (Drosophila)	54538	1.31675677	0
41843	R52682	Hs.14945	ACSL6	Acyl-CoA synthetase long-chain family member 6	23305	-0.94001782	0
774409	AA446108	Hs.76753	ENG	Endoglin (Osler-Rendu-Weber syndrome 1)	2022	1.16429257	0
868652	AA664406	Hs.534847	C4A	Complement component 4B (Childo blood group)	720	0.96484887	0
345872	W73883	Hs.530077	PON2	Paraoxonase 2	5445	0.9501907	0
190732	H38650	Hs.530003	SLC2A5	Solute carrier family 2 (facilitated glucose/fructose transporter), member 5	6518	1.6135293	0
193139	H47315	Hs.80720	GAB1	GRB2-associated binding protein 1	2549	1.6557869	0
51363	H22699	Hs.79015	CD200	CD200 antigen	4345	1.41472174	0
50265	H17462	Hs.23079	R7BP	R7 binding protein	401190	0.97168832	0
841251	AA486823	Hs.456572	NADK	NAD kinase	65220	1.08667729	0
773639	AA431886	Hs.7367	BTBD6	BTB (POZ) domain containing 6	90135	-0.80205084	0
52927	H29250	Hs.533446	BAALC	Brain and acute leukemia, cytoplasmic	79870	2.59273644	0
71312	T47624	Hs.108049	UACA	Uveal autoantigen with coiled-coil domains and ankyrin repeats	55075	1.27082668	0
358640	W96443	Hs.134602	TTN	Titin	7273	1.0829412	0
292699	N80475	Hs.491558	ANK1	Ankyrin 1, erythrocytic	286	-2.13814185	0
684738	AA251417	Hs.136247	PTPLAD2	Protein tyrosine phosphatase-like A domain containing 2	401494	0.90177357	0
703738	AA278767	Hs.347270	HLA-DPA1	Major histocompatibility complex, class II, DP alpha 1	3113	1.53154227	0
452466	AA704802	Hs.26229	NLGN2	Neuroligin 2	57555	-1.21310015	0
1505534	AA910443	Hs.235935	NOV	Nephroblastoma overexpressed gene	4856	1.47001578	0
1607862	AA991241	Hs.495511	EHMT1	Euchromatic histone-lysine N-methyltransferase 1	79813	0.76703917	0
416061	W85766	Hs.80720	GAB1	GRB2-associated binding protein 1	2549	1.6364386	0
1517171	AA903183	Hs.231367	IL2RA	Interleukin 2 receptor, alpha	3559	2.5948986	0
1475648	AA872006	Hs.134602	TTN	Titin	7273	0.99820345	0
683059	AA213816	Hs.369574	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	10602	1.5994595	0
1466416	AA885470	Hs.24583	GRAMD1C	GRAM domain containing 1C	54762	1.06473762	0
211181	H67661	Hs.429294	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	19	-1.09649617	0
186767	H50622	Hs.520049	HLA-DRB1	Major histocompatibility complex, class II, DR beta 3	3123	1.25871223	0
898045	AA598952	Hs.105468	GIMAP6	GTPase, IMAP family member 6	474344	1.25174898	0
855557	AA664210	Hs.472831	PKIG	Protein kinase (cAMP-dependent, catalytic) inhibitor gamma	11142	-1.3748012	0
451121	AA704537	Hs.102798	PSMA1	Proteasome (prosome, macropain) subunit, alpha type, 1	5682	-1.27812123	0
1471821	AA873339	Hs.519029	FBXW7	F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)	55294	1.5857711	0
50877	H18423	Hs.407693	LOC91316	Similar to bK246H3.1 (immunoglobulin lambda-like polypeptide 1, pre-B-cell specific)	91316	-0.95305254	0
263916	H99855	Hs.554083	NA	Transcribed locus	NA	0.73639116	0
824870	AA488875	Hs.59332	SPRED2	Sprouty-related, EVH1 domain containing 2	200734	0.72899844	0
1055719	AA628128	Hs.137270	ARMC3	Armadillo repeat containing 3	219681	1.27009552	0
460610	AA700443	Hs.156967	SEMA6A	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	57556	1.4663591	0
860008	AA663476	Hs.301613	JTV1	JTV1 gene	7965	-0.78875994	0
506143	AA708955	Hs.134665	SCHIP1	Schwannomin interacting protein 1	29970	2.1766774	0
1292444	AA718915	Hs.121735	NA	Transcribed locus	NA	0.85878788	0
190137	H30286	Hs.190548	BRWD1	Bromodomain and WD repeat domain containing 1	54014	1.13284582	0
1460898	AA889835	Hs.122061	STARD9	START domain containing 9	57519	-0.8245786	0
1635315	AI017405	Hs.523899	KCNE3	Potassium voltage-gated channel, Isk-related family, member 3	10008	1.4118792	0
1435156	AA858090	Hs.369646	MUC4	Mucin 4, tracheobronchial	4585	1.06650003	0
289794	N59295	Hs.269941	RASSF8	Fukutin related protein	11228	1.09761433	0
240859	H80878	Hs.80720	GAB1	GRB2-associated binding protein 1	2549	1.05806041	0
856592	AA669218	Hs.378532	HBS1L	HBS1-like (S. cerevisiae)	10767	1.0010334	0
684842	AA251733	Hs.519029	FBXW7	F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)	55294	1.808936	0
325014	W48629	Hs.428027	PBX3	Pre-B-cell leukemia transcription factor 3	5090	1.1664706	0
435314	AA699919	Hs.522666	ALAS2	Aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)	212	-2.57809225	0
322192	W37779	Hs.518727	FLJ20273	RNA-binding protein	54502	1.34392164	0
344919	W72853	Hs.414473	TMEM63B	Transmembrane protein 63B	55362	-0.82662957	0
455256	AA677563	Hs.532683	GLRX5	Glutaredoxin 5 homolog (S. cerevisiae)	51218	-1.04141492	0
41332	R58958	Hs.26608	C20orf100	Chromosome 20 open reading frame 100	84969	-1.2847059	0
506011	AA708438	Hs.513885	MGC88387	Similar to HSPC296	400569	0.67823537	0
132220	R26393	Hs.124136	LOC151760	Hypothetical LOC151760	151760	0.9464583	0
855698	AA663927	Hs.351874	HLA-DOA	Major histocompatibility complex, class II, DO alpha	3111	1.4916216	0
858435	AA773987	Hs.432401	PRIMA1	Proline rich membrane anchor 1	145270	1.09670618	0
289016	N62729	Hs.16064	CNKSR3	CNKSR family member 3	154043	2.1317805	0
448286	AA777327	Hs.491558	ANK1	Ankyrin 1, erythrocytic	286	-1.17308435	0
448782	AA777567	Hs.372578	LOC200230	Similar to KIAA0386	200230	-1.6720987	0
1500241	AA886758	Hs.518662	C1orf24	Chromosome 1 open reading frame 24	116496	0.95187513	0
488505	AA047399	Hs.540696	SLC6A8	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8	6535	-1.43041334	0
591381	AA158584	Hs.440961	CAST	Calpastatin	831	1.25429252	0
298899	W01896	Hs.386567	GBP2	Guanylate binding protein 2, interferon-inducible	2634	1.20569157	0
1628443	AA994053	Hs.539581	NA	Transcribed locus	NA	0.95902389	0
898117	AA598485	Hs.531085	TBX2	T-box 2	6909	-2.0143562	0
132250	R26405	Hs.406074	PAWR	PRKC, apoptosis, WT1, regulator	5074	1.0378595	0
38009	R59313	Hs.407903		MRNA; cDNA DKFZp586B0220 (from clone DKFZp586B0220)	NA	1.6929165	0
1584536	AA972337	Hs.406074	PAWR	PRKC, apoptosis, WT1, regulator	5074	0.74454684	0
1630676	AA984805	NA	NA	NA	NA	1.4033386	0
855258	AA630549	NA	NA	NA	NA	1.49728138	0
726911	AA398237	Hs.507916	TSC22D1	TSC22 domain family, member 1	8848	1.09736083	0
272179	N31491	Hs.436505	GCC2	GRIP and coiled-coil domain containing 2	9648	1.64046106	0
143949	R76862	Hs.369201	GAS6	Growth arrest-specific 6	2621	1.19510347	0
50713	H17655	Hs.18564	ZSWIM6	Zinc finger, SWIM-type containing 6	57688	0.77901431	0
1518592	AA903496	Hs.231367	IL2RA	Interleukin 2 receptor, alpha	3559	1.85626387	0
841682	AA487577	Hs.533446	BAALC	Brain and acute leukemia, cytoplasmic	79870	2.09340224	0
1639456	AI025173	Hs.161358	NA	Transcribed locus, weakly similar to XP_372160.1 PREDICTED: similar to LPAL6438 [Homo sapiens]	NA	-1.45231616	0
1540436	AA927187	Hs.493512	RAB27A	RAB27A, member RAS oncogene family	5873	0.70354528	0
248829	H80736	Hs.102267	LOX	Lysyl oxidase	4015	1.24349678	0
1500416	AA885869	Hs.29189	ATP11A	ATPase, Class VI, type 11A	23250	0.96556446	0
1685029	AI003293	Hs.378532	HBS1L	HBS1-like (S. cerevisiae)	10767	0.92096975	0
208969	H63389	Hs.334846	PVRL1	Hypothetical protein MGC16207	5818	-1.18554842	0
461769	AA682402	Hs.534322	HLA-DRB5	Major histocompatibility complex, class II, DR beta 5	3127	1.2006518	0
506165	AA708976	Hs.369574	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	10602	1.2500794	0
1899701	AI266713	Hs.471221	KLF7	Kruppel-like factor 7 (ubiquitous)	8609	0.75937253	0
1893765	AI280246	Hs.149504	NA	Transcribed locus	NA	1.70015904	0
1891605	AI287569	Hs.380710	MMP28	Matrix metallopeptidase 28	79148	1.5076035	0
1908679	AI301070	Hs.436054	NA	Transcribed locus, moderately similar to XP_498087.1 PREDICTED: similar to MHC HLA-SX-alpha [Homo sapiens]	NA	0.9395946	0
2306765	AI651730	Hs.514718	C18orf43	Chromosome 18 open reading frame 43	10650	-0.94505563	0
1755369	AI201184	Hs.147361	GRM5	Glutamate receptor, metabotropic 5	2915	-0.67291673	0
2273362	AI630967	Hs.407903	NA	MRNA; cDNA DKFZp586B0220 (from clone DKFZp586B0220)	NA	0.91515104	0
592781	AA158236	Hs.456572	NADK	NAD kinase	65220	1.3027027	0
1883186	AI214586	Hs.555872	HLA-DQA1	Major histocompatibility complex, class II, DQ alpha 1	3117	2.0831001	0
2436724	AI860008	Hs.168132	IL15	Interleukin 15	3600	0.83939582	0
2437737	AI884498	Hs.369646	MUC4	Mucin 4, tracheobronchial	4585	1.69142868	0
2430517	AI870374	Hs.45231	LDOC1	Leucine zipper, down-regulated in cancer 1	23641	-1.10389502	0
2449758	AI923692	Hs.567246	CHES1	Checkpoint suppressor 1	1112	1.51494434	0
2443695	AI890760	Hs.520049	HLA-DRB1	Major histocompatibility complex, class II, DR beta 3	3123	1.53990195	0
2248902	AI686016	Hs.80720	GAB1	GRB2-associated binding protein 1	2549	1.51442564	0
2502789	AW008840	Hs.235935	NOV	Nephroblastoma overexpressed gene	4856	2.02674086	0
2460524	AI926989	Hs.469398	MGC42367	Similar to 2010300C02Rik protein	343990	-1.21168057	0
2466969	AI936717	Hs.475963	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	10217	1.32109705	0
2448698	AI923787	Hs.567285	HLA-DRB6	Major histocompatibility complex, class II, DR beta 6 (pseudogene)	3128	1.43570748	0
2219980	AI798238	Hs.166168	P2RY11	Purinergic receptor P2Y, G-protein coupled, 11	5032	-1.05505567	0
626343	AA188563	Hs.257761	SH3BP5	SH3-domain binding protein 5 (BTK-associated)	9467	1.82637515	0
782277	AA431749	Hs.191539	GOPC	Golgi associated PDZ and coiled-coil motif containing	57120	1.00677355	0
759865	AA423867	Hs.268107	MMRN1	Multimerin 1	22915	1.19165352	0.02986101
842906	AA486430	Hs.520205	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1	27102	-0.63093795	0.02986101
129725	R16902	Hs.479396	RBPSUH	Recombining binding protein suppressor of hairless (Drosophila)	3516	-1.20947532	0.02986101
795349	AA453261	Hs.524340	NA	Transcribed locus	NA	-0.88678097	0.02986101
76169	T59658	Hs.162963	ANTXR2	Anthrax toxin receptor 2	118429	1.03607318	0.02986101
841328	AA487425	Hs.152774	TRAK2	Trafficking protein, kinesin binding 2	66008	-0.7848331	0.02986101
588915	AA157813	Hs.532634	IFI27	Interferon, alpha-inducible protein 27	3429	-1.9663274	0.02986101
221172	H91826	Hs.390567	FYN	FYN oncogene related to SRC, FGR, YES	2534	0.51651825	0.02986101
754311	AA479302	Hs.413434	SLC39A10	Solute carrier family 39 (zinc transporter), member 10	57181	0.68277786	0.02986101
785910	AA449644	Hs.533770	SLC38A1	Solute carrier family 38, member 1	81539	1.21262316	0.02986101
898253	AA598676	Hs.79088	RCN2	Reticulocalbin 2, EF-hand calcium binding domain	5955	0.73262323	0.02986101
486787	AA043227	Hs.483454	CNN3	Calponin 3, acidic	1266	1.174706	0.02986101
146605	R79948	Hs.99855	FPRL1	Formyl peptide receptor-like 1	2358	0.90320837	0.02986101
1456405	AA862985	Hs.470126	KYNU	Kynureninase (L-kynurenine hydrolase)	8942	0.72127194	0.02986101
294535	N71028	Hs.523702	MS4A6A	Membrane-spanning 4-domains, subfamily A, member 6A	64231	1.3613334	0.02986101
1386241	AA847335	Hs.373857	KLF12	Kruppel-like factor 12	11278	-0.70647052	0.02986101
782140	AA431179	Hs.494556	SLC35D2	Solute carrier family 35, member D2	11046	0.88128768	0.02986101
810603	AA464028	Hs.520494	C1orf198	Chromosome 1 open reading frame 198	84886	-0.8227186	0.02986101
1011266	AA229275	Hs.20573	IGF1R	Insulin-like growth factor 1 receptor	3480	-0.75464056	0.02986101
375827	AA040215	Hs.43666	PTP4A3	Protein tyrosine phosphatase type IVA, member 3	11156	1.40344984	0.02986101
1155191	AA780897	Hs.211463	DNM2	Dynamin 2	1785	-1.46310005	0.02986101
897587	AA496841	Hs.501106	KIAA1914	KIAA1914	84632	0.72359299	0.02986101
359040	W92138	Hs.424156	IRX1	Iroquois homeobox protein 1	79192	-1.5958664	0.02986101
302188	N77806	Hs.5025	NEBL	Nebulette	10529	0.96730399	0.02986101
682064	AA255758	Hs.271876	C8orf70	Chromosome 8 open reading frame 70	51101	-0.92387918	0.02986101
812197	AA455422	Hs.160373	KIAA1383	KIAA1383	54627	0.70764703	0.02986101
294281	N64426	Hs.505601	SEC14L3	SEC14-like 3 (S. cerevisiae)	266629	-1.48474262	0.02986101
665398	AA194973	Hs.482269	IPO11	Importin 11	51194	0.9953419	0.02986101
188371	AI820817	Hs.141120	KLF8	Kruppel-like factor 8	11279	1.56860795	0.02986101
626544	AA187977	Hs.481720	MYO10	Myosin X	4651	1.0096821	0.02986101
80692	T57834	Hs.590175	NA	Transcribed locus	NA	-1.1030205	0.02986101
344588	W73140	Hs.50915	KLK5	Kallikrein 5	25818	1.10399043	0.02986101
296757	N70285	Hs.434973	GYPA	Glycophorin A (MNS blood group)	2993	-2.1528715	0.02986101
770957	AA428170	Hs.335034	DPYD	Dihydropyrimidine dehydrogenase	1806	0.8947536	0.02986101
201264	R99311	Hs.501735	STIM1	Stromal interaction molecule 1	6786	-1.7252939	0.02986101
80109	T63324	Hs.387679	HLA-DQA1	Major histocompatibility complex, class II, DQ alpha 1	3117	1.8260254	0.02986101
117546	AI820563	Hs.584836	ITGBL1	Integrin, beta-like 1 (with EGF-like repeat domains)	9358	-1.1648331	0.02986101
182627	AI668627	Hs.416043	FLJ35024	Hypothetical LOC401491	401491	-0.831717	0.02986101
325024	AA284236	Hs.414473	TMEM63B	Transmembrane protein 63B	55362	-0.85178065	0.02986101
202658	H53479	Hs.253594	TRPS1	Trichorhinophalangeal syndrome I	7227	-0.96270267	0.02986101
768448	AA495917	Hs.26714	JPH4	Junctophilin 4	84502	0.84230396	0.02986101
143310	R74171	Hs.7972	RUFY3	Unknown	22902	1.122973	0.02986101
753213	AA406363	Hs.30822	GIMAP4	GTPase, IMAP family member 4	55303	0.99352927	0.02986101
741880	AA401304	Hs.493096	PBX1	Pre-B-cell leukemia transcription factor 1	5087	-0.7025437	0.02986101
261714	H98822	Hs.127519	ALS2CR2	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2	55437	-1.33860095	0.02986101
784168	AA432103	Hs.480311	PDLIM5	PDZ and LIM domain 5	10611	1.047631	0.02986101
34637	R25016	Hs.355307	TNFRSF7	TAP binding protein-like	939	1.44980355	0.02986101
1670787	AI073992	Hs.444414	AFF3	AF4/FMR2 family, member 3	3899	-1.05057228	0.02986101
324513	W51909	Hs.40098	GREM1	Gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	26585	0.75960251	0.02986101
214450	H73587	Hs.494614	BAT2D1	BAT2 domain containing 1	23215	-1.97670917	0.02986101
878571	AA775249	Hs.513633	GPR56	G protein-coupled receptor 56	9289	1.16152622	0.02986101
452320	AA704777	Hs.122514	SLC25A37	Solute carrier family 25, member 37	51312	-1.84545305	0.02986101
206160	H61078	Hs.507336	CHFR	Checkpoint with forkhead and ring finger domains	55743	-1.9776788	0.02986101
212749	H69676	Hs.496572	RP13-360B22.2	Chromosome 10 open reading frame 10	84187	-1.91909376	0.02986101
868815	AA775212	Hs.476706	SSBP3	Single stranded DNA binding protein 3	23648	-0.89648643	0.02986101
278540	N62825	Hs.335239	ANKRD28	Ankyrin repeat domain 28	23243	0.8724183	0.02986101
417784	W89114	Hs.567384	PSTPIP2	Proline-serine-threonine phosphatase interacting protein 2	9050	0.95584473	0.02986101
208063	H62559	Hs.512001	GPLD1	Glycosylphosphatidylinositol specific phospholipase D1	2822	-2.1544039	0.02986101
212258	H69291	Hs.445652	TRA2A	Transformer-2 alpha	29896	-1.3254053	0.02986101
1552481	AA927372	Hs.304475	LCP2	Lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	3937	0.71079488	0.02986101
433538	AA700644	Hs.91147	NA	Transcribed locus, strongly similar to XP_530679.1 PREDICTED: hypothetical protein XP_530679 [Pan troglodytes]		-0.92347219	0.02986101
320393	W16836	Hs.387679	HLA-DQA1	Major histocompatibility complex, class II, DQ alpha 1	3117	1.14032108	0.02986101
346000	NA	NA	NA	NA	NA	-0.77756754	0.02986101
1589468	AA975768	Hs.436298	EMP1	Epithelial membrane protein 1	2012	1.57370418	0.02986101
134713	R28068	NA	NA	NA	NA	-0.77442564	0.02986101
1517515	AA903062	Hs.505983	NA	CDNA FLJ31578 fis, clone NT2RI2001952	NA	0.66910968	0.02986101
814899	AA465697	Hs.131226	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	665	-1.25405397	0.02986101
2010684	AI360840	Hs.153026	SWAP70	SWAP-70 protein	23075	0.79798093	0.02986101
1673872	AI056539	Hs.403857	LY9	Lymphocyte antigen 9	4063	-1.07112874	0.02986101
1618319	AI015036	Hs.495480	FAM69B	Family with sequence similarity 69, member B	138311	1.24562162	0.02986101
1585952	AA974305	Hs.371716	C1orf187	Chromosome 1 open reading frame 187	374946	1.6697457	0.02986101
49923	H28986	Hs.533446	BAALC	Brain and acute leukemia, cytoplasmic	79870	2.0536147	0.02986101
745009	AA626023	Hs.474479	EAF1	ELL associated factor 1	85403	0.94169345	0.02986101
1416047	AA948046	Hs.560373	NA	Transcribed locus	NA	-0.64625004	0.02986101
1670954	AI085559	Hs.444099	AADACL1	Arylacetamide deacetylase-like 1	57552	-1.03631151	0.02986101
1551395	AA934016	Hs.126973	NA	Transcribed locus	NA	-1.2399583	0.02986101
1941765	AI203212	Hs.562188	NA	Transcribed locus	NA	1.11138743	0.02986101
1509021	AI167637	Hs.562032	NA	Transcribed locus	NA	-0.79784318	0.02986101
1656060	AI086239	Hs.172608	NA	Transcribed locus	NA	-1.9689032	0.02986101
