Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.24h._Signal	L3.24h_Signal	L4.24h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
202231_at	GA17	0.040383	dendritic cell protein						-0.14	-0.7	-0.43	0.82	0.41	0.02
202567_at	SNRPD3	0.036203	small nuclear ribonucleoprotein D3 polypeptide 18kDa	nuclear mRNA splicing, via spliceosome	pre-mRNA splicing factor activity	spliceosome complex			-1.34	-0.77	-1.11	0.51	0.07	2.08
202596_at	ENSA	0.027608	endosulfine alpha	transport	receptor binding				-0.75	-0.26	-0.33	0.22	0.24	0.86
202676_x_at	FASTK	0.007595	FAST kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.88	-0.96	-1.29	0.48	0.71	1.73
202744_at	SLC20A2	0.043822	solute carrier family 20 (phosphate transporter), member 2	transport	receptor activity	membrane fraction			-0.52	-0.46	-0.57	-0.14	0.55	1.05
202784_s_at	NNT	0.031996	nicotinamide nucleotide transhydrogenase	energy pathways	NAD(P)+ transhydrogenase (B-specific) activity	mitochondrion			-0.84	-0.46	-0.71	0.23	0.24	1.38
202837_at	FLN29	0.021334	FLN29 gene product		nucleic acid binding	nucleus			-0.41	-0.37	-1.14	0.75	1.01	0.18
202882_x_at	NOL7	0.014348	nucleolar protein 7, 27kDa						-1.03	-0.61	-0.48	0.29	0.5	1.25
202883_s_at	PPP2R1B	0.029874	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	regulation of cell cycle	protein phosphatase type 2A activity	protein phosphatase type 2A complex	Glycogen_Metabolism	GENMAPP/KEGG	-0.17	-0.45	-0.67	0.36	0.09	0.82
202927_at	PIN1	0.00909	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	protein folding	peptidyl-prolyl cis-trans isomerase activity	nucleus			-1.31	-0.31	-0.59	0.59	0.75	0.97
203023_at	HSPC111	0.023648	hypothetical protein HSPC111			nucleus			-0.12	-1.12	-0.9	0.98	0.99	0.19
203102_s_at	MGAT2	0.012715	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	N-linked glycosylation	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	membrane fraction	N-Glycans biosynthesis	GENMAPP/KEGG	-0.66	-0.38	-0.37	0.63	0.69	0.07
203142_s_at	AP3B1	0.031482	adaptor-related protein complex 3, beta 1 subunit	intracellular protein transport	protein transporter activity	Golgi apparatus			-0.68	-0.42	-0.23	0.81	0	0.5
203186_s_at	S100A4	0.01085	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)		calcium ion binding				-1.05	-1.08	-0.44	0.99	0.24	1.29
203219_s_at	APRT	0.032817	adenine phosphoribosyltransferase	Pribosyltran;nucleoside metabolism;8.5e-45	2.4.2.7;adenine phosphoribosyltransferase activity;2.71e-51		Purine metabolism	GENMAPP/KEGG	-1.42	-0.63	-0.63	1.31	-0.1	1.34
203223_at	RABEP1	0.047112	rabaptin, RAB GTPase binding effector protein 1		Rabaptin;GTPase activator activity;4.4e-59				-0.78	-0.23	-0.02	0.51	0.37	0.18
203276_at	LMNB1	0.024081	lamin B1						-0.67	-0.05	-0.64	0.71	0.16	0.5
203283_s_at	HS2ST1	0.047479	heparan sulfate 2-O-sulfotransferase 1		transferase activity				-0.81	-0.35	-0.7	1.31	0.45	-0.05
203497_at	PPARBP	0.035482	PPAR binding protein	regulation of transcription, DNA-dependent	DNA binding	mediator complex			-1.09	-0.46	-0.27	1.01	0.02	0.77
203663_s_at	COX5A	0.005898	cytochrome c oxidase subunit Va	electron transport	cytochrome-c oxidase activity	mitochondrion	Oxidative phosphorylation	GENMAPP/KEGG	-0.94	-0.59	-1	0.79	0.34	1.31
203711_s_at	HIBCH	0.029699	3-hydroxyisobutyryl-Coenzyme A hydrolase		ECH;catalytic activity;4.6e-16				-0.39	-0.84	-0.69	0.64	-0.02	1.19
203796_s_at	BCL7A	0.023197	B-cell CLL/lymphoma 7A		actin binding				0	-0.76	-1.15	0.57	0.49	0.93
203893_at	TAF9	0.025869	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	transcription initiation	DNA binding	nucleus			-0.77	-0.4	-0.3	0.56	0.86	0.03
203943_at	KIF3B	0.009285	kinesin family member 3B	determination of left/right symmetry	ATP binding	plus-end kinesin complex			-0.99	-0.18	-0.6	0.44	0.6	0.78
203960_s_at	LOC51668	0.042844	HSPCO34 protein						-1.07	-0.35	-0.28	1.11	0.46	0.12
203967_at	CDC6	0.020944	CDC6 cell division cycle 6 homolog (S. cerevisiae)	DNA replication checkpoint	nucleotide binding	nucleus			-0.79	-0.33	-0.73	0.05	0.69	1.06
203975_s_at	CHAF1A	0.044042	chromatin assembly factor 1, subunit A (p150)	DNA replication	chromatin binding	nucleus			-0.88	-0.62	-0.97	-0.25	0.89	1.55
204274_at	EBAG9	0.012476	estrogen receptor binding site associated, antigen, 9	regulation of cell growth	apoptotic protease activator activity	soluble fraction			-0.26	-0.64	-0.17	0.5	0.23	0.34
204299_at	FUSIP1	0.019694	FUS interacting protein (serine-arginine rich) 1	assembly of spliceosomal tri-snRNP	RNA binding	nucleus			-0.8	-0.56	-0.5	0.7	1.06	0.01
204492_at	ARHGAP11A	0.000385	similar to human GTPase-activating protein						-0.7	-0.55	-0.45	0.7	0.44	0.56
204593_s_at	FLJ20232	0.023729	hypothetical protein FLJ20232						-0.22	-0.79	-0.52	0.76	0.72	0.04
204825_at	MELK	0.014461	maternal embryonic leucine zipper kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.63	-0.1	-0.49	0.18	0.49	0.55
204956_at	MTAP	0.015053	methylthioadenosine phosphorylase	nucleobase, nucleoside, nucleotide and nucleic acid metabolism	phosphorylase activity				-0.98	-0.25	-0.87	0.59	1.17	0.31
205055_at	ITGAE	0.0252	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	leukocyte cell adhesion	magnesium ion binding	integrin complex	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-0.67	-0.29	-0.19	0.09	0.4	0.66
205133_s_at	HSPE1	0.004308	heat shock 10kDa protein 1 (chaperonin 10)						-1.67	-0.93	-0.96	0.76	0.93	1.8
205361_s_at	PFDN4	0.02815	prefoldin 4	protein folding	co-chaperone activity	cytosol			-0.61	-0.2	-0.29	0.71	0.25	0.13
205628_at	PRIM2A	0.028168	primase, polypeptide 2A, 58kDa	DNA replication	DNA binding	alpha DNA polymerase:primase complex	DNA_replication	GENMAPP/KEGG	-0.31	-0.98	-0.57	1.04	0.77	0.01
205766_at	TCAP	0.013796	titin-cap (telethonin)	protein complex assembly	structural constituent of muscle	cytoplasm			-0.24	-1.16	-0.43	0.47	0.82	0.62
205774_at	F12	0.033965	coagulation factor XII (Hageman factor)	proteolysis and peptidolysis	coagulation factor XIa activity	extracellular	Blood_Clotting_Cascade	GENMAPP/KEGG	-0.97	-0.9	0.02	0.3	1.07	0.51
205809_s_at	WASL	0.001707	Wiskott-Aldrich syndrome-like	protein complex assembly	actin binding	actin cytoskeleton	G13_Signaling_Pathway	GENMAPP/KEGG	-0.71	-0.47	-1.08	0.58	0.92	0.78
205822_s_at	HMGCS1	0.046587	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	acetyl-CoA metabolism	hydroxymethylglutaryl-CoA synthase activity	soluble fraction	Cholesterol_Biosynthesis	GENMAPP/KEGG	-0.49	-0.98	0.1	0.34	0.41	0.69
206052_s_at	SLBP	0.042138	stem-loop (histone) binding protein	histone mRNA 3-end processing	mRNA binding	nucleus			-0.8	-0.08	-0.72	0.55	0.03	1
206055_s_at	SNRPA1	0.017581	small nuclear ribonucleoprotein polypeptide A	RNA splicing	RNA binding	snRNP U2			-0.95	-0.44	-1.19	1.05	1.33	0.1
206127_at	ELK3	0.006242	ELK3, ETS-domain protein (SRF accessory protein 2)	regulation of transcription from Pol II promoter	transcription factor activity	nucleus			-0.57	-0.13	-0.72	0.52	0.39	0.52
206357_at	OPA3	0.001182	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)	visual perception		mitochondrion			-0.74	-0.59	-0.88	0.76	0.98	0.44
206686_at	PDK1	0.007834	pyruvate dehydrogenase kinase, isoenzyme 1	glucose metabolism	protein kinase activity	mitochondrion	Krebs-TCA_Cycle	GENMAPP/KEGG	-0.85	-1.25	-0.82	0.32	1.56	0.89
206928_at	ZNF124	0.032662	zinc finger protein 124 (HZF-16)	regulation of transcription, DNA-dependent	DNA binding	nucleus			-0.62	-0.18	-1.01	0.91	0.86	0.02
207146_at	KRTHA2	0.024601	keratin, hair, acidic, 2	epidermis development	structural molecule activity	intermediate filament			-0.13	-0.39	-1.14	0.38	0.63	0.73
207382_at	TP73L	0.005854	tumor protein p73-like	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-1.03	-0.78	-0.85	0.43	1.46	0.65
207403_at	IRS4	0.035199	insulin receptor substrate 4	signal transduction	receptor activity	plasma membrane			-0.76	-0.49	-0.9	0.18	0.28	1.49
207483_s_at	TIP120A	0.016537	TBP-interacting protein	ubiquitin cycle	protein binding	nucleus			-0.29	-0.86	-0.44	0.72	0.75	0.12
207507_s_at	ATP5G3	0.02886	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	energy pathways	transporter activity	membrane fraction	Electron_Transport_Chain	GENMAPP/KEGG	-0.55	-1.05	0.01	0.63	0.34	0.69
207508_at	ATP5G3	0.019457	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	energy pathways	transporter activity	membrane fraction	Electron_Transport_Chain	GENMAPP/KEGG	-1.21	-1.03	-0.63	1.22	-0.01	1.47
207852_at	CXCL5	0.003789	chemokine (C-X-C motif) ligand 5		IL8;chemokine activity;6.1e-29				-0.72	-0.72	-1.24	0.62	0.67	1.35
207993_s_at	CHP	0.026301	calcium binding protein P22		efhand;calcium ion binding;2.1				-0.92	-0.06	-0.96	1.03	0.71	0.22
208021_s_at	RFC1	0.036781	replication factor C (activator 1) 1, 145kDa	DNA-dependent DNA replication	nucleotide binding	nucleus	DNA_replication	GENMAPP/KEGG	-0.6	-0.55	-0.32	0.12	1.05	0.22
208200_at	IL1A	0.026554	interleukin 1, alpha	regulation of cell cycle	signal transducer activity	extracellular space	Hypertrophy_model	GENMAPP/KEGG	-0.7	-0.39	-0.26	0.52	0.79	0.02
208205_at	PCDHA9	0.022133	protocadherin alpha 9	cell adhesion	calcium ion binding	integral to membrane			-0.38	-0.02	-0.74	0.46	0.36	0.35
208443_x_at	SHOX2	0.005598	short stature homeobox 2	skeletal development	transcription factor activity	nucleus			-0.27	-1.2	-1	0.74	0.72	1.09
208728_s_at	CDC42	0.012952	cell division cycle 42 (GTP binding protein, 25kDa)	actin filament organization	GTPase activity	cytoplasm	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-0.41	-0.55	-0.55	0.09	0.5	0.88
208916_at	SLC1A5	0.037613	solute carrier family 1 (neutral amino acid transporter), member 5	transport	receptor activity	membrane fraction			-0.9	-0.59	-0.95	0.73	-0.12	1.57
208974_x_at	KPNB1	0.006731	karyopherin (importin) beta 1	protein-nucleus import, docking	nuclear localization sequence binding	nucleus			-0.75	-0.36	-0.93	0.33	0.66	1.03
209024_s_at	SYNCRIP	0.002285	synaptotagmin binding, cytoplasmic RNA interacting protein	nuclear mRNA splicing, via spliceosome	RNA binding	nucleus			-0.51	-1	-0.65	0.61	0.54	1.02
209067_s_at	HNRPDL	0.04186	heterogeneous nuclear ribonucleoprotein D-like	RNA processing	double-stranded DNA binding	viral nucleocapsid			-0.71	-0.59	-0.81	0.76	1.36	-0.19
209126_x_at	KRT6A	0.047129	keratin 6A	ectoderm development	structural constituent of cytoskeleton	intermediate filament			-0.52	-0.84	-1.07	0.86	-0.23	1.54
209177_at	DKFZP564J0123	0.024419	nuclear protein E3-3			nucleus			-0.23	-0.48	-0.59	0.22	0.19	0.86
209257_s_at	CSPG6	0.026997	chondroitin sulfate proteoglycan 6 (bamacan)	DNA repair	microtubule motor activity	spindle pole			-1.34	-0.36	-0.59	1.26	0.13	0.9
209520_s_at	NCBP1	0.006343	nuclear cap binding protein subunit 1, 80kDa	mRNA processing	RNA cap binding	nucleoplasm			-0.52	-0.42	-0.48	0.62	0.11	0.67
209715_at	CBX5	0.024336	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	chromatin assembly/disassembly	chromatin binding	chromatin			-1.48	-0.37	-0.26	0.64	0.59	1.05
209777_s_at	SLC19A1	0.045032	solute carrier family 19 (folate transporter), member 1	transport	folic acid binding	membrane			-0.75	-0.66	-1.33	-0.04	0.58	1.84
209881_s_at	LAT	0.008197	linker for activation of T cells	immune response	SH3/SH2 adaptor protein activity	integral to membrane			-0.89	-0.51	-1.05	1.07	0.22	1.11
210127_at	RAB6B	0.022824	RAB6B, member RAS oncogene family	intracellular protein transport	GTPase activity	Golgi apparatus			-1.11	-0.19	-1.3	0.61	0.44	1.52
210151_s_at	DYRK3	0.049593	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.21	-1.13	-0.52	0.8	-0.07	1.1
210350_x_at	ING1	0.025666	inhibitor of growth family, member 1	regulation of transcription, DNA-dependent	DNA binding	nucleus			-0.72	-0.4	-0.48	-0.06	0.84	0.77
210500_at	NICE-4	0.001058	NICE-4 protein						-0.49	-0.75	-0.34	0.61	0.48	0.51
210567_s_at	SKP2	0.04902	S-phase kinase-associated protein 2 (p45)	regulation of cell cycle			Cell_cycle	GENMAPP/KEGG	-0.84	-0.4	-0.02	0.63	0.05	0.6
210691_s_at	SIP	0.048583	Siah-interacting protein						-0.4	-0.94	-0.49	1.17	-0.16	0.72
210721_s_at	PAK7	0.017642	p21(CDKN1A)-activated kinase 7	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.08	-0.71	-0.91	0.88	0.46	0.39
210935_s_at	WDR1	0.049395	WD repeat domain 1				Hypertrophy_model	GENMAPP/KEGG	-0.65	-0.24	-0.78	1.22	0.15	0.19
211013_x_at	PML	0.003954	promyelocytic leukemia	regulation of transcription, DNA-dependent	nucleic acid binding	intracellular			-0.86	-0.57	-1.15	0.56	0.67	1.3
211056_s_at	SRD5A1	0.03532	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	cell-cell signaling	3-oxo-5-alpha-steroid 4-dehydrogenase activity	microsome	Bile acid biosynthesis	GENMAPP/KEGG	-1.06	-0.21	-0.82	1.19	-0.02	0.87
211150_s_at	DLAT	0.005803	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	acetyl-CoA biosynthesis	dihydrolipoyllysine-residue acetyltransferase activity	mitochondrion	Glycolysis / Gluconeogenesis	GENMAPP/KEGG	-1.28	-0.27	-1.11	0.7	0.93	1.12
211152_s_at	PRSS25	0.016544	protease, serine, 25	proteolysis and peptidolysis	chaperone activity	nucleus			-1.18	-0.57	-0.4	0.31	0.6	1.22
211375_s_at	ILF3	0.029983	interleukin enhancer binding factor 3, 90kDa	M phase	DNA binding	nucleus			-0.31	-0.02	-0.77	0.5	0.34	0.3
211445_x_at	FKSG17	0.037911	FKSG17						-1.27	-0.52	-1.01	0.11	1.85	0.49
211605_s_at	RARA	0.016276	retinoic acid receptor, alpha	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Nuclear_Receptors	GENMAPP/KEGG	-0.94	-0.37	-0.68	0.08	0.88	0.98
211724_x_at	FLJ20323	0.036184	hypothetical protein FLJ20323						-0.53	-0.54	-0.4	0.34	0.01	1.04
211790_s_at	MLL2	0.049339	myeloid/lymphoid or mixed-lineage leukemia 2	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0	-0.93	-0.82	0.88	0.88	-0.02
212084_at	TEX261	0.037878	testis expressed gene 261						-0.06	-0.5	-0.98	0.14	0.56	0.87
212105_s_at	DHX9	0.016083	DEAH (Asp-Glu-Ala-His) box polypeptide 9		DNA binding	nucleus			-0.59	-0.54	-0.44	0.56	0.92	0.04
212131_at	C19orf13	0.035534	chromosome 19 open reading frame 13						-0.45	-0.08	-0.52	0.48	0.57	0
212296_at	PSMD14	0.008992	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	ubiquitin-dependent protein catabolism		proteasome complex (sensu Eukarya)			-0.78	-0.29	-0.69	0.3	0.48	0.95
212310_at	FLJ39207	0.016766	C219-reactive peptide						-1.29	-0.27	-0.69	1.09	0.9	0.29
212458_at	SPRED2	0.023937	sprouty-related, EVH1 domain containing 2	development		membrane			-0.32	-0.38	-1.08	1.02	0.57	0.22
212460_at	C14orf147	0.023204	chromosome 14 open reading frame 147						-0.54	-0.34	-0.2	0.53	0.01	0.53
212479_s_at	FLJ13910	0.029609	hypothetical protein FLJ13910						-1.1	-0.7	-0.12	0.32	1.16	0.45
212529_at	FLJ30656	0.008307	hypothetical protein FLJ30656						-0.82	-0.19	-0.98	0.93	0.6	0.5
212627_s_at	EXOSC7	0.022034	exosome component 7	rRNA processing	3-5-exoribonuclease activity	exosome (RNase complex)			-0.69	0	-0.78	0.28	0.53	0.68
212840_at	KIAA0794	0.019372	KIAA0794 protein						-0.38	-0.39	-0.02	0.14	0.38	0.27
212904_at	KIAA1185	0.044974	KIAA1185 protein						-0.48	-0.45	-0.16	0.11	0.14	0.81
212949_at	BRRN1	0.033658	barren homolog (Drosophila)	cell cycle		nucleus			-1.13	-0.76	0.11	0.65	0.43	0.81
213011_s_at	TPI1	0.040167	triosephosphate isomerase 1	gluconeogenesis	triose-phosphate isomerase activity		Glycolysis / Gluconeogenesis	GENMAPP/KEGG	-1.42	-0.88	-0.11	0.06	1.29	1.09
213086_s_at	CSNK1A1	0.046031	casein kinase 1, alpha 1	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.6	-0.21	-0.37	0.4	0.8	-0.05
213128_s_at	UBE3A	0.000314	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	proteolysis and peptidolysis	ubiquitin conjugating enzyme activity	intracellular			-0.63	-0.98	-0.71	0.68	0.71	0.94
213211_s_at	TAF6L	0.032827	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	chromatin remodeling	DNA binding	histone deacetylase complex			-0.48	-0.28	-1.12	0.04	0.96	0.88
213330_s_at	STIP1	0.000115	stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)	response to stress		nucleus			-0.45	-0.43	-0.45	0.51	0.33	0.49
213337_s_at	SOCS1	0.027349	suppressor of cytokine signaling 1	regulation of cell growth	protein kinase inhibitor activity	cytoplasm			-0.33	-1.14	-0.47	0.66	1.13	0.13
213558_at	PCLO	0.038456	piccolo (presynaptic cytomatrix protein)	transport	transporter activity	cytoskeleton			-0.76	-0.89	-0.38	0.98	-0.17	1.1
213642_at	RPL27	0.009798	ribosomal protein L27	protein biosynthesis	structural constituent of ribosome	intracellular	Ribosomal_Proteins	GENMAPP/KEGG	-1	-0.58	-0.33	0.99	0.33	0.59
213849_s_at	PPP2R2B	0.019965	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform	signal transduction	protein phosphatase type 2A regulator activity	protein phosphatase type 2A complex	Glycogen_Metabolism	GENMAPP/KEGG	-0.75	0	-0.99	0.74	0.67	0.4
213877_x_at	TCEB2	0.043696	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	regulation of transcription, DNA-dependent	protein binding	nucleus			0.17	-1.28	-1.38	1.34	0.98	0.31
213881_x_at	SUMO2	0.044686	SMT3 suppressor of mif two 3 homolog 2 (yeast)						-1.07	-0.17	-0.08	0.5	0.39	0.52
214011_s_at	HSPC111	0.027798	hypothetical protein HSPC111			nucleus			-1.05	-0.89	-0.6	0.25	0.35	1.66
214114_x_at	FASTK	0.020353	FAST kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.96	-0.02	-0.51	0.49	0.59	0.48
214327_x_at	TPT1	0.000474	tumor protein, translationally-controlled 1			extracellular space			-1.88	-1.68	-1.57	2.26	1.25	1.44
214331_at	TSFM	0.048892	Ts translation elongation factor, mitochondrial	protein biosynthesis	transcriptional elongation regulator activity	mitochondrion			-0.58	-1.1	-0.9	0.25	0.11	1.81
214363_s_at	MATR3	0.001703	matrin 3		RNA binding	nucleus			-0.82	-0.78	-1.1	1.31	0.7	0.64
214381_at	---	0.044793	CDNA clone MGC:87642 IMAGE:5265802, complete cds						-0.78	-1.15	0.12	0.25	0.93	0.72
214630_at	CYP11B2	0.015104	cytochrome P450, family 11, subfamily B, polypeptide 2	electron transport	steroid 11-beta-monooxygenase activity	mitochondrion	C21-Steroid hormone metabolism	GENMAPP/KEGG	-0.53	-0.98	-0.1	0.41	0.67	0.57
214649_s_at	MTMR2	0.030687	myotubularin related protein 2	protein amino acid dephosphorylation	protein tyrosine/serine/threonine phosphatase activity				-0.92	-0.31	-0.28	0.22	0.34	0.95
214673_s_at	UREB1	0.024089	upstream regulatory element binding protein 1	ubiquitin cycle	ubiquitin-protein ligase activity	intracellular			-0.42	-0.95	-0.84	-0.04	0.99	1.15
214936_at	CHDC1	0.025467	calponin homology (CH) domain containing 1						-0.59	-0.06	-0.54	0.38	0.67	0.14
214991_s_at	PIGO	0.009108	phosphatidylinositol glycan, class O	GPI anchor biosynthesis	hydrolase activity	endoplasmic reticulum membrane			-0.79	-1.26	-0.18	0.68	0.75	0.91
