gene	geneid	Z-ESR1	Z-ERBB2	Z-AURKA	Z-survival	cytoband	alias	description
DNALI1	7802	25.4025	3.8019	-6.42704	-4.25887	1p35.1	P28|dJ423B22.5|hp28	dynein, axonemal, light intermediate chain 1
AFF3	3899	25.3461	-0.39309	-5.00252	-5.84209	2q11.2-q12	LAF4|MLLT2-like	AF4/FMR2 family, member 3
C6orf211	79624	25.026	1.45417	8.26888	-1.12532	6q25.1	DKFZp566I174|FLJ12910	chromosome 6 open reading frame 211
GFRA1	2674	24.9037	-2.01242	3.02176	-1.8985	10q26	GDNFR|GDNFRA|GFR-ALPHA-1|MGC23045|RET1L|RETL1|TRNR1	GDNF family receptor alpha 1
FBP1	2203	24.8917	9.14294	-1.96405	-2.28588	9q22.3	FBP	fructose-1,6-bisphosphatase 1
ABAT	18	24.7647	-0.756346	-7.57222	-5.76029	16p13.2	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase
ERBB4	2066	24.6266	0.366087	-9.46534	-4.68081	2q33.3-q34	HER4|MGC138404|p180erbB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)
MAGED2	10916	24.5935	8.59361	-3.06833	-1.87104	Xp11.2	11B6|BCG1|HCA10|JCL-1|MAGE-D2|MAGED|MGC8386	melanoma antigen family D, 2
PH-4	54681	24.4441	4.74109	-1.91612	-2.61507	3p21.31	-	hypoxia-inducible factor prolyl 4-hydroxylase
CYP2B6	1555	24.3523	1.82138	-0.187904	-2.3217	19q13.2	CPB6|CYP2B|CYPIIB6|IIB1|P450	cytochrome P450, family 2, subfamily B, polypeptide 6
ACADSB	36	24.2786	-0.596025	-5.40766	-5.17024	10q26.13	2-MEBCAD|ACAD7|SBCAD	acyl-Coenzyme A dehydrogenase, short/branched chain
DNAJC12	56521	24.2373	1.57832	-4.80229	-5.1383	10q22.1	JDP1	DnaJ (Hsp40) homolog, subfamily C, member 12
TFF3	7033	24.2206	11.1754	-1.11449	-3.03866	21q22.3	HITF|ITF|TFI|hP1.B	trefoil factor 3 (intestinal)
ANXA9	8416	24.0918	3.31371	2.33489	-2.61452	1q21	ANX31	annexin A9
THSD4	79875	24.0708	3.97617	-6.09569	-3.54935	15q23	FLJ13710|FVSY9334|PRO34005	thrombospondin, type I, domain containing 4
GREB1	9687	24.0538	-2.39815	-1.83222	-4.53594	2p25.1	KIAA0575	GREB1 protein
MLPH	79083	23.8108	13.178	-5.40886	-2.76754	2q37.3	MGC2771|MGC59733|SLAC2-A	melanophilin
TFF1	7031	23.8012	3.7298	-0.293789	-4.2798	21q22.3	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)
LRBA	987	23.7639	8.39116	-1.87395	-3.45685	4q31.3	BGL|CDC4L|DKFZp686A09128|DKFZp686K03100|DKFZp686P2258|FLJ16600|FLJ25686|LAB300|LBA|MGC72098	LPS-responsive vesicle trafficking, beach and anchor containing
BCL2	596	23.6229	-9.113	-9.53949	-6.84808	18q21.33|18q21.3	Bcl-2	B-cell CLL/lymphoma 2
KIAA1467	57613	23.175	1.26335	0.696898	-3.35781	12p13.1	DKFZp781O012	KIAA1467
EVL	51466	22.8505	0.496521	-6.85132	-5.89202	14q32.2	RNB6	Enah/Vasp-like
FLJ20152	54463	22.7224	-7.36539	1.06016	-0.882171	5p15.1	FLJ22155|FLJ22179	hypothetical protein FLJ20152
RABEP1	9135	22.6219	3.74136	-7.62718	-5.8268	17p13.2	RAB5EP|RABPT5	rabaptin, RAB GTPase binding effector protein 1
DACH1	1602	22.4281	2.1192	-5.62249	-3.24654	13q22	DACH|FLJ10138	dachshund homolog 1 (Drosophila)
TSPAN13	27075	22.1595	9.8677	6.19668	0.613662	7p21.1	FLJ22934|NET-6|TM4SF13	tetraspanin 13
JMJD2B	23030	22.024	-0.19877	-6.34179	-4.23135	19p13.3	FLJ44906|KIAA0876	jumonji domain containing 2B
SIAH2	6478	21.8636	-5.1926	1.82641	-4.58891	3q25	hSiah2	seven in absentia homolog 2 (Drosophila)
RHOB	388	21.7376	13.2147	-7.16823	-2.41096	2p24	ARH6|ARHB|MST081|MSTP081|RHOH6	ras homolog gene family, member B
SLC9A3R1	9368	21.6612	12.8833	13.3579	0.936211	17q25.1	EBP50|NHERF	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1
PRR15	222171	21.6566	14.9811	-0.30046	-1.37732	7p15.1	-	proline rich 15
C9orf116	138162	21.3378	3.45029	-1.66351	-2.34103	9q34.3	FLJ13945|MGC29761|RP11-426A6.4|pierce 1	chromosome 9 open reading frame 116
CACNA2D2	9254	21.1444	1.52809	-2.53288	-2.74718	3p21.3	CACNA2D|KIAA0558|LUAC11.1|gene 26	calcium channel, voltage-dependent, alpha 2/delta subunit 2
SPDEF	25803	21.0942	20.0221	-3.09216	-0.753286	6p21.3	PDEF|RP11-375E1__A.3|bA375E1.3	SAM pointed domain containing ets transcription factor
COX6C	1345	21.0861	-2.00999	9.88248	-1.73017	8q22-q23	-	cytochrome c oxidase subunit VIc
WWP1	11059	21.013	2.2957	4.07116	-0.692417	8q21	AIP5|DKFZp434D2111|Tiul1|hSDRP1	WW domain containing E3 ubiquitin protein ligase 1
RERG	85004	20.9524	-4.20483	-2.12811	-3.94625	12p12.3	MGC15754	RAS-like, estrogen-regulated, growth inhibitor
HPN	3249	20.9337	-5.68794	-5.59674	-6.27543	19q11-q13.2	TMPRSS1	hepsin (transmembrane protease, serine 1)
C6orf97	80129	20.9297	-1.30085	-5.77156	-3.61126	6q25.1	FLJ23305|bA282P11.1	chromosome 6 open reading frame 97
KIAA0232	9778	20.8899	4.21904	-3.4403	-1.94375	4p16.1	-	KIAA0232 gene product
SUSD3	203328	20.8533	-0.637623	-3.23611	-5.58123	9q22.31	MGC26847	sushi domain containing 3
PIGT	51604	20.6831	1.50823	3.86372	-1.09752	20q12-q13.12	CGI-06|FLJ41596|MGC8909|NDAP	phosphatidylinositol glycan anchor biosynthesis, class T
ZNF552	79818	20.645	3.7364	2.16886	-2.43488	19q13.43	FLJ21603	zinc finger protein 552
STARD10	10809	20.5669	9.91091	9.04182	-1.2241	11q13	CGI-52|MGC14401|NY-CO-28|PCTP2|SDCCAG28	START domain containing 10
TMC4	147798	20.5559	2.04823	-0.816479	-2.44109	19q13.42	MGC39329	transmembrane channel-like 4
SLC22A5	6584	20.5122	0.813462	-0.0798195	-2.60172	5q31	CDSP|FLJ46769|OCTN2	solute carrier family 22 (organic cation transporter), member 5
GPD1L	23171	20.0361	9.82785	-5.90787	-2.81853	3p22.3	KIAA0089	glycerol-3-phosphate dehydrogenase 1-like
ERBB3	2065	20.0049	9.91213	0.523767	-1.81971	12q13	ErbB-3|HER3|MDA-BF-1|MGC88033|c-erbB-3|c-erbB3|erbB3-S|p180-ErbB3|p45-sErbB3|p85-sErbB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
C10orf116	10974	19.8138	8.01901	-10.8085	-4.26043	10q23.2	APM2	chromosome 10 open reading frame 116
KCNK15	60598	19.8136	-1.34991	4.36553	0.664661	20q12-20q13	KCNK11|KCNK14|KIAA0237|KT3.3|TASK-5|TASK5|dJ781B1.1	potassium channel, subfamily K, member 15
KIAA0040	9674	19.6983	5.60155	-4.73797	-6.02798	1q24-25	MGC133301	KIAA0040
LOC400451	400451	19.6643	15.2521	-5.87217	-2.29186	15q26.1	MGC102891	hypothetical gene supported by AK075564; BC060873
PREX1	57580	19.6073	1.53038	-0.483731	-4.26858	20q13.13	KIAA1415	phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1
IGF1R	3480	19.5987	-4.51928	-3.51526	-3.68699	15q26.3	CD221|IGFIR|JTK13|MGC142170|MGC142172|MGC18216	insulin-like growth factor 1 receptor
MYO5C	55930	19.4815	7.23239	-7.99094	-2.58539	15q21	MGC74969	myosin VC
KRT18	3875	19.4316	13.6129	6.59395	1.53871	12q13	CYK18|K18	keratin 18
TPBG	7162	19.3787	3.58351	-3.91244	-2.15102	6q14-q15	5T4|5T4-AG|M6P1	trophoblast glycoprotein
MOAP1	64112	19.371	3.37039	-3.23574	-3.2188	14q32	MAP-1|PNMA4	modulator of apoptosis 1
FLJ20366	55638	19.3474	1.70093	-9.52587	-4.13341	8q23.2	GOLSYN	hypothetical protein FLJ20366
C5orf30	90355	19.3469	-0.216472	0.350926	-2.11805	5q21.1	FLJ25291	chromosome 5 open reading frame 30
MTL5	9633	19.2917	2.78295	2.92216	-2.08981	11q13.2-q13.3	CXCDC2|MTLT|TESMIN	metallothionein-like 5, testis-specific (tesmin)
TCEAL4	79921	19.2683	0.102954	-3.41849	0.0968516	Xq22.2	DKFZp686M0279|FLJ21174|NPD017	transcription elongation factor A (SII)-like 4
ARL3	403	19.2292	-1.88506	0.197707	-1.94778	10q23.3	ARFL3	ADP-ribosylation factor-like 3
SLC19A2	10560	19.2252	1.36906	2.77852	-0.238045	1q23.3	TC1|THT1|THTR1|TRMA	solute carrier family 19 (thiamine transporter), member 2
NME3	4832	19.2036	6.34126	-2.21596	-3.29145	16q13	DR-nm23|KIAA0516|c371H6.2	non-metastatic cells 3, protein expressed in
SLC16A6	9120	19.152	7.51328	0.608748	-4.46491	17q24.2	MCT6|MCT7	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
CELSR2	1952	18.8437	-5.16229	0.258789	-4.85968	1p21	CDHF10|EGFL2|FLJ34118|FLJ42737|FLJ45143|FLJ45845|Flamingo1|KIAA0279|MEGF3	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)
IL6ST	3572	18.8358	-2.11532	-7.04317	-6.11566	5q11	CD130|CDw130|GP130|GP130-RAPS|IL6R-beta	interleukin 6 signal transducer (gp130, oncostatin M receptor)
FLJ45983	399717	18.781	0.300205	-2.36694	-1.84233	10p14	-	FLJ45983 protein
TCEAL1	9338	18.6997	1.15239	-6.33175	-2.96992	Xq22.1	SIIR|p21|pp21	transcription elongation factor A (SII)-like 1
FAAH	2166	18.6956	6.18638	-2.69424	-4.44917	1p35-p34	FAAH-1|MGC102823|MGC138146	fatty acid amide hydrolase
MKL2	57496	18.5739	-0.770384	-5.59151	-4.52895	16p13.12	DKFZp686J1745|FLJ31823|FLJ45623|MRTF-B|NPD001	MKL/myocardin-like 2
CCND1	595	18.5385	1.66075	3.98909	-0.00668885	11q13	BCL1|D11S287E|PRAD1|U21B31	cyclin D1
CXXC5	51523	18.4859	6.89332	5.42847	-1.1819	5q31.3	HSPC195	CXXC finger 5
APBA2BP	63941	18.4493	4.42521	5.9173	-0.221293	20q11.22	EFCBP3|NECAB3|NIP1|SYTIP2|XB51|dJ63M2.4|dJ63M2.5	amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein
FUT8	2530	18.4469	7.38009	-3.50697	-4.34226	14q24.3	MGC26465	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
WFS1	7466	18.4385	9.37646	1.41139	-0.901408	4p16	DFNA14|DFNA38|DFNA6|DIDMOAD|WFRS|WFS|WOLFRAMIN	Wolfram syndrome 1 (wolframin)
HHAT	55733	18.421	4.17148	-5.89417	-2.66837	1q32	FLJ10724|FLJ34867|GUP2|MART-2|MART2|SKI1|Skn|ski	hedgehog acyltransferase
REEP5	7905	18.4171	9.82912	-4.58013	-2.705	5q22-q23	C5orf18|D5S346|DP1|MGC70440|TB2	receptor accessory protein 5
REPS2	9185	18.4017	0.246914	4.09674	0.108463	Xp22.2	POB1	RALBP1 associated Eps domain containing 2
LONRF2	164832	18.3769	-5.38224	-3.43287	-3.38026	2q11.2	FLJ45273|MGC126711|MGC126713|RNF192	LON peptidase N-terminal domain and ring finger 2
AR	367	18.3442	14.6691	-10.2521	-4.7647	Xq11.2-q12	AIS|DHTR|HUMARA|KD|NR3C4|SBMA|SMAX1|TFM	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
SSH3	54961	18.3422	7.28297	-0.536566	-1.99524	11q13.1	FLJ10928|FLJ20515|SSH-3	slingshot homolog 3 (Drosophila)
FAM63A	55793	18.3117	-1.51142	-2.98679	-2.77718	1q21.2	FLJ11280|FLJ43504|RP11-316M1.5	family with sequence similarity 63, member A
UGCG	7357	18.2988	0.847712	-0.469409	-1.2782	9q31	GCS	UDP-glucose ceramide glucosyltransferase
DCI	1632	18.2542	1.63483	5.72317	-2.25159	16p13.3	-	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)
LASS2	29956	18.2088	6.03297	5.34497	-1.1181	1q21.2	FLJ10243|L3|MGC987|SP260|TMSG1	LAG1 homolog, ceramide synthase 2 (S. cerevisiae)
SLC22A18	5002	18.1823	4.16786	-2.30829	-4.0226	11p15.5	BWR1A|BWSCR1A|DKFZp667A184|HET|IMPT1|ITM|ORCTL2|SLC22A1L|TSSC5|p45-BWR1A	solute carrier family 22 (organic cation transporter), member 18
STC2	8614	18.177	-6.53104	-6.36222	-5.50427	5q35.2	STC-2|STCRP	stanniocalcin 2
SCNN1A	6337	18.162	12.9378	-6.87532	-2.5626	12p13	ENaCa|ENaCalpha|FLJ21883|SCNEA|SCNN1	sodium channel, nonvoltage-gated 1 alpha
ROGDI	79641	18.1329	7.00666	2.64315	-2.39393	16p13.3	FLJ22386	rogdi homolog (Drosophila)
IRS1	3667	18.112	-5.0758	-6.30791	-4.32865	2q36	HIRS-1	insulin receptor substrate 1
SKP1A	6500	18.0932	2.69655	-2.29429	-2.22929	5q31	EMC19|MGC34403|OCP-II|OCP2|SKP1|TCEB1L	S-phase kinase-associated protein 1A (p19A)
EFHC1	114327	18.0849	1.87081	-6.76563	-1.70691	6p12.3	EJM|EJM1|FLJ10466|dJ304B14.2	EF-hand domain (C-terminal) containing 1
TJP3	27134	18.078	7.00985	2.0832	-1.89725	19p13.3	MGC119546|ZO-3	tight junction protein 3 (zona occludens 3)
COG2	22796	18.0593	2.22216	1.22931	-2.93834	1q42.2	LDLC	component of oligomeric golgi complex 2
MREG	55686	18.0449	8.95124	-3.05494	-3.35519	2q35	DSU|FLJ10116|MGC90296|WDT2	melanoregulin
TEGT	7009	18.0049	12.2099	0.331457	-2.47309	12q12-q13	BI-1|TMBIM6	testis enhanced gene transcript (BAX inhibitor 1)
CYB5R1	51706	18.0009	6.4368	-2.20106	-0.508617	1p36.13-q41	B5R.1|NQO3A2|humb5R2	cytochrome b5 reductase 1
RAB17	64284	17.9921	8.94481	-3.42515	-2.24962	2q37.3	FLJ12538	RAB17, member RAS oncogene family
ANKRA2	57763	17.9574	0.64121	-6.57904	-2.21891	5q12-q13	ANKRA	ankyrin repeat, family A (RFXANK-like), 2
RAB26	25837	17.9552	9.67969	3.74102	-0.00457922	16p13.3	V46133	RAB26, member RAS oncogene family
ZMYND10	51364	17.9114	-0.152118	-2.66285	-3.35156	3p21.3	BLU|FLU	zinc finger, MYND-type containing 10
RMND1	55005	17.8695	1.51398	6.72745	-1.79211	6q25.1	3|C6orf96|FLJ20627|MGC117362|MGC149570|MGC88260|RMD1|bA351K16|bA351K16.3	required for meiotic nuclear division 1 homolog (S. cerevisiae)
THRAP2	23389	17.8482	-5.43273	-4.98124	-4.8363	12q24.21	DKFZp781D0112|FLJ21627|KIAA1025|MED13L|PROSIT240|TRAP240L	thyroid hormone receptor associated protein 2
KCTD6	200845	17.8184	1.89432	1.39314	-1.17202	3p14.3	MGC27385	potassium channel tetramerisation domain containing 6
SCCPDH	51097	17.8089	1.46958	1.28557	-2.16218	1q44	CGI-49|FLJ43187|RP11-439E19.2	saccharopine dehydrogenase (putative)
CIRBP	1153	17.7694	1.05742	-15.6167	-5.53634	19p13.3	CIRP	cold inducible RNA binding protein
MAPT	4137	17.7619	0.0181528	-3.80076	-3.06093	17q21.1	DDPAC|FLJ31424|FTDP-17|MAPTL|MGC138549|MSTD|MTBT1|MTBT2|PPND|TAU	microtubule-associated protein tau
SLC27A2	11001	17.75	-0.276877	-0.196361	-4.50345	15q21.2	ACSVL1|FACVL1|FATP2|HsT17226|VLACS|VLCS|hFACVL1	solute carrier family 27 (fatty acid transporter), member 2
RNF103	7844	17.7088	8.40372	-4.44311	-3.89823	2p11.2	KF1|MGC102815|MGC41857|ZFP103|hkf-1	ring finger protein 103
SERPINA5	5104	17.6799	0.526404	1.47967	-1.76829	14q32.1	PAI3|PCI|PLANH3|PROCI	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5
PVRL2	5819	17.6735	3.19993	3.12741	-2.22687	19q13.2	CD112|HVEB|PRR2|PVRR2	poliovirus receptor-related 2 (herpesvirus entry mediator B)
RBKS	64080	17.584	-0.279373	-2.84225	-4.78994	2p23.3	DKFZp686G13268|RBSK	ribokinase
FLJ20273	54502	17.5835	11.0843	-1.15418	-3.42206	4p13-p12	DKFZp686F02235	RNA-binding protein
TSPAN1	10103	17.5674	9.23889	-3.61416	-1.08767	1p34.1	9030418M05Rik|NET-1|RP11-322N21.1|TSPAN-1	tetraspanin 1
CLSTN2	64084	17.541	-3.25032	-0.777198	-2.00903	3q23-q24	CS2|CSTN2|FLJ39113|FLJ39499|MGC119560|alcagamma	calsyntenin 2
POLR3K	51728	17.532	-1.96968	11.4197	-0.0574153	16p13.3	C11|C11-RNP3|My010|RPC10|RPC11|hRPC11	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa
GAMT	2593	17.5015	3.65892	-5.32803	-2.89665	19p13.3	PIG2|TP53I2	guanidinoacetate N-methyltransferase
FLJ21127	79600	17.4976	0.0555758	-4.46803	-2.90108	12q24.11	TECT1	tectonic
IFT88	8100	17.4698	0.674074	-7.95792	-3.843	13q12.1	D13S1056E|MGC26259|RP11-172H24.2|TG737|TTC10|hTg737	intraflagellar transport 88 homolog (Chlamydomonas)
HAGH	3029	17.3723	1.67194	8.89557	0.576461	16p13.3	GLO2|GLX2|GLXII|HAGH1	hydroxyacylglutathione hydrolase
CRIP1	1396	17.3468	9.54702	-0.539564	-1.10494	14q32.33	CRHP|CRIP|CRP1	cysteine-rich protein 1 (intestinal)
BCAS4	55653	17.3284	4.43998	7.6272	0.759144	20q13.13	FLJ20495	breast carcinoma amplified sequence 4
ELOVL2	54898	17.2968	-4.30169	0.531734	-3.26978	6p24.2	FLJ20334|Ssc2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2
NOVA1	4857	17.2898	-3.95297	-8.65144	-3.11158	14q	Nova-1	neuro-oncological ventral antigen 1
NPDC1	56654	17.2653	9.15259	-6.90113	-1.02786	9q34.3	CAB|CAB-|CAB-1|CAB1|DKFZP586J0523	neural proliferation, differentiation and control, 1
PTP4A2	8073	17.259	1.18289	-3.77797	-5.2715	1p35	HH13|HH7-2|HU-PP-1|OV-1|PRL-2|PRL2|PTP4A|PTPCAAX2|ptp-IV1a|ptp-IV1b	protein tyrosine phosphatase type IVA, member 2
PDZK1	5174	17.1829	-3.98079	-2.56732	-4.18633	1q21	CAP70|CLAMP|PDZD1	PDZ domain containing 1
FAM79B	285386	17.1292	-2.52311	-6.71932	-3.8292	3q28	FLJ41238|FLJ43694|MGC126599|MGC126601	family with sequence similarity 79, member B
PARD6B	84612	17.0998	-4.03667	7.98613	-3.83027	20q13.13	PAR6B	par-6 partitioning defective 6 homolog beta (C. elegans)
LRRC6	23639	17.0913	-0.721853	-2.52842	-2.30135	8q24.22	LRTP|TSLRP	leucine rich repeat containing 6
CCDC96	257236	17.0786	4.28777	-0.975201	-2.59658	4p16.1	FLJ90575|MGC138479	coiled-coil domain containing 96
ZNF587	84914	17.0444	1.0459	4.28693	1.11387	19q13.43	FLJ14710|FLJ20813|ZF6	zinc finger protein 587
AKR7A3	22977	17.0283	6.61654	-0.188584	-3.47454	1p35.1-p36.23	AFAR2	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
TMEM157	345757	17.0269	3.37128	-0.56498	-1.98271	5q21.1	MGC17345|UNQ1912	transmembrane protein 157
APBB2	323	16.9927	3.8083	-4.89037	-1.58914	4p14-p13	FE65L|FE65L1|MGC35575	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
CSAD	51380	16.9669	1.70356	-4.48766	-0.978322	12q13.11-q14.3	CSD|MGC119354|MGC119355|MGC119357|PCAP	cysteine sulfinic acid decarboxylase
RMND5B	64777	16.9377	6.92833	5.32408	3.04418	5q35.3	DKFZp434K0926|FLJ22318	required for meiotic nuclear division 5 homolog B (S. cerevisiae)
TMBIM4	51643	16.9204	4.85888	-6.49429	-1.95243	12q14.1-q15	CGI-119|S1R|ZPRO	transmembrane BAX inhibitor motif containing 4
IRX5	10265	16.8878	7.75435	1.34858	-0.260988	16q11.2-q13	IRX-2a	iroquois homeobox protein 5
SIGIRR	59307	16.8734	5.48368	2.74336	-0.0138416	11p15.5	MGC110992|TIR8	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
PHF15	23338	16.8139	-4.05498	-7.52268	-4.44519	5q31.1	JADE2|KIAA0239	PHD finger protein 15
FAM77C	79570	16.7853	-1.44202	8.56239	-0.7589	1p35.2	FLJ12650	family with sequence similarity 77, member C
CHMP2A	27243	16.7836	6.40945	3.21133	-1.11731	19q	BC-2|BC2|CHMP2|VPS2	chromatin modifying protein 2A
NDUFA2	4695	16.7775	3.7635	7.23411	0.340753	5q31	B8|CD14	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
RALGPS1	9649	16.7721	0.998277	-2.32531	-0.0123769	9q33.3	KIAA0351|RALGEF2|RALGPS1A	Ral GEF with PH domain and SH3 binding motif 1
EEF1A2	1917	16.7622	4.15423	7.27684	0.994884	20q13.3	EEF1AL|EF-1-alpha-2|EF1A|HS1|STN	eukaryotic translation elongation factor 1 alpha 2
NME5	8382	16.7407	-3.10218	-11.3776	-5.22088	5q31	NM23-H5|NM23H5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)
KCTD3	51133	16.7376	1.68055	-0.592328	-1.43512	1q41	MGC43935|NY-REN-45	potassium channel tetramerisation domain containing 3
CPEB2	132864	16.7194	-0.416263	-4.67717	-3.25169	4p15.33	MGC119575|MGC119576|MGC119577	cytoplasmic polyadenylation element binding protein 2
TUSC4	10641	16.6878	1.47948	0.657171	-0.829645	3p21.3	NPR2L|NPRL2	tumor suppressor candidate 4
MPP2	4355	16.6523	-2.76122	3.22183	-1.42035	17q12-q21	DKFZp686A06252|DKFZp686J2189|DKFZp761D0712|DLG2	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)
VAV3	10451	16.5942	8.98609	-6.77281	-4.94464	1p13.3	FLJ40431	vav 3 oncogene
CHAD	1101	16.5906	-1.04862	-5.8996	-5.79472	17q21.33	SLRR4A	chondroadherin
PCTK2	5128	16.5673	2.65751	1.01398	-1.85208	12q23.1	PCTAIRE2	PCTAIRE protein kinase 2
TOB1	10140	16.5477	11.4149	5.61766	-0.703601	17q21	APRO6|MGC104792|MGC34446|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1
TMEM30B	161291	16.5331	4.50919	-3.69301	-2.13257	14q23.1	CDC50B|MGC126775	transmembrane protein 30B
SALL2	6297	16.4657	0.280277	-5.6992	-3.5081	14q11.1-q12	FLJ10414|HSAL2|KIAA0360|ZNF795|p150(Sal2)	sal-like 2 (Drosophila)
TTC8	123016	16.4591	4.89887	-1.17692	-2.33069	14q31.3	BBS8	tetratricopeptide repeat domain 8
WDR32	79269	16.4441	-3.02711	2.55779	-1.98985	9p13.2	FLJ23201|MGC10765|MGC131781	WD repeat domain 32
HMGCL	3155	16.4411	-1.18954	-5.88851	-4.04869	1p36.1-p35	HL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)
C12orf10	60314	16.4064	2.39479	0.373801	-0.264195	12q13	MST024|MSTP024|MYG|MYG1	chromosome 12 open reading frame 10
MCCC2	64087	16.3972	8.68408	1.06614	-1.73079	5q12-q13	MCCB	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
CISH	1154	16.3682	8.17276	-3.88938	-2.76398	3p21.3	CIS|CIS-1|G18|SOCS	cytokine inducible SH2-containing protein
IKBKB	3551	16.3402	1.125	-4.91351	-2.67043	8p11.2	FLJ40509|IKK-beta|IKK2|IKKB|MGC131801|NFKBIKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
RARA	5914	16.2986	13.8108	2.16259	-1.58762	17q21	NR1B1|RAR	retinoic acid receptor, alpha
ADCY9	115	16.2898	-4.58012	1.67146	0.00480267	16p13.3	-	adenylate cyclase 9
C19orf21	126353	16.2422	6.71472	3.75094	-0.359997	19p13.3	DKFZp686H18209	chromosome 19 open reading frame 21
INPP4B	8821	16.2328	7.03247	-4.15097	-3.54907	4q31.21	MGC132014	inositol polyphosphate-4-phosphatase, type II, 105kDa
KIAA1370	56204	16.2193	8.7225	-8.06756	-4.02493	15q21.2	FLJ10980|MGC126494|MGC126495	KIAA1370
HSD17B4	3295	16.2139	2.05685	-6.0942	-3.95573	5q21	MFE-2	hydroxysteroid (17-beta) dehydrogenase 4
C1orf78	55194	16.1754	1.97895	-7.45205	-3.74575	1p34.3	FLJ10647|RP11-268J15.2	chromosome 1 open reading frame 78
QDPR	5860	16.1055	-2.02581	-7.07018	-5.64277	4p15.31	DHPR|FLJ42391|PKU2	quinoid dihydropteridine reductase
PIB5PA	27124	16.0378	9.76821	-6.38853	-3.53122	22q11.2-q13.2	INPP5|MGC129984|PIPP	phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A
