Probe Set ID	Symbol	Description	Map	Fold Change	P
32842_at	BCL7A	B-cell CLL/lymphoma 7A	12q24.13	0.46	4.07E-04
40480_s_at	FYN	FYN oncogene related to SRC, FGR, YES	6q21	1.33	4.09E-04
40151_s_at	PXR1	peroxisome receptor 1	12p13.3	1.4	4.31E-04
38152_at	LOH11CR2A	loss of heterozygosity, 11, chromosomal region 2, gene A	11q23	0.75	4.46E-04
33069_f_at	UGT2B15	UDP glycosyltransferase 2 family, polypeptide B15	4q13	0.72	2.64E-04
37215_at	PYGL	phophorylase, glycogen; liver (Hers disease, glycogen st orage disease type VI)	14q21-q22	1.66	4.65E-04
40155_at	ABLIM	actin binding LIM protein 1	10q25	1.36	4.84E-04
32587_at	ZFP36L2	zinc finger protein, C3H type, 36-like 2	2p22.3-p21	1.3	5.08E-04
491_at	PTPRG	protein tyrosine phosphatase, receptor type, G	3p21-p14	1.41	5.11E-04
39591_s_at	FGL2	fibrinogen-like 2	7q11.23	1.48	5.40E-04
37676_at	PDE8A	phophodiesterase 8A	15	1.36	5.53E-04
1647_at	IGQAP2	IQ motif containing GTPase activating protein 2	5q	1.39	5.59E-04
32847_at	MYLK	myosin, light polypeptide kinase	3q21	0.3	6.04E-04
35449_at	KLRB1	killer cell lectin-like receptor subfamily B, member 1	12p13	1.52	6.08E-04
38319_at	CD3D	CD3D antigen, delta polypeptide (TiT3 complex)	11q23	1.45	6.10E-04
41215_s_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	2p25	1.41	6.19E-04
34216_at	KLF7	Kruppel-like factor 7 (ubuiquitious)	2q32	1.37	6.21E-04
1479_g_at	ITK	IL2-inducible T-cell kinase	5q31-32	1.41	6.25E-04
38466_at	CTSK	cathepsin K (pycnodysostosis)	1q21	1.34	6.47E-04
41136_s_at	APP	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	21q21.3	0.79	6.49E-04
33601_at				1.57	6.66E-04
32598_at	NELL2	nel (chicken)-like 2	12q13.11-q13.12	1.5	6.68E-04
34054_at	TNFSF7	tumor necrosis factor (ligand) superfamily, member 7	19p13	1.74	7.03E-04
33791_at	DLEU1	deleted in lymphocytic leukemia, 1	13q14.3	0.65	7.12E-04
38148_at	CRY1	cryptochrome 1 (photolyase-like)	12q23-q24.1	0.55	7.14E-04
32793_at	NA	T cell receptor beta locus	7q35	1.37	7.17E-04
1478_at				1.46	8.04E-04
1082_at	PLCG1	phopholipase C, gamma 1 (formerly subtype 148)	20q12-q13.1	1.35	8.19E-04
35282_r_At	CD81	CD81 antigen (target of antiproliferative antibody 1)	11p15	1.21	8.35E-04
33796_at	ARL4	ADP-ribosylation factor-like 4	7p21-p15.3	0.61	8.46E-04
34223_at	CSF3R	colony stimulating factor 3 receptor (granulocyte)	1p35-34.3	1.48	8.48E-04
34094_i_at				0.41	8.67E-04
33283_at	ARRB2	arrestin, beta 2	17p13	1.22	8.75E-04
36637_at	ANXA11	annexin A11	10q22-q23	1.21	8.96E-04
33068_f_at	UGT2B15, UGT2B17	UDP glycosyltransferase 2 family, polypeptide B15, UDP glycosyltransferase 2 family, polypeptide B17	4q13	0.54	8.96E-04
1797_at	CDKN2D	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	19p13	1.17	9.18E-04
34583_at	FLT3	fms-related tyrosine kinase 3	13q12	1.56	9.22E-04
1052_s_at	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	8p11.2-p11.1	1.49	9.25E-04
34276_at	KIAA0980	KIAA0980 protein	20p11.22-p11.1	0.7	9.25E-04
39581_at	CSTA	cystatin A (stefin A)	3q21	1.54	9.29E-04
40699_at	CD8A	CD8 antigen, alpha polypeptide (p32)	2p12	1.42	9.70E-04
36201_at	GLO1	glyoxalase 1	6p21.3-p21.1	0.72	9.86E-04
