AffymetrixID	Common	P	MDSdel5q	MDSnormal	MDSother	Map	Expression
208579_x_at	HIST1H2BM	.001	5.46(1.23-25.16)	1.35(0.77-3.26)	1.45(0.34-5.23)	6p22-p21.3	Genes expressed at higher levels in MDSdel(5q)
223144_s_at	C6orf166	.001	1.49(0.73-5.00)	0.92(0.35-1.91)	0.77(0.60-0.99)	6q15	Genes expressed at higher levels in MDSdel(5q)
212082_s_at	MYL6	.001	1.28(0.90-1.97)	0.94(0.70-1.14)	0.92(0.79-1.08)	12q13.13	Genes expressed at higher levels in MDSdel(5q)
238585_at	FLJ11753	.001	1.18(0.79-1.61)	0.84(0.59-1.13)	0.92(0.71-1.20)	2q22.3-q23.1	Genes expressed at higher levels in MDSdel(5q)
202821_s_at	LPP	.001	1.20(0.76-1.86)	0.98(0.73-1.48)	0.84(0.74-0.98)	3q27-q28	Genes expressed at higher levels in MDSdel(5q)
221613_s_at	AWP1	.001	1.26(0.82-1.80)	0.95(0.70-1.21)	0.85(0.63-0.99)	15q24.3	Genes expressed at higher levels in MDSdel(5q)
201238_s_at	CAPZA2	.001	1.79(1.22-3.08)	1.19(0.77-1.67)	1.13(0.75-1.63)	7q31.2-q31.3	Genes expressed at higher levels in MDSdel(5q)
203538_at	CAMLG	.001	0.53(0.36-0.85)	1.13(0.84-1.52)	1.15(0.58-1.78)	5q23	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
203024_s_at	C5orf15	.001	0.53(0.36-0.77)	1.02(0.81-1.35)	1.01(0.77-1.32)	5q31.1	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
220495_s_at	C5orf14	.001	0.45(0.28-0.95)	1.10(0.56-1.60)	1.14(0.85-1.73)	5q31.2	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
224068_x_at	RBM22	.001	0.54(0.29-1.08)	1.21(0.79-1.82)	1.41(1.08-1.90)	5q33.1	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
202227_s_at	BRD8	.001	0.63(0.40-1.04)	1.25(0.80-1.66)	1.19(0.79-2.04)	5q31	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
206562_s_at	CSNK1A1	.001	0.60(0.36-0.93)	1.06(0.65-1.38)	1.09(0.76-1.29)	5q32	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
201977_s_at	KIAA0141	.001	0.71(0.46-1.18)	1.23(0.66-1.89)	1.45(1.17-2.01)	5q31.3	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
225698_at	TIGA1	.001	0.43(0.19-1.04)	1.23(0.81-2.24)	1.37(0.66-1.80)	5q21-q22	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
232181_at	LOC153346	.001	0.57(0.28-1.08)	1.23(0.63-2.03)	1.31(1.05-1.97)	5q33.1	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
202042_at	HARS	.001	0.52(0.28-0.85)	1.16(0.76-1.50)	1.21(0.65-1.76)	5q31.3	Genes, localized to 5q, expressed at lower levels in MDSdel(5q)
223157_at	C4orf14	.001	0.64(0.25-1.07)	1.44(0.88-2.86)	1.59(0.98-2.84)	4q12	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
1556967_at	ZDHHC14	.001	0.84(0.73-1.01)	1.17(0.87-1.61)	0.95(0.81-1.30)	6q25.3	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
207170_s_at	HCCR1	.001	0.86(0.52-1.35)	1.63(0.89-2.74)	1.62(1.02-2.32)	12q13.13	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
228557_at	FLJ35936	.001	0.63(0.30-1.50)	1.47(0.81-3.62)	1.50(0.90-2.30)	18p11.31-p11.23	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
202080_s_at	OIP106	.001	0.75(0.44-1.21)	1.17(0.79-1.82)	1.23(1.02-1.39)	3p25.3-p24.1	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
206019_at	RBM19	.001	0.79(0.58-1.21)	1.22(0.80-1.89)	1.13(0.90-1.68)	12q24.21	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
201871_s_at	LOC51035	.001	0.70(0.43-1.17)	1.25(0.73-2.03)	1.41(0.88-2.07)	11q12.3	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
205321_at	EIF2S3	.001	0.78(0.47-1.29)	1.32(0.71-2.30)	1.63(1.03-2.88)	Xp22.2-p22.1	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
201682_at	PMPCB	.001	0.71(0.47-0.98)	1.02(0.81-1.21)	0.96(0.62-1.19)	7q22-q32	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
212307_s_at	OGT	.001	0.49(0.24-0.83)	1.04(0.58-2.51)	0.94(0.62-1.97)	Xq13	Genes, not localized to 5q,expressed at lower levels in MDSdel(5q)
