Rank	ProbeSet	A	P-Value	High=>	Gene	Chromo some	Description
18	40763_at	0.881	0.000022	Group1	MEIS1	2p14-p13	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)
20	39771_at	0.878	0.000029	Group1	RHOBTB1	10q21.3	Rho-related BTB domain containing 1
21	31852_at	0.876	0.000034	Group1	DKFZP564O043	7p21	hypothetical protein DKFZp564O043
22	36878_f_at	0.876	0.000036	Group2	HLA-DQB1	6p21.3	major histocompatibility complex, class II, DQ beta 1
23	36773_f_at	0.876	0.000037	Group2	HLA-DQB1	6p21.3	major histocompatibility complex, class II, DQ beta 1
24	41609_at	0.875	0.000039	Group2	HLA-DMB	6p21.3	major histocompatibility complex, class II, DM beta
24	41059_at	0.875	0.000039	Group2	CMRF-35H	17q25.2	leukocyte membrane antigen
26	38978_at	0.874	0.000043	Group1	PAIP1	5p12	polyadenylate binding protein-interacting protein 1
27	268_at	0.873	0.000047	Group2			L34657 /FEATURE=mRNA /DEFINITION=HUMPECAM27 Homo sapiens platelet/endothelial cell adhesion molecule-1 (PECAM-1)gene, exon 16 and complete cds
28	36473_at	0.871	0.000057	Group1	USP20	9q34.2	ubiquitin specific protease 20
29	33278_at	0.870	0.00006	Group1	SAH	16p13.11	SA hypertension-associated homolog (rat)
30	37398_at	0.870	0.000062	Group2	PECAM1	17q23	platelet/endothelial cell adhesion molecule (CD31 antigen)
31	37033_s_at	0.868	0.000073	Group2			H.sapiens unspliced mRNA for glutathione peroxidase
32	34332_at	0.865	0.000103	Group2	GNPI	5q21	glucosamine-6-phosphate isomerase
33	34741_at	0.862	0.000127	Group1	TFDP2	3q23	transcription factor Dp-2 (E2F dimerization partner 2)
34	41348_at	0.861	0.000141	Group1	IRX5	16q11.2-q13	iroquois homeobox protein 5
35	38338_at	0.861	0.000144	Group2	RRAS	19q13.3-qter	related RAS viral (r-ras) oncogene homolog
36	35158_at	0.860	0.000152	Group1	MYCN	2p24.1	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
37	2042_s_at	0.860	0.000164	Group1	MYB	6q22-q23	v-myb myeloblastosis viral oncogene homolog (avian)
38	38073_at	0.857	0.000202	Group1	RNMT	18p11.22-p11.23	RNA (guanine-7-) methyltransferase
39	41027_at	0.857	0.000208	Group1	FOXC1	6p25	forkhead box C1
40	35019_at	0.856	0.000219	Group1	ZNF254	19p13.12-p13.11	zinc finger protein 254
41	33279_s_at	0.856	0.00023	Group1	SAH	16p13.11	SA hypertension-associated homolog (rat)
42	2045_s_at	0.856	0.000236	Group2	HCK	20q11-q12	hemopoietic cell kinase
43	507_s_at	0.855	0.000249	Group1	ELF2	4q28	E74-like factor 2 (ets domain transcription factor)
44	35319_at	0.855	0.000255	Group1	CTCF	16q21-q22.3	CCCTC-binding factor (zinc finger protein)
45	40187_at	0.854	0.000268	Group1	DDX52	17q21.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
46	34417_at	0.853	0.000297	Group1	FLJ36166	7q22.1	hypothetical protein FLJ36166
47	32696_at	0.853	0.000305	Group1	PBX3	9q33-q34	pre-B-cell leukemia transcription factor 3
48	41381_at	0.852	0.000321	Group1	FLJ12178	16q12.2	hypothetical protein FLJ12178
48	38050_at	0.852	0.000321	Group1	BTF	6q22-q23	Bcl-2-associated transcription factor
50	31432_g_at	0.852	0.000338	Group2	FCGRT	19q13.3	Fc fragment of IgG, receptor, transporter, alpha
51	37383_f_at	0.851	0.000364	Group2	HLA-C	6p21.3	major histocompatibility complex, class I, C
52	40242_at	0.850	0.000393	Group1	THOC1	18p11.32	THO complex 1
53	38748_at	0.849	0.000435	Group1	ADARB1	21q22.3	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)
54	41038_at	0.849	0.000446	Group2	NCF2	1q25	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)
55	35869_at	0.848	0.000469	Group2	LY86	6p24.3	lymphocyte antigen 86
56	41529_g_at	0.847	0.000506	Group1	LOC130074	2q21.2	hypothetical protein LOC130074
