gene	geneid	Z-ESR1	Z-ERBB2	Z-AURKA	Z-survival	cytoband	alias	description
CENPE	1062	-4.9755	-0.719645	29.4195	6.36843	4q24-q25	KIF10	centromere protein E, 312kDa
MYBL2	4605	-11.2537	2.57081	29.3717	8.66124	20q13.1	B-MYB|BMYB|MGC15600	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
EZH2	2146	-8.70451	-3.17332	29.3561	7.33735	7q35-q36	ENX-1|EZH1|MGC9169	enhancer of zeste homolog 2 (Drosophila)
CCNB1	891	-1.37982	2.66794	29.2514	6.67176	5q12	CCNB	cyclin B1
TTK	7272	-13.2776	-3.18863	29.1271	5.75896	6q13-q21	ESK|FLJ38280|MPS1L1|PYT	TTK protein kinase
SPAG5	10615	-0.922965	11.3856	29.0887	7.65814	17q11.2	DEEPEST|MAP126|hMAP126	sperm associated antigen 5
KIFC1	3833	-6.15027	-1.12495	28.9603	7.23845	6p21.3	HSET|KNSL2|MGC1202|MGC149736|MGC149737|MKLP2|RAB6-KIFL	kinesin family member C1
KIF4A	24137	-6.24577	-1.91497	28.924	6.19498	Xq13.1	FLJ12530|FLJ12655|FLJ14204|FLJ20631|HSA271784|KIF4|KIF4-G1	kinesin family member 4A
HMMR	3161	-1.83841	-1.80342	28.7556	7.74107	5q33.2-qter	CD168|IHABP|MGC119494|MGC119495|RHAMM	hyaluronan-mediated motility receptor (RHAMM)
KPNA2	3838	-4.9543	4.87768	28.6239	6.56966	17q23.1-q23.3	IPOA1|QIP2|RCH1|SRP1alpha	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
CEP55	55165	-8.54027	-1.12939	28.6178	8.50906	10q23.33	C10orf3|FLJ10540|URCC6	centrosomal protein 55kDa
KNTC2	10403	-9.81499	-3.76477	28.3522	6.54784	18p11.32	HEC|HEC1|NDC80|hsNDC80	kinetochore associated 2
KIF23	9493	-5.87905	-2.79585	28.2508	7.86815	15q23	CHO1|KNSL5|MKLP-1|MKLP1	kinesin family member 23
UBE2S	27338	-3.1225	0.605023	28.2037	7.0914	19q13.43	E2-EPF	ubiquitin-conjugating enzyme E2S
CSE1L	1434	3.55858	-0.680716	28.1746	6.40911	20q13	CAS|CSE1|MGC117283|MGC130036|MGC130037|XPO2	CSE1 chromosome segregation 1-like (yeast)
TROAP	10024	-0.222476	1.55174	28.055	6.59937	12q13.12	TASTIN	trophinin associated protein (tastin)
NCAPG	64151	-6.3287	-2.24041	27.8872	5.70206	4p15.33	CAPG|CHCG|FLJ12450|HCAP-G|MGC126525|NY-MEL-3	non-SMC condensin I complex, subunit G
KIF11	3832	-3.51102	-2.15797	27.764	6.57195	10q24.1	EG5|HKSP|KNSL1|TRIP5	kinesin family member 11
PCNA	5111	-0.326121	-3.38895	27.7042	6.21533	20pter-p12	MGC8367	proliferating cell nuclear antigen
ASPM	259266	-7.54656	-1.72773	27.4894	7.44176	1q31	ASP|Calmbp1|DKFZp686N06184|FLJ10517|FLJ10549|FLJ43117|MCPH5	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
KIAA0101	9768	2.46352	2.63335	27.432	6.89916	15q22.31	L5|NS5ATP9|OEATC-1|p15(PAF)	KIAA0101
BUB1B	701	-4.28415	0.800559	27.431	6.58235	15q15	BUB1beta|BUBR1|Bub1A|MAD3L|SSK1|hBUBR1	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
NCAPH	23397	-7.85941	-1.2929	27.3622	5.74494	2q11.2	BRRN1|CAP-H|HCAP-H	non-SMC condensin I complex, subunit H
MLF1IP	79682	-0.123272	4.22748	27.1925	7.49116	4q35.1	CENP-50|CENP-U|CENP-U(50)|CENPU|FLJ23468|KLIP1	MLF1 interacting protein
CDKN3	1033	-5.44463	2.56498	27.1696	7.3809	14q22	CDI1|CIP2|FLJ25787|KAP|KAP1|MGC70625	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
TACC3	10460	-3.01955	0.668306	27.0815	5.25367	4p16.3	ERIC1|MGC117382|MGC133242	transforming, acidic coiled-coil containing protein 3
CDC25C	995	0.799387	-0.374217	27.0079	5.38041	5q31	CDC25	cell division cycle 25 homolog C (S. cerevisiae)
TIMELESS	8914	5.54429	2.42914	26.9792	7.06491	12q12-q13	FLJ12640|FLJ20714|TIM|TIM1|hTIM	timeless homolog (Drosophila)
CDC20	991	-9.52356	-0.117395	26.6635	6.35385	1p34.1	CDC20A|MGC102824|bA276H19.3|p55CDC	cell division cycle 20 homolog (S. cerevisiae)
UBE2T	29089	-0.42718	2.39032	26.4506	7.75947	1q32.1	HSPC150|PIG50	ubiquitin-conjugating enzyme E2T (putative)
MCM6	4175	-13.1095	-1.9549	26.4493	6.90187	2q21	MCG40308|Mis5|P105MCM	minichromosome maintenance deficient 6 homolog (S. cerevisiae)
LMNB1	4001	-4.41032	-0.22346	26.3655	6.12164	5q23.3-q31.1	LMN|LMN2|LMNB|MGC111419	lamin B1
RAE1	8480	9.57974	3.74935	26.2426	5.70101	20q13.31	FLJ30608|MGC117333|MGC126076|MGC126077|MIG14|MRNP41|Mnrp41|dJ481F12.3|dJ800J21.1	RAE1 RNA export 1 homolog (S. pombe)
DTL	51514	1.13465	-0.386465	26.2333	6.79766	1q32.1-q32.2	CDT2|DCAF2|L2DTL|RAMP	denticleless homolog (Drosophila)
NUSAP1	51203	-1.20179	0.155231	26.1582	6.50336	15q15.1	ANKT|BM037|FLJ13421|LNP|PRO0310p1|Q0310|SAPL	nucleolar and spindle associated protein 1
PBK	55872	-0.750604	-5.28837	25.9738	6.12493	8p21.2	FLJ14385|Nori-3|SPK|TOPK	PDZ binding kinase
FEN1	2237	-4.18812	-1.33849	25.6863	6.53173	11q12	FEN-1|MF1|RAD2	flap structure-specific endonuclease 1
STIL	6491	-10.2705	-5.92277	25.6105	5.67084	1q32|1p32	DKFZp686O09161|SIL	SCL/TAL1 interrupting locus
CENPN	55839	-9.75349	-2.79065	25.5917	7.53713	16q23.2	BM039|C16orf60|CENP-N|FLJ13607|FLJ22660	centromere protein N
ANLN	54443	-10.4762	-0.687319	25.5157	6.01116	7p15-p14	ANILLIN|DKFZp779A055|Scraps|scra	anillin, actin binding protein
AURKB	9212	-10.1941	-2.79612	25.4166	6.54771	17p13.1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|STK12|STK5	aurora kinase B
KIF15	56992	-5.22277	-1.08267	25.2781	5.07263	3p21.31	FLJ25667|HKLP2|KNSL7|NY-BR-62	kinesin family member 15
GINS2	51659	5.73831	0.306946	25.0409	7.14503	16q24.1	HSPC037|PSF2|Pfs2	GINS complex subunit 2 (Psf2 homolog)
KIF14	9928	-5.57998	-2.52931	24.9969	5.40787	1q32.1	KIAA0042|MGC142302	kinesin family member 14
PKMYT1	9088	-0.847222	4.49162	24.9579	6.07792	16p13.3	DKFZp547K1610|FLJ20093|MYT1	protein kinase, membrane associated tyrosine/threonine 1
CCNE2	9134	0.272959	3.39513	24.8171	7.66102	8q22.1	CYCE2	cyclin E2
FAM64A	54478	-7.73718	-5.06203	24.7817	6.21629	17p13.2	FLJ10156|FLJ10491	family with sequence similarity 64, member A
DCC1	79075	-6.3285	-3.01107	24.7779	4.90173	8q24.12	MGC5528	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
RAD51	5888	-2.82571	-0.992335	24.7353	6.26204	15q15.1	BRCC5|HRAD51|HsRad51|HsT16930|RAD51A|RECA	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)
NUF2	83540	-3.44587	-2.57495	24.6906	5.7069	1q23.3	CDCA1|NUF2R	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)
MCM2	4171	-5.39329	0.228361	24.625	5.7783	3q21	BM28|CCNL1|CDCL1|D3S3194|KIAA0030|MGC10606|MITOTIN|cdc19	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
PSMA7	5688	-0.86015	2.36011	24.6249	7.01901	20q13.33	C6|HSPC|MGC3755|RC6-1|XAPC7	proteasome (prosome, macropain) subunit, alpha type, 7
CDC45L	8318	-9.28869	1.79104	24.5725	6.52598	22q11.21	CDC45|CDC45L2|PORC-PI-1	CDC45 cell division cycle 45-like (S. cerevisiae)
BLM	641	-10.8215	-3.12424	24.5294	5.09778	15q26.1	BS|MGC126616|MGC131618|MGC131620|RECQ2|RECQL2|RECQL3	Bloom syndrome
RFC4	5984	-8.83305	-7.05132	24.4519	6.14005	3q27	A1|MGC27291|RFC37	replication factor C (activator 1) 4, 37kDa
CDCA3	83461	-5.92971	-2.12673	24.2138	5.73457	12p13	GRCC8|MGC2577|TOME-1	cell division cycle associated 3
EXO1	9156	-8.36395	-1.51655	24.0513	5.69963	1q42-q43	HEX1|hExoI	exonuclease 1
H2AFZ	3015	-3.29846	4.02529	24.0155	6.41441	4q24	H2A.z|H2A/z|H2AZ|MGC117173	H2A histone family, member Z
HMGB2	3148	2.74118	-5.64558	23.8108	4.68963	4q31	HMG2	high-mobility group box 2
MKI67	4288	-5.17269	-1.0592	23.8057	6.13203	10q25-qter	KIA|Ki-67	antigen identified by monoclonal antibody Ki-67
CKS1B	1163	-8.54261	-2.95233	23.6827	6.08879	1q21.2	CKS1|PNAS-16|PNAS-18|ckshs1	CDC28 protein kinase regulatory subunit 1B
CCNA2	890	-10.2112	-2.07525	23.6459	6.38879	4q25-q31	CCN1|CCNA	cyclin A2
HN1	51155	-6.03109	7.98989	23.2639	6.77894	17q25.1	ARM2|HN1A	hematological and neurological expressed 1
RAD51AP1	10635	-8.99578	-7.3933	23.2607	5.22554	12p13.2-p13.1	PIR51	RAD51 associated protein 1
TK1	7083	-0.779988	3.21125	23.1787	4.62183	17q23.2-q25.3	TK2	thymidine kinase 1, soluble
DDX39	10212	-6.52347	0.758525	23.1384	8.07368	19p13.12	BAT1|BAT1L|DDXL|MGC18203|MGC8417|URH49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
E2F8	79733	-4.46065	-0.0963672	23.1291	5.29467	11p15.1	FLJ23311	E2F transcription factor 8
RNASEH2A	10535	-2.28252	-1.33448	23.096	5.87574	19p13.13	AGS4|JUNB|RNASEHI|RNHIA|RNHL	ribonuclease H2, subunit A
CTPS	1503	-14.7823	-5.04878	22.8777	5.74892	1p34.1	-	CTP synthase
MCM10	55388	-9.33705	-0.0138111	22.7565	5.32394	10p13	CNA43|MGC126776|PRO2249	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)
TYMS	7298	-5.02879	-4.91643	22.7335	4.00632	18p11.32	HsT422|MGC88736|TMS|TS|TSase	thymidylate synthetase
ORC6L	23594	-10.4517	-2.84946	22.7024	7.36057	16q12	ORC6	origin recognition complex, subunit 6 like (yeast)
CENPM	79019	-0.988896	0.530943	22.6758	5.96797	22q13.2	C22orf18|CENP-M|MGC861|PANE1|bK250D10.2	centromere protein M
UHRF1	29128	0.704438	1.28308	22.5973	7.26458	19p13.3	FLJ21925|ICBP90|MGC138707|Np95|RNF106	ubiquitin-like, containing PHD and RING finger domains, 1
RAD54L	8438	-8.16875	-7.71979	22.2717	5.26511	1p32	HR54|RAD54A|hHR54|hRAD54	RAD54-like (S. cerevisiae)
OIP5	11339	-2.87951	-0.851918	22.2388	5.55082	15q15.1	5730547N13Rik	Opa interacting protein 5
TCEB1	6921	2.03891	-0.0253166	22.154	6.74489	8q21.11	SIII	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)
FAM83D	81610	-7.60269	0.082315	22.1377	4.62443	20q11.22-q12	C20orf129|FLJ38341|dJ616B8.3	family with sequence similarity 83, member D
GTPBP4	23560	-13.8658	-4.77177	22.0991	5.68619	10p15-p14	CRFG|FLJ10686|FLJ10690|FLJ39774|NGB	GTP binding protein 4
CDC6	990	-2.89346	12.1595	22.0657	5.95179	17q21.3	CDC18L|HsCDC18|HsCDC6	cell division cycle 6 homolog (S. cerevisiae)
STMN1	3925	-11.1307	-6.8869	22.0649	7.07483	1p36.1-p35	LAP18|Lag|OP18|PP17|PP19|PR22|SMN	stathmin 1/oncoprotein 18
H2AFX	3014	-3.2673	3.7625	21.9816	4.67924	11q23.2-q23.3	H2A.X|H2A/X|H2AX	H2A histone family, member X
E2F1	1869	-3.72429	2.25052	21.9254	6.97511	20q11.2	E2F-1|RBBP3|RBP3	E2F transcription factor 1
ATAD2	29028	-1.57545	-2.58709	21.8976	4.03578	8q24.13	DKFZp667N1320|MGC131938|MGC142216|MGC29843|MGC5254|PRO2000	ATPase family, AAA domain containing 2
CCT5	22948	-2.86177	4.32924	21.8831	6.93371	5p15.2	CCT-epsilon|CCTE|KIAA0098|TCP-1-epsilon	chaperonin containing TCP1, subunit 5 (epsilon)
GTSE1	51512	-9.0501	-0.767568	21.8747	5.66582	22q13.2-q13.3	B99	G-2 and S-phase expressed 1
DBF4	10926	-10.2366	-1.93115	21.8382	3.92947	7q21.3	ASK|DBF4A	DBF4 homolog (S. cerevisiae)
SHCBP1	79801	-7.87768	-1.39	21.8139	7.03871	16q11.2	FLJ22009|MGC26900	SHC SH2-domain binding protein 1
C16orf61	56942	-12.2257	-1.04493	21.749	7.80087	16q23.2	2310061C15Rik|DC13	chromosome 16 open reading frame 61
MTHFD2	10797	-8.95035	5.90991	21.6276	5.24828	2p13.1	NMDMC	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
CCNE1	898	-14.0545	-3.59069	21.553	5.78312	19q12	CCNE	cyclin E1
GMPS	8833	-14.0597	-3.10877	21.4845	6.4045	3q24	-	guanine monphosphate synthetase
C20orf45	51012	5.83392	-1.34557	21.4785	5.60641	20q13.32	dJ543J19.5	chromosome 20 open reading frame 45
SNRPC	6631	-6.35807	-2.67188	21.4477	5.50417	6p21.31	FLJ20302	small nuclear ribonucleoprotein polypeptide C
DEPDC1B	55789	-3.63555	-2.22445	21.3393	5.51626	5q12.1	FLJ11252|XTP1	DEP domain containing 1B
PLK1	5347	-8.70852	-0.440273	21.277	5.42321	16p12.1	PLK|STPK13	polo-like kinase 1 (Drosophila)
ADRM1	11047	-4.14159	4.17389	21.2468	4.2802	20q13.33	GP110|MGC29536|Rpn13	adhesion regulating molecule 1
RAD54B	25788	-2.01509	-1.77176	21.2348	4.42144	8q21.3-q22	FSBP	RAD54 homolog B (S. cerevisiae)
POLQ	10721	-3.48076	-4.18467	21.1816	5.26161	3q13.33	DKFZp781A0112|POLH|PRO0327	polymerase (DNA directed), theta
POLA2	23649	2.24687	-3.08932	21.169	4.30627	11q13.1	FLJ21662|FLJ37250	polymerase (DNA directed), alpha 2 (70kD subunit)
CDT1	81620	-5.6509	-0.399952	21.1603	5.15971	16q24.3	DUP|RIS2	chromatin licensing and DNA replication factor 1
RECQL4	9401	1.87743	-0.652047	21.1451	4.56326	8q24.3	RECQ4|RTS	RecQ protein-like 4
CHEK1	1111	-11.7652	-2.76033	21.0577	4.15235	11q24-q24	CHK1	CHK1 checkpoint homolog (S. pombe)
KNTC1	9735	-1.02245	-3.5835	20.8698	3.00479	12q24.31	FLJ36151|KIAA0166|ROD	kinetochore associated 1
C21orf45	54069	-2.70368	1.88474	20.785	4.7972	21q22.11	B28|C21orf46|FASP1	chromosome 21 open reading frame 45
KIF18A	81930	-4.6606	-0.733469	20.6427	4.9146	11p14.1	DKFZP434G2226	kinesin family member 18A
ASF1B	55723	-1.26046	-1.87328	20.627	3.75143	19p13.12	CIA-II|FLJ10604	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
CASC5	57082	-0.341049	-2.01173	20.624	3.82137	15q14	AF15Q14|D40|KIAA1570	cancer susceptibility candidate 5
SNRPD1	6632	-4.46346	-5.3213	20.6122	4.42963	18q11.2	HsT2456|SMD1|SNRPD	small nuclear ribonucleoprotein D1 polypeptide 16kDa
SQLE	6713	-2.41438	6.29037	20.5456	4.8288	8q24.1	-	squalene epoxidase
DPM1	8813	1.05439	-1.7911	20.4224	5.80783	20q13.13	CDGIE|MPDS	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
PLK4	10733	-1.60679	0.482428	20.3995	4.62788	4q28	SAK|STK18	polo-like kinase 4 (Drosophila)
MCM3	4172	-7.87307	-1.70075	20.392	5.81875	6p12	HCC5|MGC1157|P1-MCM3|P1.h|RLFB	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
C20orf20	55257	1.08498	-0.439903	20.3897	5.18523	20q13.33	Eaf7|FLJ10914|MRG15BP|MRGBP	chromosome 20 open reading frame 20
PSMD14	10213	-5.305	2.02641	20.2905	5.63807	2q24.2	PAD1|POH1|rpn11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14
CDCA5	113130	-4.14779	1.14002	20.2522	5.80327	11q12.1	MGC16386	cell division cycle associated 5
EBP	10682	-1.33478	4.05677	20.1293	6.29667	Xp11.23-p11.22	CDPX2|CHO2|CPX|CPXD	emopamil binding protein (sterol isomerase)
GGH	8836	-11.1388	-2.77332	20.1243	6.30508	8q12.3	GH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
FAM54A	113115	-7.62417	-1.52567	20.0945	4.66796	6q23.3	DUFD1	family with sequence similarity 54, member A
CDC25B	994	-11.2173	-1.55394	20.0915	7.34092	20p13	-	cell division cycle 25 homolog B (S. cerevisiae)
KIAA1794	55215	-2.2224	2.13161	20.0139	6.16684	15q25-q26	FLJ10719	KIAA1794
PSMD2	5708	-3.38945	-0.33334	19.9006	7.97536	3q27.1	MGC14274|P97|S2|TRAP2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2
FAM72A	653573	-6.24523	-3.4556	19.8851	2.74067	1q32.1	GCUD2|MGC57827	family with sequence similarity 72, member A
TMEM97	27346	6.18184	9.14869	19.7508	4.56983	17q11.2	MAC30	transmembrane protein 97
FBXO5	26271	-5.10886	-2.46871	19.7196	6.41113	6q25-q26	EMI1|FBX5|Fbxo31	F-box protein 5
LMNB2	84823	-10.7893	-0.838598	19.6491	5.90023	19p13.3	LAMB2|LMN2|MGC2721	lamin B2
DTYMK	1841	1.39269	2.11499	19.6069	4.8791	2q37.3	CDC8|TMPK|TYMK	deoxythymidylate kinase (thymidylate kinase)
GPSM2	29899	-8.70444	-4.22093	19.6066	4.8259	1p13.3	LGN|Pins	G-protein signalling modulator 2 (AGS3-like, C. elegans)
C15orf42	90381	-6.19507	-1.1084	19.5901	6.51655	15q26.1	FLJ41618|MGC45866	chromosome 15 open reading frame 42
FLJ20105	54821	-5.61542	1.07055	19.57	4.75403	Xq13.1	MGC131695	FLJ20105 protein
CENPK	64105	0.207353	-3.74817	19.521	4.78309	5p15.2-q12.3	AF5alpha|CENP-K|FKSG14|P33|Solt	centromere protein K
C12orf48	55010	-4.11952	-3.53542	19.4653	4.63492	12q23.2	FLJ20641	chromosome 12 open reading frame 48
K-ALPHA-1	10376	-3.71944	0.175399	19.4626	5.05498	12q13.12	-	alpha tubulin
IQGAP3	128239	-1.35728	-1.14118	19.2314	5.21193	1q22-q23.1	MGC10170|MGC10831|MGC1947	IQ motif containing GTPase activating protein 3
C15orf23	90417	-3.69739	-2.11281	19.2097	5.62473	15q15.1	FLJ14502|HSD11|MGC141728|MGC141729	chromosome 15 open reading frame 23
XPOT	11260	-7.14809	-2.05353	19.201	5.82775	12q14.2	XPO3	exportin, tRNA (nuclear export receptor for tRNAs)
CKAP5	9793	-1.71987	-1.19924	19.1968	4.23865	11p11.2	FLJ35359|KIAA0097|TOG|TOGp|ch-TOG	cytoskeleton associated protein 5
SNRPA1	6627	-7.40157	-1.56553	19.1317	5.62944	15q26.3	-	small nuclear ribonucleoprotein polypeptide A
TAF4	6874	7.04104	2.09634	19.0865	3.28526	20q13.33	FLJ41943|TAF2C|TAF2C1|TAF4A|TAFII130|TAFII135	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa
CDC7	8317	-8.28019	-5.3012	19.0707	4.93083	1p22	CDC7L1|HsCDC7|Hsk1|MGC117361|MGC126237|MGC126238|huCDC7	cell division cycle 7 homolog (S. cerevisiae)
ARL6IP1	23204	10.9112	-2.92154	18.9714	1.81294	16p12-p11.2	AIP1|ARL6IP|ARMER|KIAA0069	ADP-ribosylation factor-like 6 interacting protein 1
LAGE3	8270	2.85351	3.63438	18.9658	5.5476	Xq28	CVG5|DXS9879E|DXS9951E|ESO3|ITBA2	L antigen family, member 3
PRIM1	5557	6.54371	-1.83129	18.9598	2.2879	12q13	MGC12308|p49	primase, polypeptide 1, 49kDa
C6orf173	387103	-13.6665	-3.79509	18.9194	5.78934	6q22.32	CUG2|DKFZp686L1553	chromosome 6 open reading frame 173
CKAP2	26586	-3.52974	-3.02317	18.7882	5.64543	13q14	FLJ10749|LB1|TMAP|se20-10	cytoskeleton associated protein 2
APOBEC3B	9582	-12.0761	-4.54567	18.7415	3.74161	22q13.1-q13.2	APOBEC1L|ARCD3|ARP4|DJ742C19.2|FLJ21201|PHRBNL|bK150C2.2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
WDR51A	25886	-0.559452	-0.263956	18.7115	2.98207	3p21.1	DKFZP434C245|MGC131902	WD repeat domain 51A
NUDT1	4521	-6.48042	-0.052257	18.6619	4.69653	7p22	MTH1	nudix (nucleoside diphosphate linked moiety X)-type motif 1
ECT2	1894	-3.9558	3.46824	18.6116	5.7839	3q26.1-q26.2	FLJ10461|MGC138291	epithelial cell transforming sequence 2 oncogene
TOPBP1	11073	0.939967	-6.24863	18.5986	3.17369	3q22.1	TOP2BP1	topoisomerase (DNA) II binding protein 1
POP7	10248	-0.941314	1.97825	18.5797	3.7284	7q22	0610037N12Rik|RPP2|RPP20	processing of precursor 7, ribonuclease P subunit (S. cerevisiae)
SNRPG	6637	-6.30599	-2.10257	18.556	4.00748	2p14	MGC117317|SMG	small nuclear ribonucleoprotein polypeptide G
C20orf24	55969	-4.47991	0.673042	18.5143	5.47625	20q11.23	PNAS-11|RIP5	chromosome 20 open reading frame 24
YTHDF1	54915	8.82762	3.89068	18.481	4.74803	20q13.33	C20orf21|FLJ20391	YTH domain family, member 1
TPI1	7167	-8.00298	-0.405872	18.4733	6.61264	12p13	MGC88108|TPI	triosephosphate isomerase 1
NCAPG2	54892	-4.28182	-2.59132	18.4227	4.74572	7q36.3	CAP-G2|FLJ20311|LUZP5|MTB|hCAP-G2	non-SMC condensin II complex, subunit G2
DNMT3B	1789	-6.58709	6.07647	18.3085	6.60647	20q11.2	ICF|M.HsaIIIB	DNA (cytosine-5-)-methyltransferase 3 beta
WDHD1	11169	-2.32728	-1.6084	18.3012	5.25883	14q22.3	AND-1	WD repeat and HMG-box DNA binding protein 1
FANCA	2175	-7.11586	-3.65193	18.2816	5.5564	16q24.3	FA|FA-H|FA1|FAA|FACA|FAH|FANCH|MGC75158	Fanconi anemia, complementation group A
C13orf34	79866	-6.97638	-3.35829	18.2737	3.54109	13q22.1	BORA|FLJ22624|RP11-342J4.2	chromosome 13 open reading frame 34
CHAF1B	8208	-4.5633	-2.11139	18.2612	4.48766	21q22.13	CAF-1|CAF-IP60|CAF1|CAF1A|CAF1P60|MPHOSPH7|MPP7	chromatin assembly factor 1, subunit B (p60)
RAB22A	57403	4.81991	2.81473	18.2583	6.39361	20q13.32	MGC16770	RAB22A, member RAS oncogene family
C13orf3	221150	-6.10093	-0.960225	18.2514	4.96188	13q12.11	MGC4832|RAMA1	chromosome 13 open reading frame 3
MTERFD1	51001	-3.44269	-2.14769	18.2497	4.69853	8q22.1	CGI-12|FLJ10939	MTERF domain containing 1
PFDN4	5203	1.47777	-4.51269	18.2157	3.41385	20q13.2	C1|PFD4	prefoldin subunit 4
BYSL	705	-11.0719	-0.80658	18.1171	5.83708	6p21.1	BYSTIN	bystin-like
