Name	Accession (Pathways)	Accession (cDNA)	Symbol	UGCluster	Linear fold change (cDNA)	Linear fold change (Pathways)	p-value (Pathways)	p-value (cDNA)
Presenilin 2 (Alzheimer disease 4)	NM_000447	NM_000447	PSEN2	Hs.25363	1.84	1.12	0.11910613	0.000290516
Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	NM_015850	NM_023109	FGFR1	Hs.264887	2.80	1.09	0.020134185	5.40562E-06
Jun D proto-oncogene	NM_005354	AA418670	JUND	Hs.2780	-2.36	-1.58	0.039832979	1.81713E-05
Gap junction protein, alpha 4, 37kDa (connexin 37)	NM_002060	NM_002060	GJA4	Hs.296310	2.39	1.30	0.196621779	6.43675E-05
Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	NM_000362	NM_000362.3	TIMP3	Hs.297324	1.95	1.32	0.051061858	0.000183941
Matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	NM_004994	T72581	MMP9	Hs.297413	1.83	1.43	0.125215617	0.00023205
Src family associated phosphoprotein 1	NM_003726	NM_003726	SCAP1	Hs.316931	2.22	1.75	0.019296972	7.93103E-05
Baculoviral IAP repeat-containing 4	NM_001167	BC032729.1	BIRC4	Hs.356076	1.84	1.20	0.107742587	0.000265567
V-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	NM_005235	AF007153	ERBB4	Hs.390729	2.15	-1.05	0.312376886	0.000246235
Interferon regulatory factor 4	NM_002460	AA825491	IRF4	Hs.401013	-1.78	1.69	0.006457581	6.15237E-05
Insulin-like growth factor binding protein 1	NM_000596	NM_000596	IGFBP1	Hs.401316	2.07	1.16	0.480885437	3.82167E-05
Wilms tumor 1	NM_000378	NM_024426	WT1	Hs.408453	1.54	1.33	0.016463429	0.000298856
Epidermal growth factor (beta-urogastrone)	NM_001963	NM_001963	EGF	Hs.419815	1.92	1.08	0.598390687	0.000114909
Msh homeo box homolog 1 (Drosophila)	NM_002448	NM_002448	MSX1	Hs.424414	2.07	1.15	0.472986709	4.75484E-05
Protein tyrosine phosphatase, receptor type, B	NM_002837	NM_002837	PTPRB	Hs.434375	2.31	-1.00	0.984701608	6.60996E-05
Epithelial membrane protein 1	NM_001423	NM_001423	EMP1	Hs.436298	2.31	3.15	0.005725606	2.3631E-05
E2F transcription factor 5, p130-binding	NM_001951	NM_001951	E2F5	Hs.445758	1.60	1.03	0.899872291	0.000213234
Platelet-derived growth factor receptor-like	NM_006207	NM_006207	PDGFRL	Hs.458573	2.58	1.11	0.137352203	6.7282E-05
Nitric oxide synthase 2A (inducible, hepatocytes)	AB022318	NM_000625	NOS2A	Hs.462525	2.37	1.17	0.089946229	3.52184E-05
Keratin 13	NM_002274	NM_002274	KRT13	Hs.463032	2.03	1.17	0.265084498	0.000265801
Non-metastatic cells 2, protein (NM23B) expressed in	NM_002512	NM_002512	NME2	Hs.463456	-1.84	-1.33	0.015501586	0.00018823
CD97 antigen	NM_078481	NM_078481	CD97	Hs.466039	-1.62	-1.76	0.009343845	3.55699E-05
Pleckstrin	NM_002664	NM_002664	PLEK	Hs.468840	-1.84	-1.32	0.013089638	0.000303861
Protein tyrosine phosphatase type IVA, member 2	U14603	BC018662	PTP4A2	Hs.470477	-1.57	-1.19	0.224658603	0.000243197
Protein tyrosine phosphatase type IVA, member 2	U14603	BC018662	PTP4A2	Hs.470477	-1.47	-1.19	0.224658603	0.000224422
Protein tyrosine phosphatase type IVA, member 2	U14603	NM_003479	PTP4A2	Hs.470477	-1.48	-1.19	0.224658603	0.000290683
Chemokine orphan receptor 1	BC008459	BC036661	CMKOR1	Hs.471751	1.82	1.43	0.061335238	0.000192941
Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	NM_002715	NM_002715	PPP2CA	Hs.483408	-1.33	-1.30	0.014541236	8.51592E-05
V-yes-1 Yamaguchi sarcoma viral related oncogene homolog	NM_002350	NM_002350	LYN	Hs.491767	-1.87	-1.35	0.050279074	2.70551E-05
Ets variant gene 6 (TEL oncogene)	NM_001987	NM_001987	ETV6	Hs.504765	1.58	1.26	0.093214207	0.000256357
Werner syndrome	AF091214	NM_000553	WRN	Hs.512715	1.98	-1.02	0.895726511	0.00018781
Fibroblast activation protein, alpha	NM_004460	AL832166	FAP	Hs.516493	2.01	1.32	0.079709145	0.000188694
T-cell lymphoma invasion and metastasis 1	NM_003253	U90902	TIAM1	Hs.517228	1.84	1.26	0.074380059	0.000259811
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.58	-1.14	0.263668756	7.92854E-05
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.63	-1.14	0.263668756	4.3737E-05
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.64	-1.14	0.263668756	1.88175E-05
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.59	-1.14	0.263668756	5.34559E-05
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.58	-1.14	0.263668756	3.59377E-05
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.58	-1.14	0.263668756	0.000273989
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.58	-1.14	0.263668756	0.000236992
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.56	-1.14	0.263668756	0.000245477
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.58	-1.14	0.263668756	3.69986E-05
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.61	-1.14	0.263668756	0.000221905
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.59	-1.14	0.263668756	0.000252665
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.61	-1.14	0.263668756	9.58602E-05
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.58	-1.14	0.263668756	0.00018729
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.58	-1.14	0.263668756	0.000309578
Actin, beta	NM_001101	X00351	ACTB	Hs.520640	-1.58	-1.14	0.263668756	0.000163123
V-jun sarcoma virus 17 oncogene homolog (avian)	NM_002228	NM_002228	JUN	Hs.525704	-1.85	-1.52	0.065210529	0.000100826
Small nuclear ribonucleoprotein polypeptide A	NM_003090	NM_003090	SNRPA1	Hs.528763	-1.48	-1.29	0.07312653	0.000289695
Vimentin	NM_003380	NM_003380	VIM	Hs.533317	-2.28	-1.45	0.032968647	1.75072E-05
Vasoactive intestinal peptide	NM_003381	NM_003381	VIP	Hs.53973	1.68	1.01	0.935298279	0.000260989
Glyceraldehyde-3-phosphate dehydrogenase	NM_002046	X01677	GAPD	Hs.544577	-1.51	-1.78	0.019394602	0.000297522
Janus kinase 1 (a protein tyrosine kinase)	NM_002227	AA284634	JAK1	Hs.551505	1.90	1.07	0.268091513	8.6306E-05
Plasminogen activator, urokinase	NM_002658	NM_002658	PLAU	Hs.77274	1.57	1.16	0.023359793	0.00025961
Protocadherin 1 (cadherin-like 1)	NM_002587	BC035812.1	PCDH1	Hs.79769	1.88	1.15	0.016098515	0.000260123
Pim-1 oncogene	NM_002648	NM_002648	PIM1	Hs.81170	-1.91	-1.74	0.004191986	0.000294348
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NM_020529	NM_020529	NFKBIA	Hs.81328	-2.37	-1.75	0.048139141	6.42665E-05
Casein kinase 2, alpha prime polypeptide	NM_001896	NM_001896	CSNK2A2	Hs.82201	1.56	1.07	0.523153057	0.000162439
EPH receptor A1	NM_005232	NM_005232	EPHA1	Hs.89839	1.91	1.20	0.026447833	0.000149624
