Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
AA412053	CD9 antigen (p24)	CD9	928	727251	1.083165	+
AA434159	regulator of G-protein signalling 19 interacting protein 1	RGS19IP1	10755	770614	1.082171	+
BX103678	hypothetical protein FLJ10702	FLJ10702	55207	39677	1.080815	-
AA679454	steroidogenic acute regulatory protein	STAR	6770	859858	1.077927	-
AI360772	myosin IF	MYO1F	4542	2010562	1.074894	-
AA115076	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	CITED2	10370	491565	1.074509	-
H63077	annexin A1	ANXA1	301	208718	1.072641	-
AA491191	interferon, gamma-inducible protein 16	IFI16	3428	824602	1.069929	+
R51936	CD68 antigen	CD68	968	154185	1.069884	-
AA428365	Multiple Cluster Hits:348415&16003	SYNCOILIN / RBBP4	81493, 5928	773599	1.06619	+
AI668850	ubiquitin specific protease 22	USP22	23326	2312140	1.063508	+
BX102294	brix domain containing 1	BXDC1	84154	773331	1.062916	-
AA082179	Multiple Cluster Hits:136732&252229	MAFG	4097	550141	1.062648	-
T67053	Hs cDNA FLJ26905 fis, clone RCT01427, highly similar to Ig lambda chain C regions		0	66560	1.059946	+
H18531	Hs clone IMAGE:5728597, mRNA		375159	50877	1.058405	+
W94120	fumarylacetoacetate hydrolase (fumarylacetoacetase)	FAH	2184	357626	1.057495	-
AA133212	nuclear receptor coactivator 4	NCOA4	8031	490805	1.056589	-
AA911900	tuftelin interacting protein 11	TFIP11	24144	1457350	1.054985	+
AA625567	Hs mRNA; cDNA DKFZp779O175 (from clone DKFZp779O175)		374899	745283	1.051865	+
AI831446	mitogen-activated protein kinase-activated protein kinase 3	MAPKAPK3	7867	2406134	1.048274	-
H59000	nuclear factor (erythroid-derived 2), 45kDa	NFE2	4778	207794	1.04407	-
AI811492	anti-Mullerian hormone	AMH	268	2262455	1.040496	+
T50520	zinc finger RNA binding protein	ZFR	51663	72666	1.039297	-
W68711	DKFZp547P234 protein	DKFZp547P234	203197	342685	1.029095	+
AA434297	solute carrier family 12 (potassium/chloride transporters), member 7	SLC12A7	10723	770838	1.027021	+
AA497010	Hs, clone IMAGE:5288883, mRNA		0	897547	1.025565	+
T98200	hypothetical protein FLJ11127	FLJ11127	54491	121798	1.021455	-
AA485865	interleukin 7 receptor	IL7R	3575	840460	1.021352	+
N23606	SRY (sex determining region Y)-box 4	SOX4	6659	250869	1.020668	+
AA420981	lymphocyte-specific protein tyrosine kinase	LCK	3932	730410	1.020476	+
BX107300	CD68 antigen	CD68	968	739183	1.017428	-
T77388	DKFZp547P234 protein	DKFZp547P234	203197	23579	1.015664	+
AA125915	ribophorin I	RPN1	6184	502690	1.015462	-
R21644	intercellular adhesion molecule 2	ICAM2	3384	130201	1.013859	+
AA043416	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	CES1	1066	487458	1.009344	-
W40475	CD44 antigen (homing function and Indian blood group system)	CD44	960	328868	1.003836	-
BX118038	spermatid perinuclear RNA binding protein	STRBP	55342	814915	1.00271	+
R27644	synaptobrevin-like 1	SYBL1	6845	134476	1.000707	-
T65739	interleukin 7 receptor	IL7R	3575	80344	0.998636	+
W85998	RNA binding motif, single stranded interacting protein 2	RBMS2	5939	416107	0.997337	-
T64433	Hs cDNA FLJ40637 fis, clone THYMU2015984		0	80292	0.997321	-
AA992906	KIAA1393	KIAA1393	57570	1624213	0.997196	-
AA136710	glyoxalase I	GLO1	2739	491001	0.997098	-
AA102276	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	PSME2	5721	511043	0.993465	+
H96437	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	1650	251135	0.993354	-
BX092674	Human clone 23948 mRNA sequence		0	49567	0.990876	+
R36464	Hs transcribed sequences		0	136819	0.988974	-
N49384	MAX interacting protein 1	MXI1	4601	277611	0.987941	-
R72243	2-5-oligoadenylate synthetase 2, 69/71kDa	OAS2	4939	155806	0.985599	+
AA486145	thymosin, beta 10	TMSB10	9168	840788	0.985253	+
AA491099	CD99 antigen-like 2	CD99L2	83692	824552	0.985231	-
W96149	hepatocellular carcinoma-associated antigen 127	HCA127	55906	358549	0.978253	+
