U133 probe set	Gene description	Symbol	Location	GenBank Reference	Chi-square	T-ALL above/below mean	Fold change	old or new
206231_at	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	KCNN1	19p13.1	NM_002248.2	64	 Above	72.7	 old
208056_s_at	Core-binding factor, runt domain, alpha subunit 2; translocated to, 3	CBFA2T3	16q24	NM_005187.2	63	 Above	2.5	 old
211222_s_at	Huntingtin-associated protein 1 (neuroan 1)	HAP1	17q21.2	AF040723.1	63	 Above	80.8	 new
223468_s_at	hypothetical protein from EUROIMAGE 363668 RGM: likely ortholog of chicken repulsive guidance molecule	RGM	15q26.1	AL136826.1	63	 Above	10.6	 new
227266_s_at	FYN-binding protein	FYB	5p13.1	BF679849	63	 Above	3.1	 old
228158_at	ESTs, Highly similar to A43542 lymphocyte-specific protein 1 - human		2p11.1	AI623211	63	 Above	7.9	 new
37986_at	Eerythropoietin receptor	EPOR	19p13.2	M60459	63	 Above	15.5	 old
203464_s_at	Epsin 2	EPN2	17p11.1	NM_014964.1	62.9	 Above	43.3	 new
213317_at	chloride intracellular channel 5	CLIC5	6p21.1	AL049313.1	62.9	 Above	99.3	 old
213423_x_at	Putative prostate cancer tumor suppressor	N33	 8p22	AI884858	62.9	 Above	15.7	 new
226817_at	Desmocollin 2	DSC2	18q12.1	AU154691	62.9	 Above	48.3	 new
227862_at	ESTs, Weakly similar to  hypothetical protein FLJ22184		1p35.1	AA037766	62.9	 Above	14.7	 new
229339_at	EST			AI093327	62.9	 Above	31.1	 new
211795_s_at	FYN binding protein	FYB	5p13.1	AF198052.1	59.4	 Above	4.1	 old
218627_at	Hypothetical protein FLJ11259	FLJ11259	12q23.1	NM_018370.1	57.9	 Above	4.6	 new
221748_s_at	Tensin	TNS	2q35	AL046979	57.9	 Above	6.6	 new
200709_at	FK506 binding protein 1A (12kD)	FKBP1A	20p13	NM_000801.1	57.1	 Above	1.8	 old
204615_x_at	Isopentenyl-diphosphate delta isomerase	IDI1	10p15.3	NM_004508.1	57.1	 Above	2.6	 old
208881_x_at	Isopentenyl-diphosphate delta isomerase	IDI1	10p15.3	BC005247.1	57.1	 Above	2.6	 old
213301_x_at	Transcriptional intermediary factor 1	TIF1	7q34	AL538264	57.1	 Above	2	 new
221747_at	Tensin	TNS	2q35	AL046979	57.1	 Above	49.2	 new
224726_at	KIAA1323	KIAA1323	18q11.1	W80418	57.1	 Above	26.1	 new
231455_at	ESTs		2p25.2	AA768888	57.1	 Above	7.7	 new
232750_at	Homo sapiens cDNA FLJ13750	FLJ13750	2q35	AU158570	57.1	 Above	35	 new
209685_s_at	Protein kinase C, beta 1	PRKCB1	 16p11.2	M13975.1	53.6	 Above	1.9	 old
204404_at	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	SLC12A2	 5q23.3	NM_001046.1	53.4	 Above	2	 new
239673_at	ESTs		4q31.23	AW080999	53.4	 Above	9	 new
240950_s_at	Homo sapiens cDNA FLJ32658	FLJ32658	19q13.33	AA400740	53.4	 Above	9.9	 new
204297_at	Phosphoinositide-3-kinase, class 3	PIK3C3	 18q12.3	NM_002647.1	52.5	 Above	4.5	 old
206591_at	Recombination activating gene 1	RAG1	 11p13	NM_000448.1	52.1	 Above	5.4	 old
209962_at	Erythropoietin receptor	EPOR	19p13.2	M34986.1	52.1	 Above	17	 old
209963_s_at	Erythropoietin receptor	EPOR	19p13.2	M34986.1	52.1	 Above	7.6	 old
210186_s_at	FK506 binding protein 1A (12kD)	FKBP1A	 20p13	BC005147.1	52.1	 Above	1.8	 old
219866_at	Chloride intracellular channel 5	CLIC5	6p21.1	NM_016929.1	52.1	 Above	60.3	 old
203474_at	IQ motif containing GTPase activating protein 2	IQGAP2	 5q13.2	NM_006633.1	51.6	 Below	2.8	 old
210058_at	Mitogen-activated protein kinase 13	MAPK13	 6p21.1	BC000433.1	51.6	 Above	2.3	 new
211891_s_at	Rho guanine nucleotide exchange factor (GEF) 4	ARHGEF4	 2q22	AB042199.1	51.6	 Above	452.6	 old
214214_s_at	Complement component 1, q subcomponent binding protein	C1QBP	 17p13.3	AU151801	51.6	 Below	2	 old
218152_at	High-mobility group 20A	HMG20A	 15q24	NM_018200.1	51.6	 Above	1.7	 new
234983_at	ESTs	FLJ21415	12q24.22	BE893995	51.6	 Above	2.4	 new
240446_at	KIAA1323	KIAA1323	18q11.2	AI798164	51.6	 Above	102.2	 new
244107_at	ESTs		18q12.1	AW189097	51.6	 Above	518.9	 new
205794_s_at	Neuro-oncological ventral antigen 1	NOVA1	14q12	NM_002515.1	51.4	 Above	40.4	 new
217628_at	chloride intracellular channel 5	CLIC5	6p21.1	BF032808	51.4	 Above	87.4	 old
218804_at	Hypothetical protein FLJ10261	FLJ10261	 11q13.3	NM_018043.1	51.4	 Above	41.6	 new
230698_at	Homo sapiens mRNA; cDNA DKFZp434H205		7q11.22	AW072102	51.4	 Above	8.7	 new
225129_at	cDNA FLJ37548 fis	FLJ37548	16q13	AW170571	49.4	 Above	3	 new
201266_at	Thioredoxin reductase 1	TXNRD1	 12q23-q24.1	NM_003330.1	48.2	 Above	1.7	 old
203611_at	Telomeric repeat binding factor 2	TERF2	 16q22.1	NM_005652.1	48.2	 Above	5.3	 old
213017_at	abhydrolase domain containing 3	ABHD3	 18q11.1	AL534702	48.2	 Above	4	 new
236430_at	hypothetical protein MGC23911	MGC23911	16q22.1	AA708152	48.2	 Above	16.8	 new
209035_at	Midkine (neurite growth-promoting factor 2). 	MDK	 11p11.2	M69148.1	47.7	 Above	4.6	 old
209193_at	Pim-1 oncogene	PIM1	 6p21.2	M24779.1	47.7	 Above	2	 old
218625_at	Neuritin 1	NRN1	6p24.1	NM_016588.1	47.7	 Above	5.1	 new
226038_at	Hypothetical protein FLJ23749	FLJ23749	8p23.1	BF680438	47.7	 Above	5.2	 new
232227_at	ESTs, Moderately similar to AF161442_1 HSPC324		9q34.3	AV736391	47.7	 Above	14.7	 new
204160_s_at	Ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	ENPP4	 6p12.3	AW194947	46.5	 Above	7.2	 new
206233_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	B4GALT6	 18q11	AF097159.1	46.5	 Above	2.6	 new
218813_s_at	SH3-domain GRB2-like endophilin B2	SH3GLB2	9q34.11	NM_020145.1	46.5	 Above	6.2	 new
227111_at	Homo sapiens cDNA FLJ31099 fis, clone IMR321000230	FLJ31099	9q33	BG179317	46.5	 Above	2.7	 new
202382_s_at	Glucosamine-6-phosphate isomerase	GNPI	 5q21	NM_005471.1	46.2	 Above	5.6	 new
202838_at	Fucosidase, alpha-L- 1, tissue	FUCA1	 1p34	NM_000147.1	46.2	 Above	4.8	 old
225731_at	Hypothetical protein KIAA1223	KIAA1223	 4q26	AB033049.1	46.2	 Above	2.8	 new
225835_at	Homo sapiens cDNA: FLJ21409 fis, clone COL03924		5q23.2	AK025062.1	46.2	 Above	3.6	 new
229790_at	Telomeric repeat binding factor 2	TERF2	 16q22.1	AW006832	46.2	 Above	7.4	 old
230069_at	Hypothetical protein FLJ12876	FLJ12876	 5q35.3	BF593817	46.2	 Above	9.4	 new
235872_at	ESTs			BE408975	46.2	 Above	17.7	 new
239300_at	EST		18q12.3	AI632214	46.2	 Above	3	 new
241940_at	EST		18q11.2	BF477544	46.2	 Above	2.9	 new
203370_s_at	Enigma (LIM domain protein)	ENIGMA	 5q35.3	NM_005451.2	45.9	 Above	8.1	 new
215149_at	LOC149153:	LOC149153	1p36.32	AF052109.1	45.9	 Above	9.2	 new
217901_at	Desmoglein 2 desmosomal cadherin	DSG2	18q12.1	BF031829	45.9	 Above	6.7	 new
235333_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	B4GALT6	18q12.1	BG503479	45.9	 Above	2	 new
242881_x_at	EST			BG285837	45.9	 Above	11.8	 new
200783_s_at	Stathmin 1/oncoprotein 18 leukemia-associated phosphoprotein	STMN1	 1p35.1	NM_005563.2	45.8	 Above	1.5	 old
201334_s_at	Rho guanine nucleotide exchange factor (GEF) 12	ARHGEF12	 11q23.3	NM_015313.1	45.8	 Above	6.1	 new
203038_at	Protein tyrosine phosphatase, receptor type, K	PTPRK	6q22.33	NM_002844.1	45.8	 Above	9.1	 old
209735_at	ATP-binding cassette, sub-family G (WHITE), member 2	ABCG2	 4q22	AF098951.2	45.8	 Above	4.5	 new
212063_at	Unactive progesterone receptor, 23 kD	P23	 12q12	BE903880	45.8	 Below	7.4	 new
212399_s_at	KIAA0121 gene product	KIAA0121	 3p25.2	D50911.2	45.8	 Above	1.8	 old
212438_at	Putative nucleic acid binding protein RY-1	RY1	 2p13.1	BG252325	45.2	 Above	1.7	 old
214761_at	OLF-1/early B-cell factor associated zinc finger protein	OAZ	 16q12	AW149417	45.2	 Above	2.1	 old
