UNIQID	Affyemtrix probe ID	Signature name	Gene symbol	Gene title consensus	Function	Reference
1467613	225481_at	Stromal-1	FRMD6	FERM domain containing 6		---
1458541	208782_at	Stromal-1	FSTL1	follistatin-like 1		---
1495664	208869_s_at	Stromal-1	GABARA PL1	GABA(A) receptor-associated protein like 1		---
1497198	211458_s_at	Stromal-1	GABARA PL3	GABA(A) receptors associated protein like 3		---
1454047	31874_at	Stromal-1	GAS2L1	growth arrest-specific 2 like 1		---
1456209	204472_at	Stromal-1	GEM	GTP binding protein overexpressed in skeletal muscle		---
1456553	205100_at	Stromal-1	GFPT2	glutamine-fructose-6-phosphate transaminase 2		---
1454906	201667_at	Stromal-1	GJA1	gap junction protein, alpha 1, 43kDa (connexin 43)	Cell adhesion	---
1466256	223378_at	Stromal-1	GLIS2	GLIS family zinc finger 2		---
1468998	227070_at	Stromal-1	GLT8D2	glycosyltransferase 8 domain containing 2		---
1454689	201141_at	Stromal-1	GPNMB	glycoprotein (transmembrane) nmb		---
1454424	65718_at	Stromal-1	GPR124	G protein-coupled receptor 124		---
1469768	227970_at	Stromal-1	GPR157	Full-length cDNA clone CS0DJ007YL22 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human)		---
1469670	227846_at	Stromal-1	GPR176	G protein-coupled receptor 176		---
1503569	228950_s_at	Stromal-1	GPR177	G protein-coupled receptor 177		---
1491562	200696_s_at	Stromal-1	GSN	gelsolin (amyloidosis, Finnish type)		---
1455865	203821_at	Stromal-1	HBEGF	heparin-binding EGF-like growth factor	Regulator of the extracellular matrix	23
1460394	213069_at	Stromal-1	HEG1	HEG homolog 1 (zebrafish)		---
1493391	203903_s_at	Stromal-1	HEPH	hephaestin		---
1476411	235944_at	Stromal-1	HMCN1	hemicentin 1	Component of the extracellular matrix	---
1464461	219985_at	Stromal-1	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	Regulator of the extracellular matrix	---
1501497	221667_s_at	Stromal-1	HSPB8	heat shock 22kDa protein 8		---
1492155	201655_s_at	Stromal-1	HSPG2	heparan sulfate proteoglycan 2 (perlecan)	Component of the extracellular matrix	---
1454699	201185_at	Stromal-1	HTRA1	HtrA serine peptidase 1		---
1492786	202727_s_at	Stromal-1	IFNGR1	interferon gamma receptor 1		---
1457296	206295_at	Stromal-1	IL18	interleukin 18 (interferon-gamma-inducing factor)		---
1455447	202948_at	Stromal-1	IL1R1	interleukin 1 receptor, type I		---
1468246	226218_at	Stromal-1	IL7R	interleukin 7 receptor		---
1496558	210511_s_at	Stromal-1	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)		---
1494740	207191_s_at	Stromal-1	ISLR	immunoglobulin superfamily containing leucine-rich repeat		---
1455186	202351_at	Stromal-1	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	Cell adhesion	---
1459146	210184_at	Stromal-1	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	Cell adhesion	---
1506670	1555349_a_a t	Stromal-1	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	Cell adhesion. Integrin subunit component of LFA-1 and Mac-1	---
1491840	201125_s_at	Stromal-1	ITGB5	integrin, beta 5	Cell adhesion	---
1484774	1553243_at	Stromal-1	ITIH5	inter-alpha (globulin) inhibitor H5		---
1456612	205206_at	Stromal-1	KAL1	Kallmann syndrome 1 sequence		---
1455969	204017_at	Stromal-1	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3		---
1468523	226534_at	Stromal-1	KITLG	KIT ligand		---
1492484	202202_s_at	Stromal-1	LAMA4	laminin, alpha 4	Component of the extracellular matrix	---
1499197	216264_s_at	Stromal-1	LAMB2	laminin, beta 2 (laminin S)	Component of the extracellular matrix	---
1458719	209270_at	Stromal-1	LAMB3	laminin, beta 3	Component of the extracellular matrix	---
1492954	203041_s_at	Stromal-1	LAMP2	lysosomal-associated membrane protein 2		---
1500268	218651_s_at	Stromal-1	LARP6	La ribonucleoprotein domain family, member 6		---
1454678	201105_at	Stromal-1	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)		Cell adhesion. Interaction with the extracellular matrix
1469475	227628_at	Stromal-1	LOC49386 9	similar to RIKEN cDNA 2310016C16		---
1470966	229407_at	Stromal-1	LOC73035 1	hypothetical protein LOC730351		---
1467531	225380_at	Stromal-1	LOC91461	hypothetical protein BC007901		---
1455750	203570_at	Stromal-1	LOXL1	lysyl oxidase-like 1	Regulator of the extracellular matrix	---
1464220	219631_at	Stromal-1	LRP12	low density lipoprotein-related protein 12		---
1460911	213909_at	Stromal-1	LRRC15	leucine rich repeat containing 15		---
1456332	204682_at	Stromal-1	LTBP2	latent transforming growth factor beta binding protein 2	Component of the extracellular matrix	---
1492214	201744_s_at	Stromal-1	LUM	lumican	Component of the extracellular matrix	---
1498280	213975_s_at	Stromal-1	LYZ	lysozyme (renal amyloidosis)		---
1454133	36711_at	Stromal-1	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)		---
1468253	226225_at	Stromal-1	MCC	mutated in colorectal cancers		---
1468819	226869_at	Stromal-1	MEGF6	multiple EGF-like-domains 6		---
1455667	203417_at	Stromal-1	MFAP2	microfibrillar-associated protein 2	Regulator of the extracellular matrix	---
1496615	210605_s_at	Stromal-1	MFGE8	milk fat globule-EGF factor 8 protein		---
1459976	212472_at	Stromal-1	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2		---
1464017	219332_at	Stromal-1	MICALL2	MICAL-like 2		---
1494754	207233_s_at	Stromal-1	MITF	microphthalmia-associated transcription factor		---
1492832	202828_s_at	Stromal-1	MMP14	matrix metallopeptidase 14 (membrane-inserted)	Regulator of the extracellular matrix	---
1454664	201069_at	Stromal-1	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	Regulator of the extracellular matrix	---
1493404	203936_s_at	Stromal-1	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	Regulator of the extracellular matrix	---
1460922	213924_at	Stromal-1	MPPE1	metallophosphoesteras e 1		---
1454160	37408_at	Stromal-1	MRC2	mannose receptor, C type 2	Regulator of the extracellular matrix	---
1464233	219648_at	Stromal-1	MREG	melanoregulin		---
1467873	225782_at	Stromal-1	MSRB3	methionine sulfoxide reductase B3		---
1458873	209596_at	Stromal-1	MXRA5	matrix-remodelling associated 5		---
1498039	213422_s_at	Stromal-1	MXRA8	matrix-remodelling associated 8		---
1492687	202555_s_at	Stromal-1	MYLK	myosin, light chain kinase		---
1459893	212364_at	Stromal-1	MYO1B	myosin IB		---
1500123	218330_s_at	Stromal-1	NAV2	neuron navigator 2		---
1470574	228933_at	Stromal-1	NHS	Nance-Horan syndrome (congenital cataracts and dental anomalies)		---
1469691	227870_at	Stromal-1	NOPE	likely ortholog of mouse neighbor of Punc E11		---
1492715	202599_s_at	Stromal-1	NRIP1	nuclear receptor interacting protein 1		---
1500598	219489_s_at	Stromal-1	NXN	nucleoredoxin		---
1460187	212775_at	Stromal-1	OBSL1	obscurin-like 1		---
1463016	217525_at	Stromal-1	OLFML1	olfactomedin-like 1		---
1468437	226435_at	Stromal-1	PAPLN	papilin, proteoglycan-like sulfated glycoprotein		---
1492964	203060_s_at	Stromal-1	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2		---
1470129	228411_at	Stromal-1	PARD3B	par-3 partitioning defective 3 homolog B (C. elegans)		---
1499899	217890_s_at	Stromal-1	PARVA	parvin, alpha		---
1455230	202465_at	Stromal-1	PCOLCE	procollagen C-endopeptidase enhancer	Component of the extracellular matrix	---
1463659	218718_at	Stromal-1	PDGFC	platelet derived growth factor C	Growth factor for mesenchymal cells	---
1496101	209621_s_at	Stromal-1	PDLIM3	PDZ and LIM domain 3		---
1497279	211564_s_at	Stromal-1	PDLIM4	PDZ and LIM domain 4		---
1456435	204879_at	Stromal-1	PDPN	podoplanin		---
1455808	203688_at	Stromal-1	PKD2	polycystic kidney disease 2 (autosomal dominant)	Cell adhesion. Interaction with the extracellular matrix.	---
1494098	205479_s_at	Stromal-1	PLAU	plasminogen activator, urokinase	Regulator of the extracellular matrix	---
1495883	209210_s_at	Stromal-1	PLEKHC1	pleckstrin homology domain containing, family C (with FERM domain) member 1		---
1455009	201939_at	Stromal-1	PLK2	polo-like kinase 2 (Drosophila)		---
1492729	202620_s_at	Stromal-1	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	Regulator of the extracellular matrix	24
1459799	212235_at	Stromal-1	PLXND1	plexin D1		---
1496377	210139_s_at	Stromal-1	PMP22	peripheral myelin protein 22		---
1496744	210809_s_at	Stromal-1	POSTN	periostin, osteoblast specific factor	Component of the extracellular matrix	---
1459429	210946_at	Stromal-1	PPAP2A	phosphatidic acid phosphatase type 2A		---
1459794	212230_at	Stromal-1	PPAP2B	phosphatidic acid phosphatase type 2B		---
1493679	204518_s_at	Stromal-1	PPIC	peptidylprolyl isomerase C (cyclophilin C)		---
1465727	222288_at	Stromal-1	PPP4R2	Transcribed locus, weakly similar to NP_001013658.1 protein LOC387873 [Homo sapiens]		---
1476220	235733_at	Stromal-1	PPP4R2	Transcribed locus		---
1468663	226695_at	Stromal-1	PRRX1	paired related homeobox 1		---
1468300	226279_at	Stromal-1	PRSS23	protease, serine, 23		---
1497424	211748_x_at	Stromal-1	PTGDS	prostaglandin D2 synthase 21kDa (brain)		---
1467154	224937_at	Stromal-1	PTGFRN	prostaglandin F2 receptor negative regulator		---
1468390	226380_at	Stromal-1	PTPN21	protein tyrosine phosphatase, non-receptor type 21		---
1491526	200636_s_at	Stromal-1	PTPRF	protein tyrosine phosphatase, receptor type, F		---
1455487	203038_at	Stromal-1	PTPRK	protein tyrosine phosphatase, receptor type, K		---
1506748	1555579_s_a t	Stromal-1	PTPRM	protein tyrosine phosphatase, receptor type, M		---
1454527	200677_at	Stromal-1	PTTG1IP	pituitary tumor-transforming 1 interacting protein		---
1493532	204214_s_at	Stromal-1	RAB32	RAB32, member RAS oncogene family		---
1465506	221872_at	Stromal-1	RARRES1	retinoic acid receptor responder (tazarotene induced) 1		---
1458828	209496_at	Stromal-1	RARRES2	retinoic acid receptor responder (tazarotene induced) 2		---
1466526	223820_at	Stromal-1	RBP5	retinol binding protein 5, cellular		---
1454394	61734_at	Stromal-1	RCN3	reticulocalbin 3, EF-hand calcium binding domain		---
1468432	226430_at	Stromal-1	RELL1	receptor expressed in lymphoid tissues like 1		---
1460475	213194_at	Stromal-1	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	Cell adhesion and guidance	---
1503451	228186_s_at	Stromal-1	RSPO3	R-spondin 3 homolog (Xenopus laevis)		---
1496410	210222_s_at	Stromal-1	RTN1	reticulon 1		---
1464073	219416_at	Stromal-1	SCARA3	scavenger receptor class A, member 3		---
1471319	229839_at	Stromal-1	SCARA5	scavenger receptor class A, member 5 (putative)		---
1459748	212158_at	Stromal-1	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	Cell adhesion	---
1471375	229912_at	Stromal-1	SDK1	sidekick homolog 1 (chicken)		---
1468107	226051_at	Stromal-1	SELM	selenoprotein M		---
1455160	202283_at	Stromal-1	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1		---
1494971	207714_s_at	Stromal-1	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	Regulator of the extracellular matrix. Molecular chaperone for collagens	25
1499611	217226_s_at	Stromal-1	SFXN3	sideroflexin 3		---
1468695	226728_at	Stromal-1	SLC27A1	solute carrier family 27 (fatty acid transporter), member 1		---
1464023	219344_at	Stromal-1	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3		---
1502285	223235_s_at	Stromal-1	SMOC2	SPARC related modular calcium binding 2	Component of the extracellular matrix and regulator of angiogenesis	26
1494136	205573_s_at	Stromal-1	SNX7	sorting nexin 7		---
1460114	212667_at	Stromal-1	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	Component of the extracellular matrix	---
1468128	226075_at	Stromal-1	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1		---
1492618	202440_s_at	Stromal-1	ST5	suppression of tumorigenicity 5		---
1459886	212354_at	Stromal-1	SULF1	sulfatase 1	Regulator of the extracellular matrix	---
1497205	211470_s_at	Stromal-1	SULT1C1	sulfotransferase family, cytosolic, 1C, member 1		---
1492694	202565_s_at	Stromal-1	SVIL	supervillin		---
1506795	1555724_s_a t	Stromal-1	TAGLN	transgelin		---
1457066	205943_at	Stromal-1	TDO2	tryptophan 2,3-dioxygenase		---
1467170	224955_at	Stromal-1	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)		---
1457553	206715_at	Stromal-1	TFEC	transcription factor EC		---
1458893	209651_at	Stromal-1	TGFB1I1	transforming growth factor beta 1 induced transcript 1	Component of the extracellular matrix	27
1491829	201109_s_at	Stromal-1	THBS1	thrombospondin 1	Regulator of angiogenesis	28
1455511	203083_at	Stromal-1	THBS2	thrombospondin 2	Inhibitor of angiogenesis	---
1495648	208851_s_at	Stromal-1	THY1	Thy-1 cell surface antigen		---
1466864	224560_at	Stromal-1	TIMP2	TIMP metallopeptidase inhibitor 2	Regulator of the extracellular matrix	---
1503975	231579_s_at	Stromal-1	TIMP2	Transcribed locus, strongly similar to XP_511714.1 similar to Metalloproteinase inhibitor 2 precursor (TIMP-2) (Tissue inhibitor of metalloproteinases-2) (CSC-21K) [Pan troglodytes]	Regulator of the extracellular matrix	---
1469199	227300_at	Stromal-1	TMEM119	transmembrane protein 119		---
1467148	224929_at	Stromal-1	TMEM173	transmembrane protein 173		---
1496121	209656_s_at	Stromal-1	TMEM47	transmembrane protein 47		---
1465825	222449_at	Stromal-1	TMEPAI	transmembrane, prostate androgen induced RNA		---
