U133 probe set	Gene description	Gene symbol	Location	GenBank Reference	Chi-square value	BCR-ABL above/below mean	Fold change	old or new
203556_at	KIAA0854 protein	KIAA0854	8q24.13	NM_014943.1	26.3	Below	1.6	old
203745_at	Holocytochrome c synthase (cytochrome c heme-lyase)	HCCS	Xp22.3	AI801013	26.3	Above	2.1	new
203909_at	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 6	SLC9A6	Xq26.3	NM_006359.1	26.3	Above	1.9	old
204446_s_at	Arachidonate 5-lipoxygenase	ALOX5	10q11.2	NM_000698.1	26.3	Above	4.2	old
205191_at	Retinitis pigmentosa 2 (X-linked recessive)	RP2	Xp11.4-p11.21	NM_006915.1	26.3	Above	2.1	old
206874_s_at	Ste20-related serine/threonine kinase	SLK	10q25.1	AL138761	26.3	Above	1.6	new
208073_x_at	Tetratricopeptide repeat domain 3	TTC3	21q22.2	NM_003316.1	26.3	Above	1.9	old
209056_s_at	CDC5 cell division cycle 5-like (S. pombe)	CDC5L	6p21	AW268817	26.3	Above	1.4	new
210645_s_at	Tetratricopeptide repeat domain 3	TTC3	21q22.2	D83077.1	26.3	Above	2.2	old
215773_x_at	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 2	ADPRTL2	14q11.2-q12	AJ236912.1	26.3	Above	1.6	old
215884_s_at	Ubiquilin 2	UBQLN2	Xp11.23-p11.1	AK001029.1	26.3	Above	1.9	new
217954_s_at	PHD finger protein 3	PHF3	6	NM_015153.1	26.3	Above	1.5	new
