U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
201105_at	lectin, galactoside-binding, soluble, 1 (galectin 1)	LGALS1	22q13.1	NM_002305.2	Hs.227751	55.9	Above	15
202975_s_at	Rho-related BTB domain containing 3	RHOBTB3	5q21.2	N21138	Hs.10432	55.9	Above	6
236558_at	ESTs			AA699809	Hs.189900	55.9	Above	18
225563_at	Homo sapiens cDNA FLJ33988 fis, clone DFNES2006346, weakly similar to PAB-DEPENDENT POLY(A)-SPECIFIC RIBONUCLEASE SUBUNIT PAN3 (EC 3.1.13.4)			AI970788	Hs.190153	55.7	Above	3
221286_s_at	proapoptotic caspase adaptor protein	FLJ32987	5q23-5q31	NM_016459.1	Hs.122492	54.1	Below	4
203375_s_at	tripeptidyl peptidase II	TPP2	13q32-q33	NM_003291.1	Hs.1117	52.9	Above	2
215000_s_at	fasciculation and elongation protein zeta 2 (zygin II)	FEZ2	2p21	AL117593.1	Hs.103419	52.9	Above	2
209191_at	tubulin beta-5	TUBB-5		BC002654.1	Hs.274398	52.9	Above	6
225202_at	Rho-related BTB domain containing 3	RHOBTB3	5q21.2	BE620739	Hs.10432	52.5	Above	6
225232_at	phosphatidylinositol-3 phosphate 3-phosphatase adaptor subunit	3PAP	5p13.2	AA524700	Hs.93872	51.6	Above	2
227611_at	hypothetical protein FLJ25005	FLJ25005	15q26.3	AA442856	Hs.181426	51.6	Above	3
212136_at	calcium transporting ATPase plasma membrane  protein.	ATP2B4		AW517686	Hs.356388	50.2	Below	2
215925_s_at	CD72 antigen	CD72	9p11.2	AF283777.2	Hs.116481	50.2	Above	3
221676_s_at	coronin, actin binding protein, 1C	CORO1C	12q24.1	BC002342.1	Hs.17377	50.2	Above	4
212660_at	KIAA0239 protein	KIAA0239	5q31.1	AI735639	Hs.9729	49.6	Below	2
234987_at	SAM domain and HD domain 1	SAMHD1	20pter-q12	AV715309	Hs.23889	49.4	Above	4
205550_s_at	brain and reproductive organ-expressed (TNFRSF1A modulator)	BRE	2p23.3	NM_004899.1	Hs.80426	49.3	Above	2
210993_s_at	MAD, mothers against decapentaplegic homolog 1 (Drosophila)	MADH1	4q28	U54826.1	Hs.79067	49.3	Below	96
205078_at	phosphatidylinositol glycan, class F	PIGF	2p21-p16	NM_002643.1	Hs.348397	49.3	Above	2
212174_at	adenylate kinase 2	AK2	1p34	AK023758.1	Hs.171811	49.3	Above	2
241681_at	ESTs			AW296451	Hs.24605	49.3	Above	2
203820_s_at	IGF-II mRNA-binding protein 3	KOC1	7p11	NM_006547.1	Hs.79440	49	Above	3
209168_at	Homo sapiens cDNA FLJ38338 fis, clone FCBBF3027104, highly similar to Mus musculus proteolipid M6B isoform alpha-beta-TMD-omega (M6B) mRNA			AF016004.1	Hs.379090	49	Above	4
213566_at	ribonuclease, RNase A family, k6	RNASE6	14q11.1	NM_005615.1	Hs.23262	49	Above	6
224622_at	KIAA1322 protein	KIAA1322	4p16.2	AB037743.1	Hs.72242	49	Above	2
236921_at	ESTs			BE504716	Hs.372166	49	Above	3
239278_at	ESTs, Weakly similar to JC5238 galactosylceramide-like protein, GCP - human [H.sapiens]			AI471969	Hs.182606	49	Above	3
226459_at	Homo sapiens gastric cancer-related protein GCYS-20 (gcys-20) mRNA, complete cds			AW575754	Hs.86437	47.7	Above	2
239369_at	Homo sapiens cDNA FLJ33328 fis, clone BRACE1000051, weakly similar to KERATIN, ULTRA HIGH-SULFUR MATRIX PROTEIN			AW966156	Hs.323991	47.3	Above	5
218581_at	hypothetical protein FLJ12816	FLJ12816	14q11.1	NM_022060.1	Hs.9175	47.1	Above	23
214651_s_at	homeo box A9	HOXA9	7p15-p14	U41813.1	Hs.380229	47.1	Above	28
224933_s_at	hypothetical protein DKFZp761F0118	DKFZp761F0118	10q22.1	AB037801.1	Hs.6685	47.1	Above	2
239393_at	ESTs			AW510927	Hs.371883	46.5	Above	6
209112_at	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	CDKN1B	12p13.1-p12	BC001971.1	Hs.238990	46	Above	2
217707_x_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2	9p22.3	AI535683	Hs.198296	46	Above	2
221830_at	Homo sapiens cDNA FLJ37267 fis, clone BRAMY2011297			AI302106	Hs.301746	46	Above	2
202761_s_at	synaptic nuclei expressed gene 2	SYNE-2	14q23.1-q23.2	NM_015180.1	Hs.57749	45.9	Below	4
202976_s_at	Rho-related BTB domain containing 3	RHOBTB3	5q21.2	NM_014899.1	Hs.10432	45.9	Above	12
213241_at	plexin C1	PLXNC1		AF035307.1	Hs.184697	45.9	Above	3
230332_at	ESTs			AA872187	Hs.33665	45.4	Above	3
209905_at	hypothetical protein MGC1934	MGC1934	7p21.1	AI246769	Hs.127428	44.9	Above	31
226789_at	ESTs, Weakly similar to A46506 leukocyte activation antigen M6 - human [H.sapiens]			W84421	Hs.356113	44.9	Above	2
204019_s_at	likely ortholog of mouse Sh3 domain YSC-like 1	SH3YL1	2p25.2	NM_015677.1	Hs.25213	44	Above	2
201874_at	hypothetical protein FLJ21047	FLJ21047	1q23.2	BF978611	Hs.14891	43.9	Above	2
238558_at	ESTs			AI445833	Hs.282887	43.9	Above	4
235964_x_at	SAM domain and HD domain 1	SAMHD1	20pter-q12	AA603344	Hs.23889	43.6	Above	3
219099_at	chromosome 12 open reading frame 5	C12orf5	12p13.3	NM_020375.1	Hs.24792	43.3	Above	3
201064_s_at	poly(A) binding protein, cytoplasmic 4 (inducible form)	PABPC4	1p32-p36	NM_003819.2	Hs.169900	43.3	Above	2
206471_s_at	plexin C1	PLXNC1	12q23.3	NM_005761.1	Hs.286229	43.3	Above	9
208717_at	oxidase (cytochrome c) assembly 1-like	OXA1L	14q11.2	BC001669.1	Hs.151134	43.3	Above	2
210594_x_at	myelin protein zero-like 1	MPZL1	1q23.2	AF239756.1	Hs.287832	43.3	Above	5
221675_s_at	choline phosphotransferase 1	CHPT1	12q	AF195624.1	Hs.171889	43.3	Above	2
225810_at	hypothetical protein FLJ20313	FLJ20313	15q12	AL572015	Hs.126721	43.3	Above	2
242260_at	ESTs, Moderately similar to  cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens]			BG283790	Hs.214238	43.3	Above	10
224763_at	ESTs			AL137450.1	Hs.374308	43.3	Above	2
227534_at	ESTs, Highly similar to  RIKEN cDNA 1110018J18 [Mus musculus] [M.musculus]			AL535879	Hs.42311	43.3	Above	35
235529_x_at	SAM domain and HD domain 1	SAMHD1	20pter-q12	BF437747	Hs.23889	43.3	Above	4
212588_at	protein tyrosine phosphatase, receptor type, C	PTPRC	1q31-q32	AI809341	Hs.170121	43.2	Above	2
233931_at	Homo sapiens cDNA FLJ11919 fis, clone HEMBB1000274			AK021981.1	Hs.193525	43.2	Above	22
240666_at	ESTs			AI732568	Hs.191453	43.2	Above	4
209167_at	glycoprotein M6B	GPM6B	Xp22.2	AF016004.1	Hs.5422	43	Above	10
