Probe set ID	Symbol	Description	RefSeq Transcript ID	Cytoband	Status
212335_at	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	AW167793	chr12q14	Overexpressed in EBV+
209933_s_at	CMRF-35H	leukocyte membrane antigen	AF020314	chr17q25.2	Overexpressed in EBV+
214511_x_at	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor for (CD64)	L03419	chr1q21.2-q21.3	Overexpressed in EBV+
207224_s_at	SIGLEC7	sialic acid binding Ig-like lectin 7 /// sialic acid binding Ig-like lectin 7	NM_016543	chr19q13.3	Overexpressed in EBV+
213716_s_at	SECTM1	secreted and transmembrane 1	BF939675	chr17q25	Overexpressed in EBV+
219622_at	RAB20	RAB20, member RAS oncogene family	NM_017817	chr13q34	Overexpressed in EBV+
206420_at	IGSF6	immunoglobulin superfamily, member 6 /// immunoglobulin superfamily, member 6	NM_005849	chr16p12-p13	Overexpressed in EBV+
203971_at	SLC31A1	solute carrier family 31 (copper transporters), member 1 /// solute carrier family 31 (copper transporters), member 1	NM_001859	chr9q31-q32	Overexpressed in EBV+
218231_at	NAGK	N-acetylglucosamine kinase /// N-acetylglucosamine kinase	NM_017567	chr2p13.2	Overexpressed in EBV+
204137_at	TM7SF1	transmembrane 7 superfamily member 1 (upregulated in kidney) /// transmembrane 7 superfamily member 1 (upregulated in kidney)	NM_003272	chr1q42-q43	Overexpressed in EBV+
204588_s_at	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 /// solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	NM_003982	chr14q11.2	Overexpressed in EBV+
201847_at	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease) /// lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	NM_000235	chr10q23.2-q23.3	Overexpressed in EBV+
209357_at	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 /// Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	AF109161	chr6q23.3	Overexpressed in EBV+
210354_at	IFNG	interferon, gamma /// interferon, gamma	M29383	chr12q14	Overexpressed in EBV+
203923_s_at	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease) /// cytochrome b-245, beta polypeptide (chronic granulomatous disease)	NM_000397	chrxp21.1	Overexpressed in EBV+
210785_s_at	C1orf38	chromosome 1 open reading frame 38 /// chromosome 1 open reading frame 38	AB035482	chr1p35.3	Overexpressed in EBV+
202901_x_at	CTSS	cathepsin S	BC002642	chr1q21	Overexpressed in EBV+
212870_at	RASSF3	Ras association (RalGDS/AF-6) domain family 3	AI628605	chr12q14.1	Overexpressed in EBV+
212830_at	EGFL5	EGF-like-domain, multiple 5	W68084	chr9q32-q33.3	Overexpressed in EBV+
204834_at	FGL2	fibrinogen-like 2 /// fibrinogen-like 2	NM_006682	chr7q11.23	Overexpressed in EBV+
208783_s_at	MCP	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	AL570661	chr1q32	Overexpressed in EBV+
210659_at	CMKLR1	chemokine-like receptor 1	U79526	chr12q24.1	Overexpressed in EBV+
209906_at	C3AR1	complement component 3a receptor 1 /// complement component 3a receptor 1	U62027	chr12p13.31	Overexpressed in EBV+
203915_at	CXCL9	chemokine (C-X-C motif) ligand 9 /// chemokine (C-X-C motif) ligand 9	NM_002416	chr4q21	Overexpressed in EBV+
206631_at	PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa /// prostaglandin E receptor 2 (subtype EP2), 53kDa	NM_000956	chr14q22	Overexpressed in EBV+
213624_at	SMPDL3A	sphingomyelin phosphodiesterase, acid-like 3A	AA873600	chr6q22.32	Overexpressed in EBV+
211368_s_at	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	U13700	chr11q23	Overexpressed in EBV+
219938_s_at	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2 /// proline-serine-threonine phosphatase interacting protein 2	NM_024430	chr18q12	Overexpressed in EBV+
202902_s_at	CTSS	cathepsin S /// cathepsin S	NM_004079	chr1q21	Overexpressed in EBV+
203912_s_at	DNASE1L1	deoxyribonuclease I-like 1 /// deoxyribonuclease I-like 1	NM_006730	chrxq28	Overexpressed in EBV+
212334_at	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	BE880245	chr12q14	Overexpressed in EBV+
212888_at	DICER1	Dicer1, Dcr-1 homolog (Drosophila)	BG109746	chr14q32.2	Overexpressed in EBV+
221210_s_at	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) /// N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) /// N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	NM_030769	chr1q25	Overexpressed in EBV+
202270_at	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa /// guanylate binding protein 1, interferon-inducible, 67kDa	NM_002053	chr1p22.2	Overexpressed in EBV+
206765_at	KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2 /// potassium inwardly-rectifying channel, subfamily J, member 2	AF153820	chr17q23.1-q24.2	Overexpressed in EBV+
206513_at	AIM2	absent in melanoma 2 /// absent in melanoma 2	NM_004833	chr1q22	Overexpressed in EBV+
212959_s_at	MGC4170	MGC4170 protein	AK001821	chr12q23.3	Overexpressed in EBV+
211794_at	FYB	FYN binding protein (FYB-120/130)	AF198052	chr5p13.1	Overexpressed in EBV+
219284_at	HSPBAP1	HSPB (heat shock 27kDa) associated protein 1	NM_024610	chr3q21.1	Overexpressed in EBV+
203217_s_at	SIAT9	sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase; GM3 synthase) /// sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase; GM3 synthase)	NM_003896	chr2p11.2	Overexpressed in EBV+
201779_s_at	RNF13	ring finger protein 13 /// ring finger protein 13	AF070558	chr3q25.1	Overexpressed in EBV+
203042_at	LAMP2	lysosomal-associated membrane protein 2	NM_002294	chrxq24	Overexpressed in EBV+
207652_s_at	CMKLR1	chemokine-like receptor 1 /// chemokine-like receptor 1	NM_004072	chr12q24.1	Overexpressed in EBV+
219505_at	CECR1	cat eye syndrome chromosome region, candidate 1 /// cat eye syndrome chromosome region, candidate 1	NM_017424	chr22q11.2	Overexpressed in EBV+
222150_s_at	LOC54103	hypothetical protein LOC54103	AK026747	chr7q21.11	Overexpressed in EBV+
202800_at	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3 /// solute carrier family 1 (glial high affinity glutamate transporter), member 3	NM_004172	chr5p13	Overexpressed in EBV+
209568_s_at	RGL1	ral guanine nucleotide dissociation stimulator-like 1	AF186779	chr1q25.2	Overexpressed in EBV+
202953_at	C1QB	complement component 1, q subcomponent, beta polypeptide /// complement component 1, q subcomponent, beta polypeptide	NM_000491	chr1p36.3-p34.1	Overexpressed in EBV+
212367_at	FEM1B	fem-1 homolog b (C. elegans)	AI799061	chr15q22	Overexpressed in EBV+
221087_s_at	APOL3	apolipoprotein L, 3 /// apolipoprotein L, 3	NM_014349	chr22q13.1	Overexpressed in EBV+
203922_s_at	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	AI308863	chrxp21.1	Overexpressed in EBV+
202898_at	SDC3	syndecan 3 (N-syndecan)	NM_014654	chr1pter-p22.3	Overexpressed in EBV+
219358_s_at	CENTA2	centaurin, alpha 2 /// centaurin, alpha 2	NM_018404	chr17q11.2	Overexpressed in EBV+
204646_at	DPYD	dihydropyrimidine dehydrogenase /// dihydropyrimidine dehydrogenase	NM_000110	chr1p22	Overexpressed in EBV+
214211_at	FTH1	ferritin, heavy polypeptide 1	AA083483	chr11q13	Overexpressed in EBV+
219696_at	FLJ20054	hypothetical protein FLJ20054	NM_019049	chr1q31.3	Overexpressed in EBV+
212907_at	SLC30A1	solute carrier family 30 (zinc transporter), member 1	AI972416	chr1q32-q41	Overexpressed in EBV+
213142_x_at	LOC54103	hypothetical protein LOC54103	AV700415	chr7q21.11	Overexpressed in EBV+
209970_x_at	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	M87507	chr11q23	Overexpressed in EBV+
203052_at	C2	complement component 2 /// complement component 2	NM_000063	chr6p21.3	Overexpressed in EBV+
205098_at	CCR1	chemokine (C-C motif) receptor 1	AI421071	chr3p21	Overexpressed in EBV+
204757_s_at	TMEM24	transmembrane protein 24	R61539	chr11q23.3	Overexpressed in EBV+
210980_s_at	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1 /// N-acylsphingosine amidohydrolase (acid ceramidase) 1	U47674	chr8p22-p21.3	Overexpressed in EBV+
204458_at	LYPLA3	lysophospholipase 3 (lysosomal phospholipase A2) /// lysophospholipase 3 (lysosomal phospholipase A2)	AL110209	chr16q22.1	Overexpressed in EBV+
206120_at	CD33	CD33 antigen (gp67) /// CD33 antigen (gp67)	NM_001772	chr19q13.3	Overexpressed in EBV+
204043_at	TCN2	transcobalamin II; macrocytic anemia /// transcobalamin II; macrocytic anemia	NM_000355	chr22q12.2	Overexpressed in EBV+
204533_at	CXCL10	chemokine (C-X-C motif) ligand 10 /// chemokine (C-X-C motif) ligand 10	NM_001565	chr4q21	Overexpressed in EBV+
214329_x_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	AW474434	chr3q26	Overexpressed in EBV+
213017_at	ABHD3	abhydrolase domain containing 3	AL534702	chr18q11.2	Overexpressed in EBV+
219209_at	MDA5	melanoma differentiation associated protein-5 /// melanoma differentiation associated protein-5	NM_022168	chr2p24.3-q24.3	Overexpressed in EBV+
214681_at	GK	glycerol kinase	AI830490	chrxp21.3	Overexpressed in EBV+
205099_s_at	CCR1	chemokine (C-C motif) receptor 1	NM_001295	chr3p21	Overexpressed in EBV+
49306_at	RASSF4	Ras association (RalGDS/AF-6) domain family 4	AI890191	chr10q11.21	Overexpressed in EBV+
203041_s_at	LAMP2	lysosomal-associated membrane protein 2	J04183	chrxq24	Overexpressed in EBV+
207500_at	CASP5	caspase 5, apoptosis-related cysteine protease /// caspase 5, apoptosis-related cysteine protease	NM_004347	chr11q22.2-q22.3	Overexpressed in EBV+
213440_at	RAB1A	RAB1A, member RAS oncogene family	AL530264	chr2p14	Overexpressed in EBV+
210042_s_at	CTSZ	cathepsin Z /// cathepsin Z	AF073890	chr20q13	Overexpressed in EBV+
204194_at	BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1 /// BTB and CNC homology 1, basic leucine zipper transcription factor 1	NM_001186	chr21q22.11	Overexpressed in EBV+
218761_at	RNF111	ring finger protein 111	NM_017610	chr15q21	Overexpressed in EBV+
200629_at	WARS	tryptophanyl-tRNA synthetase /// tryptophanyl-tRNA synthetase	NM_004184	chr14q32.31	Overexpressed in EBV+
221524_s_at	RRAGD	Ras-related GTP binding D	AF272036	chr6q15-q16	Overexpressed in EBV+
202872_at	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1	AW024925	chr8q22.3	Overexpressed in EBV+
204122_at	TYROBP	TYRO protein tyrosine kinase binding protein /// TYRO protein tyrosine kinase binding protein	NM_003332	chr19q13.1	Overexpressed in EBV+
204416_x_at	APOC1	apolipoprotein C-I	NM_001645	chr19q13.2	Overexpressed in EBV+
201647_s_at	SCARB2	scavenger receptor class B, member 2 /// scavenger receptor class B, member 2	NM_005506	chr4q21.21-q21.22	Overexpressed in EBV+
204502_at	SAMHD1	SAM domain and HD domain 1	NM_015474	chr20pter-q12	Overexpressed in EBV+
218304_s_at	OSBPL11	oxysterol binding protein-like 11	NM_022776	chr3q21	Overexpressed in EBV+
217730_at	PP1201	PP1201 protein /// PP1201 protein	NM_022152	chr2p24.3-p24.1	Overexpressed in EBV+
202087_s_at	CTSL	cathepsin L /// cathepsin L	NM_001912	chr9q21-q22	Overexpressed in EBV+
218232_at	C1QA	complement component 1, q subcomponent, alpha polypeptide /// complement component 1, q subcomponent, alpha polypeptide	NM_015991	chr1p36.3-p34.1	Overexpressed in EBV+
201193_at	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble /// isocitrate dehydrogenase 1 (NADP+), soluble	NM_005896	chr2q33.3	Overexpressed in EBV+
212820_at	RC3	rabconnectin-3	AB020663	chr15q15.3	Overexpressed in EBV+
208918_s_at	FLJ13052	NAD kinase	AI334128	chr1p36.33-p36.21	Overexpressed in EBV+
204232_at	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide /// Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	NM_004106	chr1q23	Overexpressed in EBV+
211366_x_at	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	U13698	chr11q23	Overexpressed in EBV+
203123_s_at	SLC11A2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	AU154469	chr12q13	Overexpressed in EBV+
211250_s_at	SH3BP2	SH3-domain binding protein 2	AB000463	chr4p16.3	Overexpressed in EBV+
219525_at	FLJ10847	hypothetical protein FLJ10847	NM_018242	chr17p11.2	Overexpressed in EBV+
222218_s_at	PILRA	paired immunoglobin-like type 2 receptor alpha	AJ400843	chr7q22.1	Overexpressed in EBV+
35820_at	GM2A	GM2 ganglioside activator /// GM2 ganglioside activator	M76477	chr5q31.3-q33.1	Overexpressed in EBV+
217865_at	RNF130	ring finger protein 130 /// ring finger protein 130	NM_018434	chr5q35.3	Overexpressed in EBV+
209726_at	CA11	carbonic anhydrase XI /// carbonic anhydrase XI	AB018195	chr19q13.3	Overexpressed in EBV+
218999_at	FLJ11000	hypothetical protein FLJ11000	NM_018295	chr7q33	Overexpressed in EBV+
213241_at	PLXNC1	plexin C1	AF035307	chr12q23.3	Overexpressed in EBV+
219910_at	HYPE	Huntingtin interacting protein E /// Huntingtin interacting protein E	NM_007076	chr12q24.1	Overexpressed in EBV+
202923_s_at	GCLC	glutamate-cysteine ligase, catalytic subunit	NM_001498	chr6p12	Overexpressed in EBV+
201780_s_at	RNF13	ring finger protein 13	NM_007282	chr3q25.1	Overexpressed in EBV+
212714_at	LOC113251	c-Mpl binding protein	AL050205	chr12q13.12	Overexpressed in EBV+
203778_at	MANBA	mannosidase, beta A, lysosomal /// mannosidase, beta A, lysosomal	NM_005908	chr4q22-q25	Overexpressed in EBV+
201739_at	SGK	serum/glucocorticoid regulated kinase /// serum/glucocorticoid regulated kinase	NM_005627	chr6q23	Overexpressed in EBV+
202083_s_at	SEC14L1	SEC14-like 1 (S. cerevisiae)	AI017770	chr17q25.1-17q25.2	Overexpressed in EBV+
205936_s_at	HK3	hexokinase 3 (white cell) /// hexokinase 3 (white cell)	NM_002115	chr5q35.2	Overexpressed in EBV+
201200_at	CREG	cellular repressor of E1A-stimulated genes /// cellular repressor of E1A-stimulated genes	NM_003851	chr1q24	Overexpressed in EBV+
219788_at	PILRA	paired immunoglobin-like type 2 receptor alpha /// paired immunoglobin-like type 2 receptor alpha	NM_013439	chr7q22.1	Overexpressed in EBV+
219952_s_at	MCOLN1	mucolipin 1 /// mucolipin 1	NM_020533	chr19p13.3-p13.2	Overexpressed in EBV+
206100_at	CPM	carboxypeptidase M /// carboxypeptidase M	NM_001874	chr12q14.3	Overexpressed in EBV+
200766_at	CTSD	cathepsin D (lysosomal aspartyl protease) /// cathepsin D (lysosomal aspartyl protease)	NM_001909	chr11p15.5	Overexpressed in EBV+
215051_x_at	AIF1	allograft inflammatory factor 1	BF213829	chr6p21.3	Overexpressed in EBV+
208934_s_at	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	AF342815	chr1q42-q43	Overexpressed in EBV+
207375_s_at	IL15RA	interleukin 15 receptor, alpha /// interleukin 15 receptor, alpha	NM_002189	chr10p15-p14	Overexpressed in EBV+
218943_s_at	DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	NM_014314	chr9p12	Overexpressed in EBV+
214467_at	GPR65	G protein-coupled receptor 65 /// G protein-coupled receptor 65	NM_003608	chr14q31-q32.1	Overexpressed in EBV+
221511_x_at	CPR8	cell cycle progression 8 protein	AB033080	chr15q21.1	Overexpressed in EBV+
217933_s_at	LAP3	leucine aminopeptidase 3 /// leucine aminopeptidase 3	NM_015907	chr4p15.33	Overexpressed in EBV+
204860_s_at	BIRC1	baculoviral IAP repeat-containing 1	AI817801	chr5q13.1	Overexpressed in EBV+
202812_at	GAA	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II) /// glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)	NM_000152	chr17q25.2-q25.3	Overexpressed in EBV+
201413_at	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4 /// hydroxysteroid (17-beta) dehydrogenase 4	NM_000414	chr5q21	Overexpressed in EBV+
212990_at	SYNJ1	synaptojanin 1 /// synaptojanin 1	AB020717	chr21q22.2	Overexpressed in EBV+
220832_at	TLR8	toll-like receptor 8 /// toll-like receptor 8	NM_016610	chrxp22	Overexpressed in EBV+
213274_s_at	CTSB	cathepsin B	AA020826	chr8p22	Overexpressed in EBV+
44673_at	SN	sialoadhesin	N53555	chr20p13	Overexpressed in EBV+
209263_x_at	TM4SF7	transmembrane 4 superfamily member 7	BC000389	chr11p15.5	Overexpressed in EBV+
219386_s_at	SLAMF8	SLAM family member 8 /// SLAM family member 8	NM_020125	chr1q23.1	Overexpressed in EBV+
219385_at	SLAMF8	SLAM family member 8	NM_020125	chr1q23.1	Overexpressed in EBV+
213988_s_at	SAT	spermidine/spermine N1-acetyltransferase	BE971383	chrxp22.1	Overexpressed in EBV+
202269_x_at	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	BC002666	chr1p22.2	Overexpressed in EBV+
213553_x_at	APOC1	apolipoprotein C-I	W79394	chr19q13.2	Overexpressed in EBV+
200628_s_at	WARS	tryptophanyl-tRNA synthetase	M61715	chr14q32.31	Overexpressed in EBV+
210225_x_at	LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	AF009635	chr19q13.4	Overexpressed in EBV+
212756_s_at	C6orf133	chromosome 6 open reading frame 133	AI761518	chr6p21.1	Overexpressed in EBV+
217078_s_at	CMRF-35H	leukocyte membrane antigen	AJ010102	chr17q25.2	Overexpressed in EBV+
203147_s_at	TRIM14	tripartite motif-containing 14	BE962483	chr9q31.1	Overexpressed in EBV+
202687_s_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	U57059	chr3q26	Overexpressed in EBV+
204959_at	MNDA	myeloid cell nuclear differentiation antigen /// myeloid cell nuclear differentiation antigen	NM_002432	chr1q22	Overexpressed in EBV+
204068_at	STK3	serine/threonine kinase 3 (STE20 homolog, yeast) /// serine/threonine kinase 3 (STE20 homolog, yeast)	NM_006281	chr8q22.2	Overexpressed in EBV+
218126_at	FLJ10579	hypothetical protein FLJ10579	NM_018145	chr15q14	Overexpressed in EBV+
214430_at	GLA	galactosidase, alpha /// galactosidase, alpha	NM_000169	chrxq22	Overexpressed in EBV+
204059_s_at	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic /// malic enzyme 1, NADP(+)-dependent, cytosolic	NM_002395	chr6q12	Overexpressed in EBV+
202073_at	OPTN	optineurin	AV757675	chr10p14	Overexpressed in EBV+
206617_s_at	RENBP	renin binding protein /// renin binding protein	NM_002910	chrxq28	Overexpressed in EBV+
217823_s_at	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	AL562528	chr6q16.1	Overexpressed in EBV+
212224_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1 /// aldehyde dehydrogenase 1 family, member A1	NM_000689	chr9q21.13	Overexpressed in EBV+
207233_s_at	MITF	microphthalmia-associated transcription factor /// microphthalmia-associated transcription factor	NM_000248	chr3p14.2-p14.1	Overexpressed in EBV+
205552_s_at	OAS1	2,5-oligoadenylate synthetase 1, 40/46kDa /// 2,5-oligoadenylate synthetase 1, 40/46kDa	NM_002534	chr12q24.1	Overexpressed in EBV+
48106_at	FLJ20489	hypothetical protein FLJ20489	H14241	chr12q13.11	Overexpressed in EBV+
220933_s_at	ZCCHC6	zinc finger, CCHC domain containing 6	NM_024617	chr9q21	Overexpressed in EBV+
208092_s_at	DKFZP566A1524	hypothetical protein DKFZp566A1524 /// hypothetical protein DKFZp566A1524	NM_030797	chr2p24.3	Overexpressed in EBV+
201300_s_at	PRNP	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia) /// prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	NM_000311	chr20pter-p12	Overexpressed in EBV+
222148_s_at	RHOT1	ras homolog gene family, member T1	BF688108	chr17q12	Overexpressed in EBV+
206214_at	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) /// phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	NM_005084	chr6p21.2-p12	Overexpressed in EBV+
222173_s_at	TBC1D2	TBC1 domain family, member 2	AK026105	chr9q31.1	Overexpressed in EBV+
202195_s_at	CGI-100	CGI-100 protein	NM_016040	chr1pter-q31.3	Overexpressed in EBV+
206011_at	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	AI719655	chr11q23	Overexpressed in EBV+
212737_at	GM2A	GM2 ganglioside activator	AL513583	chr5q31.3-q33.1	Overexpressed in EBV+
218747_s_at	TAPBPL	TAP binding protein-like	NM_018009	chr12p13.31	Overexpressed in EBV+
218924_s_at	CTBS	chitobiase, di-N-acetyl-	NM_004388	chr1p22	Overexpressed in EBV+
210224_at	MR1	major histocompatibility complex, class I-related	AF031469	chr1q25.3	Overexpressed in EBV+
218793_s_at	SCML1	sex comb on midleg-like 1 (Drosophila) /// sex comb on midleg-like 1 (Drosophila)	NM_006746	chrxp22.2-p22.1	Overexpressed in EBV+
211122_s_at	CXCL11	chemokine (C-X-C motif) ligand 11	AF002985	chr4q21.2	Overexpressed in EBV+
205003_at	DOCK4	dedicator of cytokinesis 4	NM_014705	chr7q31.1	Overexpressed in EBV+
201743_at	CD14	CD14 antigen /// CD14 antigen	NM_000591	chr5q31.1	Overexpressed in EBV+
200648_s_at	GLUL	glutamate-ammonia ligase (glutamine synthase)	NM_002065	chr1q31	Overexpressed in EBV+
204526_s_at	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	NM_007063	chr2q12.1	Overexpressed in EBV+
211284_s_at	GRN	granulin /// granulin	BC000324	chr17q21.32	Overexpressed in EBV+
201089_at	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B, isoform 2 /// ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B, isoform 2	NM_001693	chr8p22-p21	Overexpressed in EBV+
202688_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10 /// tumor necrosis factor (ligand) superfamily, member 10	NM_003810	chr3q26	Overexpressed in EBV+
217118_s_at	KIAA0930	KIAA0930 protein	AK025608	chr22q13.31	Overexpressed in EBV+
217167_x_at	GK	glycerol kinase	AJ252550	chrxp21.3	Overexpressed in EBV+
205842_s_at	JAK2	Janus kinase 2 (a protein tyrosine kinase)	AF001362	chr9p24	Overexpressed in EBV+
205708_s_at	TRPM2	transient receptor potential cation channel, subfamily M, member 2	AI051254	chr21q22.3	Overexpressed in EBV+
205922_at	VNN2	vanin 2 /// vanin 2	NM_004665	chr6q23-q24	Overexpressed in EBV+
205640_at	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	NM_000694	chr11q13	Overexpressed in EBV+
204861_s_at	BIRC1	baculoviral IAP repeat-containing 1	NM_004536	chr5q13.1	Overexpressed in EBV+
207513_s_at	ZNF189	zinc finger protein 189 /// zinc finger protein 189	NM_003452	chr9q22-q31	Overexpressed in EBV+
207697_x_at	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	NM_005874	chr19q13.4	Overexpressed in EBV+
