U133 probe set	Gene description	Symbol	Location	GenBank Reference	Chi-square	T-ALL above/below mean	Fold change	old or new
219528_s_at	B-cell CLL/lymphoma 11B (zinc finger protein)	BCL11B	14q32.31-q32.32	NM_022898.1	90.6	Above	11.6	old
220418_at	ubiquitin associated and SH3 domain containing, A	UBASH3A	21q22.3	NM_018961.1	90.6	Above	759.3	new
222895_s_at	B-cell CLL/lymphoma 11B (zinc finger protein)	BCL11B	14q32.31-q32.32	AA918317	90.6	Above	11.7	new
223553_s_at	hypothetical protein FLJ22570	FLJ22570	5q35.3	BC004564.1	90.6	Above	6.1	new
225090_at	HRD1 protein	HRD1	11q12	AA844682	90.6	Below	3.6	new
226459_at	Homo sapiens gastric cancer-related protein GCYS-20 (gcys-20) mRNA, complete cds			AW575754	90.6	Below	10.7	new
228314_at	cDNA FLJ37485 fis	FLJ37485		BE877357	90.6	Below	4.7	new
201384_s_at	membrane component, chromosome 17, surface marker 2 (ovarian carcinoma antigen CA125)	M17S2	17q21.1	NM_005899.1	83.8	Above	3.3	new
202540_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	5q13.3-q14	NM_000859.1	83.8	Above	4.4	old
203198_at	cyclin-dependent kinase 9 (CDC2-related kinase)	CDK9	9q34.1	NM_001261.1	83.8	Below	4.8	old
203932_at	major histocompatibility complex, class II, DM beta	HLA-DMB	6p21.3	NM_002118.1	83.8	Below	7.9	old
204613_at	phospholipase C, gamma 2 (phosphatidylinositol-specific)	PLCG2	16q24.1	NM_002661.1	83.8	Below	3.9	old
205267_at	POU domain, class 2, associating factor 1	POU2AF1	11q23.1	NM_006235.1	83.8	Below	11.2	old
208650_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	BG327863	83.8	Below	74.7	old
208651_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	M58664.1	83.8	Below	52.7	old
209995_s_at	T-cell leukemia/lymphoma 1A	TCL1A	14q32.1	BC003574.1	83.8	Below	20166.2	old
210038_at	protein kinase C, theta	PRKCQ	10p15	AL137145	83.8	Above	12.7	old
211126_s_at	cysteine and glycine-rich protein 2	CSRP2	12q21.1	U46006.1	83.8	Below	18	old
220068_at	pre-B lymphocyte gene 3	VPREB3	22q11.23	NM_013378.1	83.8	Below	6559.8	new
226245_at	cDNA DKFZp451C132	DKFZp451C132		U55984	83.8	Above	8.7	new
202615_at	cDNA DKFZp686D0521	DKFZp686D0521		BF222895	82.2	Above	3.1	old
224861_at	cDNA FLJ31057 fis	FLJ31057		BF477658	82.2	Above	3.5	new
201194_at	selenoprotein W, 1	SEPW1	19q13.3	NM_003009.1	82	Above	3.8	old
201349_at	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	SLC9A3R1	17q25.2	NM_004252.1	82	Above	2.9	old
202539_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	5q13.3-q14	AL518627	82	Above	3.5	old
203588_s_at	transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	3q23	BG034328	82	Above	17.5	old
204852_s_at	protein tyrosine phosphatase, non-receptor type 7	PTPN7	1q32.1	NM_002832.1	82	Above	9.5	old
207434_s_at	FXYD domain containing ion transport regulator 2	FXYD2	11q23	NM_021603.1	82	Above	14.6	old
208872_s_at	DNA segment, single copy probe LNS-CAI/LNS-CAII	D5S346	5q22-q23	AA814140	82	Below	2.6	old
209200_at	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	MEF2C	5q14	N22468	82	Below	7.5	old
212795_at	KIAA1033 protein	KIAA1033	12q24.11	AL137753.1	82	Below	2.4	old
212827_at	immunoglobulin heavy constant mu	IGHM	14q32.33	X17115.1	82	Below	13.1	old
213193_x_at	T cell receptor beta locus	TRB	7q34	AL559122	82	Above	10.9	old
221002_s_at	tetraspanin similar to TM4SF9	DC-TM4F2	10q23.2	NM_030927.1	82	Below	2.1	new
225314_at	hypothetical protein MGC45416	MGC45416	4p12	BG291649	82	Above	5.5	new
227432_s_at	insulin receptor	INSR	19p13.3-p13.2	AI215106	82	Below	6	old
203332_s_at	inositol polyphosphate-5-phosphatase, 145kDa	INPP5D	2q36-q37	NM_005541.1	81.5	Below	2.2	old
203589_s_at	transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	3q23	NM_006286.1	81.5	Above	35.1	old
205674_x_at	FXYD domain containing ion transport regulator 2	FXYD2	11q23	NM_001680.2	81.5	Above	12.2	old
209881_s_at	Linker for activation of T cells	LAT	16q13	AF036905.1	81.5	Above	1823.4	old
211005_at	Linker for activation of T cells	LAT	16q13	AF036906.1	81.5	Above	67.8	old
211075_s_at	CD47	CD47		Z25521.1	81.5	Above	2.1	old
211210_x_at	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	SH2D1A	Xq25-q26	AF100539.1	81.5	Above	300.2	old
213601_at	slit homolog 1 (Drosophila)	SLIT1	10q23.3-q24	AB011537.2	81.5	Above	1752.1	old
213857_s_at	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	CD47	3q13.1-q13.2	BG230614	81.5	Above	2.2	old
214924_s_at	KIAA1042 protein	KIAA1042	3p25.3-p24.1	AK000754.1	81.5	Below	2.3	old
