Genename	Genesymbol	GenBankaccessionno.	IUD	Description
Dehydrogenase/reductase member 3	DHRS3	BC003507	-5.03	Down regulated
ApolipoproteinC-II	APOC2	BC007022	-4.81	Down regulated
Transglutaminase2	TGM2	H17615	-4.61	Down regulated
KIAA0664protein	KIAA0664	H11775	-4.59	Down regulated
Melanophilin	MLPH	BC002503	-4.59	Down regulated
LIF	LIF	NM_002309	-4.57	Down regulated
Chemokineligand15	CCL14	R89491	-4.55	Down regulated
Tetraspanin8	TM4SF3	AI027644	-4.41	Down regulated
Integralmembraneprotein2a	ITM2A	N30237	-0.17	Down regulated
IL-2receptor, b[p]	IL2RB	AA292860	-3.92	Down regulated
3 -phosphoadenosine 5 -phosphosulfatesynthase2	PAPSS2	AI066594	-3.86	Down regulated
Complementcomponent4B,telomeric	C4A	BC012372	-3.86	Down regulated
CD52antigen	CDW52	BC002434	-3.86	Down regulated
Collectinsubfamilymember11	COLEC11	BC001899	-3.85	Down regulated
P8protein	P8	BC000654	-3.83	Down regulated
IGFBP-3	IGFBP3	AI032308	-3.76	Down regulated
y-AminobutyricacidAreceptor, a2	GABRA2	H07053	-3.66	Down regulated
PutativelymphocyteG0/G1switchgene	G0S2	BC009694	-3.58	Down regulated
EPHreceptorA1	EPHA1	M18391	-3.53	Down regulated
GrowtharrestandDNA-damage-inducible, a[p]	GADD45A	M60974	-3.52	Down regulated
Src-like-adaptor	SLA	R52482	-3.45	Down regulated
Hyaluronanbindingprotein2	HABP2	N54494	-3.42	Down regulated
EndothelinreceptortypeB	EDNRB	L06623	-3.41	Down regulated
Vitronectin	VTN	BC006097	-3.3	Down regulated
ST3 b-galactoside a-2,3-sialyltransferase5	SIAT9	R16334	-3.29	Down regulated
Homeodomain-onlyprotein	HOP	H48606	-3.27	Down regulated
Guanine nucleotide binding protein, y-transducing activity polypeptide2	GNGT2	BC008663	-3.13	Down regulated
Leiomodin1	LMOD1	BC000730	-3.1	Down regulated
5-hydroxytryptaminereceptor2B	HTR2B	W61324	-3.08	Down regulated
Aspartoacylase3	ACY3	BC008689	-3.07	Down regulated
NuclearfactorofactivatedT-cells,cytoplasmic,calcineurin-dependent3	NFATC3	AI016619	-3.07	Down regulated
ApolipoproteinC-I	APOC1	W84514	-3.06	Down regulated
Neuralcelladhesionmolecule1	NCAM1	U63041	-3.02	Down regulated
Calponin1,basic,smoothmuscle	CNN1	R21282	-2.86	Down regulated
Serineproteinaseinhibitor,cladeG,member1,	SERPING1	BC011171	-2.83	Down regulated
CystatinF	CST7	BC015507	-2.83	Down regulated
Prolactinreceptor	PRLR	R76436	-2.82	Down regulated
IGFBP-6	IGFBP6	BC004927	-2.8	Down regulated
Clusterin	CLU	AL048744	-2.79	Down regulated
Fibulin5	FBLN5	H29224	-2.78	Down regulated
Lumican	LUM	BC005302	-2.77	Down regulated
TNFsuperfamily,member12	TNFSF13	NM_003809	-2.77	Down regulated
Transgelin	TAGLN	BC004863	-2.73	Down regulated
Complementcomponent3	C3	K02765	-2.65	Down regulated
Fibroblastgrowthfactor7	FGF7	M60828	-2.6	Down regulated
Proteoglycan2,bonemarrow	PRG2	R25649	-2.58	Down regulated
Chromosome6openreadingframe48	C6orf48	AI015058	-2.56	Down regulated
Proline-serine-threoninephosphataseinteractingprotein1	PSTPIP1	BC008602	-2.52	Down regulated
Laminin, a4	LAMA4	R00706	-2.51	Down regulated
CytochromeP450,family2,subfamilyC,polypeptide9	CYP2C9	R92994	-2.49	Down regulated
ThromboxaneAsynthase1	TBXAS1	M80646	-2.43	Down regulated
Cadherin3,type1,P-cadherin	CDH3	X63629	-2.38	Down regulated
Tryptophanyl-tRNAsynthetase	WARS	N36174	-2.35	Down regulated
TAF1RNApolymeraseII,TATAboxbindingprotein-associated factor,250kDa	TAF1	R26894	-2.34	Down regulated
Frizzledhomolog4	FZD4	AB032417	-2.33	Down regulated
Inositol -1-monophosphatase2	IMPA2	T86604	-2.23	Down regulated
Transgelin3	TAGLN3	BC015329	-2.21	Down regulated
UDPglucuronosyltransferase1family,polypeptideA9	UGT1A6	BC020971	-2.19	Down regulated
Prolinedehydrogenase1	PRODH	W79586	-2.07	Down regulated
Actin, a2,smoothmuscle,aorta	ACTA2	AI028256	-2	Down regulated
DEADboxpolypeptide46	DDX46	BC012304	-2	Down regulated
