U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
219563_at	hypothetical protein FLJ21276	FLJ21276	14q32.2	NM_024633.1	Hs.41502	91.3	Below	5.8
219724_s_at	KIAA0748 gene product	KIAA0748	12q12	NM_014796.1	Hs.33187	91.3	Above	11.4
221750_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	HMGCS1	5p14-p13	BG035985	Hs.77910	91.3	Above	3.5
226157_at	Homo sapiens cDNA FLJ39131			AI569747	Hs.379018	91.3	Above	4.6
226496_at	hypothetical protein FLJ22611	FLJ22611	9p11.1	BG291039	Hs.27774	91.3	Below	7.7
204214_s_at	RAB32, member RAS oncogene family	RAB32	6q24.3	NM_006834.1	Hs.32217	90.6	Above	137
204777_s_at	mal, T-cell differentiation protein	MAL	2cen-q13	NM_002371.2	Hs.80395	90.6	Above	95.2
204890_s_at	lymphocyte-specific protein tyrosine kinase	LCK	1p34.3	U07236.1	Hs.1765	90.6	Above	19.4
205049_s_at	CD79A antigen (immunoglobulin-associated alpha)	CD79A	19q13.2	NM_001783.1	Hs.79630	90.6	Below	11.6
205254_x_at	transcription factor 7 (T-cell specific, HMG-box)	TCF7	5q31.1	AW027359	Hs.169294	90.6	Above	377.1
205504_at	Bruton agammaglobulinemia tyrosine kinase	BTK	Xq21.33-q22	NM_000061.1	Hs.159494	90.6	Below	7.3
210915_x_at	T cell receptor beta locus	TRB	7q34	M15564.1	Hs.303157	90.6	Above	16.2
211211_x_at	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	SH2D1A	Xq25-q26	AF100542.1	Hs.151544	90.6	Above	2103.7
213830_at	T cell receptor delta locus	TRD	14q11.2	AW007751	Hs.2014	90.6	Above	7379.7
216191_s_at	T cell receptor delta locus	TRD	14q11.2	X72501.1	Hs.2014	90.6	Above	253.1
217143_s_at	T cell receptor delta locus	TRD	14q11.2	X06557.1	Hs.2014	90.6	Above	150.1
219528_s_at	B-cell CLL/lymphoma 11B (zinc finger protein)	BCL11B	14q32.31-q32.32	NM_022898.1	Hs.57987	90.6	Above	11.9
220418_at	ubiquitin associated and SH3 domain containing, A	UBASH3A	21q22.3	NM_018961.1	Hs.183924	90.6	Above	766.4
222895_s_at	B-cell CLL/lymphoma 11B (zinc finger protein)	BCL11B	14q32.31-q32.32	AA918317	Hs.57987	90.6	Above	12.1
223553_s_at	hypothetical protein FLJ22570	FLJ22570	5q35.3	BC004564.1	Hs.122559	90.6	Below	7
225090_at	HRD1 protein	HRD1	11q12	AA844682	Hs.334819	90.6	Below	3.8
226459_at	Homo sapiens gastric cancer-related protein GCYS-20 (gcys-20) mRNA, complete cds			AW575754	Hs.86437	90.6	Below	11.9
228314_at	Homo sapiens cDNA FLJ37485			BE877357	Hs.24181	90.6	Below	5.1
201384_s_at	membrane component, chromosome 17, surface marker 2 (ovarian carcinoma antigen CA125)	M17S2	17q21.1	NM_005899.1	Hs.277721	83.8	Above	3.3
202540_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	5q13.3-q14	NM_000859.1	Hs.11899	83.8	Above	4.6
203198_at	cyclin-dependent kinase 9 (CDC2-related kinase)	CDK9	9q34.1	NM_001261.1	Hs.150423	83.8	Below	5.2
203932_at	major histocompatibility complex, class II, DM beta	HLA-DMB	6p21.3	NM_002118.1	Hs.1162	83.8	Below	8.2
204613_at	phospholipase C, gamma 2 (phosphatidylinositol-specific)	PLCG2	16q24.1	NM_002661.1	Hs.75648	83.8	Below	4
205267_at	POU domain, class 2, associating factor 1	POU2AF1	11q23.1	NM_006235.1	Hs.2407	83.8	Below	11.7
208650_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	BG327863	Hs.286124	83.8	Below	110.8
208651_x_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	M58664.1	Hs.286124	83.8	Below	49.3
209995_s_at	T-cell leukemia/lymphoma 1A	TCL1A	14q32.1	BC003574.1	Hs.2484	83.8	Below	20166.2
210038_at	protein kinase C, theta	PRKCQ	10p15	AL137145	Hs.211593	83.8	Above	12.7
211126_s_at	cysteine and glycine-rich protein 2	CSRP2	12q21.1	U46006.1	Hs.10526	83.8	Below	16.8
220068_at	pre-B lymphocyte gene 3	VPREB3	22q11.23	NM_013378.1	Hs.136713	83.8	Below	6559.8
226245_at	Homo sapiens mRNA; cDNA DKFZp451C132			U55984	Hs.356531	83.8	Above	9.1
202615_at	Homo sapiens mRNA; cDNA DKFZp686D0521			BF222895	Hs.356786	82.2	Above	3.1
224861_at	Homo sapiens cDNA FLJ31057			BF477658	Hs.296261	82.2	Above	3.5
201194_at	selenoprotein W, 1	SEPW1	19q13.3	NM_003009.1	Hs.14231	82	Above	4
201349_at	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	SLC9A3R1	17q25.2	NM_004252.1	Hs.184276	82	Above	2.7
202539_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	5q13.3-q14	AL518627	Hs.11899	82	Above	3.5
203588_s_at	transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	3q23	BG034328	Hs.19131	82	Above	18.5
204852_s_at	protein tyrosine phosphatase, non-receptor type 7	PTPN7	1q32.1	NM_002832.1	Hs.35	82	Above	9.3
207434_s_at	FXYD domain containing ion transport regulator 2	FXYD2	11q23	NM_021603.1	Hs.19520	82	Above	15.7
208872_s_at	DNA segment, single copy probe LNS-CAI/LNS-CAII (deleted in polyposis)	D5S346	5q22-q23	AA814140	Hs.178112	82	Below	2.7
209200_at	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	MEF2C	5q14	N22468	Hs.78995	82	Below	9.1
212795_at	KIAA1033 protein	KIAA1033	12q24.11	AL137753.1	Hs.12144	82	Below	2.5
212827_at	immunoglobulin heavy constant mu	IGHM	14q32.33	X17115.1	Hs.153261	82	Below	16.1
213193_x_at	T cell receptor beta locus	TRB	7q34	AL559122	Hs.303157	82	Above	11.1
221002_s_at	tetraspanin similar to TM4SF9	DC-TM4F2	10q23.2	NM_030927.1	Hs.101395	82	Below	2.1
225314_at	hypothetical protein MGC45416	MGC45416	4p12	BG291649	Hs.95835	82	Above	5.7
227432_s_at	insulin receptor	INSR	19p13.3-p13.2	AI215106	Hs.89695	82	Below	6.9
203332_s_at	inositol polyphosphate-5-phosphatase, 145kDa	INPP5D	2q36-q37	NM_005541.1	Hs.155939	81.5	Below	2.4
203589_s_at	transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	3q23	NM_006286.1	Hs.19131	81.5	Above	37.6
205674_x_at	FXYD domain containing ion transport regulator 2	FXYD2	11q23	NM_001680.2	Hs.19520	81.5	Above	13
209881_s_at	linker for activation of T cells	LAT	16q13	AF036905.1	Hs.83496	81.5	Above	1953.6
211005_at	linker for activation of T cells	LAT	16q13	AF036906.1	Hs.83496	81.5	Above	70.4
211075_s_at	CD47			Z25521.1		81.5	Above	2.1
211210_x_at	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	SH2D1A	Xq25-q26	AF100539.1	Hs.151544	81.5	Above	315.1
213601_at	slit homolog 1 (Drosophila)	SLIT1	10q23.3-q24	AB011537.2	Hs.133466	81.5	Above	1877.2
213857_s_at	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	CD47	3q13.1-q13.2	BG230614	Hs.82685	81.5	Above	2.2
214924_s_at	KIAA1042 protein	KIAA1042	3p25.3-p24.1	AK000754.1	Hs.6705	81.5	Below	2.4
