Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +11 and normal
220875_at	H19	11p15.5	present at least in one case	present at least in one case
206393_at	TNNI2	11p15.5	present at least in one case	present at least in one case
236050_at	MGC35138	11p15.5	present at least in one case	present at least in one case
239827_at	HBG1	11p15.5	present at least in one case	present at least in one case
229215_at	ASCL2	11p15.5	present at least in one case	present at least in one case
240983_s_at	CARS	11p15.5	present at least in one case	present at least in one case
220210_at	CHRNA10	11p15.5	present at least in one case	present at least in one case
221640_s_at	LRDD	11p15.5	present at least in one case	present at least in one case
209802_at	TSSC3	11p15.5	present at least in one case	present at least in one case
213885_at	TRIM3	11p15.5	present at least in one case	present at least in one case
227429_at	MGC45840	11p15.5	present at least in one case	present at least in one case
204306_s_at	CD151	11p15.5	present at least in one case	present at least in one case
227863_at	LOC196214	11p15.5	present at least in one case	present at least in one case
213182_x_at	CDKN1C	11p15.5	present at least in one case	present at least in one case
234952_s_at	KIAA1542	11p15.5	present at least in one case	present at least in one case
213183_s_at	CDKN1C	11p15.5	present at least in one case	present at least in one case
216894_x_at	CDKN1C	11p15.5	present at least in one case	present at least in one case
219019_at	LRDD	11p15.5	present at least in one case	present at least in one case
224646_x_at	H19	11p15.5	present at least in one case	present at least in one case
218612_s_at	TSSC4	11p15.5	present at least in one case	present at least in one case
201233_at	PSMD13	11p15.5	present at least in one case	present at least in one case
219534_x_at	CDKN1C	11p15.5	present at least in one case	present at least in one case
203195_s_at	NUP98	11p15.5	present at least in one case	present at least in one case
212983_at	HRAS	11p15.5	present at least in one case	present at least in one case
206374_at	DUSP8	11p15.5	present at least in one case	present at least in one case
205919_at	HBE1	11p15.5	present at least in one case	present at least in one case
219359_at	FLJ22635	11p15.5	present at least in one case	present at least in one case
204487_s_at	KCNQ1	11p15.5	present at least in one case	present at least in one case
39854_r_at		11p15.5	present at least in one case	present at least in one case
202402_s_at	CARS	11p15.5	present at least in one case	present at least in one case
218725_at	SLC25A22	11p15.5	present at least in one case	present at least in one case
203194_s_at	NUP98	11p15.5	present at least in one case	present at least in one case
224997_x_at	PRO2605	11p15.5	present at least in one case	present at least in one case
223353_at	HCCA2	11p15.5	present at least in one case	present at least in one case
209263_x_at	TM4SF7	11p15.5	present at least in one case	present at least in one case
204981_at	SLC22A1L	11p15.5	present at least in one case	present at least in one case
218921_at	SIGIRR	11p15.5	present at least in one case	present at least in one case
212705_x_at		11p15.5	present at least in one case	present at least in one case
202764_at	STIM1	11p15.5	present at least in one case	present at least in one case
41858_at	FRAG1	11p15.5	present at least in one case	present at least in one case
204804_at	SSA1	11p15.5	present at least in one case	present at least in one case
209407_s_at	DEAF1	11p15.5	present at least in one case	present at least in one case
215293_s_at	FRAG1	11p15.5	present at least in one case	present at least in one case
209803_s_at	TSSC3	11p15.5	present at least in one case	present at least in one case
201476_s_at	RRM1	11p15.5	present at least in one case	present at least in one case
223061_at	MGC3234	11p15.5	present at least in one case	present at least in one case
233467_s_at	PHEMX	11p15.5	present at least in one case	present at least in one case
201414_s_at	NAP1L4	11p15.5	present at least in one case	present at least in one case
40359_at	C11orf13	11p15.5	present at least in one case	present at least in one case
204234_s_at	ZNF195	11p15.5	present at least in one case	present at least in one case
220558_x_at	PHEMX	11p15.5	present at least in one case	present at least in one case
203523_at	LSP1	11p15.5	present at least in one case	present at least in one case
201232_s_at	PSMD13	11p15.5	present at least in one case	present at least in one case
213348_at	CDKN1C	11p15.5	present at least in one case	present at least in one case
49327_at	SIRT3	11p15.5	present at least in one case	present at least in one case
223023_at	BET1L	11p15.5	present at least in one case	present at least in one case
208436_s_at	IRF7	11p15.5	present at least in one case	present at least in one case
221647_s_at	RIC-8	11p15.5	present at least in one case	present at least in one case
200766_at	CTSD	11p15.5	present at least in one case	present at least in one case
52940_at	SIGIRR	11p15.5	present at least in one case	present at least in one case
220560_at	C11orf21	11p15.5	present at least in one case	present at least in one case
210793_s_at	NUP98	11p15.5	present at least in one case	present at least in one case
201477_s_at	RRM1	11p15.5	present at least in one case	present at least in one case
212971_at	CARS	11p15.5	present at least in one case	present at least in one case
206050_s_at	RNH	11p15.5	present at least in one case	present at least in one case
200675_at	CD81	11p15.5	present at least in one case	present at least in one case
201315_x_at	IFITM2	11p15.5	present at least in one case	present at least in one case
204848_x_at	HBG1	11p15.5	present at least in one case	present at least in one case
204419_x_at	HBG2	11p15.5	present at least in one case	present at least in one case
213515_x_at	HBG1	11p15.5	present at least in one case	present at least in one case
206834_at	HBD	11p15.5	present at least in one case	present at least in one case
217232_x_at	HBB	11p15.5	present at least in one case	present at least in one case
211696_x_at	HBB	11p15.5	present at least in one case	present at least in one case
209116_x_at	HBB	11p15.5	present at least in one case	present at least in one case
215288_at	TRPC2	11p15.4-p15.3	present at least in one case	present at least in one case
216230_x_at	SMPD1	11p15.4-p15.1	present at least in one case	present at least in one case
209420_s_at	SMPD1	11p15.4-p15.1	present at least in one case	present at least in one case
206428_s_at	ZNF143	11p15.4	absent in all cases	absent in all cases
206657_s_at	MYOD1	11p15.4	absent in all cases	absent in all cases
220214_at	ZNF215	11p15.4	absent in all cases	absent in all cases
232445_at	LOC143425	11p15.4	absent in all cases	absent in all cases
236965_at	MGC20470	11p15.4	absent in all cases	absent in all cases
243457_s_at	ZNF214	11p15.4	present at least in one case	present at least in one case
218892_at	PCDH16	11p15.4	present at least in one case	present at least in one case
220497_at	ZNF214	11p15.4	present at least in one case	present at least in one case
224955_at	TEAD1	11p15.4	present at least in one case	present at least in one case
214600_at	TEAD1	11p15.4	present at least in one case	present at least in one case
210381_s_at	CCKBR	11p15.4	present at least in one case	present at least in one case
203170_at	KIAA0409	11p15.4	present at least in one case	present at least in one case
222101_s_at	PCDH16	11p15.4	present at least in one case	present at least in one case
232829_at	OR52K3P	11p15.4	present at least in one case	present at least in one case
242540_at	FLJ35709	11p15.4	present at least in one case	present at least in one case
229631_at	FLJ32752	11p15.4	present at least in one case	present at least in one case
213010_at	PRKCDBP	11p15.4	present at least in one case	present at least in one case
229768_at	MGC24137	11p15.4	present at least in one case	present at least in one case
223599_at	TRIM6	11p15.4	present at least in one case	present at least in one case
220577_at	FLJ13373	11p15.4	present at least in one case	present at least in one case
223464_at	OSBPL5	11p15.4	present at least in one case	present at least in one case
233734_s_at	OSBPL5	11p15.4	present at least in one case	present at least in one case
219405_at	SS-56	11p15.4	present at least in one case	present at least in one case
203171_s_at	KIAA0409	11p15.4	present at least in one case	present at least in one case
223637_s_at	DKFZP566M1046	11p15.4	present at least in one case	present at least in one case
202912_at	ADM	11p15.4	present at least in one case	present at least in one case
200650_s_at	LDHA	11p15.4	present at least in one case	present at least in one case
206977_at	PTH	11p15.3-p15.1	absent in all cases	absent in all cases
215711_s_at	WEE1	11p15.3-p15.1	present at least in one case	present at least in one case
212533_at	WEE1	11p15.3-p15.1	present at least in one case	present at least in one case
231626_at	TPH	11p15.3-p14	absent in all cases	absent in all cases
220344_at	C11orf16	11p15.3	absent in all cases	absent in all cases
221161_at	ASCL3	11p15.3	absent in all cases	absent in all cases
223865_at	SOX6	11p15.3	absent in all cases	absent in all cases
224178_s_at	SOX6	11p15.3	absent in all cases	absent in all cases
228035_at	STK33	11p15.3	absent in all cases	absent in all cases
240381_at	LOC58486	11p15.3	absent in all cases	absent in all cases
242552_x_at	LOC58486	11p15.3	absent in all cases	absent in all cases
242935_at	LOC283105	11p15.3	absent in all cases	absent in all cases
242786_at	LOC283105	11p15.3	present at least in one case	absent in all cases
200865_at	EIF3S5	11p15.3	present at least in one case	present at least in one case
219197_s_at	SCUBE2	11p15.3	present at least in one case	present at least in one case
228086_at	STK33	11p15.3	present at least in one case	present at least in one case
220282_at	FLJ11608	11p15.3	present at least in one case	present at least in one case
206275_s_at	KIAA0750	11p15.3	present at least in one case	present at least in one case
212841_s_at	PPFIBP2	11p15.3	present at least in one case	present at least in one case
223119_s_at	FLJ20727	11p15.3	present at least in one case	present at least in one case
220230_s_at	CYB5R2	11p15.3	present at least in one case	present at least in one case
223118_s_at	FLJ20727	11p15.3	present at least in one case	present at least in one case
233914_s_at	KIAA1766	11p15.3	present at least in one case	present at least in one case
215959_at	PPFIBP2	11p15.3	present at least in one case	present at least in one case
219953_s_at	C11orf17	11p15.3	present at least in one case	present at least in one case
219104_at	ZFP26	11p15.3	present at least in one case	present at least in one case
229466_at	LOC256273	11p15.3	present at least in one case	present at least in one case
213748_at	KIAA0298	11p15.3	present at least in one case	present at least in one case
212623_at	KIAA0033	11p15.3	present at least in one case	present at least in one case
226169_at	LOC283105	11p15.3	present at least in one case	present at least in one case
219557_s_at	C11orf14	11p15.3	present at least in one case	present at least in one case
223701_s_at	FLJ20727	11p15.3	present at least in one case	present at least in one case
200995_at	IPO7	11p15.3	present at least in one case	present at least in one case
242515_x_at	C11orf17	11p15.3	present at least in one case	present at least in one case
212622_at	KIAA0033	11p15.3	present at least in one case	present at least in one case
222507_s_at	C11orf15	11p15.3	present at least in one case	present at least in one case
223117_s_at	FLJ20727	11p15.3	present at least in one case	present at least in one case
200992_at	IPO7	11p15.3	present at least in one case	present at least in one case
200994_at	IPO7	11p15.3	present at least in one case	present at least in one case
202060_at	TSBP	11p15.3	present at least in one case	present at least in one case
221518_s_at	FLJ20727	11p15.3	present at least in one case	present at least in one case
226106_at	ZFP26	11p15.3	present at least in one case	present at least in one case
218263_s_at	LOC58486	11p15.3	present at least in one case	present at least in one case
212561_at	RAB6IP1	11p15.3	present at least in one case	present at least in one case
218065_s_at	C11orf15	11p15.3	present at least in one case	present at least in one case
200055_at - HG-U133B	TAF10	11p15.3	present at least in one case	present at least in one case
200055_at - HG-U133A	TAF10	11p15.3	present at least in one case	present at least in one case
200023_s_at - HG-U133B	EIF3S5	11p15.3	present at least in one case	present at least in one case
200023_s_at - HG-U133A	EIF3S5	11p15.3	present at least in one case	present at least in one case
206089_at	NELL1	11p15.2-p15.1	absent in all cases	absent in all cases
210727_at	CALCA	11p15.2-p15.1	absent in all cases	absent in all cases
210728_s_at	CALCA	11p15.2-p15.1	absent in all cases	absent in all cases
210810_s_at	SLC6A5	11p15.2-p15.1	absent in all cases	absent in all cases
217495_x_at	CALCA	11p15.2-p15.1	absent in all cases	absent in all cases
214636_at	CALCB	11p15.2-p15.1	present at least in one case	present at least in one case
217561_at	CALCA	11p15.2-p15.1	present at least in one case	present at least in one case
207875_at	DKK3	11p15.2	absent in all cases	absent in all cases
217890_s_at	PARVA	11p15.2	absent in all cases	absent in all cases
222454_s_at	PARVA	11p15.2	absent in all cases	absent in all cases
233308_at	COPB	11p15.2	absent in all cases	absent in all cases
224488_s_at	SPON1	11p15.2	present at least in one case	absent in all cases
209437_s_at	SPON1	11p15.2	present at least in one case	absent in all cases
202196_s_at	DKK3	11p15.2	present at least in one case	present at least in one case
222455_s_at	PARVA	11p15.2	present at least in one case	present at least in one case
213993_at	SPON1	11p15.2	present at least in one case	present at least in one case
214247_s_at	DKK3	11p15.2	present at least in one case	present at least in one case
243611_at	FLJ14966	11p15.2	present at least in one case	present at least in one case
213994_s_at	SPON1	11p15.2	present at least in one case	present at least in one case
208456_s_at	RRAS2	11p15.2	present at least in one case	present at least in one case
207786_at	MGC4663	11p15.2	present at least in one case	present at least in one case
212589_at	RRAS2	11p15.2	present at least in one case	present at least in one case
215418_at	PARVA	11p15.2	present at least in one case	present at least in one case
212590_at	RRAS2	11p15.2	present at least in one case	present at least in one case
209436_at	SPON1	11p15.2	present at least in one case	present at least in one case
223174_at	MGC13007	11p15.2	present at least in one case	present at least in one case
201359_at	COPB	11p15.2	present at least in one case	present at least in one case
201358_s_at	COPB	11p15.2	present at least in one case	present at least in one case
208607_s_at	SAA2	11p15.1-p14	absent in all cases	absent in all cases
242656_at	GTF2H1	11p15.1-p14	present at least in one case	present at least in one case
207096_at	SAA4	11p15.1-p14	present at least in one case	present at least in one case
202453_s_at	GTF2H1	11p15.1-p14	present at least in one case	present at least in one case
202451_at	GTF2H1	11p15.1-p14	present at least in one case	present at least in one case
229838_at	NUCB2	11p15.1-p14	present at least in one case	present at least in one case
203675_at	NUCB2	11p15.1-p14	present at least in one case	present at least in one case
205553_s_at	CSRP3	11p15.1	absent in all cases	absent in all cases
210245_at	ABCC8	11p15.1	absent in all cases	absent in all cases
210246_s_at	ABCC8	11p15.1	absent in all cases	absent in all cases
214456_x_at	SAA1	11p15.1	absent in all cases	absent in all cases
222599_s_at	NAV2	11p15.1	absent in all cases	absent in all cases
229102_at	HTATIP2	11p15.1	absent in all cases	absent in all cases
231404_at	FLJ39441	11p15.1	absent in all cases	absent in all cases
231740_at	KCNJ11	11p15.1	absent in all cases	absent in all cases
233470_at	FLJ14427	11p15.1	absent in all cases	absent in all cases
233471_at	FLJ14427	11p15.1	absent in all cases	absent in all cases
236456_at	FLJ14427	11p15.1	absent in all cases	absent in all cases
237512_at	NAV2	11p15.1	absent in all cases	absent in all cases
242417_at	LOC283278	11p15.1	absent in all cases	absent in all cases
221173_at	FLJ21290	11p15.1	present at least in one case	absent in all cases
221127_s_at	RIG	11p15.1	present at least in one case	present at least in one case
228450_at	LOC144100	11p15.1	present at least in one case	present at least in one case
238710_at	FLJ90119	11p15.1	present at least in one case	present at least in one case
222598_s_at	NAV2	11p15.1	present at least in one case	present at least in one case
221126_at	RIG	11p15.1	present at least in one case	present at least in one case
227570_at	FLJ90119	11p15.1	present at least in one case	present at least in one case
231276_at	PDE3B	11p15.1	present at least in one case	present at least in one case
218330_s_at	NAV2	11p15.1	present at least in one case	present at least in one case
242103_at	FLJ90119	11p15.1	present at least in one case	present at least in one case
220775_s_at	UEV3	11p15.1	present at least in one case	present at least in one case
222317_at	PDE3B	11p15.1	present at least in one case	present at least in one case
219990_at	FLJ23311	11p15.1	present at least in one case	present at least in one case
219296_at	FLJ10852	11p15.1	present at least in one case	present at least in one case
210253_at	HTATIP2	11p15.1	present at least in one case	present at least in one case
235440_at	FLJ39441	11p15.1	present at least in one case	present at least in one case
208591_s_at	PDE3B	11p15.1	present at least in one case	present at least in one case
207180_s_at	HTATIP2	11p15.1	present at least in one case	present at least in one case
214582_at	PDE3B	11p15.1	present at least in one case	present at least in one case
209448_at	HTATIP2	11p15.1	present at least in one case	present at least in one case
229594_at	FLJ39441	11p15.1	present at least in one case	present at least in one case
225614_at	LOC113174	11p15.1	present at least in one case	present at least in one case
201784_s_at	SMAP	11p15.1	present at least in one case	present at least in one case
200084_at - HG-U133B	SMAP	11p15.1	present at least in one case	present at least in one case
200084_at - HG-U133A	SMAP	11p15.1	present at least in one case	present at least in one case
210759_s_at	PSMA1	11p15.1	present at least in one case	present at least in one case
211746_x_at	PSMA1	11p15.1	present at least in one case	present at least in one case
201676_x_at	PSMA1	11p15.1	present at least in one case	present at least in one case
202440_s_at	ST5	11p15	absent in all cases	absent in all cases
202586_at	POLR2L	11p15	absent in all cases	absent in all cases
202652_at	APBB1	11p15	absent in all cases	absent in all cases
207208_at	HNRNPG-T	11p15	absent in all cases	absent in all cases
208477_at	KCNC1	11p15	absent in all cases	absent in all cases
209872_s_at	PKP3	11p15	absent in all cases	absent in all cases
209873_s_at	PKP3	11p15	absent in all cases	absent in all cases
213432_at	MUC5B	11p15	absent in all cases	absent in all cases
214195_at	CLN2	11p15	absent in all cases	absent in all cases
214303_x_at	MUC5B	11p15	absent in all cases	absent in all cases
214385_s_at	MUC5B	11p15	absent in all cases	absent in all cases
217240_at	POLR2L	11p15	absent in all cases	absent in all cases
220541_at	MMP26	11p15	absent in all cases	absent in all cases
221424_s_at	OR51E2	11p15	absent in all cases	absent in all cases
221465_at	OR6A1	11p15	absent in all cases	absent in all cases
222268_x_at	MUC5B	11p15	absent in all cases	absent in all cases
224550_s_at	MRVI1	11p15	absent in all cases	absent in all cases
232482_at	OR51E2	11p15	absent in all cases	absent in all cases
234469_at	OR51B4	11p15	absent in all cases	absent in all cases
236121_at	OR51E2	11p15	absent in all cases	absent in all cases
209491_s_at	AMPD3	11p15	present at least in one case	absent in all cases
232464_at	TRIMP1	11p15	present at least in one case	present at least in one case
224175_s_at	TRIM34	11p15	present at least in one case	present at least in one case
220037_s_at	XLKD1	11p15	present at least in one case	present at least in one case
210369_at	SWAP70	11p15	present at least in one case	present at least in one case
230214_at	MRVI1	11p15	present at least in one case	present at least in one case
219059_s_at	XLKD1	11p15	present at least in one case	present at least in one case
206718_at	LMO1	11p15	present at least in one case	present at least in one case
207207_at	HNRNPG-T	11p15	present at least in one case	present at least in one case
217607_x_at	EIF4G2	11p15	present at least in one case	present at least in one case
220422_at	UBQLN3	11p15	present at least in one case	present at least in one case
210971_s_at	ARNTL	11p15	present at least in one case	present at least in one case
221005_s_at	PTDSS2	11p15	present at least in one case	present at least in one case
218689_at	FANCF	11p15	present at least in one case	present at least in one case
207919_at	ART1	11p15	present at least in one case	present at least in one case
221044_s_at	TRIM34	11p15	present at least in one case	present at least in one case
209824_s_at	ARNTL	11p15	present at least in one case	present at least in one case
234486_at	OR51B2	11p15	present at least in one case	present at least in one case
202109_at	POR1	11p15	present at least in one case	present at least in one case
222713_s_at	FANCF	11p15	present at least in one case	present at least in one case
209307_at	SWAP70	11p15	present at least in one case	present at least in one case
212044_s_at	RPL27A	11p15	present at least in one case	present at least in one case
209306_s_at	SWAP70	11p15	present at least in one case	present at least in one case
214196_s_at	CLN2	11p15	present at least in one case	present at least in one case
207992_s_at	AMPD3	11p15	present at least in one case	present at least in one case
201758_at	TSG101	11p15	present at least in one case	present at least in one case
211730_s_at	POLR2L	11p15	present at least in one case	present at least in one case
213293_s_at	TRIM22	11p15	present at least in one case	present at least in one case
200742_s_at	CLN2	11p15	present at least in one case	present at least in one case
200743_s_at	CLN2	11p15	present at least in one case	present at least in one case
200004_at - HG-U133B	EIF4G2	11p15	present at least in one case	present at least in one case
200004_at - HG-U133A	EIF4G2	11p15	present at least in one case	present at least in one case
200018_at - HG-U133B	RPS13	11p15	present at least in one case	present at least in one case
200018_at - HG-U133A	RPS13	11p15	present at least in one case	present at least in one case
203034_s_at	RPL27A	11p15	present at least in one case	present at least in one case
222596_s_at	GPR48	11p14-p13	absent in all cases	absent in all cases
230674_at	GPR48	11p14-p13	absent in all cases	absent in all cases
218326_s_at	GPR48	11p14-p13	present at least in one case	present at least in one case
205848_at	GAS2	11p14.3-15.2	present at least in one case	present at least in one case
205137_x_at	USH1C	11p14.3	absent in all cases	absent in all cases
220482_s_at	DELGEF	11p14.3	absent in all cases	absent in all cases
227238_at	MUC15	11p14.3	absent in all cases	absent in all cases
227241_at	MUC15	11p14.3	absent in all cases	absent in all cases
229313_at	LOC203859	11p14.3	absent in all cases	absent in all cases
220551_at	SLC17A6	11p14.3	present at least in one case	present at least in one case
223483_at	DELGEF	11p14.3	present at least in one case	present at least in one case
211184_s_at	USH1C	11p14.3	present at least in one case	present at least in one case
232983_s_at	DELGEF	11p14.3	present at least in one case	present at least in one case
213320_at	PRMT3	11p14.3	present at least in one case	present at least in one case
230005_at	DKFZp313A2432	11p14.2	present at least in one case	present at least in one case
230285_at	DKFZp313A2432	11p14.2	present at least in one case	present at least in one case
230006_s_at	DKFZp313A2432	11p14.2	present at least in one case	present at least in one case
226278_at	DKFZp313A2432	11p14.2	present at least in one case	present at least in one case
205363_at	BBOX1	11p14.1	absent in all cases	absent in all cases
215241_at	C11orf25	11p14.1	present at least in one case	present at least in one case
242247_at	FLJ33979	11p14.1	present at least in one case	present at least in one case
238773_at	FLJ33979	11p14.1	present at least in one case	present at least in one case
221258_s_at	DKFZP434G2226	11p14.1	present at least in one case	present at least in one case
207248_at	KCNA4	11p14	absent in all cases	absent in all cases
219399_at	LIN7C	11p14	present at least in one case	present at least in one case
204544_at	AIBP63	11p14	present at least in one case	present at least in one case
221568_s_at	LIN7C	11p14	present at least in one case	present at least in one case
226287_at	LOC81023	11p14	present at least in one case	present at least in one case
223350_x_at	LIN7C	11p14	present at least in one case	present at least in one case
220624_s_at	ELF5	11p13-p15	absent in all cases	absent in all cases
220625_s_at	ELF5	11p13-p15	present at least in one case	present at least in one case
206230_at	LHX1	11p13-p12	absent in all cases	absent in all cases
217055_x_at	SLC1A2	11p13-p12	absent in all cases	absent in all cases
208389_s_at	SLC1A2	11p13-p12	present at least in one case	present at least in one case
205646_s_at	PAX6	11p13	absent in all cases	absent in all cases
205797_s_at	FLJ11336	11p13	absent in all cases	absent in all cases
213661_at	DKFZP586H2123	11p13	absent in all cases	absent in all cases
216953_s_at	WT1	11p13	absent in all cases	absent in all cases
220568_at	PRO1483	11p13	absent in all cases	absent in all cases
239367_at	BDNF	11p13	absent in all cases	absent in all cases
244338_at	LOC143458	11p13	absent in all cases	absent in all cases
232603_at	KIAA1493	11p13	present at least in one case	present at least in one case
215117_at	RAG2	11p13	present at least in one case	present at least in one case
206591_at	RAG1	11p13	present at least in one case	present at least in one case
232815_at	FBXO3	11p13	present at least in one case	present at least in one case
214489_at	FSHB	11p13	present at least in one case	present at least in one case
235795_at	PAX6	11p13	present at least in one case	present at least in one case
206382_s_at	BDNF	11p13	present at least in one case	present at least in one case
219522_at	FJX1	11p13	present at least in one case	present at least in one case
215573_at	CAT	11p13	present at least in one case	present at least in one case
205413_at	C11orf8	11p13	present at least in one case	present at least in one case
215692_s_at	C11orf8	11p13	present at least in one case	present at least in one case
205796_at	FLJ11336	11p13	present at least in one case	present at least in one case
228913_at	RCN1	11p13	present at least in one case	present at least in one case
230556_at	FLJ25059	11p13	present at least in one case	present at least in one case
226289_at	M11S1	11p13	present at least in one case	present at least in one case
229540_at	CD59	11p13	present at least in one case	present at least in one case
207764_s_at	HIPK3	11p13	present at least in one case	present at least in one case
238363_at	CAT	11p13	present at least in one case	present at least in one case
213697_at	HIPK3	11p13	present at least in one case	present at least in one case
229982_at	FLJ21924	11p13	present at least in one case	present at least in one case
206954_at	WIT-1	11p13	present at least in one case	present at least in one case
220881_at	PRO1787	11p13	present at least in one case	present at least in one case
214772_at	G2	11p13	present at least in one case	present at least in one case
233472_at	FLJ11336	11p13	present at least in one case	present at least in one case
235486_at	MGC34830	11p13	present at least in one case	present at least in one case
219705_at	FLJ21924	11p13	present at least in one case	present at least in one case
229665_at	CSTF3	11p13	present at least in one case	present at least in one case
228293_at	LOC91614	11p13	present at least in one case	present at least in one case
213497_at	DKFZP586C1619	11p13	present at least in one case	present at least in one case
218432_at	FBXO3	11p13	present at least in one case	present at least in one case
226793_at	LOC283267	11p13	present at least in one case	present at least in one case
207291_at	TMG4	11p13	present at least in one case	present at least in one case
210148_at	HIPK3	11p13	present at least in one case	present at least in one case
244563_at	FLJ21924	11p13	present at least in one case	present at least in one case
229666_s_at	CSTF3	11p13	present at least in one case	present at least in one case
213853_at	LOC120526	11p13	present at least in one case	present at least in one case
229025_s_at	FLJ25059	11p13	present at least in one case	present at least in one case
203829_at	ELP4	11p13	present at least in one case	present at least in one case
217523_at	CD44	11p13	present at least in one case	present at least in one case
226265_at	FLJ21924	11p13	present at least in one case	present at least in one case
234985_at	LOC143458	11p13	present at least in one case	present at least in one case
226285_at	M11S1	11p13	present at least in one case	present at least in one case
218072_at	HSPC166	11p13	present at least in one case	present at least in one case
206067_s_at	WT1	11p13	present at least in one case	present at least in one case
