Probe set ID	Symbol	Description	RefSeq Transcript ID	Cytoband	Status
219639_x_at	LOC56965	hypothetical protein from EUROIMAGE 1977056	NM_020213	chr15q22.33	Underexpressed in nocular sclerosis
209791_at	PADI2	peptidyl arginine deiminase, type II	AL049569	chr1p35.2-p35.1	Underexpressed in nocular sclerosis
207500_at	CASP5	caspase 5, apoptosis-related cysteine protease	NM_004347	chr11q22.2-q22.3	Underexpressed in nocular sclerosis
209876_at	GIT2	G protein-coupled receptor kinase interactor 2	AF124491	chr12q24.1	Underexpressed in nocular sclerosis
219159_s_at	SLAMF7	SLAM family member 7	NM_021181	chr1q23.1-q24.1	Underexpressed in nocular sclerosis
204544_at	HPS5	Hermansky-Pudlak syndrome 5	NM_007216	chr11p14	Underexpressed in nocular sclerosis
206881_s_at	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	NM_006865	chr19q13.4	Underexpressed in nocular sclerosis
208933_s_at	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	AI659005	chr1q42-q43	Underexpressed in nocular sclerosis
218928_s_at	SLC37A1	solute carrier family 37 (glycerol-3-phosphate transporter), member 1	NM_018964	chr21q22.3	Underexpressed in nocular sclerosis
205692_s_at	CD38	CD38 antigen (p45)	NM_001775	chr4p15	Underexpressed in nocular sclerosis
