Oligo ID	Gene ID	Accession Number	Gene Symbol	Gene Name	IM-R:M	PD-R:M	IM-R:B	PD-R: B
83807	221061	NM_001010924	C10orf38	Chromosome 10 open reading frame 38 (c10orf38)	1,05	0,76	5,90	3,00
82007	493869	NM_001008397	LOC493869	Similar to RIKEN cdna 2310016C16	1,28	0,49	5,79	-2,61
99115	5829	NM_002859	PXN	Paxillin	0,78	0,82	4,62	5,76
182029	374460	XM_353029	LOC374460	LOC374460	2,08	2,01	5,75	4,91
30171	55002	NM_017905	TMCO3	Transmembrane and coiled-coil domains 3	-0,02	0,86	-6,76	5,74
40216	23406	NM_021149	COTL1	Coactosin-like 1 (Dictyostelium)	1,52	1,46	5,74	5,32
35771	55861	NM_001048223;NM_001048221;NM_001048226;NM_0010 48224;NM_001048225;NM_0 01048222	DBNDD2	Dysbindin (dystrobrevin binding protein 1) domain containing 2	-0,92	-0,01	5,65	-6,63
157007	7068	NM_000461	THRB	Thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)	-0,83	-0,02	5,57	-6,66
90892	1147	NM_001278	CHUK	Conserved helix-loop-helix ubiquitous kinase	0,92	0,41	5,56	-2,34
20655	29088	NM_014175	MRPL15	Mitochondrial ribosomal protein L15	0,42	1,09	-3,01	5,51
17090	10723	NM_006598	SLC12A7	Solute carrier family 12 (potassium/chloride transporters), member 7	-0,81	-0,62	5,47	2,66
48028	5212	NM_053276	VIT	Vitrin	0,71	0,30	5,46	-2,38
17458	11040	NM_006875	PIM2	Pim-2 oncogene	-0,97	-0,83	5,45	3,24
69448	79026;790 26; 195	NM_001620	AHNAK	AHNAK nucleoprotein	-0,76	-0,40	5,45	0,91
96761	7461	NM_003388;NM_032421	CYLN2	Cytoplasmic linker 2	1,05	0,77	5,33	2,23
62243	246778	NM_145659	IL27	Interleukin 27	1,47	1,11	5,32	2,45
28316	54894	NM_017763	RNF43	Hypothetical protein FLJ20315	-1,14	-0,99	5,30	3,67
77987	386759	BC008651	MGC9913	Hypothetical protein MGC9913	0,89	0,08	5,26	-6,33
109616	140576	NM_080388	S100A16	S100 calcium binding protein A16	0,94	1,50	1,25	5,26
15439	4162	NM_006500	MCAM	Melanoma cell adhesion molecule	1,47	1,53	4,83	5,26
3544			#NA		-0,83	-0,59	5,19	1,74
46231	83667	NM_031459	SESN2	Sestrin 2	0,17	-0,75	-5,25	5,19
96042	5872	NM_002870	RAB13	RAB13, member RAS oncogene family	0,75	0,53	5,18	1,55
5488	8635	NM_003730	RNASET2	Ribonuclease T2	1,99	0,48	5,18	-4,98
160475	168400	NM_182699	DDX53	DEAD (Asp-Glu-Ala-Asp) box polypeptide 53	-1,19	-0,20	5,13	-5,81
99913	7802	NM_003462	DNALI1	Dynein, axonemal, light intermediate polypeptide 1	0,80	0,70	5,13	3,97
13861	10499	NM_006540	NCOA2	Nuclear receptor coactivator 2	0,12	0,85	-6,19	5,06
40185	5441	NM_021128	POLR2L	Polymerase (RNA) II (DNA directed) polypeptide L, 7.6kda	-0,79	-0,13	5,06	-5,86
91116	2274	NM_201555;NM_201557;NM_001039492;NM_001450	FHL2	Four and a half LIM domains 2	0,85	0,30	4,91	-3,51
93238	1675	NM_001928	DF	D component of complement (adipsin)	-0,76	-0,45	4,91	0,13
20406	2571	NM_000817;NM_013445	GAD1	Glutamate decarboxylase 1 (brain, 67kda)	1,11	1,21	4,89	4,86
45327	79961	NM_024901	DENND2D	DENN/MADD domain containing 2D	0,71	0,31	4,88	-2,04
33895	7504	NM_021083	XK	Kell blood group precursor (mcleod phenotype)	-0,97	0,20	4,88	-5,53
92807	59	NM_001613	ACTA2	Actin, alpha 2, smooth muscle, aorta	1,68	1,45	4,84	3,32
55975	113829	NM_080670	SLC35A4	Solute carrier family 35, member A4	0,01	0,77	-6,77	4,83
95892	5646	NM_002771;NR_001296	PRSS3	Trypsinogen C (TRY6) on chromosome 7	0,36	0,88	-2,48	4,83
64304	378194	XM_353694	LOC378194	Similar to T cell receptor beta2	1,40	-0,05	4,83	-6,65
48979	85285	NM_033060	KRTAP4-10	Keratin associated protein 4-10	0,73	0,49	4,82	0,22
13099	4285	NM_005932	MIPEP	Mitochondrial intermediate peptidase	0,41	0,71	-0,66	4,81
95721	5307	NM_002653	PITX1	Paired-like homeodomain transcription factor 1	-0,86	-0,55	4,80	1,69
98115	7105	NM_003270	TSPAN6	Tetraspanin 6	-0,18	1,40	-6,27	4,79
95264	3880	NM_002276	KRT19	Keratin 19	0,44	1,08	-3,02	4,78
34565	54518	NM_019043	APBB1IP	Amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	0,23	0,81	-4,32	4,73
3909	8651	NM_003745	SOCS1	Suppressor of cytokine signaling 1	-0,54	-1,04	-1,39	4,72
163452	2571	NM_000817	GAD1	Glutamate decarboxylase 1 (brain, 67kda)	0,79	0,96	2,39	4,71
171530	55471	NM_001083946;NM_144736	C2orf56	Chromosome 2 open reading frame 56	-0,22	-0,90	-5,15	4,67
97702	6059	NM_001040876;NM_002940	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	-0,08	0,81	-6,50	4,62
20208	29117	NM_013263	BRD7	Bromodomain containing 7	-0,87	-0,41	4,59	-1,81
9774	10172	NM_005773	ZNF256	Zinc finger protein 256	0,93	0,60	4,58	-0,10
43452	79752	NM_024699	ZFAND1	Zinc finger, AN1-type domain 1	0,88	0,60	4,58	1,78
64165		U60873	TncRNA	Human clone 137308 mRNA	0,81	0,27	4,55	-3,93
16680	7035	NM_001032281;NM_006287	TFPI	Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	2,08	-0,17	4,54	-6,48
168401	2232	NM_004110;NM_024417	FDXR	Ferredoxin reductase	0,90	0,93	3,92	4,53
92982	805	NM_001743	CALM2	Calmodulin 2 (phosphorylase kinase, delta)	-0,03	-0,89	-6,63	4,43
40681	63904	NM_022076	DUSP21	Dual specificity phosphatase 21	1,37	0,83	4,43	-0,13
169409	55900, 339318	NM_018675;NM_018443,NM_001012320;NM_001029997	ZNF 302, ZNF181	Zinc finger protein 302, Zinc finger protein 181	1,02	0,39	4,25	-3,49
92071	3628	NM_002194	INPP1	Inositol polyphosphate-1-phosphatase	1,02	0,64	4,23	-0,17
37639	64208	NM_022361	POPDC3	Popeye domain containing 3	-0,88	-0,87	3,97	4,22
88522	3598	NM_000640	IL13RA2	Interleukin 13 receptor, alpha 2	2,31	1,07	4,21	-2,21
101432	5217	NM_053024;NM_002628	PFN2	Profilin 2	1,00	0,27	4,17	-4,62
80784	359845	NM_182705	FAM101B	Family with sequence similarity 101, member B	0,61	0,81	0,95	4,14
172542	1512	NM_148979;NM_004390	CTSH	Cathepsin H	-0,85	-0,11	4,08	-6,19
148387		AK023739	AK023739	Cdna FLJ13677 fis, clone PLACE1011982	1,27	1,04	4,07	2,45
36665	2589	NM_020474	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (galnac-T1)	1,48	1,32	4,04	2,93
87703	956	NM_001248	ENTPD3	Ectonucleoside triphosphate diphosphohydrolase 3	0,85	0,65	4,04	1,83
86099	554	NM_000054	AVPR2	Arginine vasopressin receptor 2 (nephrogenic diabetes insipidus)	0,58	0,96	0,27	4,04
126674	51652	NM_001005753;NM_016079	VPS24	Vacuolar protein sorting 24 (yeast)	-0,30	-0,96	-4,50	4,02
137260	55802	NM_018403	DCP1A	Decapping enzyme	0,81	0,72	4,00	2,80
105285	57575	NM_032961	PCDH10	Protocadherin 10	-0,04	1,10	-6,76	3,95
183647	283120	NR_002196	H19	H19, imprinted maternally expressed untranslated mRNA	-1,20	-1,53	1,49	3,95
27144	51465	NM_016021;NM_016336	UBE2J1	Ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	0,37	0,82	-2,03	3,95
10163	793	NM_004929	CALB1	Calbindin 1, 28kda	-0,03	1,66	-6,78	3,91
27410	6007	NM_016225;NM_016124	RHD	Rhesus blood group, D antigen	1,34	0,55	3,90	-3,32
95511	4692	NM_002487	NDN	Necdin homolog (mouse)	0,74	1,00	2,08	3,89
145504	1514	NM_001912;NM_145918	CTSL	Cathepsin L	1,17	0,43	3,84	-3,87
162101		X92108		mRNA for subtelomeric repeat sequence.	1,01	0,50	3,82	-2,42
93246	1803	NM_001935	DPP4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	1,02	0,97	3,82	3,35
91087	2069	NM_001432	EREG	Epiregulin	-0,77	-0,38	3,81	-2,24
87012	725	NM_001017364;NM_001017366;NM_001017365;NM_000716; NM 001017367	C4BPB	Complement component 4 binding protein, beta	0,85	0,26	3,81	-4,64
39168	9659	NM_022359;NM_001002810	PDE4DIP	Phosphodiesterase 4D interacting protein (myomegalin)	-0,87	-1,32	-0,17	3,81
29778	55603	NM_017633	FAM46A	Family with sequence similarity 46, member A	0,72	0,04	3,80	-6,51
50986	115677	NM_001039724;NM_052946	NOSTRIN	Nitric oxide synthase trafficker	1,37	0,39	3,77	-4,69
79625	284942	BC019348;BC010172	MGC70863	Similar to RPL23AP7 protein	0,96	0,38	3,77	-3,79
162768		BC040563	BC040563	Clone IMAGE:5266862	-0,40	-0,73	-1,92	3,73
77648	25911	NM_015448		Deleted in a mouse model of primary ciliary dyskinesia	0,35	0,78	-2,71	3,72
36844	57664	NM_020904	PLEKHA4	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4	0,97	-0,04	3,67	-6,61
149800		BC016361	BC016361	Clone IMAGE:4105785	-1,18	-0,77	3,64	-0,63
91347	341	NM_001645	APOC1	Apolipoprotein C-I	1,00	-0,09	3,63	-6,40
96248	6480	NM_003032;NM_173217; NM_173216	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	1,33	1,02	3,63	1,35
40317	58504	NM_021226	ARHGAP22	Rho gtpase activating protein 22	-1,38	-1,03	3,61	0,80
92466	1501	NM_001332	CTNND2	Catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	-0,85	-0,68	3,55	1,96
7922	1827	NM_004414;NM_203418; NM_203417	DSCR1	Down syndrome critical region gene 1	0,83	0,26	3,55	-4,56
97923	6678	NM_003118	SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	2,57	1,17	3,53	-2,88
29577	50945	NM_016954	TBX22	T-box 22	-0,95	-0,33	3,53	-3,47
43078	83690	NM_031461	CRISPLD1	Cysteine-rich secretory protein LCCL domain containing 1	-0,78	-0,62	3,46	2,28
165780	51312	NM_018579;NM_016612	SLC25A37	Solute carrier family 25, member 37	1,02	0,17	3,41	-6,05
94083	1802	NM_001384;NM_001039589	DPH2	DPH2 homolog (S. Cerevisiae)	-0,44	-0,76	-1,23	3,34
86081	348	NM_000041	APOE	Apolipoprotein E	1,27	0,30	3,30	-5,50
164587	9940	NM_007336;NM_007337;NM_005106;NM_007335; NM_007338	DLEC1	Deleted in lung and esophageal cancer 1	1,53	1,14	3,30	0,56
16447	10455	NM_006117;NM_206836	PECI	Peroxisomal D3,D2-enoyl-coa isomerase	0,66	0,89	0,67	3,18
175154	3241	NM_134421;NM_002149	HPCAL1	Hippocalcin-like 1	0,39	0,71	-1,63	3,11
92095	3693	NM_002213	ITGB5	Integrin, beta 5	1,01	0,71	3,06	-0,67
148125	3094	NM_005340	HINT1	Histidine triad nucleotide binding protein 1	-1,00	-0,16	3,05	-6,14
108202	9500	NM_001005332;NM_006986; NM_001005333	MAGED1	Melanoma antigen family D, 1	0,75	0,96	1,31	3,02
86855	5054	NM_000602	SERPINE1	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	0,95	0,47	2,89	-2,94
116746	3875	NM_000224	KRT18	Keratin 18	0,95	-0,03	2,84	-6,57
48734	84894	NM_032808	LRRN6A	Leucine rich repeat neuronal 6A	-0,76	-0,46	2,81	-1,49
42820	81615	NM_030923	TMEM163	Transmembrane protein 163	0,69	0,71	2,81	2,26
64853	157506	NM_172037	RDH10	Retinol dehydrogenase 10 (all-trans)	0,98	0,94	2,74	2,45
105544	7148	NM_032470;NM_019105	TNXB	Tenascin XB	1,30	0,92	2,70	-0,44
29340	55709	NM_016506;NM_018095	KBTBD4	Kelch repeat and BTB (POZ) domain containing 4	0,77	0,49	2,69	-1,22
56006	129025	NM_080740	SUHW1	Suppressor of hairy wing homolog 1 (Drosophila)	1,27	0,17	2,69	-6,32
60513	137392	NM_145269	FAM92A1	Family with sequence similarity 92, member A1	0,05	0,75	-6,54	2,68
33680	10243	NM_001024218;NM_020806	GPHN	Gephyrin	0,92	0,59	2,59	-1,19
91691	1635	NM_001921;NM_001012732	DCTD	Dcmp deaminase	0,23	-0,98	-5,74	2,55
597	80312	NM_030625	CXXC6	CXXC finger 6	-0,76	-0,77	2,44	1,80
165450	4145	NM_139354;NM_139355; NM_002378	MATK	Megakaryocyte-associated tyrosine kinase	-0,84	-0,50	2,41	-1,97
50793			#NA		0,19	1,05	-6,18	2,39
89943	3045	NM_000519	HBD	Hemoglobin, delta	-0,96	-0,60	2,39	-1,59
112491	6189	NM_001006;NM_182777	RPS3A	Ribosomal protein S3A	0,02	0,91	-6,78	2,35
6701	9084, 353513	NM_004679, NM_181880	VCY, VCY1B	Variable charge, Y-linked; Variable charge, Y-linked 1B	0,92	0,30	2,35	-4,91
86134	1130	NM_000081	LYST	Lysosomal trafficking regulator	0,73	0,30	2,32	-4,01
50625	7918	NM_033177	BAT4	HLA-B associated transcript 4	0,85	0,97	1,60	2,23
109585	23446	NM_080546	SLC44A1	Solute carrier family 44, member 1	1,46	1,76	0,61	2,22
132137	6770	NM_000349;NM_001007243	STAR	Steroidogenic acute regulator	-0,93	-0,73	2,18	-0,01
81985	153579	NM_152547	BTNL9	Butyrophilin-like 9	-0,65	-0,97	-1,42	2,14
92218	3956	NM_002305	LGALS1	Lectin, galactoside-binding, soluble, 1 (galectin 1)	0,80	0,81	1,90	2,14
42804	81606	NM_030915	LBH	Likely ortholog of mouse limb-bud and heart gene	-0,88	-1,06	-0,08	2,13
87284	5033	NM_001017962;NM_000917	P4HA1	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	0,84	-0,28	2,00	-5,03
59564	144321	NM_152436	GLIPR1L2	GLI pathogenesis-related 1 like 2	0,71	0,17	1,99	-4,45
93375	2335	NM_212482;NM_212474;NM_212476;NM_002026;NM_212478;NM_212475	FN1	Fibronectin 1	-0,02	-0,75	-6,77	1,96
78078	375061	NM_198552	FAM89A	Family with sequence similarity 89, member A	0,81	0,45	1,94	-2,62
46926	64333	NM_032496	ARHGAP9	Rho gtpase activating protein 9	1,60	1,20	1,91	-0,57
164576	4216	NM_006724;NM_005922	MAP3K4	Mitogen-activated protein kinase kinase kinase 4	-0,06	1,01	-6,69	1,72
152974	153346	AK024346	LOC153346	Hypothetical protein LOC153346 SWI/SNF-related, matrix-associated actin-	0,85	0,52	1,72	-2,22
33222	56916	NM_020159	SMARCAD1	dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	-0,30	-0,92	-5,30	1,72
2982	57561	NM_020801	ARRDC3	Arrestin domain containing 3	0,76	0,54	1,72	-1,04
