U133 probe set	Gene description	Symbol	Location	GenBank Reference	Chi-square	T-ALL above/below mean	Fold change	old or new
213093_at	FLJ30869	FLJ30869	Xq28	AI471375	29.1	Above	2.5	new
216033_s_at	FYN oncogene related to SRC	FYN	6	S74774.1	29.1	Above	2.7	new
202369_s_at	TRAM-like protein	KIAA0057	6p21.1-p12	NM_012288.1	28.7	Above	3.3	new
212592_at	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	IGJ	4q21	AV733266	28.7	Above	7.9	old
219218_at	hypothetical protein FLJ23058	FLJ23058	17q25.3	NM_024696.1	28.7	Below	6.2	new
242051_at	EST		Y	AI695695	28.7	Above	2.2	new
200655_s_at	Calmodulin 1 (phosphorylase kinase, delta)	CALM1	14q24-q31	NM_006888.1	28.5	Above	1.3	new
202794_at	Inositol polyphosphate-1-phosphatase	INPP1	2q32	NM_002194.2	28.4	Above	1.6	new
218348_s_at	HSPC055 protein	HSPC055	16p13.3	NM_014153.1	27.7	Below	1.1	new
205269_at	Lymphocyte cytosolic protein 2	LCP2	5q33.1-qter	AI123251	26.9	Above	1.6	new
238488_at	Ran binding protein 11	LOC51194	5q12.2	BF511602	26.9	Above	2.7	new
202242_at	Transmembrane 4 superfamily member 2	TM4SF2	Xq11.4	NM_004615.1	26.6	Above	1.7	new
218764_at	Hypothetical protein MGC5363	MGC5363	14q22.1-q22.3	NM_024064.1	26.6	Above	1.7	new
224811_at	FLJ30652	FLJ30652	3	BF112093	26.6	Above	1.5	new
225799_at	Hypothetical protein MGC4677	MGC4677	2q12.3	BF209337	26.6	Above	2.2	new
228297_at	Calponin 3, acidic	CNN3	1p22-p21	AI807004	26.6	Above	4.7	old
203508_at	Tumor necrosis factor receptor superfamily, member 1B	TNFRSF1B	1p36.3-p36.2	NM_001066.1	26	Above	2.6	old
208071_s_at	Leukocyte-associated Ig-like receptor 1	LAIR1	19q13.4	NM_021708.1	26	Above	2	old
209321_s_at	Adenylate cyclase 3.	ADCY3	2p24-p22	AF033861.1	26	Above	2.1	old
226345_at	DKFZp434O1317	DKFZp434O1317	10	AW270158	26	Below	1.4	new
200863_s_at	RAB11A, member RAS oncogene family	RAB11A	15q21.3-q22.31	AI215102	25.8	Above	1.4	old
205270_s_at	Lymphocyte cytosolic protein 2	LCP2	5q33.1-qter	NM_005565.2	25.8	Above	1.6	new
208881_x_at	Isopentenyl-diphosphate delta isomerase	IDI1	10p15.3	BC005247.1	25.8	Below	1.7	new
212862_at	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	CDS2	20p13	AL568982	25.8	Above	1.8	new
213385_at	Chimerin 2	CHN2	7	AK026415.1	25.8	Above	3	new
218013_x_at	Dynactin 4 (p62)	DCTN4	5q31-q32	NM_016221.1	25.8	Above	3.6	new
218966_at	Myosin 5C	MYO5C	15q21	NM_018728.1	25.8	Above	1.8	new
200742_s_at	Ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease). A pepstatin-insensitive lysosomal peptidase.	CLN2	11p15	BG231932	25	Above	1.5	new
203217_s_at	Sialyltransferase 9	SIAT9	2p11.2	NM_003896.1	25	Above	1.8	new
205259_at	Nuclear receptor subfamily 3, group C, member 2	NR3C2	4q31.1	NM_000901.1	25	Above	1.9	new
220684_at	T-box 21	TBX21	17q21.2	NM_013351.1	25	Above	3.3	new
225244_at	IMAGE3451454: GRASP protein	IMAGE3451454	1q42.13	AA019893	25	Above	2	new
239519_at	EST		10	AA927670	25	Above	18.2	new
203005_at	Lymphotoxin beta receptor (TNFR superfamily, member 3)	LTBR	12p13	NM_002342.1	24.3	Above	10	new
200665_s_at	Secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	5q31.3-q32	NM_003118.1	24.3	Above	9.8	new
204004_at	PRKC, apoptosis, WT1, regulator	PAWR	12q21	AI336206	24.3	Above	3	new
204576_s_at	KIAA0643 protein	KIAA0643	16p12.3	AA207013	24.3	Above	2	new
214255_at	ATPase, Class V, type 10C	ATP10C	15q11-q13	AB011138.1	24.3	Above	9.9	new
216985_s_at	Syntaxin 3A	STX3A	11q12.3	AJ002077.1	24.3	Above	12	new
48106_at	FLJ20489	FLJ20489	12p11.1	H14241	24.3	Above	2.8	new
