U133 probe set	Gene description	Symbol	Location	GenBank Reference	Chi-square	T-ALL above/below mean	Fold change	old or new
47069_at	Rho GTPase activating protein 8	ARHGAP8	22q13.31	AA533284	65.3	Above	3.3	new
205769_at	solute carrier family 27 (fatty acid transporter), member 2	SLC27A2	15q21.2	NM_003645.1	65.1	Above	56	old
210786_s_at	Friend leukemia virus integration 1	FLI1	11q24.1-q24.3	M93255.1	65.1	Above	2.2	old
212985_at	DKFZp434E033	DKFZp434E033	4	BF115739	65.1	Above	7.1	new
227441_s_at	E2a-Pbx1-associated protein	EB-1	12	AW005572	65.1	Above	1139.4	new
234261_at	DKFZp761M10121	DKFZp761M10121	12	AL137313.1	65.1	Above	960.8	new
244565_at	ESTs		10	AI685824	65.1	Above	7.6	new
202181_at	KIAA0247 gene product	KIAA0247	14q24.1	NM_014734.1	63.7	Above	1.8	old
202207_at	ADP-ribosylation factor-like 7	ARL7	2q37.2	NM_005737.2	63.7	Above	3.2	old
207571_x_at	basement membrane-induced gene	ICB-1	1p35.3	NM_004848.1	63.7	Below	4.4	old
209558_s_at	huntingtin interacting protein 12	HIP12	12q24	AB013384.1	61.1	Above	23.8	old
213005_s_at	KIAA0172 protein	KIAA0172	9p24.3	D79994.1	61.1	Above	8.3	old
236854_at	cDNA DKFZp667F0617	DKFZp667F0617	20	AA743694	61.1	Above	12.6	new
226233_at	tubulin-specific chaperone e	TBCE	1q42.3	BG112197	60	Above	2.6	new
203435_s_at	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	MME	3q25.1-q25.2	NM_007287.1	59.9	Below	2.2	old
202478_at	GS3955 protein	GS3955	2p25.1	NM_021643.1	59.3	Above	4	old
202479_s_at	GS3955 protein	GS3955	2p25.1	BC002637.1	59.3	Above	3.3	old
203999_at	synaptotagmin I	SYT1	12cen-q21	NM_005639.1	59.3	Above	3.9	old
212149_at	KIAA0143 protein	KIAA0143	8q24.12	AA805651	59.3	Below	13.5	new
212873_at	minor histocompatibility antigen HA-1	HA-1	19p13.3	BE349017	59.3	Below	2.9	old
218346_s_at	p53 regulated PA26 nuclear protein	PA26	6q21	NM_014454.1	59.3	Below	4.7	new
224856_at	FK506 binding protein 5	FKBP5	6p21.3-21.2	AL122066.1	59.3	Below	5.5	old
200811_at	cold inducible RNA binding protein	CIRBP	19p13.3	NM_001280.1	59.1	Below	5.8	old
201722_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	GALNT1	18q12.1	NM_020474.2	59.1	Below	1.8	new
223711_s_at	HSPC144 protein	HSPC144	11q25	AF182413.1	59.1	Above	2	new
233273_at	cDNA FLJ12010 fis	FLJ12010	1	AU146834	59.1	Above	30.6	new
201460_at	mitogen-activated protein kinase-activated protein kinase 2	MAPKAPK2	1q32	AI141802	57.9	Above	2.1	old
202421_at	immunoglobulin superfamily, member 3	IGSF3	1p13	AB007935.1	57.9	Above	4.4	new
217983_s_at	ribonuclease 6 precursor	RNASE6PL	6q27	NM_003730.2	57.9	Below	3.4	new
218087_s_at	sorbin and SH3 domain containing 1	SORBS1	10q23.3-q24.1	NM_015385.1	57.9	Above	25.1	new
218491_s_at	HSPC144 protein	HSPC144	11q25	NM_014174.1	57.9	Above	1.4	new
201825_s_at	CGI-49 protein	LOC51097	1q44	AL572542	57.8	Above	2.2	old
202206_at	ADP-ribosylation factor-like 7	ARL7	2q37.2	NM_005737.2	57.8	Above	3.9	old
218683_at	polypyrimidine tract binding protein 2	PTBP2	1p22.11-p21.3	NM_021190.1	57.8	Above	1.8	new
226590_at	cDNA clone EUROIMAGE 1517766		9	AA031404	57.8	Above	3.1	new
227440_at	E2a-Pbx1-associated protein	EB-1	12	AW005572	57.8	Above	1168.9	new
229770_at	hypothetical protein FLJ31978	FLJ31978	12q24.33	AI041543	57.8	Above	51.8	new
40148_at	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	APBB2	4p14	U62325	57.8	Above	6.2	old
212959_s_at	MGC4170 protein	MGC4170	12q23.1	AK001821.1	57.2	Below	3	new
203143_s_at	KIAA0040 gene product	KIAA0040	1q24-25	T79953	56.3	Above	2.4	new
209683_at	hypothetical protein DKFZp566A1524	DKFZP566A1524	2p24.2	AA243659	56.3	Below	10	new
