Symbol	Description	Fold Change	Affymetrix ID	Cytoband
ARMC4	armadillo repeat containing 4	0.943	221077_at	10p12.1-p11.23
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	1.096	210839_s_at	8q24.1
ZIC1	Zic family member 1 (odd-paired homolog, Drosophila)	0.918	206373_at	3q24
TBL3	transducin (beta)-like 3	1.073	209820_s_at	16p13.3
HSPBP1	hsp70-interacting protein	1.093	202415_s_at	19q13.42
NA	NA	1.068	211667_x_at	NA
BTNL2	butyrophilin-like 2 (MHC class II associated)	1.067	221457_s_at	6p21.3
NEFL	neurofilament, light polypeptide 68kDa	1.056	221916_at	8p21
MAC30	hypothetical protein MAC30	1.089	214283_at	17q11.2
MSH3	mutS homolog 3 (E. coli)	1.128	205887_x_at	5q11-q12
MRPL2	mitochondrial ribosomal protein L2	1.119	218887_at	6p21.3
KIAA1008	KIAA1008	0.935	214194_at	13q22.1
SGCD	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	1.046	214492_at	5q33-q34
NEK3	NIMA (never in mitosis gene a)-related kinase 3	1.137	213116_at	13q14.13
DDB2	damage-specific DNA binding protein 2, 48kDa	1.1	203409_at	11p12-p11
ZXDA	zinc finger, X-linked, duplicated A	1.069	216014_s_at	Xp11.21
NLE1	notchless homolog 1 (Drosophila)	1.132	203867_s_at	17q12
RAB11FIP3	RAB11 family interacting protein 3 (class II)	1.076	214999_s_at	16p13.3
SCARB1	scavenger receptor class B, member 1	1.099	201819_at	12q24.31
PRR4	proline rich 4 (lacrimal)	1.057	204919_at	12p13
GSS	glutathione synthetase	1.106	201415_at	20q11.2
TBX2	T-box 2	0.954	213417_at	17q23
TCF8	transcription factor 8 (represses interleukin 2 expression)	0.828	212764_at	10p11.2
BLK	B lymphoid tyrosine kinase	0.898	206255_at	8p23-p22
AMT	aminomethyltransferase (glycine cleavage system protein T)	1.169	204294_at	3p21.2-p21.1
C20orf9	chromosome 20 open reading frame 9	1.138	218709_s_at	NA
NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	0.947	204648_at	1q21-q22
C20orf112	chromosome 20 open reading frame 112	1.046	212234_at	20q11.1-q11.23
PSKH1	protein serine kinase H1	0.92	213141_at	16q22.1
NA	NA	1.07	216319_at	NA
ADCY6	adenylate cyclase 6	1.067	209195_s_at	12q12-q13
CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta 3 subunit	1.289	219714_s_at	3p21.1
TRAP1	TNF receptor-associated protein 1	1.128	201391_at	16p13.3
KIAA1018	KIAA1018 protein	1.107	203678_at	15q13.2-q13.3
FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	1.072	217344_at	1q22
ZNF667	zinc finger protein 667	1.069	207120_at	19q13.43
CHRNB1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	1.109	206703_at	17p13.1
TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	1.074	214600_at	11p15.4
DOCK6	dedicator of cytokinesis 6	1.043	222004_s_at	19p13.2
KRT15	keratin 15	1.062	204734_at	17q21.2
ZNF154	zinc finger protein 154 (pHZ-92)	1.068	216677_at	19q13.4
ART1	ADP-ribosyltransferase 1	0.943	207919_at	11p15
R3HDM	R3H domain (binds single-stranded nucleic acids) containing	1.208	202754_at	2q21.3
PON2	paraoxonase 2	1.152	201876_at	7q21.3
WDR4	WD repeat domain 4	1.061	221632_s_at	21q22.3
GOLPH2	golgi phosphoprotein 2	1.154	217771_at	9q21.33
GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1	0.945	210782_x_at	9q34.3
ZNF3	zinc finger protein 3 (A8-51)	0.958	219605_at	7q22.1
FOXA1	forkhead box A1	1.06	204667_at	14q12-q13
GPR132	G protein-coupled receptor 132	0.885	221140_s_at	14q32.3
NA	NA	0.911	214809_at	NA
LOC400506	NA	0.945	213235_at	16p12.3
ACY1	aminoacylase 1	1.167	202740_at	3p21.1
AREG	amphiregulin (schwannoma-derived growth factor)	0.936	215564_at	4q13-q21
ZA20D1	zinc finger, A20 domain containing 1	0.946	220031_at	1q21.2
CHD1L	chromodomain helicase DNA binding protein 1-like	1.26	212539_at	1q12
ACSM3	acyl-CoA synthetase medium-chain family member 3	1.125	210377_at	16p13.11
MN7	D15F37 (pseudogene)	1.266	217317_s_at	15q11-q13
PROM1	prominin 1	1.145	204304_s_at	4p15.32
DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	1.157	208149_x_at	12p11
FBXO34	F-box protein 34	0.867	218539_at	14q22.3
THOC1	THO complex 1	1.088	222308_x_at	18p11.32
IGSF3	immunoglobulin superfamily, member 3	1.046	202421_at	1p13
ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	1.135	200710_at	17p13-p11
RPL35A	ribosomal protein L35a	1.076	215249_at	3q29-qter
XPO1	exportin 1 (CRM1 homolog, yeast)	1.067	217578_at	2p16
LARGE	like-glycosyltransferase	0.953	215543_s_at	22q12.3
CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	1.049	36499_at	1p21
MSH5	mutS homolog 5 (E. coli)	1.162	212913_at	6p21.31
ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	1.216	208937_s_at	20q11
VNN1	vanin 1	0.547	205844_at	6q23-q24
GOLGIN-67	golgin-67	1.162	213212_x_at	15q11.2
