Gene Symbol	Gene description	Probe set ID	Fold-change
PDLIM5	PDZ and LIM domain 5	203242_s_at	3.195
LOC157697	hypothetical protein LOC157697	217611_at	3.380
LOH11CR2A	loss of heterozygosity, 11, chromosomal region 2, gene A	210102_at	3.714
LY6G6E	lymphocyte antigen 6 complex, locus G6E	221338_at	2.597
MAST2	microtubule associated serine/threonine kinase 2	215660_s_at	3.553
MEFV	Mediterranean fever	208262_x_at	2.740
MOBP	myelin-associated oligodendrocyte basic protein	210193_at	5.043
MYCN	v-myc myelocytomatosis viral related oncogene	211377_x_at	2.912
MYST3	MYST histone acetyltransferase (monocytic leukemia) 3	221715_at	2.447
NTF3	neurotrophin 3	206706_at	4.040
OR2H2	olfactory receptor, family 2, subfamily H, member 2	217081_at	2.669
PADI4	peptidyl arginine deiminase, type IV	211413_s_at	3.667
PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2	203058_s_at	2.922
PENK	proenkephalin	213791_at	4.216
PITPNM1	phosphatidylinositol transfer protein, membrane-associated 1	203826_s_at	4.154
RAB40A	RAB40A, member RAS oncogene family	217589_at	2.904
RGS10	regulator of G-protein signalling 10	204316_at	5.135
S100A7	S100 calcium binding protein A7 (psoriasin 1)	205916_at	2.605
SARDH	sarcosine dehydrogenase	211322_s_at	5.402
SARG	specifically androgen-regulated protein	219856_at	2.664
SLC7A8	solute carrier family 7, member 8	217248_s_at	2.777
SOCS3	suppressor of cytokine signaling 3	206359_at	3.235
SRPK2	SFRS protein kinase 2	217517_x_at	2.975
STAM2	signal transducing adaptor molecule 2	215044_s_at	2.691
TGFB1	transforming growth factor, beta 1	203084_at	4.855
THBS1	thrombospondin 1	201109_s_at	8.840
THBS1	thrombospondin 1	201107_s_at	4.437
TLE2	transducin-like enhancer of split 2	204431_at	4.728
TNFAIP9	tumor necrosis factor, alpha-induced protein 9	220187_at	2.495
TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c	211163_s_at	2.507
TNFRSF25	tumor necrosis factor receptor superfamily, member 25	210847_x_at	3.025
TNNT2	troponin T2, cardiac	215389_s_at	4.801
TPD52L1	tumor protein D52-like 1	210372_s_at	2.820
TRIM3	tripartite motif-containing 3	204911_s_at	4.886
TXK	TXK tyrosine kinase	206828_at	2.697
ZIC4	Zic family member 4	211463_at	2.757
ZNF235	zinc finger protein 235	220350_at	3.182
ZNF614	zinc finger protein 614	210599_at	2.597
