Gene	Rank	RMS	RES	CE
MPHOSPH10	11077	-0.431	-0.3872	Yes
USP34	11032	-0.424	-0.3888	Yes
DHX57	10970	-0.412	-0.3891	Yes
MRPL33	10937	-0.405	-0.3915	Yes
E2F6	10930	-0.404	-0.3959	Yes
TIA1	10925	-0.403	-0.4004	Yes
THADA	10879	-0.396	-0.4017	Yes
ACTR2	10857	-0.392	-0.4048	Yes
SNRPG	10814	-0.384	-0.4061	Yes
ACTG2	10804	-0.382	-0.41	Yes
QPCT	10717	-0.37	-0.4078	Yes
FLJ20628	10695	-0.366	-0.4105	Yes
B3GNT1	10645	-0.359	-0.411	Yes
PEX13	10637	-0.358	-0.4148	Yes
FLJ10916	10625	-0.356	-0.4182	Yes
VRK2	10622	-0.355	-0.4224	Yes
DCTN1	10214	-0.3	-0.3939	No
MDH1	10171	-0.293	-0.3942	No
HADHA	10011	-0.272	-0.3849	No
RNASEH1	9943	-0.264	-0.3828	No
ADD2	9916	-0.26	-0.3839	No
C1D	9555	-0.218	-0.3581	No
TP53I3	9450	-0.208	-0.355	No
MTHFD2	9456	-0.208	-0.3529	No
JMJD1A	9379	-0.2	-0.3519	No
PCYOX1	9369	-0.199	-0.3536	No
KIDINS220	9356	-0.198	-0.355	No
RBKS	9253	-0.187	-0.3492	No
ALLC	9215	-0.182	-0.3485	No
ADAM17	9196	-0.18	-0.3492	No
CALM2	9144	-0.173	-0.3473	No
TEX261	9123	-0.171	-0.3478	No
FANCL	9119	-0.17	-0.3496	No
FLJ20254	8954	-0.155	-0.3385	No
NAG	8923	-0.151	-0.338	No
NAT8	8882	-0.147	-0.3366	No
DUSP11	8785	-0.138	-0.3306	No
PPP1CB	8694	-0.129	-0.325	No
ALMS1	8583	-0.117	-0.3178	No
MAT2A	8545	-0.114	-0.3162	No
SOS1	8532	-0.113	-0.3181	No
OAZ1	8540	-0.113	-0.3173	No
VPS24	8442	-0.105	-0.3123	No
MGC22014	8376	-0.099	-0.3083	No
SLC1A4	8322	-0.095	-0.3052	No
RY1	8285	-0.092	-0.3035	No
VAMP8	8267	-0.091	-0.3044	No
XPO1	8271	-0.091	-0.3036	No
PELI1	8231	-0.088	-0.3027	No
BMP10	8149	-0.081	-0.2973	No
FABP1	7971	-0.068	-0.284	No
UCN	7875	-0.061	-0.2772	No
ANTXR1	7818	-0.057	-0.2734	No
GREB1	7796	-0.056	-0.2724	No
PUM2	7770	-0.054	-0.2711	No
KCNK12	7675	-0.048	-0.2642	No
PSME4	7646	-0.045	-0.2625	No
TGOLN2	7640	-0.044	-0.2626	No
SPRED2	7496	-0.035	-0.2517	No
SFRS7	7450	-0.032	-0.2485	No
MYCNOS	7349	-0.026	-0.2408	No
SEMA4F	7235	-0.019	-0.2321	No
SPR	7070	-0.01	-0.2191	No
SLC4A5	7007	-0.006	-0.2143	No
MEIS1	6901	0	-0.2059	No
KIF3C	6780	0.008	-0.1962	No
APOB	6753	0.009	-0.1944	No
CYP26B1	6770	0.009	-0.1956	No
EGR4	6590	0.018	-0.1818	No
SLC5A6	6595	0.018	-0.1819	No
ALK	6578	0.019	-0.1811	No
DOK1	6188	0.041	-0.1501	No
RAB1A	6137	0.044	-0.1466	No
SIX3	6126	0.045	-0.1463	No
SOCS5	6032	0.05	-0.1394	No
FLJ14126	5976	0.054	-0.1356	No
KIAA1240	5949	0.055	-0.1349	No
RDH8	5968	0.055	-0.1357	No
GPR75	5856	0.06	-0.1281	No
XDH	5541	0.076	-0.1036	No
SLC8A1	5416	0.082	-0.0946	No
SIX2	5400	0.083	-0.0944	No
TTC15	5348	0.085	-0.0913	No
STRN	5271	0.089	-0.0862	No
CAPG	5256	0.09	-0.0861	No
ABCG5	5025	0.102	-0.0687	No
SLC30A3	4874	0.11	-0.0579	No
REG1A	4776	0.116	-0.0514	No
FBXO11	4732	0.118	-0.0494	No
PPP3R1	4615	0.124	-0.0415	No
DTNB	4527	0.129	-0.036	No
NAGK	4514	0.131	-0.0366	No
LPIN1	4470	0.132	-0.0347	No
AAK1	4463	0.133	-0.0358	No
ZFP36L2	4384	0.137	-0.0329	No
KIAA0953	4392	0.137	-0.0318	No
MATN3	4308	0.141	-0.0285	No
BCL11A	4187	0.149	-0.0206	No
TLX2	4161	0.15	-0.0203	No
NTSR2	4008	0.159	-0.0099	No
LAPTM4A	3986	0.16	-0.0102	No
TACR1	3874	0.166	-0.0032	No
SFTPB	3782	0.171	0	No
3790	0.171	0.0015	No
GCKR	3688	0.177	0.0054	No
TRIB2	3672	0.178	0.0045	No
TMSB10	3569	0.184	0.0105	No
HPCAL1	3541	0.186	0.0105	No
SDC1	3528	0.187	0.0092	No
GALNT14	3215	0.21	0.032	No
EMX1	3170	0.214	0.033	No
SERTAD2	3153	0.215	0.0317	No
TGFA	3147	0.216	0.0295	No
DDEF2	3126	0.217	0.0285	No
PRKCE	3025	0.226	0.0339	No
REGL	3012	0.227	0.0322	No
REG1B	2802	0.243	0.0462	No
RTN4	2576	0.263	0.0614	No
SPTBN1	2564	0.264	0.0591	No
FEZ2	2551	0.265	0.0569	No
KIAA1155	2535	0.268	0.0549	No
HAAO	2463	0.274	0.0573	No
PLEK	2438	0.276	0.056	No
FNDC4	2349	0.285	0.0597	No
POMC	2239	0.297	0.065	No
EFEMP1	1990	0.323	0.0814	No
KCNK3	1977	0.324	0.0784	No
AHSA2	1882	0.336	0.0821	No
ID2	1778	0.351	0.0863	No
SLC3A1	1736	0.356	0.081	No
HADHB	1737	0.356	0.0853	No
GNLY	1722	0.358	0.0777	No
KCNF1	1675	0.364	0.0771	No
ITSN2	1649	0.368	0.0747	No
TCF7L1	1612	0.372	0.0731	No
RHOB	1509	0.386	0.0769	No
CRIM1	1481	0.389	0.0744	No
FOSL2	1446	0.394	0.0724	No
MAPRE3	1327	0.413	0.0771	No
RNF103	1315	0.415	0.073	No
EPAS1	1301	0.417	0.0691	No
REL	1279	0.419	0.0657	No
CYP1B1	1258	0.421	0.0623	No
PPM1B	1184	0.432	0.063	No
RHOQ	1167	0.435	0.0591	No
NCOA1	1163	0.436	0.0541	No
RASGRP3	1133	0.441	0.0512	No
COLEC11	1067	0.458	0.0511	No
CTNNA2	1028	0.465	0.0486	No
EHD3	904	0.492	0.0529	No
LTBP1	864	0.5	0.0501	No
CD8A	748	0.526	0.0469	No
KHK	753	0.526	0.0529	No
DYSF	713	0.54	0.0432	No
KCNS3	703	0.541	0.0374	No
ASXL2	685	0.546	0.0323	No
CDC42EP3	615	0.57	0.0312	No
SRD5A2	609	0.571	0.0247	No
PREB	554	0.586	0.0222	No
VAMP5	460	0.619	0.0226	No
EMILIN1	373	0.648	0.022	No
ADCY3	368	0.65	0.0145	No
UGP2	324	0.669	0.0101	No
ANXA4	290	0.689	0.0047	No
ACYP2	203	0.74	0.0033	No
ARHGAP25	75	0.879	0.0046	No
