Mouse Gene Identifier	Geometric mean of intensity in class 1: Early	Geometric mean of intensity in class 2: Late	Early/Late Ratio	Parametric p-value	FDR	Mouse 430 2.0 array probe set	Human U133A 2.0 array orthologous probe set	Description	Human Gene Identifier
Serpine2	313.3	157.1	1.994	0.0000418	0.0074312	1416666_at	212190_at	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	SERPINE2
Serpinf1	694.3	1100.4	0.631	0.0000419	0.0074312	1416168_at	202283_at	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	SERPINF1
Cst6	178	65.3	2.726	0.0000424	0.0074312	1427910_at	206595_at	cystatin E/M	CST6
Pdpn	61.7	33.6	1.836	0.0000427	0.0074312	1419309_at	204879_at	podoplanin	PDPN
							208233_at	podoplanin	PDPN
							221898_at	podoplanin	PDPN
Pdzd2	31.2	13.7	2.277	0.0000429	0.0074312	1435553_at	209493_at	PDZ domain containing 2	PDZD2
Lgals9	347.9	751.5	0.463	0.0000433	0.0074312	1421217_a_at	203236_s_at	lectin, galactoside-binding, soluble, 9 (galectin 9)	LGALS9
Pls3	244.1	88	2.774	0.0000459	0.0077498	1423725_at	201215_at	plastin 3 (T isoform)	PLS3
Qprt	129.4	310.2	0.417	0.0000463	0.0077498	1418837_at	204044_at	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	QPRT
Sema3a	108.1	61.6	1.755	0.000047	0.007771	1449865_at	206805_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	SEMA3A
Fah	234.6	530.2	0.442	0.0000477	0.0077764	1417220_at	202862_at	fumarylacetoacetate hydrolase (fumarylacetoacetase)	FAH
Grik5	145.1	252.4	0.575	0.0000487	0.0077764	1418784_at	214966_at	glutamate receptor, ionotropic, kainate 5	GRIK5
B3gnt3	9.6	34.1	0.282	0.0000496	0.0077764	1422211_a_at	204856_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	B3GNT3
NM_008281	105.7	282.4	0.374	0.0000498	0.0077764	1420712_a_at	204934_s_at	hepsin (transmembrane protease, serine 1)	HPN
Neo1	136.5	70	1.95	0.0000499	0.0077764	1434931_at	204321_at	neogenin homolog 1 (chicken)	NEO1
Ddx27	194.1	311.2	0.624	0.0000513	0.0079037	1424161_at	221780_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	DDX27
Colec12	81.1	52.3	1.551	0.0000549	0.0080104	1419693_at	221019_s_at	collectin sub-family member 12 /// collectin sub-family member 12	COLEC12
Crot	260.3	401.1	0.649	0.0000559	0.0080104	1450966_at	204573_at	carnitine O-octanoyltransferase	CROT
NM_019447	173.9	512	0.34	0.0000573	0.0080104	1418405_at	207027_at	HGF activator	HGFAC
Emcn	64.6	23	2.809	0.0000577	0.0080104	1425582_a_at	219436_s_at	endomucin	EMCN
NM_023805	177.4	353.7	0.502	0.0000587	0.0080104	1418706_at	205972_at	solute carrier family 38, member 3	SLC38A3
Pxdn	296.5	154.5	1.919	0.0000594	0.0080104	1428259_at	212012_at	peroxidasin homolog (Drosophila)	PXDN
							212013_at	peroxidasin homolog (Drosophila)	PXDN
F2	959.1	2184.3	0.439	0.0000601	0.0080104	1418897_at	205754_at	coagulation factor II (thrombin)	F2
XM_140041	58.1	94	0.618	0.000062	0.0080104	1435545_at	213208_at	KIAA0240	KIAA0240
							38892_at	KIAA0240	KIAA0240
Slc25a4	1629.4	995.4	1.637	0.0000624	0.0080104	1424562_a_at	202825_at	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	SLC25A4
							214821_at	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	SLC25A4
Serpina1c	287.2	2190.7	0.131	0.0000625	0.0080104	1448680_at	202833_s_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	SERPINA1
							211428_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	SERPINA1
							211429_s_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	SERPINA1
Sqrdl	30.8	60.4	0.51	0.0000632	0.0080104	1420641_a_at	217995_at	sulfide quinone reductase-like (yeast)	SQRDL
Col5a2	326.2	180.1	1.811	0.0000638	0.0080104	1450625_at	221729_at	collagen, type V, alpha 2	COL5A2
							221730_at	collagen, type V, alpha 2	COL5A2
Lbp	201.6	519.5	0.388	0.0000641	0.0080104	1448550_at	211652_s_at	lipopolysaccharide binding protein /// lipopolysaccharide binding protein	LBP
							214461_at	lipopolysaccharide binding protein	LBP
C8a	139.9	213.2	0.656	0.0000644	0.0080104	1428012_at	206305_s_at	complement component 8, alpha polypeptide	C8A
Asgr2	125.1	244	0.513	0.0000672	0.0082827	1419747_at	206130_s_at	asialoglycoprotein receptor 2	ASGR2
Pdia5	260.2	416.3	0.625	0.0000696	0.0084374	1424650_at	203857_s_at	protein disulfide isomerase family A, member 5	PDIA5
Itih3	443.9	1693.5	0.262	0.0000697	0.0084374	1449123_at	205755_at	inter-alpha (globulin) inhibitor H3	ITIH3
Afap1	96.3	51.5	1.87	0.0000731	0.0087287	1436729_at	203563_at	actin filament associated protein	AFAP
Pygl	319.2	656.8	0.486	0.0000737	0.0087287	1417741_at	202990_at	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	PYGL
NM_009114	582.6	1909.8	0.305	0.0000769	0.0087287	1448756_at	203535_at	S100 calcium binding protein A9 (calgranulin B)	S100A9
Arpp19	391.2	276.9	1.413	0.0000769	0.0087287	1422609_at	214553_s_at	cyclic AMP phosphoprotein, 19 kD	ARPP-19
							221482_s_at	cyclic AMP phosphoprotein, 19 kD	ARPP-19
							221483_s_at	cyclic AMP phosphoprotein, 19 kD	ARPP-19
Smpdl3a	132.8	253.5	0.524	0.0000774	0.0087287	1416635_at	213624_at	sphingomyelin phosphodiesterase, acid-like 3A	SMPDL3A
Basp1	623.5	272.7	2.286	0.0000778	0.0087287	1428572_at	202391_at	brain abundant, membrane attached signal protein 1	BASP1
Fmo1	103.9	250.2	0.415	0.0000779	0.0087287	1417429_at	205666_at	flavin containing monooxygenase 1	FMO1
Zfp423	77.5	10.9	7.11	0.0000828	0.0091268	1419380_at	214761_at	zinc finger protein 423	ZNF423
							217237_at	Zinc finger protein 423	ZNF423
NM_013650	446.5	1631.2	0.274	0.0000845	0.0091652	1419394_s_at	202917_s_at	S100 calcium binding protein A8 (calgranulin A)	S100A8
							214370_at	S100 calcium binding protein A8 (calgranulin A)	S100A8
Ces3	12.9	96.1	0.134	0.0000865	0.0093077	1435370_a_at	209616_s_at	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	CES1
Id3	374.8	138.2	2.712	0.0000883	0.0094265	1416630_at	207826_s_at	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	ID3
Fga	1276	3572.4	0.357	0.0000949	0.0099741	1424279_at	205649_s_at	fibrinogen alpha chain	FGA
							205650_s_at	fibrinogen alpha chain	FGA
Tgfb2	267	122.1	2.187	0.0000979	0.0100555	1450923_at	209908_s_at	Transforming growth factor, beta 2	TGFB2
							220406_at	transforming growth factor, beta 2	TGFB2
							220407_s_at	transforming growth factor, beta 2	TGFB2
Fzd2	94.1	41.6	2.262	0.000105	0.0107037	1418533_s_at	210220_at	frizzled homolog 2 (Drosophila)	FZD2
Lxn	135.3	61.2	2.211	0.0001066	0.0107857	1416503_at	218729_at	latexin	LXN
Crabp2	79.6	20.3	3.921	0.0001077	0.0108163	1451191_at	202575_at	cellular retinoic acid binding protein 2	CRABP2
Mest	2442	1373.4	1.778	0.0001177	0.0114275	1423294_at	202016_at	mesoderm specific transcript homolog (mouse)	MEST
Lrp1	115.9	182.4	0.635	0.0001179	0.0114275	1448655_at	200784_s_at	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LRP1
							200785_s_at	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LRP1
Crp	112.4	331.9	0.339	0.000118	0.0114275	1421946_at	205753_at	C-reactive protein, pentraxin-related	CRP
							37020_at	C-reactive protein, pentraxin-related	CRP
Rcn1	400.5	224.1	1.787	0.0001266	0.0114902	1417090_at	201063_at	reticulocalbin 1, EF-hand calcium binding domain	RCN1
Capn6	478	330.1	1.448	0.0001274	0.0114902	1450429_at	202965_s_at	calpain 6	CAPN6
							202966_at	calpain 6	CAPN6
							217387_at	calpain 6	CAPN6
Tmem30b	28.2	96.3	0.293	0.0001275	0.0114902	1433579_at	213285_at	transmembrane protein 30B	TMEM30B
NM_009778	522.1	1952.6	0.267	0.0001306	0.0114902	1423954_at	217767_at	complement component 3 /// similar to Complement C3 precursor	C3
BC023892	186.4	354.5	0.526	0.0001334	0.0114902	1437868_at	221766_s_at	family with sequence similarity 46, member A	FAM46A
Pdgfc	246.2	101.6	2.423	0.0001343	0.0114902	1419123_a_at	218718_at	platelet derived growth factor C	PDGFC
Ebp	331.6	562.6	0.589	0.0001378	0.0114902	1416667_at	202735_at	emopamil binding protein (sterol isomerase)	EBP
							213787_s_at	emopamil binding protein (sterol isomerase)	EBP
NM_010591	128.7	51.4	2.504	0.000138	0.0114902	1448694_at	201465_s_at	v-jun sarcoma virus 17 oncogene homolog (avian)	JUN
							201466_s_at	v-jun sarcoma virus 17 oncogene homolog (avian)	JUN
							213281_at	V-jun sarcoma virus 17 oncogene homolog (avian)	JUN
Igfbp5	571.2	193.5	2.952	0.0001382	0.0114902	1452114_s_at	203424_s_at	insulin-like growth factor binding protein 5	IGFBP5
							203425_s_at	insulin-like growth factor binding protein 5	IGFBP5
							203426_s_at	insulin-like growth factor binding protein 5	IGFBP5
							211958_at	insulin-like growth factor binding protein 5	IGFBP5
							211959_at	insulin-like growth factor binding protein 5	IGFBP5
Aldh3a2	151.9	238.8	0.636	0.000139	0.0114902	1415776_at	202053_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2
							202054_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2
							210544_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2
Mfap2	412	205.4	2.006	0.0001407	0.0114902	1417359_at	203417_at	microfibrillar-associated protein 2	MFAP2
Proc	142.1	552.3	0.257	0.0001427	0.0114902	1418845_at	206259_at	protein C (inactivator of coagulation factors Va and VIIIa)	PROC
NM_007801	181.2	491.8	0.368	0.0001434	0.0114902	1418365_at	202295_s_at	cathepsin H	CTSH
Mosc1	90.2	298.4	0.302	0.0001441	0.0114902	1428005_at	218865_at	MOCO sulphurase C-terminal domain containing 1	MOSC1
NM_144855	96.7	230.1	0.42	0.0001458	0.0114902	1423844_s_at	212816_s_at	cystathionine-beta-synthase	CBS
Gja7	223.7	63.1	3.545	0.0001458	0.0114902	1449094_at	208460_at	gap junction protein, alpha 7, 45kDa (connexin 45)	GJA7
Gcat	127.9	197.2	0.649	0.0001467	0.0114902	1417823_at	205164_at	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	GCAT
							36475_at	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	GCAT
Satb1	69.2	34.7	1.994	0.0001471	0.0114902	1416008_at	203408_s_at	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	SATB1
Lcn2	80	221.9	0.361	0.0001473	0.0114902	1427747_a_at	212531_at	lipocalin 2 (oncogene 24p3)	LCN2
Slc27a5	38.4	115.9	0.331	0.0001491	0.0114902	1449112_at	219733_s_at	solute carrier family 27 (fatty acid transporter), member 5	SLC27A5
Nid1	284.9	401.7	0.709	0.000151	0.0114902	1416808_at	202007_at	nidogen 1	NID1
							202008_s_at	nidogen 1	NID1
Il1rn	26	72.4	0.359	0.0001517	0.0114902	1451798_at	212657_s_at	interleukin 1 receptor antagonist	IL1RN
							212659_s_at	interleukin 1 receptor antagonist	IL1RN
							216243_s_at	interleukin 1 receptor antagonist	IL1RN
							216244_at	interleukin 1 receptor antagonist	IL1RN
							216245_at	interleukin 1 receptor antagonist	IL1RN
Pfn2	308	107.3	2.87	0.0001561	0.0117578	1418210_at	204992_s_at	profilin 2	PFN2
Ndrg1	244	412.7	0.591	0.0001593	0.0118169	1420760_s_at	200632_s_at	N-myc downstream regulated gene 1	NDRG1
Tmeff1	106.4	30	3.547	0.0001595	0.0118169	1426649_at	205122_at	transmembrane protein with EGF-like and two follistatin-like domains 1	TMEFF1
							205123_s_at	transmembrane protein with EGF-like and two follistatin-like domains 1	TMEFF1
Tst	368.4	690.7	0.533	0.0001658	0.0120802	1448609_at	209605_at	thiosulfate sulfurtransferase (rhodanese)	TST
Ndn	420.5	221.8	1.896	0.000168	0.0120802	1415923_at	209550_at	necdin homolog (mouse)	NDN
Snn	161.6	103.8	1.557	0.0001694	0.0120802	1452789_at	218032_at	stannin	SNN
							218033_s_at	stannin	SNN
Ech1	299.6	445.4	0.673	0.0001707	0.0120802	1448491_at	200789_at	enoyl Coenzyme A hydratase 1, peroxisomal	ECH1
Slc30a9	266.4	416.1	0.64	0.000171	0.0120802	1426668_at	202614_at	solute carrier family 30 (zinc transporter), member 9	SLC30A9
F10	428.4	788.8	0.543	0.0001722	0.0120802	1449305_at	205620_at	coagulation factor X	F10
C9	36.8	83.6	0.44	0.0001738	0.0120802	1422815_at	206727_at	complement component 9	C9
Nsdhl	492.9	764.8	0.644	0.0001757	0.0120802	1416222_at	209279_s_at	NAD(P) dependent steroid dehydrogenase-like	NSDHL
							215093_at	NAD(P) dependent steroid dehydrogenase-like	NSDHL
Asb4	225.9	39.6	5.705	0.000176	0.0120802	1433919_at	208481_at	ankyrin repeat and SOCS box-containing 4	ASB4
							217228_s_at	ankyrin repeat and SOCS box-containing 4	ASB4
							217229_at	ankyrin repeat and SOCS box-containing 4	ASB4
Serpinh1	1456.2	755.5	1.927	0.000177	0.0120802	1450843_a_at	207714_s_at	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	SERPINH1
Wisp1	43.7	18.8	2.324	0.0001782	0.0120802	1448594_at	206796_at	WNT1 inducible signaling pathway protein 1	WISP1
							211312_s_at	WNT1 inducible signaling pathway protein 1	WISP1
Armcx1	143.5	89.8	1.598	0.0001782	0.0120802	1425914_a_at	218694_at	armadillo repeat containing, X-linked 1	ARMCX1
NM_011535	111.9	80.8	1.385	0.0001813	0.0122292	1448029_at	219682_s_at	T-box 3 (ulnar mammary syndrome)	TBX3
NM_011405	136.4	188.5	0.724	0.0001844	0.0122351	1417392_a_at	204588_s_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	SLC7A7
H2-Ea	18.9	40	0.472	0.0001854	0.0122351	1452431_s_at	203290_at	major histocompatibility complex, class II, DQ alpha 1 /// major histocompatibility complex, class II, DQ alpha 1	HLA-DQA1
							212671_s_at	major histocompatibility complex, class II, DQ alpha 1 /// major histocompatibility complex, class II, DQ alpha 2 /// similar to HLA class II histocompatibility antigen, DQ(1) alpha chain precursor (DC-4 alpha chain)	HLA-DQA1
							213831_at	major histocompatibility complex, class II, DQ alpha 1	HLA-DQA1
Amy1	20.6	88.8	0.232	0.0001859	0.0122351	1417765_a_at	208498_s_at		AMY1A
NM_009888	40.8	81.1	0.503	0.0001873	0.0122677	1450876_at	213800_at	complement factor H	CFH
Gcdh	173.4	294.3	0.589	0.0001911	0.0123968	1448717_at	203500_at	glutaryl-Coenzyme A dehydrogenase	GCDH
							208369_s_at	glutaryl-Coenzyme A dehydrogenase	GCDH
Hmgcs2	90	176.3	0.51	0.0001922	0.0124084	1431833_a_at	204607_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	HMGCS2
Dhcr24	872	1259	0.693	0.0001935	0.0124084	1451895_a_at	200862_at	24-dehydrocholesterol reductase	DHCR24
Kctd15	185.5	87.3	2.125	0.0001945	0.0124084	1435339_at	218553_s_at	potassium channel tetramerisation domain containing 15	KCTD15
Fn1	940.9	1652.4	0.569	0.0001981	0.0124084	1426642_at	212464_s_at	fibronectin 1	FN1
							214701_s_at	fibronectin 1	FN1
							214702_at	fibronectin 1	FN1
Rcn2	487.9	297.9	1.638	0.0001986	0.0124084	1422449_s_at	201485_s_at	reticulocalbin 2, EF-hand calcium binding domain	RCN2
							201486_at	reticulocalbin 2, EF-hand calcium binding domain	RCN2
Afm	187	511.9	0.365	0.0002036	0.0126274	1427561_a_at	206840_at	afamin	AFM
Plk2	136.3	68.7	1.984	0.0002047	0.0126274	1427005_at	201939_at	polo-like kinase 2 (Drosophila)	PLK2
Ptprs	388.8	224.4	1.733	0.0002049	0.0126274	1426794_at	210823_s_at	protein tyrosine phosphatase, receptor type, S	PTPRS
Gpr177	130.4	46.8	2.786	0.000206	0.0126378	1423824_at	221958_s_at	G protein-coupled receptor 177	GPR177
Rad52	66.9	90.3	0.741	0.0002094	0.0127311	1416602_a_at	205647_at	RAD52 homolog (S. cerevisiae)	RAD52
							210630_s_at	RAD52 homolog (S. cerevisiae)	RAD52
Polr1e	133.7	68.7	1.946	0.0002127	0.012874	1419058_at	218997_at	polymerase (RNA) I polypeptide E, 53kDa	POLR1E
Bdh1	281.1	474.2	0.593	0.0002222	0.0132939	1452257_at	211715_s_at	3-hydroxybutyrate dehydrogenase, type 1 /// 3-hydroxybutyrate dehydrogenase, type 1	BDH1
NM_016859	227.6	143.2	1.589	0.0002229	0.0132939	1450742_at	203612_at	bystin-like	BYSL
Ppic	664.9	370	1.797	0.000224	0.0132939	1416498_at	204517_at	peptidylprolyl isomerase C (cyclophilin C)	PPIC
							204518_s_at	peptidylprolyl isomerase C (cyclophilin C)	PPIC
Mgat5	55.5	35.9	1.546	0.0002265	0.0132939	1428644_at	206720_at	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	MGAT5
							215197_at	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	MGAT5
							215528_at	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	MGAT5
Clpx	177.8	248	0.717	0.0002308	0.0133073	1423447_at	204809_at	ClpX caseinolytic peptidase X homolog (E. coli)	CLPX
Hmgn3	116	45.8	2.533	0.0002321	0.0133073	1431777_a_at	209377_s_at	high mobility group nucleosomal binding domain 3	HMGN3
Slc12a2	218.9	121.2	1.806	0.0002326	0.0133073	1417622_at	204404_at	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	SLC12A2
Tro	79.6	41.4	1.923	0.0002336	0.0133073	1426016_a_at	205028_at	trophinin	TRO
							210882_s_at	trophinin	TRO
							211700_s_at	trophinin /// trophinin	TRO
							211701_s_at	trophinin /// trophinin	TRO
Kdelr3	172.8	312.1	0.554	0.0002411	0.0133229	1418538_at	204017_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	KDELR3
							207264_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	KDELR3
							207265_s_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	KDELR3
NM_011144	51.2	97.9	0.523	0.0002416	0.0133229	1449051_at	206870_at	peroxisome proliferative activated receptor, alpha	PPARA
							210771_at	peroxisome proliferative activated receptor, alpha	PPARA
Syne2	36.6	13.3	2.752	0.0002416	0.0133229	1427982_s_at	202761_s_at	spectrin repeat containing, nuclear envelope 2	SYNE2
