Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with 5q- and normal
221076_at	PRO1770	5q11.1	present at least in one case	present at least in one case
205162_at	CKN1	5q11.2	present at least in one case	present at least in one case
212649_at	DDXx	5q11.2	present at least in one case	present at least in one case
212648_at	DDXx	5q11.2	present at least in one case	present at least in one case
224648_at	DKFZp761C169	5q11.2	present at least in one case	present at least in one case
223705_s_at	DKFZp761C169	5q11.2	present at least in one case	present at least in one case
208394_x_at	ESM1	5q11.2	present at least in one case	present at least in one case
220112_at	FLJ11795	5q11.2	present at least in one case	present at least in one case
220716_at	FLJ12595	5q11.2	present at least in one case	present at least in one case
227180_at	FLJ23563	5q11.2	present at least in one case	present at least in one case
231975_s_at	FLJ35954	5q11.2	present at least in one case	present at least in one case
228961_at	FLJ35954	5q11.2	present at least in one case	present at least in one case
235241_at	FLJ90709	5q11.2	present at least in one case	present at least in one case
226847_at	FST	5q11.2	present at least in one case	present at least in one case
204948_s_at	FST	5q11.2	present at least in one case	present at least in one case
207345_at	FST	5q11.2	present at least in one case	present at least in one case
206375_s_at	HSPB3	5q11.2	absent in all cases	absent in all cases
212896_at	KIAA0052	5q11.2	present at least in one case	present at least in one case
241977_s_at	LOC115827	5q11.2	present at least in one case	present at least in one case
242328_at	LOC115827	5q11.2	present at least in one case	present at least in one case
214786_at	MAP3K1	5q11.2	present at least in one case	present at least in one case
240840_s_at	MGC33648	5q11.2	absent in all cases	absent in all cases
238465_at	MGC33648	5q11.2	present at least in one case	present at least in one case
218472_s_at	PELO	5q11.2	present at least in one case	present at least in one case
221351_at	HTR1A	5q11.2-q13	absent in all cases	absent in all cases
203893_at	TAF9	5q11.2-q13.1	present at least in one case	present at least in one case
202168_at	TAF9	5q11.2-q13.1	present at least in one case	present at least in one case
229662_at	DHFR	5q11.2-q13.2	absent in all cases	absent in all cases
202533_s_at	DHFR	5q11.2-q13.2	present at least in one case	present at least in one case
202532_s_at	DHFR	5q11.2-q13.2	present at least in one case	present at least in one case
48808_at	DHFR	5q11.2-q13.2	present at least in one case	present at least in one case
202534_x_at	DHFR	5q11.2-q13.2	present at least in one case	present at least in one case
205984_at	CRHBP	5q11.2-q13.3	present at least in one case	present at least in one case
205488_at	GZMA	5q11-q12	present at least in one case	present at least in one case
206666_at	GZMK	5q11-q12	present at least in one case	present at least in one case
205887_x_at	MSH3	5q11-q12	present at least in one case	present at least in one case
210947_s_at	MSH3	5q11-q12	present at least in one case	present at least in one case
210801_at	HSA9761	5q11-q14	present at least in one case	present at least in one case
210802_s_at	HSA9761	5q11-q14	present at least in one case	present at least in one case
226480_at	HSA9761	5q11-q14	present at least in one case	present at least in one case
213598_at	HSA9761	5q11-q14	present at least in one case	present at least in one case
217106_x_at	HSA9761	5q11-q14	present at least in one case	present at least in one case
204405_x_at	HSA9761	5q11-q14	present at least in one case	present at least in one case
220831_at	C2GNT3	5q12	absent in all cases	absent in all cases
228729_at	CCNB1	5q12	present at least in one case	present at least in one case
214710_s_at	CCNB1	5q12	present at least in one case	present at least in one case
206206_at	LY64	5q12	present at least in one case	present at least in one case
211840_s_at	PDE4D	5q12	present at least in one case	present at least in one case
210837_s_at	PDE4D	5q12	present at least in one case	present at least in one case
210836_x_at	PDE4D	5q12	present at least in one case	present at least in one case
204491_at	PDE4D	5q12	present at least in one case	present at least in one case
211297_s_at	CDK7	5q12.1	present at least in one case	present at least in one case
217608_at	FLJ36754	5q12.1	present at least in one case	present at least in one case
235390_at	FLJ36754	5q12.1	present at least in one case	present at least in one case
222659_at	IPO11	5q12.1	present at least in one case	present at least in one case
234304_s_at	IPO11	5q12.1	present at least in one case	present at least in one case
238488_at	IPO11	5q12.1	present at least in one case	present at least in one case
226208_at	KIAA1577	5q12.1	present at least in one case	present at least in one case
220893_at	LOC57399	5q12.1	present at least in one case	present at least in one case
228355_s_at	LOC91942	5q12.1	present at least in one case	present at least in one case
205833_s_at	PART1	5q12.1	present at least in one case	absent in all cases
205834_s_at	PART1	5q12.1	absent in all cases	absent in all cases
222965_at	PRO2214	5q12.1	present at least in one case	absent in all cases
220699_s_at	PRO2214	5q12.1	present at least in one case	present at least in one case
223337_at	SDCCAG10	5q12.1	present at least in one case	present at least in one case
243166_at	SLC30A5	5q12.1	present at least in one case	present at least in one case
220181_x_at	SLC30A5	5q12.1	present at least in one case	present at least in one case
218989_x_at	SLC30A5	5q12.1	present at least in one case	present at least in one case
232432_s_at	SLC30A5	5q12.1	present at least in one case	present at least in one case
226980_at	XTP1	5q12.1	present at least in one case	present at least in one case
201939_at	SNK	5q12.1-q13.2	present at least in one case	present at least in one case
210994_x_at	ARFD1	5q12.2	present at least in one case	absent in all cases
210995_s_at	ARFD1	5q12.2	present at least in one case	present at least in one case
204732_s_at	ARFD1	5q12.2	present at least in one case	present at least in one case
222473_s_at	ERBB2IP	5q12.2	present at least in one case	present at least in one case
217941_s_at	ERBB2IP	5q12.2	present at least in one case	present at least in one case
218674_at	FLJ13611	5q12.2	present at least in one case	present at least in one case
213483_at	KIAA0073	5q12.2	present at least in one case	present at least in one case
237411_at	LOC153516	5q12.2	present at least in one case	present at least in one case
232084_at	LOC54557	5q12.2	present at least in one case	present at least in one case
228745_at	LOC54557	5q12.2	present at least in one case	present at least in one case
224063_at	NLN	5q12.2	present at least in one case	present at least in one case
225942_at	NLN	5q12.2	present at least in one case	present at least in one case
225943_at	NLN	5q12.2	present at least in one case	present at least in one case
225944_at	NLN	5q12.2	present at least in one case	present at least in one case
223758_s_at	GTF2H2	5q12.2-q13.3	present at least in one case	present at least in one case
221540_x_at	GTF2H2	5q12.2-q13.3	present at least in one case	present at least in one case
223539_s_at	SERF1A	5q12.2-q13.3	present at least in one case	present at least in one case
219982_s_at	SERF1A	5q12.2-q13.3	present at least in one case	present at least in one case
223538_at	SERF1A	5q12.2-q13.3	present at least in one case	present at least in one case
210958_s_at	KIAA0303	5q12.3	present at least in one case	absent in all cases
225611_at	KIAA0303	5q12.3	present at least in one case	present at least in one case
225613_at	KIAA0303	5q12.3	present at least in one case	present at least in one case
40016_g_at	KIAA0303	5q12.3	present at least in one case	present at least in one case
244287_at	SFRS12	5q12.3	present at least in one case	present at least in one case
212721_at	SFRS12	5q12.3	present at least in one case	present at least in one case
218769_s_at	ANKRA2	5q12-q13	present at least in one case	present at least in one case
224227_s_at	BDP1	5q12-q13	present at least in one case	present at least in one case
231939_s_at	BDP1	5q12-q13	present at least in one case	present at least in one case
226290_at	BDP1	5q12-q13	present at least in one case	present at least in one case
206307_s_at	FOXD1	5q12-q13	present at least in one case	absent in all cases
213972_at	FOXD1	5q12-q13	absent in all cases	absent in all cases
203086_at	KIF2	5q12-q13	present at least in one case	present at least in one case
203087_s_at	KIF2	5q12-q13	present at least in one case	present at least in one case
209624_s_at	MCCC2	5q12-q13	present at least in one case	present at least in one case
209623_at	MCCC2	5q12-q13	present at least in one case	present at least in one case
212249_at	PIK3R1	5q12-q13	present at least in one case	present at least in one case
212240_s_at	PIK3R1	5q12-q13	present at least in one case	present at least in one case
201340_s_at	ENC1	5q12-q13.3	present at least in one case	present at least in one case
201341_at	ENC1	5q12-q13.3	present at least in one case	present at least in one case
219902_at	BHMT2	5q13	absent in all cases	absent in all cases
230309_at	BHMT2	5q13	present at least in one case	present at least in one case
231917_at	EFG2	5q13	present at least in one case	present at least in one case
231918_s_at	EFG2	5q13	present at least in one case	present at least in one case
203989_x_at	F2R	5q13	present at least in one case	present at least in one case
206429_at	F2RL1	5q13	present at least in one case	present at least in one case
213506_at	F2RL1	5q13	present at least in one case	present at least in one case
206795_at	F2RL2	5q13	absent in all cases	absent in all cases
225392_at	HEXB	5q13	present at least in one case	present at least in one case
201944_at	HEXB	5q13	present at least in one case	present at least in one case
214577_at	MAP1B	5q13	absent in all cases	absent in all cases
226084_at	MAP1B	5q13	absent in all cases	absent in all cases
223582_at	MASS1	5q13	absent in all cases	absent in all cases
224275_at	MASS1	5q13	absent in all cases	absent in all cases
240631_at	MASS1	5q13	present at least in one case	present at least in one case
215396_at	MASS1	5q13	present at least in one case	present at least in one case
234871_at	MASS1	5q13	present at least in one case	present at least in one case
224422_x_at	PMCHL2	5q13	absent in all cases	absent in all cases
224423_x_at	PMCHL2	5q13	absent in all cases	absent in all cases
223261_at	POLK	5q13	present at least in one case	present at least in one case
223260_s_at	POLK	5q13	present at least in one case	present at least in one case
211228_s_at	RAD17	5q13	present at least in one case	present at least in one case
207405_s_at	RAD17	5q13	present at least in one case	present at least in one case
210826_x_at	RAD17	5q13	present at least in one case	present at least in one case
206565_x_at	SMA3	5q13	present at least in one case	present at least in one case
215599_at	SMA4	5q13	present at least in one case	present at least in one case
242491_at	SMA5	5q13	present at least in one case	present at least in one case
215043_s_at	SMA5	5q13	present at least in one case	present at least in one case
238446_at	SMA5	5q13	present at least in one case	present at least in one case
213089_at	SMA5	5q13	present at least in one case	present at least in one case
203852_s_at	SMN1	5q13	present at least in one case	present at least in one case
204776_at	THBS4	5q13	present at least in one case	present at least in one case
239944_at	BIRC1	5q13.1	present at least in one case	present at least in one case
204861_s_at	BIRC1	5q13.1	present at least in one case	present at least in one case
204860_s_at	BIRC1	5q13.1	present at least in one case	present at least in one case
226990_at	BTF3	5q13.1	present at least in one case	present at least in one case
214800_x_at	BTF3	5q13.1	present at least in one case	present at least in one case
211939_x_at	BTF3	5q13.1	present at least in one case	present at least in one case
208517_x_at	BTF3	5q13.1	present at least in one case	present at least in one case
206339_at	CART	5q13.1	present at least in one case	present at least in one case
219658_at	FLJ12598	5q13.1	absent in all cases	absent in all cases
228043_at	FLJ12787	5q13.1	present at least in one case	present at least in one case
228050_at	FLJ12787	5q13.1	present at least in one case	present at least in one case
235955_at	FLJ30532	5q13.1	absent in all cases	absent in all cases
235141_at	FLJ30532	5q13.1	present at least in one case	present at least in one case
225766_s_at	KPNB2	5q13.1	present at least in one case	present at least in one case
225765_at	KPNB2	5q13.1	present at least in one case	present at least in one case
209225_x_at	KPNB2	5q13.1	present at least in one case	present at least in one case
209226_s_at	KPNB2	5q13.1	present at least in one case	present at least in one case
207657_x_at	KPNB2	5q13.1	present at least in one case	present at least in one case
221829_s_at	KPNB2	5q13.1	present at least in one case	present at least in one case
228220_at	LOC115548	5q13.1	present at least in one case	present at least in one case
240114_s_at	MGC13034	5q13.1	present at least in one case	present at least in one case
231623_at	MGC13034	5q13.1	present at least in one case	present at least in one case
243569_at	MGC13034	5q13.1	present at least in one case	present at least in one case
212145_at	MRPS27	5q13.1	present at least in one case	present at least in one case
224302_s_at	MRPS36	5q13.1	present at least in one case	present at least in one case
209925_at	OCLN	5q13.1	present at least in one case	present at least in one case
227492_at	OCLN	5q13.1	present at least in one case	present at least in one case
221038_at	PRO1942	5q13.1	present at least in one case	present at least in one case
219610_at	RGNEF	5q13.1	absent in all cases	absent in all cases
232994_s_at	RGNEF	5q13.1	absent in all cases	absent in all cases
236570_at	ZNF366	5q13.1	present at least in one case	present at least in one case
231591_at	BHMT	5q13.1-q15	absent in all cases	absent in all cases
206119_at	BHMT	5q13.1-q15	present at least in one case	present at least in one case
219625_s_at	COL4A3BP	5q13.2	present at least in one case	present at least in one case
223465_at	COL4A3BP	5q13.2	present at least in one case	present at least in one case
226277_at	COL4A3BP	5q13.2	present at least in one case	present at least in one case
223466_x_at	COL4A3BP	5q13.2	present at least in one case	present at least in one case
218534_s_at	FLJ10283	5q13.2	present at least in one case	present at least in one case
222661_at	FLJ10283	5q13.2	present at least in one case	present at least in one case
240637_at	FLJ10904	5q13.2	present at least in one case	present at least in one case
218055_s_at	FLJ10904	5q13.2	present at least in one case	present at least in one case
