U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
211342_x_at	trinucleotide repeat containing 11 (THR-associated protein, 230 kDa subunit)	TNRC11	Xq13	BC004354.1		68.1	Above	1.8
212419_at	Homo sapiens, similar to Y43E12A.2.p, clone MGC:33537 IMAGE:4821347, mRNA, complete cds			AL049949.1	Hs.28264	68.1	Above	13
207785_s_at	H-2K binding factor-2	LOC51580	9	NM_015874.1	Hs.347340	67.8	Above	1.8
212460_at	hypothetical protein MGC24447	MGC24447	14	BE738425	Hs.353161	67.8	Above	2.2
203745_at	holocytochrome c synthase (cytochrome c heme-lyase)	HCCS	Xp22.3	AI801013	Hs.211571	67.8	Above	2
209565_at	zinc finger protein 183 (RING finger, C3HC4 type)	ZNF183	Xq25-q26	BC000832.1	Hs.64794	67.8	Above	2.2
201099_at	ubiquitin specific protease 9, X chromosome (fat facets-like Drosophila)	USP9X	Xp11.4	AA824386	Hs.77578	66.3	Above	1.6
203974_at	DNA segment, numerous copies, expressed probes (GS1 gene)	DXF68S1E	Xp22.32	NM_012080.1	Hs.78991	66.3	Above	4
215884_s_at	ubiquilin 2	UBQLN2	Xp11.23-p11.1	AK001029.1	Hs.4552	66.2	Above	1.9
200642_at	superoxide dismutase 1, soluble	SOD1	21q22.11	NM_000454.1	Hs.75428	64.7	Above	2.3
200738_s_at	phosphoglycerate kinase 1	PGK1	Xq13	NM_000291.1	Hs.78771	64.7	Above	1.8
201312_s_at	SH3 domain binding glutamic acid-rich protein like	SH3BGRL	Xq13.3	NM_003022.1	Hs.14368	64.7	Above	1.6
226875_at	hypothetical protein FLJ32122	FLJ32122	Xq24	AI742838	Hs.107513	64.6	Above	2.3
228057_at	similar to Smhs1 protein	LOC115265	4q22.1	AA528140	Hs.107515	63.7	Above	6.7
232974_at	Homo sapiens cDNA FLJ12417 fis, clone MAMMA1003039			AU148256	Hs.226469	63.7	Above	3.1
232034_at	Homo sapiens mRNA; cDNA DKFZp564N0763 (from clone DKFZp564N0763)			AL117607.1	Hs.175563	62.1	Above	6.1
200944_s_at	high-mobility group nucleosome binding domain 1	HMGN1	21q22.2	NM_004965.1	Hs.251064	61.9	Above	1.7
201443_s_at	ATPase, H+ transporting, lysosomal interacting protein 2	ATP6IP2	Xq21	AF248966.1	Hs.183434	61.9	Above	1.9
226333_at	interleukin 6 receptor	IL6R	1q21	AV700030	Hs.193400	61.9	Above	8.7
203585_at	zinc finger protein 185 (LIM domain)	ZNF185	Xq28	NM_007150.1	Hs.16622	60.9	Above	10.7
206846_s_at	histone deacetylase 6	HDAC6	Xp11.23	NM_006044.2	Hs.6764	60.1	Above	1.5
216095_x_at	myotubularin related protein 1	MTMR1	Xq28	AF057354.1	Hs.372428	60.1	Above	1.8
226039_at	Mannosyl (alpha-1,3)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	MGAT4A	2q11.2	AW006441	Hs.24210	60.1	Above	3
227210_at	Homo sapiens cDNA FLJ32568 fis, clone SPLEN2000098			T65020	Hs.12699	60.1	Above	3.6
236172_at	ESTs			AW206817	Hs.158186	60.1	Above	2.4
214735_at	phosphoinositide-binding protein PIP3-E	PIP3-E	6q25.2	AW166711	Hs.185140	59.8	Above	6.4
206147_x_at	sex comb on midleg-like 2 (Drosophila)	SCML2	Xp22	NM_006089.1	Hs.171558	59.6	Above	2.2
209022_at	stromal antigen 2	STAG2	Xq25	AK026678.1	Hs.8217	59.6	Above	1.7
213282_at	Homo sapiens cDNA FLJ39590 fis, clone SKNMC1000079			BE221922	Hs.356269	59.6	Above	2.2
218582_at	hypothetical protein FLJ20445	FLJ20445	10q23.33	NM_017824.1	Hs.343748	59.6	Above	1.6
218694_at	ALEX1 protein	ALEX1	Xq21.33-q22.2	NM_016608.1	Hs.9728	59.6	Above	2.8
226785_at	Homo sapiens cDNA FLJ36516 fis, clone TRACH2001898			BF475862	Hs.88252	59.6	Above	1.9
200655_s_at	calmodulin 1 (phosphorylase kinase, delta)	CALM1	14q24-q31	NM_006888.1	Hs.177656	58.7	Above	1.7
210176_at	toll-like receptor 1	TLR1	4p14	AL050262.1	Hs.2474	58.2	Above	2.1
202711_at	ephrin-B1	EFNB1	Xq12	NM_004429.1	Hs.144700	58.2	Above	14.9
204446_s_at	arachidonate 5-lipoxygenase	ALOX5	10q11.2	NM_000698.1	Hs.89499	58.2	Above	4.2
219297_at	similar to rab11-binding protein	FLJ11116	Xq24	NM_019045.1	Hs.98510	58.2	Above	2.4
201923_at	peroxiredoxin 4	PRDX4	Xp22.13	NM_006406.1	Hs.83383	58.2	Above	1.9
212929_s_at	KIAA0592 protein	KIAA0592	10q11.21	W68158	Hs.13273	58.2	Above	5
204045_at	transcription elongation factor A (SII)-like 1	TCEAL1	Xq22.1	NM_004780.1	Hs.95243	56.8	Above	2.1
208117_s_at	hypothetical protein FLJ12525	FLJ12525	Xq12-q13	NM_031206.1	Hs.321618	56.8	Above	2.2
209620_s_at	ATP-binding cassette, sub-family B (MDR/TAP), member 7	ABCB7	Xq12-q13	AB005289.1	Hs.125856	56.8	Above	2.1
209679_s_at	hypothetical protein from clone 643	LOC57228	12q11	BC003379.1	Hs.206501	56.8	Above	5.6
217954_s_at	PHD finger protein 3	PHF3		NM_015153.1	Hs.78893	56.8	Above	1.5
218414_s_at	LIS1-interacting protein NUDE1, rat homolog	NUDE1	16p13.11	NM_017668.1	Hs.263925	56.8	Above	2
226037_s_at	TAF9-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa	TAF9L	Xq13.1-q21.1	AL049589	Hs.171723	56.8	Above	1.9
227279_at	hypothetical protein MGC15737	MGC15737	Xq22.1	AA847654	Hs.39122	56.8	Above	5.6
200600_at	Moesin (membrane organizing extension spike protein)	MSN	Xq11.2-q12	NM_002444.1	Hs.170328	56.2	Above	1.9
200701_at	Niemann-Pick disease, type C2	NPC2	14q24.3	NM_006432.1	Hs.119529	55.9	Above	1.7
200737_at	phosphoglycerate kinase 1	PGK1	Xq13	NM_000291.1	Hs.78771	55.9	Above	1.8
201642_at	interferon gamma receptor 2 (interferon gamma transducer 1)	IFNGR2	21q22.11	NM_005534.1	Hs.177559	55.9	Above	2.5
214527_s_at	polyglutamine binding protein 1	PQBP1	Xp11.23	AB041836.1	Hs.30570	55.9	Above	1.7
223082_at	SH3-domain kinase binding protein 1	SH3KBP1	Xp22.1-p21.3	AF230904.1	Hs.153260	55.9	Above	2
225182_at	Homo sapiens EST from clone 491476, full insert			AL355685.1	Hs.9042	55.9	Above	2.1
226760_at	Homo sapiens cDNA FLJ32174 fis, clone PLACE6001064			BF666325	Hs.297007	55.9	Above	2.2
204572_s_at	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)	PIN4	Xq13	NM_006223.1	Hs.11774	54.8	Above	2.9
201092_at	retinoblastoma binding protein 7	RBBP7	Xp22.31	NM_002893.2	Hs.31314	54	Above	1.6
204690_at	syntaxin 8	STX8	17p12	NM_004853.1	Hs.380938	54	Above	1.4
206016_at	JM1 protein	JM1	Xp11.23	NM_014008.1	Hs.26333	54	Above	2.3
218021_at	peroxisomal short-chain alcohol dehydrogenase	humNRDR	14q11.2	NM_021004.1	Hs.6318	54	Above	4
221808_at	RAB9A, member RAS oncogene family	RAB9A	Xp22.2	NM_004251.1	Hs.330994	54	Above	1.8
223497_at	KIAA1411 protein	KIAA1411	6q12-q13	AL136820.1	Hs.107287	54	Above	3.8
226335_at	Homo sapiens cDNA FLJ12807 fis, clone NT2RP2002316			BG498334	Hs.188361	54	Above	2
201311_s_at	SH3 domain binding glutamic acid-rich protein like	SH3BGRL	Xq13.3	AL515318	Hs.14368	53	Above	1.6
202829_s_at	synaptobrevin-like 1	SYBL1	Xq28	NM_005638.1	Hs.24167	53	Above	1.5
209370_s_at	SH3-domain binding protein 2	SH3BP2	4p16.3	AB000462.1	Hs.167679	53	Above	3.2
46323_at	Ca2+-dependent endoplasmic reticulum nucleoside diphosphatase	SHAPY	17q25.3	AL120741	Hs.8859	52.3	Above	1.7
200658_s_at	prohibitin	PHB	17q21	AL560017	Hs.75323	52.3	Above	2
202974_at	membrane protein, palmitoylated 1, 55kDa	MPP1	Xq28	NM_002436.2	Hs.1861	52.3	Above	2.2
221188_s_at	cell death-inducing DFFA-like effector b	CIDEB	14q11.2	NM_014430.1	Hs.288835	52.3	Above	2.4
203776_at	T54 protein	T54	Xp11.23	NM_015698.1	Hs.100391	52.3	Above	2
211974_x_at	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	CD59	11p13	AL513759	Hs.278573	52.3	Above	1.7
213000_at	nuclear matrix protein NXP-2	NXP-2	21q22.13	AP_000693	Hs.70359	52.3	Above	1.9
225361_x_at	similar to hypothetical protein MGC17347	LOC159090	Xq26.2	AI341165	Hs.353200	52.3	Above	1.8
226905_at	Homo sapiens, clone IMAGE:4564684, mRNA, partial cds			BG036514	Hs.345588	52.3	Above	4
223294_at	hypothetical protein LOC51260	LOC51260	Xq13.1	BC001220.1	Hs.128764	52.3	Above	1.8
226810_at	Homo sapiens mRNA; cDNA DKFZp761M0111 (from clone DKFZp761M0111)			BE500942	Hs.13299	52.2	Above	2.5
238469_at	hypothetical protein FLJ21079	FLJ21079	6q14.1	BE620374	Hs.16512	51.8	Above	2.2
