Probe set ID	Symbol	Description	RefSeq Transcript ID	Cytoband	Status
201351_s_at	YME1L1	YME1-like 1 (S. cerevisiae)	NM_153274	chr10p12.1	Associated with FO
216221_s_at	PUM2	pumilio homolog 2 (Drosophila)	NM_033647	chr2p24.1	Associated with FO
216326_s_at	HDAC3	histone deacetylase 3	NM_153039	chr5q31.3	Associated with FO
209139_s_at	PRKRA	protein kinase, interferon-inducible double stranded RNA dependent activator	NM_173080	chr2q31.2	Associated with FO
202706_s_at	UMPS	uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)	NM_138332	chr3q21.2	Associated with FO
201532_at	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	NM_130759	chr14q23.1	Associated with FO
221622_s_at	TMEM126B	transmembrane protein 126B	NM_152763	chr11q14.1	Associated with FO
215482_s_at	EIF2B4	eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	NM_139165	chr2p23.3	Associated with FO
221081_s_at	DENND2D	DENN/MADD domain containing 2D	NM_020845	chr1p13.3	Associated with FO
218830_at	RPL26L1	ribosomal protein L26-like 1	NM_025091	chr5q35.2	Associated with FO
208647_at	FDFT1	farnesyl-diphosphate farnesyltransferase 1	NM_153701	chr8p23.1	Associated with FO
220147_s_at	FAM60A	family with sequence similarity 60, member A	NM_144701	chr1p21.1	Associated with FO
204023_at	RFC4	replication factor C (activator 1) 4, 37kDa	NM_138924	chr3q27.3	Associated with FO
203203_s_at	KRR1	KRR1, small subunit (SSU) processome component, homolog (yeast)	NM_170710	chr12q21.2	Associated with FO
220099_s_at	LUC7L2	LUC7-like 2 (S. cerevisiae)	NM_052884	chr7q34	Associated with FO
218215_s_at	NR1H2	nuclear receptor subfamily 1, group H, member 2	NM_173041	chr19q13.33	Associated with FO
204093_at	CCNH	cyclin H	BC014852	chr5q14.3	Associated with FO
200994_at	IPO7	Importin 7	NM_145004	chr11p15.4	Associated with FO
211984_at	CALM1	calmodulin 1 (phosphorylase kinase, delta)	NM_145042	chr14q32.11	Associated with FO
217717_s_at	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	NM_138557	chr20q13.12	Associated with FO
201317_s_at	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	NM_152774	chr2q33.1	Associated with FO
214512_s_at	SUB1	SUB1 homolog (S. cerevisiae)	NM_004277	chr5p13.3	Associated with FO
201144_s_at	EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	NM_080653	chr14q23.3	Associated with FO
207614_s_at	CUL1	cullin 1	NM_031440	chr7q36.1	Associated with FO
221547_at	PRPF18	PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)	NM_139209	chr10p13	Associated with FO
218722_s_at	CCDC51	coiled-coil domain containing 51	NM_138474	chr3p21.31	Associated with FO
221559_s_at	MIS12	MIS12, MIND kinetochore complex component, homolog (yeast)	NM_002605	chr17p13.2	Associated with FO
205008_s_at	CIB2	calcium and integrin binding family member 2	NM_020361	chr15q25.1	Associated with FO
206095_s_at	FUSIP1	FUS interacting protein (serine/arginine-rich) 1	NM_138810	chr1p36.11	Associated with FO
217893_s_at	C1orf108	chromosome 1 open reading frame 108	AF301007	chr1p34.3	Associated with FO
204504_s_at	HIRIP3	HIRA interacting protein 3	NM_052931	chr16p11.2	Associated with FO
211747_s_at	LSM5	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	NM_138450	chr7p14.3	Associated with FO
205895_s_at	NOLC1	nucleolar and coiled-body phosphoprotein 1	NM_148960	chr10q24.32	Associated with FO
208855_s_at	STK24	serine/threonine kinase 24 (STE20 homolog, yeast)	NM_145811	chr13q32.2	Associated with FO
209201_x_at	CXCR4	chemokine (C-X-C motif) receptor 4	NM_001173	chr2q21.3	Associated with FO
218497_s_at	RNASEH1	ribonuclease H1	NM_144623	chr17p11.2	Associated with FO
220127_s_at	FBXL12	F-box and leucine-rich repeat protein 12	AB072038	chr19p13.2	Associated with FO
211558_s_at	DHPS	deoxyhypusine synthase	NM_080834	chr19p13.13	Associated with FO
203978_at	NUBP1	nucleotide binding protein 1 (MinD homolog, E. coli)	NM_138924	chr16p13.13	Associated with FO
202165_at	PPP1R2	protein phosphatase 1, regulatory (inhibitor) subunit 2	NM_080618	chr5q33.3	Associated with FO
206055_s_at	SNRPA1	small nuclear ribonucleoprotein polypeptide A	NM_138810	chr2q14.1	Associated with FO
205930_at	GTF2E1	general transcription factor IIE, polypeptide 1, alpha 56kDa	NM_145206	chr3q13.33	Associated with FO
221918_at	PCTK2	PCTAIRE protein kinase 2	NM_033132	chr12q23.1	Associated with FO
218152_at	HMG20A	high-mobility group 20A	NM_138706	chr15q24.3	Associated with FO
35974_at	LRMP	lymphoid-restricted membrane protein	NM_144971	chr12p12.1	Associated with FO
218923_at	CTBS	chitobiase, di-N-acetyl-	NM_025091	chr1p22.3	Associated with FO
208737_at	ATP6V1G1	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1	NM_173538	chr9q32	Associated with FO
203818_s_at	SF3A3	splicing factor 3a, subunit 3, 60kDa	NM_152630	chr1p34.3	Associated with FO
202163_s_at	CNOT8	CCR4-NOT transcription complex, subunit 8	AF276507	chr5q33.2	Associated with FO
202753_at	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	NM_153447	chr3p14.1	Associated with FO
212904_at	LRRC47	leucine rich repeat containing 47	NM_024979	chr1p36.32	Associated with FO
200883_at	UQCRC2	ubiquinol-cytochrome c reductase core protein II	NM_138957	chr16p12.1	Associated with FO
201138_s_at	SSB	Sjogren syndrome antigen B (autoantigen La)	NM_173596	chr2q31.1	Associated with FO
206337_at	CCR7	chemokine (C-C motif) receptor 7	NM_057176	chr17q21.2	Associated with FO
222099_s_at	LSM14A	LSM14A, SCD6 homolog A (S. cerevisiae)	NM_153009	chr19q13.11	Associated with FO
220741_s_at	PPA2	pyrophosphatase (inorganic) 2	NM_025240	chr4q24	Associated with FO
204336_s_at	RGS19	regulator of G-protein signalling 19	NM_145315	chr20q13.33	Associated with FO
220939_s_at	DPP8	dipeptidyl-peptidase 8	NM_144645	chr15q22.31	Associated with FO
201486_at	RCN2	reticulocalbin 2, EF-hand calcium binding domain	NM_144597	chr15q24.3	Associated with FO
211595_s_at	MRPS11	mitochondrial ribosomal protein S11	NM_172364	chr15q25.3	Associated with FO
204606_at	CCL21	chemokine (C-C motif) ligand 21	NM_145238	chr9p13.3	Associated with FO
203340_s_at	SLC25A12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	BC034761	chr2q31.1	Associated with FO
219100_at	OBFC1	oligonucleotide/oligosaccharide-binding fold containing 1	NM_152424	chr10q24.33	Associated with FO
205644_s_at	SNRPG	small nuclear ribonucleoprotein polypeptide G	NM_058189	chr19p13.12	Associated with FO
202209_at	LSM3	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)	BC016358	chr3p25.1	Associated with FO
201400_at	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	NM_032834	chr17q12	Associated with FO
202397_at	NUTF2	nuclear transport factor 2	NM_080743	chr16q22.1	Associated with FO
203635_at	DSCR3	Down syndrome critical region gene 3	NM_144614	chr21q22.13	Associated with FO
202666_s_at	ACTL6A	actin-like 6A	NM_052841	chr3q26.33	Associated with FO
208969_at	NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa	NM_172139	chr12p13.32	Associated with FO
203102_s_at	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	NM_152467	chr14q22.1	Associated with FO
201880_at	ARIH1	Ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	NM_002604	chr15q24.1	Associated with FO
209995_s_at	TCL1A	T-cell leukemia/lymphoma 1A	NM_032903	chr14q32.13	Associated with FO
203605_at	SRP54	signal recognition particle 54kDa	NM_173479	chr14q13.2	Associated with FO
207079_s_at	MED6	mediator of RNA polymerase II transcription, subunit 6 homolog (S. cerevisiae)	NM_145656	chr14q24.2	Associated with FO
218057_x_at	COX4NB	COX4 neighbor	NM_145283	chr16q24.1	Associated with FO
201479_at	DKC1	dyskeratosis congenita 1, dyskerin	NM_144573	chrXq28	Associated with FO
212129_at	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	NM_000342	chr15q11.2	Associated with FO
209549_s_at	DGUOK	deoxyguanosine kinase	NM_147162	chr2p13.1	Associated with FO
212410_at	EFHA1	EF-hand domain family, member A1	AA022668	chr13q12.11	Associated with FO
207655_s_at	BLNK	B-cell linker	NM_138731	chr10q23.33	Associated with FO
212184_s_at	MAP3K7IP2	mitogen-activated protein kinase kinase kinase 7 interacting protein 2	NM_153243	chr6q25.1	Associated with FO
220746_s_at	UIMC1	ubiquitin interaction motif containing 1	NM_172140	chr5q35.2	Associated with FO
202026_at	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	NM_052887	chr1p36.11	Associated with FO
221954_at	C20orf111	Chromosome 20 open reading frame 111	NM_139290	chr20q13.12	Associated with FO
204228_at	PPIH	peptidylprolyl isomerase H (cyclophilin H)	NM_144775	chr1p34.2	Associated with FO
205070_at	ING3	inhibitor of growth family, member 3	NM_022045	chr7q31.31	Associated with FO
201608_s_at	PWP1	PWP1 homolog (S. cerevisiae)	NM_138819	chr12q23.3	Associated with FO
221135_s_at	ASTE1	asteroid homolog 1 (Drosophila)	NM_020815	chr3q22.1	Associated with FO
218768_at	NUP107	nucleoporin 107kDa	NM_152480	chr12q15	Associated with FO
212434_at	GRPEL1	GrpE-like 1, mitochondrial (E. coli)	NM_139166	chr4p16.1	Associated with FO
204633_s_at	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	NM_170699	chr14q32.11	Associated with FO
206042_x_at	SNRPN	small nuclear ribonucleoprotein polypeptide N	NM_138451	chr15q11.2	Associated with FO
218133_s_at	NIF3L1	NIF3 NGG1 interacting factor 3-like 1 (S. pombe)	NM_052870	chr2q33.1	Associated with FO
217874_at	SUCLG1	succinate-CoA ligase, GDP-forming, alpha subunit	NM_148910	chr2p11.2	Associated with FO
212074_at	UNC84A	unc-84 homolog A (C. elegans)	NM_144607	chr7p22.3	Associated with FO
205861_at	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	NM_144583	chr19q13.33	Associated with FO
204405_x_at	DIMT1L	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	NM_033261	chr5q12.1	Associated with FO
202231_at	PCID1	PCI domain containing 1 (herpesvirus entry mediator)	BC016358	chr11p13	Associated with FO
201756_at	RPA2	replication protein A2, 32kDa	NM_053054	chr1p35.3	Associated with FO
203433_at	MTHFS	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)	NM_145651	chr15q25.1	Associated with FO
209479_at	CCDC28A	coiled-coil domain containing 28A	NM_138433	chr6q24.1	Associated with FO
203836_s_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5	NM_145033	chr6q23.3	Associated with FO
209471_s_at	FNTA	farnesyltransferase, CAAX box, alpha	NM_033204	chr11q14.2	Associated with FO
201385_at	DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	NM_145041	chr4p15.2	Associated with FO
204809_at	CLPX	ClpX caseinolytic peptidase X homolog (E. coli)	NM_080671	chr15q22.31	Associated with FO
201998_at	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	NM_152769	chr3q27.3	Associated with FO
218617_at	TRIT1	tRNA isopentenyltransferase 1	NM_145815	chr1p34.2	Associated with FO
202672_s_at	ATF3	activating transcription factor 3	NM_080827	chr1q32.3	Associated with FO
202232_s_at	PCID1	PCI domain containing 1 (herpesvirus entry mediator)	NM_032433	chr11p13	Associated with FO
208766_s_at	HNRPR	heterogeneous nuclear ribonucleoprotein R	NM_173538	chr1p36.12	Associated with FO
200723_s_at	GPIAP1	GPI-anchored membrane protein 1	X75208	chr11p13	Associated with FO
204937_s_at	ZNF274	zinc finger protein 274	NM_145273	chr19q13.43	Associated with FO
208857_s_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	NM_153203	chr6q25.1	Associated with FO
209606_at	PSCDBP	pleckstrin homology, Sec7 and coiled-coil domains, binding protein	AK093112	chr2q24.1	Associated with FO
217900_at	IARS2	isoleucine-tRNA synthetase 2, mitochondrial	NM_139264	chr1q41	Associated with FO
218193_s_at	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)	NM_144977	chr12p12.1	Associated with FO
201595_s_at	ZC3H15	zinc finger CCCH-type containing 15	NM_033124	chr2q32.1	Associated with FO
206495_s_at	MIZF	MBD2-interacting zinc finger	NM_057176	chr11q23.3	Associated with FO
201985_at	KIAA0196	KIAA0196	NM_152769	chr8q24.13	Associated with FO
201565_s_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	AK091818	chr2p25.1	Associated with FO
209751_s_at	TRAPPC2	trafficking protein particle complex 2	NM_032243	chr19q13.43	Associated with FO
202864_s_at	SP100	SP100 nuclear antigen	NM_147198	chr2q37.1	Associated with FO
215691_x_at	IL17RB	interleukin 17 receptor B	NM_152697	chr1p32.3	Associated with FO
212766_s_at	ISG20L2	interferon stimulated exonuclease gene 20kDa-like 2	NM_144633	chr1q23.1	Associated with FO
200892_s_at	SFRS10	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	NM_138957	chr3q27.2	Associated with FO
203039_s_at	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	NM_145046	chr2q33.3	Associated with FO
208819_at	RAB8A	RAB8A, member RAS oncogene family	NM_139172	chr19p13.12	Associated with FO
202579_x_at	HMGN4	high mobility group nucleosomal binding domain 4	NM_173549	chr6p22.1	Associated with FO
209860_s_at	ANXA7	annexin A7	NM_015064	chr10q22.2	Associated with FO
210018_x_at	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	NM_005489	chr18q21.32	Associated with FO
222216_s_at	MRPL17	mitochondrial ribosomal protein L17	NM_153608	chr11p15.4	Associated with FO
208620_at	PCBP1	poly(rC) binding protein 1	NM_172025	chr2p14	Associated with FO
204777_s_at	MAL	mal, T-cell differentiation protein	NM_173689	chr2q11.1	Associated with FO
212408_at	TOR1AIP1	torsin A interacting protein 1	AA022668	chr1q25.2	Associated with FO
213366_x_at	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	NM_152569	chr10p14	Associated with FO
218535_s_at	RIOK2	RIO kinase 2 (yeast)	NM_153238	chr5q15	Associated with FO
204084_s_at	CLN5	ceroid-lipofuscinosis, neuronal 5	NM_133373	chr13q22.3	Associated with FO
216064_s_at	AGA	aspartylglucosaminidase	NM_152605	chr4q34.3	Associated with FO
202658_at	PEX11B	peroxisomal biogenesis factor 11B	NM_152512	chr1q21.1	Associated with FO
201833_at	HDAC2	histone deacetylase 2	AY177407	chr6q22.1	Associated with FO
205335_s_at	SRP19	signal recognition particle 19kDa	BC030710	chr5q22.2	Associated with FO
33304_at	ISG20	interferon stimulated exonuclease gene 20kDa	NM_173528	chr15q26.1	Associated with FO
209350_s_at	GPS2	G protein pathway suppressor 2	NM_145319	chr17p13.1	Associated with FO
202143_s_at	COPS8	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	BC001526	chr2q37.3	Associated with FO
202333_s_at	UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)	BG677577	chr5q31.1	Associated with FO
202691_at	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	NM_152335	chr18q11.2	Associated with FO
201013_s_at	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	NM_153359	chr4q12	Associated with FO
203185_at	RASSF2	Ras association (RalGDS/AF-6) domain family 2	NM_145312	chr20p13	Associated with FO
209111_at	RNF5	ring finger protein 5	NM_005819	chr6p21.32	Associated with FO
208117_s_at	LAS1L	LAS1-like (S. cerevisiae)	NM_003813	chrXq11.1	Associated with FO
201624_at	DARS	aspartyl-tRNA synthetase	NM_145020	chr2q21.3	Associated with FO
212643_at	C14orf32	chromosome 14 open reading frame 32	NM_144706	chr14q22.3	Associated with FO
218993_at	RNMTL1	RNA methyltransferase like 1	NM_153755	chr17p13.3	Associated with FO
200659_s_at	PHB	prohibitin	X55005	chr16q12.2	Associated with FO
201931_at	ETFA	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	NM_145311	chr15q24.2	Associated with FO
209772_s_at	CD24	CD24 molecule	BC021215	chrYq11.222	Associated with FO
209771_x_at	CD24	CD24 molecule	NM_014903	chrYq11.222	Associated with FO
206860_s_at	FLJ20323	hypothetical protein FLJ20323	NM_152256	chr7p21.3	Associated with FO
203545_at	ALG8	asparagine-linked glycosylation 8 homolog (S. cerevisiae, alpha-1,3-glucosyltransferase)	NM_173479	chr11q14.1	Associated with FO
218229_s_at	POGK	pogo transposable element with KRAB domain	NM_138724	chr1q24.1	Associated with FO
219529_at	CLIC3	chloride intracellular channel 3	NM_133329	chr9q34.3	Associated with FO
208012_x_at	SP110	SP110 nuclear body protein	NM_153344	chr2q37.1	Associated with FO
202710_at	BET1	BET1 homolog (S. cerevisiae)	NM_138705	chr7q21.3	Associated with FO
213598_at	DIMT1L	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	NM_153357	chr5q12.1	Associated with FO
219016_at	FASTKD5	FAST kinase domains 5	BC032621	chr20p13	Associated with FO
206829_x_at	ZNF430	zinc finger protein 430	NM_144969	chr19p12	Associated with FO
203897_at	LYRM1	LYR motif containing 1	NM_148676	chr16p12.2	Associated with FO
209161_at	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	AB063105	chr9q32	Associated with FO
210532_s_at	C14orf2	chromosome 14 open reading frame 2	NM_020886	chr14q32.33	Associated with FO
203537_at	PRPSAP2	phosphoribosyl pyrophosphate synthetase-associated protein 2	NM_173650	chr17p11.2	Associated with FO
200853_at	H2AFZ	H2A histone family, member Z	NM_015140	chr4q23	Associated with FO
209440_at	PRPS1	phosphoribosyl pyrophosphate synthetase 1	NM_033204	chr9q33.3	Associated with FO
219667_s_at	BANK1	B-cell scaffold protein with ankyrin repeats 1	NM_153224	chr4q24	Associated with FO
208787_at	MRPL3	mitochondrial ribosomal protein L3	NM_145189	chr13q12.11	Associated with FO
201129_at	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	AK074161	chr2p22.1	Associated with FO
212600_s_at	UQCRC2	ubiquinol-cytochrome c reductase core protein II	NM_007014	chr16p12.1	Associated with FO
201038_s_at	ANP32A	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	NM_153359	chr15q23	Associated with FO
200608_s_at	RAD21	RAD21 homolog (S. pombe)	X51757	chr8q24.11	Associated with FO
219065_s_at	C2orf4	chromosome 2 open reading frame 4	NM_033127	chr21q22.12	Associated with FO
212491_s_at	DNAJC8	DnaJ (Hsp40) homolog, subfamily C, member 8	NM_172193	chr1p35.3	Associated with FO
200669_s_at	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	M21121	chr20p12.3	Associated with FO
203138_at	HAT1	histone acetyltransferase 1	NM_078474	chr2q31.1	Associated with FO
218334_at	THOC7	THO complex 7 homolog (Drosophila)	NM_173495	chr3p14.1	Associated with FO
200664_s_at	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	X79510	chr19p13.12	Associated with FO
213682_at	NUP50	nucleoporin 50kDa	NM_153704	chr22q13.31	Associated with FO
209020_at	C20orf111	chromosome 20 open reading frame 111	NM_020240	chr20q13.12	Associated with FO
209001_s_at	ANAPC13	anaphase promoting complex subunit 13	AL555086	chr3q22.1	Associated with FO
201190_s_at	PITPNA	phosphatidylinositol transfer protein, alpha	BC034926	chr17p13.3	Associated with FO
201581_at	TXNDC13	thioredoxin domain containing 13	NM_033124	chr20p12.3	Associated with FO
208650_s_at	CD24	CD24 molecule	NM_172196	chrYq11.222	Associated with FO
218558_s_at	MRPL39	mitochondrial ribosomal protein L39	NM_000871	chr21q21.3	Associated with FO
