U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
233273_at	Homo sapiens cDNA FLJ12010 fis, clone HEMBB1001635			AU146834	Hs.296684	67.8	Above	30.4
239427_at	ESTs			AA131524	Hs.374124	67.8	Above	13.6
218087_s_at	sorbin and SH3 domain containing 1	SORBS1	10q23.3-q24.1	NM_015385.1	Hs.108924	66.3	Above	24.9
201460_at	mitogen-activated protein kinase-activated protein kinase 2	MAPKAPK2	1q32	AI141802	Hs.75074	66.3	Above	2.1
202421_at	immunoglobulin superfamily, member 3	IGSF3	1p13	AB007935.1	Hs.81234	66.3	Above	4.3
40148_at	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	APBB2	4p14	U62325	Hs.324125	66.2	Above	6.2
212165_at	hypothetical protein BC013073	LOC92703	1q31.1	AL133052.1	Hs.17481	66.2	Above	1.9
226590_at	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1517766			AA031404	Hs.349208	66.2	Above	3.1
227440_at	E2a-Pbx1-associated protein	EB-1	12	AW005572	Hs.372732	66.2	Above	1168.9
203143_s_at	KIAA0040 gene product	KIAA0040	1q24-25	T79953	Hs.158282	64.7	Above	2.4
228153_at	Homo sapiens mRNA; cDNA DKFZp451E085 (from clone DKFZp451E085)			AI953847	Hs.294092	64.7	Above	4.1
212959_s_at	MGC4170 protein	MGC4170	12q23.1	AK001821.1	Hs.7041	64.6	Below	3
202181_at	KIAA0247 gene product	KIAA0247	14q24.1	NM_014734.1	Hs.82426	63.7	Above	1.8
204562_at	interferon regulatory factor 4	IRF4	6p25-p23	NM_002460.1	Hs.82132	63.7	Above	4.9
218949_s_at	hypothetical protein FLJ10989	FLJ10989	6q21	NM_018292.1	Hs.210778	63.7	Above	3.2
219517_at	hypothetical protein FLJ22637	FLJ22637	15q14	NM_025165.1	Hs.296178	63.7	Above	3.4
224856_at	FK506 binding protein 5	FKBP5	6p21.3-21.2	AL122066.1	Hs.7557	63.7	Below	5.5
225389_at	BTB domain protein BDPL	BDPL	14q32	AW149498	Hs.7367	63.7	Above	3.2
226392_at	Homo sapiens cDNA: FLJ21652 fis, clone COL08582			AI888503	Hs.98445	63.7	Below	3.4
219667_s_at	hypothetical protein FLJ20706	BANK	4q22.2	NM_017935.1	Hs.193736	62.9	Below	5.6
212845_at	KIAA1053 protein	KIAA1053	14q22.1	AB028976.1	Hs.173571	61.9	Above	14.6
213940_s_at	formin-binding protein 17	FBP17	9q34	AU145053	Hs.301763	61.9	Below	12.3
219111_s_at	ATP-dependent RNA helicase	MGC2835	12q24.11	NM_024072.1	Hs.70582	61.9	Above	1.9
219518_s_at	hypothetical protein FLJ22637	FLJ22637	15q14	NM_025165.1	Hs.296178	61.9	Above	5.7
220389_at	hypothetical protein FLJ23514	FLJ23514	11q14.1	NM_021827.1	Hs.144913	61.9	Above	6.5
47069_at	Rho GTPase activating protein 8	ARHGAP8	22q13.31	AA533284	Hs.102336	61.9	Above	3.4
212774_at	zinc finger protein 238	ZNF238	1q44-qter	AJ223321	Hs.69997	61.9	Above	1.8
201443_s_at	ATPase, H+ transporting, lysosomal interacting protein 2	ATP6IP2	Xq21	AF248966.1	Hs.183434	60.9	Below	1.9
204836_at	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	GLDC	9p22	NM_000170.1	Hs.380791	60.1	Above	3.1
217732_s_at	integral membrane protein 2B	ITM2B	13q14.3	AF092128.1	Hs.239625	60.1	Below	2
201029_s_at	antigen identified by monoclonal antibodies 12E7, F21 and O13	MIC2	Xp22.32	NM_002414.1	Hs.177543	59.8	Below	5.7
204174_at	arachidonate 5-lipoxygenase-activating protein	ALOX5AP	13q12	NM_001629.1	Hs.100194	59.8	Below	48.1
206255_at	B lymphoid tyrosine kinase	BLK	8p23-p22	NM_001715.1	Hs.2243	59.8	Above	6
212873_at	minor histocompatibility antigen HA-1	HA-1	19p13.3	BE349017	Hs.196914	59.8	Below	2.9
211963_s_at	actin related protein 2/3 complex, subunit 5, 16kDa	ARPC5	1q24.3	AL516350	Hs.82425	59.6	Above	1.7
218683_at	polypyrimidine tract binding protein 2	PTBP2	1p22.11-p21.3	NM_021190.1	Hs.34956	59.6	Above	1.8
221234_s_at	BTB and CNC homology 1, basic leucine zipper transcription factor 2	BACH2	6q15	NM_021813.1	Hs.88414	59.6	Above	2.7
240718_at	ESTs, Highly similar to I38656 lymphoid-restricted membrane protein - human [H.sapiens]			AW303384	Hs.124922	59.6	Above	11.9
