Probe Set	Gene	NPMc+	P-value	RT-qPCR	RefSeq	Description
219734_at	FLJ20174	D	0.0069		NM_017699	hypothetical protein FLJ20174
219461_at	PAK6	D	0.0072		NM_020168	p21(CDKN1A)-activated kinase 6
208116_s_at	MAN1A1	D	0.0072		NM_005907	mannosidase, alpha, class 1A, member 1
208955_at	DUT	D	0.0072		NM_001948	dUTP pyrophosphatase
217080_s_at	HOMER2	D	0.0072		NM_004839	homer homolog 2 (Drosophila)
202589_at	TYMS	D	0.0072		NM_001071	thymidylate synthetase
209377_s_at	HMGN3	D	0.0083		NM_138730	high mobility group nucleosomal binding domain 3
203509_at	SORL1	D	0.0083		NM_003105	sortilin-related receptor, L(DLR class) A repeats-containing
217388_s_at	KYNU	D	0.0094		NM_003937	kynureninase (L-kynurenine hydrolase)
209795_at	CD69	D	0.0096		NM_001781	CD69 antigen (p60, early T-cell activation antigen)
207124_s_at	GNB5	D	0.0104		NM_016194	guanine nucleotide binding protein (G protein), beta 5
201162_at	IGFBP7	D	0.0104		NM_001553	insulin-like growth factor binding protein 7
218741_at	C22orf18	D	0.0108		NM_024053	chromosome 22 open reading frame 18
201222_s_at	RAD23B	D	0.0108		NM_002874	RAD23 homolog B (S. cerevisiae)
218872_at	TSC	D	0.0108		NM_017899	hypothetical protein FLJ20607
202338_at	TK1	D	0.0108		NM_003258	thymidine kinase 1, soluble
201897_s_at	CKS1B	D	0.0108		NM_001826	CDC28 protein kinase regulatory subunit 1B
204118_at	CD48	D	0.0114		NM_001778	CD48 antigen (B-cell membrane protein)
213106_at	ATP8A1	D	0.0116		NM_006095	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1
213947_s_at	NUP210	D	0.0120		NM_024923	nucleoporin 210
209478_at	STRA13	D	0.0121		NM_144998	stimulated by retinoic acid 13
203554_x_at	PTTG1	D	0.0122		NM_004219	pituitary tumor-transforming 1
202870_s_at	CDC20	D	0.0127		NM_005373	CDC20 cell division cycle 20 homolog (S. cerevisiae)
213170_at	GPX7	D	0.0130		NM_015696	glutathione peroxidase 7
219383_at	FLJ14213	D	0.0135		NM_024841	hypothetical protein FLJ14213
210755_at	HGF	D	0.0135		NM_000601	hepatocyte growth factor (hepapoietin A; scatter factor)
202201_at	BLVRB	D	0.0137		NM_000713	biliverdin reductase B (flavin reductase (NADPH))
211675_s_at	HIC	D	0.0137		NM_199072	I-mfa domain-containing protein
205984_at	CRHBP	D	0.0137		NM_001882	corticotropin releasing hormone binding protein
207425_s_at	MSF	D	0.0137		NM_006640	MLL septin-like fusion
203975_s_at	CHAF1A	D	0.0139		NM_005483	chromatin assembly factor 1, subunit A (p150)
205657_at	HAAO	D	0.0146		NM_012205	3-hydroxyanthranilate 3,4-dioxygenase
205837_s_at	GYPA	D	0.0149		NM_002099	glycophorin A (includes MN blood group)
204906_at	RPS6KA2	D	0.0150		NM_021135	ribosomal protein S6 kinase, 90kDa, polypeptide 2
218825_at	EGFL7	D	0.0161		NM_201446	EGF-like-domain, multiple 7
219049_at	ChGn	D	0.0161		NM_018371	chondroitin beta1,4 N-acetylgalactosaminyltransferase
200665_s_at	SPARC	D	0.0167		NM_003118	secreted protein, acidic, cysteine-rich (osteonectin)
219155_at	PITPNC1	D	0.0171		NM_181671	phosphatidylinositol transfer protein, cytoplasmic 1
204826_at	CCNF	D	0.0174		NM_001761	cyclin F
204165_at	WASF1	D	0.0174		NM_003931	WAS protein family, member 1
201061_s_at	STOM	D	0.0174		NM_004099	stomatin
202107_s_at	MCM2	D	0.0174		NM_004526	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
212560_at	SORL1	D	0.0174		NM_003105	sortilin-related receptor, L(DLR class) A repeats-containing
210613_s_at	SYNGR1	D	0.0174		NM_004711	synaptogyrin 1
202705_at	CCNB2	D	0.0174		NM_004701	cyclin B2
202947_s_at	GYPC	D	0.0174		NM_016815	glycophorin C (Gerbich blood group)
204603_at	EXO1	D	0.0174		NM_130398	exonuclease 1
205760_s_at	OGG1	D	0.0174		NM_016826	8-oxoguanine DNA glycosylase
211519_s_at	KIF2C	D	0.0174		NM_006845	kinesin family member 2C
220811_at	PRG3	D	0.0184		NM_006093	proteoglycan 3
209628_at	NXT2	D	0.0188		NM_018698	nuclear transport factor 2-like export factor 2
202564_x_at	SNX15	D	0.0192		NM_147777	sorting nexin 15
212570_at	KIAA0830	D	0.0193			KIAA0830 protein
210663_s_at	KYNU	D	0.0195		NM_003937	kynureninase (L-kynurenine hydrolase)
206233_at	B4GALT6	D	0.0197		NM_004775	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6
219594_at	NINJ2	D	0.0197		NM_016533	ninjurin 2
218376_s_at	NICAL	D	0.0221		NM_022765	NEDD9 interacting protein with calponin homology and LIM domains
222036_s_at		D	0.0227			MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
205330_at	MN1	D	0.0227		NM_002430	meningioma (disrupted in balanced translocation) 1
202954_at	UBE2C	D	0.0231		NM_181801	ubiquitin-conjugating enzyme E2C
212330_at	TFDP1	D	0.0231		NM_007111	transcription factor Dp-1
219493_at	SHCBP1	D	0.0235		NM_024745	likely ortholog of mouse Shc SH2-domain binding protein 1
205909_at	POLE2	D	0.0237		NM_002692	polymerase (DNA directed), epsilon 2 (p59 subunit)
204316_at	RGS10	D	0.0239		NM_002925	regulator of G-protein signalling 10
209709_s_at	HMMR	D	0.0239		NM_012485	hyaluronan-mediated motility receptor (RHAMM)
202024_at	ASNA1	D	0.0243		NM_004317	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
218899_s_at	BAALC	D	0.0243		NM_024812	brain and acute leukemia, cytoplasmic
202746_at	ITM2A	D	0.0245			Integral membrane protein 2A (E25 protein).
213854_at	SYNGR1	D	0.0263		NM_004711	synaptogyrin 1
201315_x_at	IFITM2	D	0.0263		NM_006435	interferon induced transmembrane protein 2 (1-8D)
205929_at	GPA33	D	0.0265		NM_005814	glycoprotein A33 (transmembrane)
210046_s_at	IDH2	D	0.0266		NM_002168	isocitrate dehydrogenase 2 (NADP+), mitochondrial
206809_s_at		D	0.0275			heterogeneous nuclear ribonucleoprotein A3
220651_s_at	MCM10	D	0.0275		NM_182751	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)
209610_s_at		D	0.0275		NM_003038	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
203764_at	DLG7	D	0.0280		NM_014750	discs, large homolog 7 (Drosophila)
222026_at		D	0.0285		NM_006743	Homo sapiens transcribed sequence hypothetical protein FLJ20489 
217838_s_at	EVL	D	0.0285		NM_016337	Enah/Vasp-like
204709_s_at	KIF23	D	0.0285		NM_138555	kinesin family member 23
203722_at	ALDH4A1	D	0.0293		NM_170726	aldehyde dehydrogenase 4 family, member A1
202580_x_at	FOXM1	D	0.0293		NM_021953	forkhead box M1
213797_at	cig5	D	0.0296		NM_080657	viperin
202478_at	TRB2	D	0.0296		NM_021643	tribbles homolog 2
204670_x_at	HLA-DRB3	D	0.0317		NM_002125	major histocompatibility complex, class II, DR beta 3
207667_s_at	MAP2K3	D	0.0319		NM_145110	mitogen-activated protein kinase kinase 3
221480_at	HNRPD	D	0.0325		NM_031370	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
206857_s_at	FKBP1B	D	0.0327		NM_054033	FK506 binding protein 1B, 12.6 kDa
216026_s_at	POLE	D	0.0327		NM_006231	polymerase (DNA directed), epsilon
205394_at	CHEK1	D	0.0332		NM_001274	CHK1 checkpoint homolog (S. pombe)
212573_at	KIAA0830	D	0.0334			KIAA0830 protein
203967_at	CDC6	D	0.0334		NM_001254	CDC6 cell division cycle 6 homolog (S. cerevisiae)
206761_at	CD96	D	0.0339		NM_198196	CD96 antigen
205354_at	GAMT	D	0.0340		NM_000156	guanidinoacetate N-methyltransferase
200696_s_at	GSN	D	0.0340		NM_198252	gelsolin (amyloidosis, Finnish type)
208956_x_at	DUT	D	0.0342		NM_001948	dUTP pyrophosphatase
202283_at	SERPINF1	D	0.0343		NM_002615	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
210512_s_at	VEGF	D	0.0345		NM_003376	vascular endothelial growth factor
209735_at	ABCG2	D	0.0348		NM_004827	ATP-binding cassette, sub-family G (WHITE), member 2
209318_x_at	PLAGL1	D	0.0350		NM_006718	pleiomorphic adenoma gene-like 1
204417_at	GALC	D	0.0350		NM_000153	galactosylceramidase (Krabbe disease)
210429_at	RHD	D	0.0350		NM_138618	Rhesus blood group, D antigen
213241_at	PLXNC1	D	0.0356		NM_005761	plexin C1
204231_s_at	FAAH	D	0.0361		NM_001441	fatty acid amide hydrolase
217118_s_at	KIAA0930	D	0.0367			KIAA0930 protein
212023_s_at	MKI67	D	0.0379		NM_002417	antigen identified by monoclonal antibody Ki-67
213537_at	HLA-DPA1	D	0.0383		NM_033554	major histocompatibility complex, class II, DP alpha 1
218664_at	CGI-63	D	0.0390		NM_016011	nuclear receptor binding factor 1
218986_s_at	FLJ20035	D	0.0392		NM_017631	hypothetical protein FLJ20035
205659_at	HDAC9	D	0.0392		NM_178425	histone deacetylase 9
203362_s_at	MAD2L1	D	0.0392		NM_002358	MAD2 mitotic arrest deficient-like 1 (yeast)
203270_at	DTYMK	D	0.0392		NM_012145	deoxythymidylate kinase (thymidylate kinase)
202747_s_at	ITM2A	D	0.0392		NM_004867	integral membrane protein 2A
216628_at		D	0.0392			Homo sapiens mRNA; cDNA DKFZp586A0617 (from clone DKFZp586A0617)
211611_s_at	CREBL1	D	0.0394		NM_004381	cAMP responsive element binding protein-like 1
202609_at	EPS8	D	0.0399		NM_004447	epidermal growth factor receptor pathway substrate 8
204116_at	IL2RG	D	0.0399		NM_000206	interleukin 2 receptor, gamma (severe combined immunodeficiency)
201764_at	MGC5576	D	0.0418		NM_024056	hypothetical protein MGC5576
219648_at	FLJ10116	D	0.0420		NM_018000	hypothetical protein FLJ10116
205673_s_at	ASB9	D	0.0420		NM_024087	ankyrin repeat and SOCS box-containing 9
220059_at	BRDG1	D	0.0423		NM_012108	BCR downstream signaling 1
207087_x_at	ANK1	D	0.0423		NM_020479	ankyrin 1, erythrocytic
211372_s_at	IL1R2	D	0.0426		NM_004633	interleukin 1 receptor, type II
214710_s_at	CCNB1	D	0.0427		NM_031966	cyclin B1
202876_s_at	PBX2	D	0.0427		NM_002586	pre-B-cell leukemia transcription factor 2
209312_x_at	HLA-DRB3	D	0.0427		NM_002125	major histocompatibility complex, class II, DR beta 3
209714_s_at	CDKN3	D	0.0427		NM_005192	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
214022_s_at	IFITM1	D	0.0430		NM_003641	interferon induced transmembrane protein 1 (9-27)
212552_at		D	0.0431		NM_002149	hippocalcin-like 1
211569_s_at	HADHSC	D	0.0433		NM_005327	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain
209680_s_at	KIFC1	D	0.0434		NM_002263	kinesin family member C1
203422_at	POLD1	D	0.0436		NM_002691	polymerase (DNA directed), delta 1, catalytic subunit 125kDa
203418_at	CCNA2	D	0.0444		NM_001237	cyclin A2
205672_at	XPA	D	0.0445		NM_000380	xeroderma pigmentosum, complementation group A
210052_s_at	TPX2	D	0.0446		NM_012112	TPX2, microtubule-associated protein homolog (Xenopus laevis)
205538_at	CORO2A	D	0.0446		NM_052820	coronin, actin binding protein, 2A
201060_x_at		D	0.0448		NM_004099	stomatin
221321_s_at	KCNIP2	D	0.0455		NM_173194	Kv channel interacting protein 2
211552_s_at	ALDH4A1	D	0.0470		NM_170726	aldehyde dehydrogenase 4 family, member A1
218355_at	KIF4A	D	0.0471		NM_012310	kinesin family member 4A
202309_at	MTHFD1	D	0.0471		NM_005956	methylenetetrahydrofolate dehydrogenase (NADP+ dependent)
205352_at	SERPINI1	D	0.0471		NM_005025	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1
208306_x_at	HLA-DRB3	D	0.0471		NM_002125	major histocompatibility complex, class II, DR beta 3
219686_at	HSA250839	D	0.0477		NM_018401	gene for serine/threonine protein kinase
202975_s_at	RHOBTB3	D	0.0484		NM_014899	Rho-related BTB domain containing 3
214572_s_at	INSL3	D	0.0484		NM_005543	insulin-like 3 (Leydig cell)
217478_s_at	HLA-DMA	D	0.0484			
216060_s_at	DAAM1	D	0.0485		NM_014992	dishevelled associated activator of morphogenesis 1
206009_at	ITGA9	D	0.0485		NM_002207	integrin, alpha 9
202783_at	NNT	D	0.0485		NM_012343	nicotinamide nucleotide transhydrogenase
205389_s_at	ANK1	D	0.0489		NM_020479	ankyrin 1, erythrocytic
207492_at	NGLY1	D	0.0489		NM_018297	N-glycanase 1
211810_s_at	GALC	D	0.0493		NM_000153	galactosylceramidase (Krabbe disease)
212949_at	BRRN1	D	0.0497		NM_015341	barren homolog (Drosophila)
202124_s_at		D	0.0499		NM_015049	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3
202534_x_at	DHFR	D	0.0499		NM_000791	dihydrofolate reductase
204675_at	SRD5A1	D	0.0499		NM_001047	steroid-5-alpha-reductase, alpha polypeptide 1
210982_s_at	HLA-DRA	D	0.0499		NM_019111	major histocompatibility complex, class II, DR alpha
						
