Accession No.	Fold change W vs H	Fold change J1 vs 210-58	Fold change J1 vs 226-47	Symbol	Chromosome	Gene description	Gene Function
M99167	3.0	6.2	2.0	Hnrpa1	15	Heterogeneous nuclear ribonucleoprotein A1	Transcription/replication
AW107922	2.8	3.7	2.2	Sox11	12	SRY box-containing gene 11	Transcription/replication
AI849135	2.5	2.5	2.5	Foxo3a	10	Forkhead box 03a	Transcription/replication
Y07836	2.5	2.3	2.8	Bhlhb2	6	Basic-helix-loop-helix domain containing, class B2	Transcription/replication
X74760	2.5	2.3	2.7	Notch3	17	Notch gene homolog 3, (Drosophila)	Transcription/replication
AI447783	2.1	2.4	1.9	Helb	10	Helicase(DNA) B	Transcription/replication
X94694	2.1	2.7	1.7	Tcfap2c	2	Transcription factor AP-2, gamma	Transcription/replication
AF077861	2.1	2.2	2.1	Id2	12	Inhibitor of DNA binding 2	Transcription/replication
AI605405	2.0	1.9	2.2	Phf13	4	PHD finger protein 13	Transcription/replication
D78382	2.0	1.7	2.6	Tob1	11	Transducer of ErbB2.1	Transcription/replication
AV356315	4.1	5.5	3.3	Lman1	18	Lectin, mannose-binding, 1	Transport
AV298789	2.9	2.6	3.2	Ranbp5	14	Ran binding protein 5	Transport
D88315	2.2	2.2	2.2	Hiat1	3	Hippocampus abundant gene transcript 1	Transport
AI845617	3.5	3.5	3.4	2610019A05Rik	11	Hypothetical protein	Unknown
AI852287	3.2	3.3	3.2	Ankrd28	14	Ankyrin repeat domain 28	Unknown
AI836771	3.0	2.8	3.3	2900008M13Rik	15	Unknown EST	Unknown
AA684456	2.9	2.1	4.5	2310015N07Rik	7	Hypothetical protein	Unknown
AI848435	2.8	1.9	4.8	C78339	13	Unknown EST	Unknown
AW123157	2.7	2.5	3.1	1700051E09Rik	11	Hypothetical protein	Unknown
AW124843	2.6	3.1	2.3	C85108	4	Unknown EST	Unknown
AA710439	2.6	2.0	3.6	6230421P05Rik	16	Unknown EST	Unknown
AI853444	2.5	1.8	3.9	2610042L04Rik	14	Hypothetical protein	Unknown
AI853444	2.2	2.1	2.3	2610042L04Rik	14	Hypothetical protein	Unknown
AW121353	2.1	1.6	3.1	Lrrc8	2	Luecine rich repeat containing 8	Unknown
AI037493	2.1	1.5	3.4	Tbc1d15	10	TBC1 domain family, member 15	Unknown
AI461803	2.1	2.2	1.9	1300006C19Rik	9	Hypothetical protein	Unknown
AW049969	2.0	2.0	2.1	C330005L02Rik	9	Hypothetical protein	Unknown
AI847483	2.0	2.0	2.0	Tmem41b	7	Transmembrane protein 41B	Unknown
