CNIO ID	Clone ID	UniGene	GenBank	Gene Name	Description
hAA5447	269930	Hs.31323	N27516	IKBKAP	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein
hAC3867	309563	Hs.413513	N94412	IKBKB	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
hAA8457	364448	Hs.321045	AA022666	IKBKE	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
hAA8281	757440	Hs.504035	AA437226	IL10RA	Interleukin 10 receptor, alpha
hAA2295	842860	Hs.418291	AA486393	IL10RB	Interleukin 10 receptor, beta
hAC7840	202498	Hs.418291	H53121	IL10RB	Interleukin 10 receptor, beta
hAA8280	289606	Hs.528402	N59270	IL15	Interleukin 15
hAA1618	488019	Hs.12503	AA053285	IL15RA	Interleukin 15 receptor, alpha
hAB6848	1486083	Hs.1722	AA936768	IL1A	Interleukin 1, alpha
hAA8282	491763	Hs.126256	AA150507	IL1B	Interleukin 1, beta
hAB0293	324655	Hs.126256	W47101	IL1B	Interleukin 1, beta
hAE0259	2405500	Hs.211238	AI819230	IL1F9	Interleukin 1 family, member 9
hAD4926	1682704	Hs.207224	AI167887	IL1F5	Interleukin 1 family, member 5 (delta)
hAC9024	146671	Hs.82112	R80179	IL1R1	Interleukin 1 receptor, type I
hAA0316	233583	Hs.25333	H78484	IL1R2	Interleukin 1 receptor, type II
hAA1411	501994	Hs.66	AA128153	IL1RL1	Interleukin 1 receptor-like 1
hAA1692	700699	Hs.446686	AA285073	IL1RL1LG	Interleukin 1 receptor-like 1 ligand
hAA1619	84295	Hs.81134	T72877	IL1RN	Interleukin 1 receptor antagonist
hAA1617	489079	Hs.75596	AA057156	IL2RB	Interleukin 2 receptor, beta
hAA0294	244355	Hs.84	N75745	IL2RG	Interleukin 2 receptor, gamma (severe combined immunodeficiency)
hAA1615	714453	Hs.75545	AA292025	IL4R	Interleukin 4 receptor
hAA8745	379200	Hs.182018	AA683550	IRAK1	Interleukin-1 receptor-associated kinase 1
hAE0254	1466521	Hs.268552	AA885124	IRAK3	Interleukin-1 receptor-associated kinase 3
hAA1621	740476	Hs.80645	AA478043	IRF1	Interferon regulatory factor 1
hAA0296	727551	Hs.374097	AA393214	IRF2	Interferon regulatory factor 2
hAA5369	321739	Hs.374097	W33021	IRF2	Interferon regulatory factor 2
hAA1000	809353		AA455767	IRF3	Interferon regulatory factor 3
hAB6943	1358229	Hs.127686	AA825491	IRF4	Interferon regulatory factor 4
hAA8283	260035	Hs.334450	N30372	IRF5	Interferon regulatory factor 5
hAC5778	1636786	Hs.355827	AI017342	IRF6	Interferon regulatory factor 6
hAA5230	809456	Hs.166120	AA443090	IRF7	Interferon regulatory factor 7
hAB6983	1159963	Hs.166120	AA877255	IRF7	Interferon regulatory factor 7
hAA2424	358531	Hs.78465	W96155	JUN	V-jun sarcoma virus 17 oncogene homolog (avian)
hAA0292	122428	Hs.515157	T99236	JUNB	Jun B proto-oncogene
hAA1613	767784	Hs.2780	AA418670	JUND	Jun D proto-oncogene
hAA5021	285226	Hs.2780	N66278	JUND	Jun D proto-oncogene
hAC8420	1946534	Hs.376208	AI351740	LTB	Lymphotoxin beta (TNF superfamily, member 3)
hAB0365	342349	Hs.440315	W61116	MAP3K14	Mitogen-activated protein kinase kinase kinase 14
hAA0253	22040	Hs.151738	T72581	MMP9	Matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
hAC7728	773266	Hs.151738	AA425227	MMP9	Matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
hAD1347	1909775	Hs.349227	AI343006	MRAS	Muscle RAS oncogene homolog
hAA0018	812965	Hs.202453	AA464600	MYC	V-myc myelocytomatosis viral oncogene homolog (avian)
hAA5034	417226	Hs.202453	W87741	MYC	V-myc myelocytomatosis viral oncogene homolog (avian)
hAA0237	41565	Hs.25960	R66447	MYCN	V-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
hAA8609	432072	Hs.96149	AA679278	NFATC1	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
hAA0349	727192	Hs.172674	AA293819	NFATC3	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3
hAA1547	789357	Hs.431926	AA451716	NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
hAC0926	1562645	Hs.73090	AA952897	NFKB2	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
hAA0270	340734	Hs.81328	W55872	NFKBIA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
hAB6940	1350468	Hs.9731	AA806371	NFKBIB	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta
hAC0938	1573311	Hs.458276	AA953975	NFKBIE	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon
hAC8476	2013642	Hs.2764	AI359441	NFKBIL1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
hAD1733	2272330	Hs.149466	AI681004	NFRKB	Nuclear factor related to kappa B binding protein
hAE0327	704548	Hs.44313	BX111941	REL	V-rel reticuloendotheliosis viral oncogene homolog (avian)
hAA0072	771220	Hs.132594	AA443546	RELA	V-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)
hAB7251	687054	Hs.307905	AA258001	RELB	V-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)
hAB2851	592125	Hs.390758	AA150538	RIPK1	Receptor (TNFRSF)-interacting serine-threonine kinase 1
hAB5804	769019	Hs.390758	AA426324	RIPK1	Receptor (TNFRSF)-interacting serine-threonine kinase 1
hAC5961	1525461	Hs.103755	AA913804	RIPK2	Receptor-interacting serine-threonine kinase 2
hAC6775	1609372	Hs.268551	AI000839	RIPK3	Receptor-interacting serine-threonine kinase 3
hAA0104	186132	Hs.89546	H39560	SELE	Selectin E (endothelial adhesion molecule 1)
hAA0103	149910	Hs.82848	H00756	SELL	Selectin L (lymphocyte adhesion molecule 1)
hAC8221	1609625	Hs.423077	AA991507	SELPLG	Selectin P ligand
hAA1429	840636		AA487973	SRF	Serum response factor (c-fos serum response element-binding transcription factor)
hAD1387	2011110	Hs.444086	AI361153	SRF	Serum response factor (c-fos serum response element-binding transcription factor)
hAB9983	745218	Hs.432466	AA626869	TBK1	TANK-binding kinase 1
hAC1098	446927	Hs.241570	AA699697	TNF	Tumor necrosis factor (TNF superfamily, member 2)
hAD1451	1851134	Hs.241570	AI242177	TNF	Tumor necrosis factor (TNF superfamily, member 2)
hAA0823	813184	Hs.76090	AA456314	TNFAIP1	Tumor necrosis factor, alpha-induced protein 1 (endothelial)
hAA1285	810444	Hs.101382	AA457114	TNFAIP2	Tumor necrosis factor, alpha-induced protein 2
hAC8168	321816	Hs.101382	W33183	TNFAIP2	Tumor necrosis factor, alpha-induced protein 2
hAA0202	770670	Hs.211600	AA476272	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3
hAC9242	141806	Hs.211600	R70479	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3
hAA0063	357031	Hs.407546	W93163	TNFAIP6	Tumor necrosis factor, alpha-induced protein 6
hAA2440	788185	Hs.521456	AA453410	TNFRSF10B	Tumor necrosis factor receptor superfamily, member 10b
hAE0188	346544	Hs.204044	BX105126	TNFRSF11A	Tumor necrosis factor receptor superfamily, member 11a, activator of NFKB
hAE0311	1091364	Hs.81791	AA599841	TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)
hAA0650	345586	Hs.299558	W76376	TNFRSF25	Tumor necrosis factor receptor superfamily, member 25
hAA5004	175727	Hs.299558	H41522	TNFRSF25	Tumor necrosis factor receptor superfamily, member 25
hAC7641	298916	Hs.299558	N71141	TNFRSF25	Tumor necrosis factor receptor superfamily, member 25
hAC1070	1593897	Hs.279899	AA987435	TNFRSF14	Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)
hAC8106	1603393	Hs.2556	AA987627	TNFRSF17	Tumor necrosis factor receptor superfamily, member 17
hAA8076	491403	Hs.256278	AA150416	TNFRSF1B	Tumor necrosis factor receptor superfamily, member 1B
hAC8693	1534888	Hs.159651	AA918818	TNFRSF21	Tumor necrosis factor receptor superfamily, member 21
hAE0347	1575225	Hs.129780	AA970291	TNFRSF4	Tumor necrosis factor receptor superfamily, member 4
hAA1260	261519	Hs.504816	H98636	TNFRSF5	Tumor necrosis factor receptor superfamily, member 5
hAC9687	1492486	Hs.504816	AA886208	TNFRSF5	Tumor necrosis factor receptor superfamily, member 5
hAA9144	714213	Hs.82359	AA293571	TNFRSF6	Tumor necrosis factor receptor superfamily, member 6
hAC7705	34637	Hs.355307	R45026	TNFRSF7	Tumor necrosis factor receptor superfamily, member 7
hAA7310	505538	Hs.1314	AA147594	TNFRSF8	Tumor necrosis factor receptor superfamily, member 8
hAC8413	1941885	Hs.1314	AI203419	TNFRSF8	Tumor necrosis factor receptor superfamily, member 8
hAA2428	203132	Hs.387871	H54629	TNFSF10	Tumor necrosis factor (ligand) superfamily, member 10
hAB7359	825287	Hs.333791	AA504211	TNFSF11	Tumor necrosis factor (ligand) superfamily, member 11
hAB1610	271670	Hs.54673	N35070	TNFSF13	Tumor necrosis factor (ligand) superfamily, member 12
hAA6877	771240	Hs.54673	AA443577	TNFSF13	Tumor necrosis factor (ligand) superfamily, member 12
hAA7777	376475	Hs.54673	AA041396	TNFSF13	Tumor necrosis factor (ligand) superfamily, member 12
hAB2775	593690	Hs.368959	AA166695	TNFSF13B	Tumor necrosis factor (ligand) superfamily, member 13b
hAE0645	593690	Hs.368959	AA166695	TNFSF13B	Tumor necrosis factor (ligand) superfamily, member 13b
hAE0312	35326	Hs.181097	R25095	TNFSF4	Tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa)
hAC8384	1916687	Hs.501497	AI347622	TNFSF7	Tumor necrosis factor (ligand) superfamily, member 7
hAB7243	1473788	Hs.89862	AA916906	TRADD	TNFRSF1A-associated via death domain
hAA0798	155583	Hs.223474	R71725	TRAF1	TNF receptor-associated factor 1
hAC6215	1555836	Hs.223474	AA977631	TRAF1	TNF receptor-associated factor 1
hAA1640	77391	Hs.437575	T55353	TRAF2	TNF receptor-associated factor 2
hAC7854	770804	Hs.437575	AA427617	TRAF2	TNF receptor-associated factor 2
hAA2036	825399	Hs.297660	AA504259	TRAF3	TNF receptor-associated factor 3
hAA3865	193381	Hs.297660	H48096	TRAF3	TNF receptor-associated factor 3
hAA2201	898312	Hs.8375	AA598826	TRAF4	TNF receptor-associated factor 4
hAA3996	563621	Hs.385685	AA102634	TRAF5	TNF receptor-associated factor 5
hAA0732	813166	Hs.444172	AA456692	TRAF6	TNF receptor-associated factor 6
hAA0015	44477	Hs.109225	H07071	VCAM1	Vascular cell adhesion molecule 1
hAA1355	49164	Hs.109225	H16637	VCAM1	Vascular cell adhesion molecule 1
