Description of gene	GenBank No.	Fold expression in NPM-ALK+ ALCL	Fold expression in TPM3-ALK+ALCL	Description of function	Level of Expression
Complement component 2	AY349611	2.4	2.4	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Cystatin C (amyloid angiopathy and cerebral hemorrhage)	NM_000099	1.9	3.2	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Fc fragment of IgG, low affinity IIIa, receptor for (CD16)	NM_000569	14.8	9	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Hermansky-Pudlak syndrome	NM_182638	2.3	2	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Lysophospholipase-like	U67963	1.9	2	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
Major histocompatibility complex, class II, DR beta 1	M33600	1.7	2.2	Miscellaneous	Genes up-regulated >1.5-fold in both NPM-ALK+ and TPM3-ALK+ ALCLs
CD59 antigen p18-20	BC033226	4.4		Cell growth and apoptosis	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Interleukin 1 receptor, type II	BC027733	16		Cell growth and apoptosis	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
LIV-1 protein, estrogen regulated	U41060	1.95		Cell growth and apoptosis	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Ornithine decarboxylase 1	NM_002539	2.2		Cell growth and apoptosis	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Pre-B-cell colony-enhancing factor	U02020	4.6		Cell growth and apoptosis	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Prolactin	BC015850	6		Cell growth and apoptosis	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Carcinoembryonic antigen-related cell adhesion molecule 7	NM_006890	2.2		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Matrix metalloproteinase 1	NM_002421	4.5		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Miscellaneous	NM_000483	2.3		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Apolipoprotein C-II	BC063118	9.6		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Deiodinase, iodothyronine, type II	NM_000170	2.1		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Glycine dehydrogenase	BC000033	3.3		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Glycogenin	AF038203	3		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Homosapiensclone 23596 mRNA sequence	HSM800554	4.8		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
HomosapiensmRNA; cDNA DKFZp564E1616	U22970	2.8		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Interferon, alpha-inducible protein (clone IFI-6-16)	NM_014282	2.6		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Intracellular antigen detected by monoclonal antibody Ki-1	D38549	2.2		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
KIAA0068 protein	NM_014673	2.3		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
KIAA0103 gene product	BC000234	3.3		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Nicotinamide N-methyltransferase	M37721	2.6		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Peptidylglycine alpha-amidating monooxygenase	K03021	2.6		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Plasminogen activator, tissue	NM_000313	2.7		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Protein S (alpha)	BC009377	2.3		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
UDP-N-acteylglucosamine pyrophosphorylase 1	NM_000483	2.3		Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in NPM-ALK+ ALCL
Cyclin D1	NM_053056		2.4	Cell growth and apoptosis	Genes up-regulated ?1.5-fold in TPM3-ALK+ ALCL
Neuroblastoma candidate region; suppression of tumorigenicity	NM_182744		2.2	Cell growth and apoptosis	Genes up-regulated ?1.5-fold in TPM3-ALK+ ALCL
KIAA0380; RhoA-specific guanine nucleotide exchange factor	NM_014784		2	Cytoskeletal organization, cell adhesion, and migration	Genes up-regulated ?1.5-fold in TPM3-ALK+ ALCL
Selectin P ligand	NM_003006		2.1	Lymphocyte activation, differentiation, and homing	Genes up-regulated ?1.5-fold in TPM3-ALK+ ALCL
Aquaporin-3	NM_004925		2	Miscellaneous	Genes up-regulated ?1.5-fold in TPM3-ALK+ ALCL
Granzyme A	NM_006144		4.3	Miscellaneous	Genes up-regulated ?1.5-fold in TPM3-ALK+ ALCL
Presenilin 2 (Alzheimer’s disease 4)	NM_000447		2	Miscellaneous	Genes up-regulated ?1.5-fold in TPM3-ALK+ ALCL
