probe set	Entrez Gene U133A_2.na21	Gene Symbol	Gene Title	Whitfield cell cycle	GO cell cycle
204932_at	4982	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	FALSE	FALSE
204933_s_at	4982	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	FALSE	FALSE
204985_s_at	79090	TRAPPC6A	trafficking protein particle complex 6A	FALSE	FALSE
205022_s_at	1112	CHES1	checkpoint suppressor 1	FALSE	FALSE
205027_s_at	1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	FALSE	FALSE
205052_at	549	AUH	AU RNA binding protein/enoyl-Coenzyme A hydratase	FALSE	FALSE
205062_x_at	5926	ARID4A	AT rich interactive domain 4A (RBP1-like)	FALSE	FALSE
205090_s_at	51172	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	FALSE	FALSE
205110_s_at	2258	FGF13	fibroblast growth factor 13	FALSE	FALSE
205141_at	283 /// 6038	ANG /// RNASE4	angiogenin, ribonuclease, RNase A family, 5 /// ribonuclease, RNase A family, 4	FALSE	FALSE
205158_at	6038	RNASE4	ribonuclease, RNase A family, 4	FALSE	FALSE
205160_at	8800	PEX11A	Peroxisomal biogenesis factor 11A	FALSE	FALSE
205161_s_at	8800	PEX11A	peroxisomal biogenesis factor 11A	FALSE	FALSE
205198_s_at	---	---	---	FALSE	FALSE
205222_at	1962	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	FALSE	FALSE
205253_at	5087	PBX1	pre-B-cell leukemia transcription factor 1	FALSE	FALSE
205303_at	3764	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	FALSE	FALSE
205304_s_at	3764	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	FALSE	FALSE
205355_at	36	ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain	FALSE	FALSE
205412_at	38	ACAT1	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	FALSE	FALSE
205415_s_at	4287	ATXN3	ataxin 3	FALSE	FALSE
205416_s_at	4287	ATXN3	ataxin 3	FALSE	FALSE
205440_s_at	4886	NPY1R	neuropeptide Y receptor Y1	FALSE	FALSE
205511_at	55056	FLJ10038	hypothetical protein FLJ10038	FALSE	FALSE
205540_s_at	10325	RRAGB	Ras-related GTP binding B	FALSE	FALSE
205645_at	9185	REPS2	RALBP1 associated Eps domain containing 2	FALSE	FALSE
205651_x_at	11069	RAPGEF4	Rap guanine nucleotide exchange factor (GEF) 4	FALSE	FALSE
205694_at	7306	TYRP1	tyrosinase-related protein 1	FALSE	FALSE
205700_at	8630	HSD17B6	hydroxysteroid (17-beta) dehydrogenase 6	FALSE	FALSE
205719_s_at	5053	PAH	phenylalanine hydroxylase	FALSE	FALSE
205726_at	1730	DIAPH2	diaphanous homolog 2 (Drosophila)	FALSE	FALSE
205776_at	2330	FMO5	flavin containing monooxygenase 5	FALSE	FALSE
205780_at	638	BIK	BCL2-interacting killer (apoptosis-inducing)	FALSE	FALSE
205934_at	5334	PLCL1	phospholipase C-like 1	FALSE	FALSE
206081_at	9187	SLC24A1	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	FALSE	FALSE
206110_at	8357	HIST1H3H	histone 1, H3h	FALSE	FALSE
206197_at	8382	NME5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	FALSE	FALSE
206204_at	2888	GRB14	growth factor receptor-bound protein 14	FALSE	FALSE
206385_s_at	288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	FALSE	FALSE
206457_s_at	1733	DIO1	deiodinase, iodothyronine, type I	FALSE	FALSE
207170_s_at	25875	LETMD1	LETM1 domain containing 1	FALSE	FALSE
207236_at	25850	ZNF345	zinc finger protein 345	FALSE	FALSE
207307_at	3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	FALSE	FALSE
207400_at	4889	NPY5R	neuropeptide Y receptor Y5	FALSE	FALSE
207414_s_at	5046	PCSK6	proprotein convertase subtilisin/kexin type 6	FALSE	FALSE
207430_s_at	4477	MSMB	microseminoprotein, beta-	FALSE	FALSE
207655_s_at	29760	BLNK	B-cell linker	FALSE	FALSE
207664_at	2515	ADAM2	ADAM metallopeptidase domain 2 (fertilin beta)	FALSE	FALSE
207761_s_at	25840	METTL7A	methyltransferase like 7A	FALSE	FALSE
207808_s_at	5627	PROS1	protein S (alpha)	FALSE	FALSE
207996_s_at	753	C18orf1	chromosome 18 open reading frame 1	FALSE	FALSE
208063_s_at	10753	CAPN9	calpain 9	FALSE	FALSE
208096_s_at	81578	COL21A1	collagen, type XXI, alpha 1 /// collagen, type XXI, alpha 1	FALSE	FALSE
208158_s_at	114876	OSBPL1A	oxysterol binding protein-like 1A /// oxysterol binding protein-like 1A	FALSE	FALSE
208389_s_at	6506	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	FALSE	FALSE
208671_at	57515	SERINC1	serine incorporator 1	FALSE	FALSE
208682_s_at	10916	MAGED2	melanoma antigen family D, 2	FALSE	FALSE
208741_at	10284	SAP18	Sin3A-associated protein, 18kDa	FALSE	FALSE
208760_at	7329	UBE2I	Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	FALSE	FALSE
208771_s_at	4048	LTA4H	leukotriene A4 hydrolase	FALSE	FALSE
208796_s_at	900	CCNG1	cyclin G1	FALSE	FALSE
208839_s_at	55832	CAND1	cullin-associated and neddylation-dissociated 1	FALSE	FALSE
208933_s_at	---	---	---	FALSE	FALSE
208936_x_at	3964	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	FALSE	FALSE
208951_at	501	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	FALSE	FALSE
209007_s_at	57035	C1orf63	chromosome 1 open reading frame 63	FALSE	FALSE
209019_s_at	65018	PINK1	PTEN induced putative kinase 1	FALSE	FALSE
209034_at	10957	PNRC1	proline-rich nuclear receptor coactivator 1	FALSE	FALSE
209046_s_at	11345	GABARAPL2	GABA(A) receptor-associated protein-like 2	FALSE	FALSE
209102_s_at	26959	HBP1	HMG-box transcription factor 1	FALSE	FALSE
209122_at	123	ADFP	adipose differentiation-related protein	FALSE	FALSE
209184_s_at	8660	IRS2	insulin receptor substrate 2	FALSE	FALSE
209185_s_at	8660	IRS2	insulin receptor substrate 2	FALSE	FALSE
209189_at	2353	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	FALSE	FALSE
209201_x_at	7852	CXCR4	chemokine (C-X-C motif) receptor 4	FALSE	FALSE
209216_at	11152	WDR45	WD repeat domain 45	FALSE	FALSE
209217_s_at	11152	WDR45	WD repeat domain 45	FALSE	FALSE
209271_at	2186	FALZ	fetal Alzheimer antigen	FALSE	FALSE
209276_s_at	2745	GLRX	glutaredoxin (thioltransferase)	FALSE	FALSE
209343_at	80303	EFHD1	EF-hand domain family, member D1	FALSE	FALSE
209357_at	10370	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	FALSE	FALSE
209368_at	2053	EPHX2	epoxide hydrolase 2, cytoplasmic	FALSE	FALSE
209375_at	7508	XPC	xeroderma pigmentosum, complementation group C	FALSE	FALSE
209398_at	3006	HIST1H1C	histone 1, H1c	FALSE	FALSE
209479_at	25901	CCDC28A	coiled-coil domain containing 28A	FALSE	FALSE
209485_s_at	114876	OSBPL1A	oxysterol binding protein-like 1A	FALSE	FALSE
209538_at	7580	ZNF32	zinc finger protein 32	FALSE	FALSE
209682_at	868	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	FALSE	FALSE
209684_at	54453	RIN2	Ras and Rab interactor 2	FALSE	FALSE
209760_at	23240	KIAA0922	KIAA0922	FALSE	FALSE
209762_x_at	3431	SP110	SP110 nuclear body protein	FALSE	FALSE
209845_at	23608	MKRN1	makorin, ring finger protein, 1	FALSE	FALSE
209864_at	23401	FRAT2	frequently rearranged in advanced T-cell lymphomas 2	FALSE	FALSE
209911_x_at	3017	HIST1H2BD	histone 1, H2bd	FALSE	FALSE
209943_at	26235	FBXL4	F-box and leucine-rich repeat protein 4	FALSE	FALSE
209958_s_at	27241	PTHB1	parathyroid hormone-responsive B1	FALSE	FALSE
210001_s_at	8651	SOCS1	suppressor of cytokine signaling 1	FALSE	FALSE
210027_s_at	328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	FALSE	FALSE
210139_s_at	5376	PMP22	peripheral myelin protein 22	FALSE	FALSE
210205_at	8705	B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	FALSE	FALSE
210220_at	2535	FZD2	frizzled homolog 2 (Drosophila)	FALSE	FALSE
210297_s_at	4477	MSMB	microseminoprotein, beta-	FALSE	FALSE
210299_s_at	2273	FHL1	four and a half LIM domains 1	FALSE	FALSE
210374_x_at	5733	PTGER3	prostaglandin E receptor 3 (subtype EP3)	FALSE	FALSE
210375_at	5733	PTGER3	prostaglandin E receptor 3 (subtype EP3)	FALSE	FALSE
210524_x_at	---	---	---	FALSE	FALSE
210774_s_at	8031	NCOA4	nuclear receptor coactivator 4	FALSE	FALSE
210791_s_at	9743	RICS	Rho GTPase-activating protein	FALSE	FALSE
210827_s_at	1999	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	FALSE	FALSE
210831_s_at	5733	PTGER3	prostaglandin E receptor 3 (subtype EP3)	FALSE	FALSE
210832_x_at	5733	PTGER3	prostaglandin E receptor 3 (subtype EP3)	FALSE	FALSE
210849_s_at	27072	VPS41	vacuolar protein sorting 41 (yeast)	FALSE	FALSE
210962_s_at	10142	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	FALSE	FALSE
210988_s_at	58497	PRUNE	prune homolog (Drosophila)	FALSE	FALSE
211068_x_at	253725 /// 653450	FAM21C /// LOC653450	family with sequence similarity 21, member C /// family with sequence similarity 21, member C /// similar to similar to KIAA0592 protein /// similar to similar to KIAA0592 protein	FALSE	FALSE
211284_s_at	2896	GRN	granulin	FALSE	FALSE
211458_s_at	23710 /// 23766	GABARAPL1 /// GABARAPL3	GABA(A) receptor-associated protein like 1 /// GABA(A) receptors associated protein like 3	FALSE	FALSE
211596_s_at	26018	LRIG1	leucine-rich repeats and immunoglobulin-like domains 1 /// leucine-rich repeats and immunoglobulin-like domains 1	FALSE	FALSE
211692_s_at	27113	BBC3	BCL2 binding component 3 /// BCL2 binding component 3	FALSE	FALSE
211732_x_at	3176	HNMT	histamine N-methyltransferase /// histamine N-methyltransferase	FALSE	FALSE
211919_s_at	7852	CXCR4	chemokine (C-X-C motif) receptor 4 /// chemokine (C-X-C motif) receptor 4	FALSE	FALSE
211988_at	6605	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	FALSE	FALSE
212096_s_at	57509	MTUS1	mitochondrial tumor suppressor 1	FALSE	FALSE
212135_s_at	493	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	FALSE	FALSE
212148_at	5087	PBX1	Pre-B-cell leukemia transcription factor 1	FALSE	FALSE
212151_at	5087	PBX1	Pre-B-cell leukemia transcription factor 1	FALSE	FALSE
212195_at	3572	IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	FALSE	FALSE
212230_at	8613	PPAP2B	phosphatidic acid phosphatase type 2B	FALSE	FALSE
212244_at	145781 /// 81488	GRINL1A /// Gcom1	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A /// GRINL1A combined protein	FALSE	FALSE
212259_s_at	57326	PBXIP1	pre-B-cell leukemia transcription factor interacting protein 1	FALSE	FALSE
212265_at	9444	QKI	quaking homolog, KH domain RNA binding (mouse)	FALSE	FALSE
212268_at	1992	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	FALSE	FALSE
212305_s_at	375056	MIA3	melanoma inhibitory activity family, member 3	FALSE	FALSE
212334_at	2799	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	FALSE	FALSE
212335_at	2799	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	FALSE	FALSE
212355_at	23351	KIAA0323	KIAA0323	FALSE	FALSE
212356_at	23351	KIAA0323	KIAA0323	FALSE	FALSE
212370_x_at	387680 /// 55747	FAM21B /// RP11-56A21.1	family with sequence similarity 21, member B /// similar to KIAA0592 protein	FALSE	FALSE
212403_at	89910	UBE3B	ubiquitin protein ligase E3B	FALSE	FALSE
212406_s_at	55251	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	FALSE	FALSE
212444_at	---	---	CDNA clone IMAGE:6025865	FALSE	FALSE
212445_s_at	23327	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	FALSE	FALSE
212450_at	126003 /// 9728	KIAA0256 /// TRAPPC5	KIAA0256 gene product /// trafficking protein particle complex 5	FALSE	FALSE
212530_at	140609	NEK7	NIMA (never in mitosis gene a)-related kinase 7	FALSE	FALSE
212558_at	10252	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)	FALSE	FALSE
212560_at	442871	C11orf32	chromosome 11 open reading frame 32	FALSE	FALSE
212586_at	831	CAST	calpastatin	FALSE	FALSE
212593_s_at	27250	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	FALSE	FALSE
212614_at	84159	ARID5B	AT rich interactive domain 5B (MRF1-like)	FALSE	FALSE
212651_at	9886	RHOBTB1	Rho-related BTB domain containing 1	FALSE	FALSE
212675_s_at	---	---	---	FALSE	FALSE
212689_s_at	55818	JMJD1A	jumonji domain containing 1A	FALSE	FALSE
212741_at	4128	MAOA	monoamine oxidase A	FALSE	FALSE
212757_s_at	818	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	FALSE	FALSE
212867_at	---	---	CDNA clone IMAGE:5314178 /// CDNA clone IMAGE:5314178	FALSE	FALSE
212870_at	283349	RASSF3	Ras association (RalGDS/AF-6) domain family 3	FALSE	FALSE
212899_at	23097	CDC2L6	cell division cycle 2-like 6 (CDK8-like)	FALSE	FALSE
212936_at	83989	C5orf21	chromosome 5 open reading frame 21	FALSE	FALSE
212943_at	9847	KIAA0528	KIAA0528	FALSE	FALSE
212956_at	23158	TBC1D9	TBC1 domain family, member 9 (with GRAM domain)	FALSE	FALSE
212970_at	---	---	Full-length cDNA clone CS0DC015YK09 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)	FALSE	FALSE
212977_at	57007	CMKOR1	chemokine orphan receptor 1	FALSE	FALSE
212985_at	---	---	Full-length cDNA clone CS0DC015YK09 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)	FALSE	FALSE
212989_at	259230	TMEM23	transmembrane protein 23	FALSE	FALSE
212998_x_at	3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 /// major histocompatibility complex, class II, DQ beta 1	FALSE	FALSE
213032_at	4781	NFIB	nuclear factor I/B	FALSE	FALSE
213073_at	23503	ZFYVE26	zinc finger, FYVE domain containing 26	FALSE	FALSE
213083_at	11046	SLC35D2	solute carrier family 35, member D2	FALSE	FALSE
213106_at	---	---	---	FALSE	FALSE
213136_at	5771	PTPN2	protein tyrosine phosphatase, non-receptor type 2	FALSE	FALSE
213142_x_at	54103	LOC54103	hypothetical protein LOC54103	FALSE	FALSE
213245_at	107	ADCY1	adenylate cyclase 1 (brain)	FALSE	FALSE
213258_at	7035	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	FALSE	FALSE
