Cluster	Rank	Signal to Noise value	Signal to Noise value (best of 100%)	Probe ID	GenBank ID	Description
C1	14	1.05	0.65	39109_at	AB024704	chromosome 20 open reading frame 1
C1	15	1.05	0.65	207_at	M86752	stress-induced-phosphoprotein 1 (Hsp70/Hsp90-org.prot.)
C1	16	1.04	0.65	1884_s_at	M15796	proliferating cell nuclear antigen (PCNA)
C1	17	1.03	0.64	34763_at	AF020043	chondroitin sulfate proteoglycan 6 (bamacan)
C1	18	1.03	0.64	572_at	M86699	TTK protein kinase
C1	19	1.02	0.64	40619_at	M91670	ubiquitin carrier protein
C1	20	1.00	0.63	151_s_at	V00599	FK506-binding protein 1A (12kD)
C1	21	1.00	0.63	1803_at	X05360	cell division cycle 2, G1 to S and G2 to M
C1	22	0.99	0.63	1515_at	HG4074-HT4344	Rad2
C1	23	0.98	0.63	34791_at	X52882	t-complex 1
C1	24	0.97	0.63	40690_at	X54942	CDC28 protein kinase 2
C1	25	0.96	0.63	37686_s_at	Y09008	uracil-DNA glycosylase
C2	1	1.46	0.77	40035_at	AB012917	kallikrein 11
C2	2	1.28	0.65	40544_g_at	L08424	achaete-scute complex homolog-like 1
C2	3	1.27	0.59	36606_at	X51405	carboxypeptidase E
C2	4	1.21	0.59	31477_at	L08044	trefoil factor 3 (intestinal)
C2	5	1.19	0.58	36299_at	X02330	calcitonin/calcitonin-related polypeptide
C2	6	1.17	0.57	40649_at	X64810	proprotein convertase subtilisin/kexin type 1
C2	7	1.16	0.57	40543_at	L08424	achaete-scute complex homolog-like 1
C2	8	1.16	0.57	442_at	X15187	tumor rejection antigen (gp96) 1
C2	9	1.11	0.56	37897_s_at	AI985964	trefoil factor 3 (intestinal)
C2	10	1.06	0.56	36300_at	X15943	calcitonin/calcitonin-related polypeptide
C2	11	1.02	0.56	39332_at	AF035316	tubulin, beta polypeptide
C2	12	0.97	0.55	39756_g_at	Z93930	X-box binding protein 1
C2	13	0.96	0.54	39135_at	AB018310	KIAA0767 protein
C2	14	0.95	0.54	34785_at	AB028948	KIAA1025 protein
C2	15	0.92	0.53	37617_at	U90912	KIAA1128 protein
C2	16	0.87	0.53	39755_at	Z93930	X-box binding protein 1
C2	17	0.85	0.53	37928_at	AA621555	nuclear transcription factor Y, beta
C2	18	0.85	0.53	1788_s_at	U48807	dual specificity phosphatase 4
C2	19	0.84	0.53	35995_at	AF067656	ZW10 interactor
C2	20	0.84	0.53	37141_at	U39840	hepatocyte nuclear factor 3, alpha
C2	21	0.83	0.53	40201_at	M76180	dopa decarboxylase
C2	22	0.82	0.52	1823_g_at	HG4677-HT5102	Oncogene Ret/Ptc2
C2	23	0.82	0.52	35800_at	D63391	platelet-activating factor acetylhydrolase
C2	24	0.81	0.52	1822_at	HG4677-HT5102	Oncogene Ret/Ptc2
C2	25	0.81	0.52	37426_at	U80736	trinucleotide repeat containing 9
C3	1	1.42	0.67	37669_s_at	U16799	Na+/K+ transporting ATPase
C3	2	1.20	0.61	36066_at	AB020635	KIAA0828 protein
C3	3	1.17	0.60	33699_at	M18667	pepsinogen C gene
C3	4	1.06	0.58	1081_at	M33764	ornithine decarboxylase 1
C3	5	1.06	0.57	33396_at	U12472	glutathione S-transferase pi
C3	6	1.06	0.57	34319_at	AA131149	S100 calcium-binding protein P
C3	7	1.04	0.56	829_s_at	U21689	glutathione S-transferase pi
C3	8	1.02	0.55	37004_at	J02761	pulmonary-associated surfactant
C3	9	1.02	0.55	40409_at	U46689	aldehyde dehydrogenase 3 family
C3	10	1.02	0.52	32805_at	U05861	aldo-keto reductase family 1
C3	11	1.00	0.52	36203_at	X16277	ornithine decarboxylase 1
C3	12	0.99	0.52	33383_f_at	AI820718	retinoic acid receptor
C3	13	0.99	0.51	33052_at	U95301	phospholipase A2
C3	14	0.98	0.51	35207_at	X76180	sodium channel, nonvoltage-gated 1 alpha
C3	15	0.98	0.51	38526_at	U02882	cAMP-specific phosphodiesterase
C3	16	0.97	0.51	38066_at	M81600	NAD(P)H-quinone oxireductase
C3	17	0.93	0.51	1882_g_at	HG4058-HT4328	Fusion activated Oncogene Aml1-Evi-1
C3	18	0.93	0.51	37779_at	Y08134	acid sphingomyelinase-like phosphodiesterase
C3	19	0.92	0.50	38773_at	AB003151	carbonyl reductase 1
C3	20	0.90	0.50	700_s_at	HG371-HT26388	Mucin 1, Epithelial
C3	21	0.89	0.50	35938_at	M72393	phospholipase A2, group IVA
C3	22	0.88	0.50	38986_at	Z49835	glucose regulated protein, 58kD
C3	23	0.88	0.50	40685_at	U10868	aldehyde dehydrogenase 3 family, member B1
C3	24	0.87	0.49	41267_at	AB028972	KIAA1049 protein
C3	25	0.86	0.49	34839_at	AB029027	KIAA1104 protein
NL	1	1.97	0.61	32542_at	AF063002	four and a half LIM domains 1
NL	2	1.92	0.59	1815_g_at	D50683	TGF-beta II receptor
NL	3	1.82	0.58	36119_at	AF070648	clone 24651 mRNA
NL	4	1.75	0.57	35868_at	M91211	advanced glycosylation end product-specific receptor
NL	5	1.71	0.56	39031_at	AA152406	cytochrome c oxidase
NL	6	1.70	0.56	37398_at	AA100961	CD31 antigen
NL	7	1.70	0.56	40607_at	U97105	dihydropyrimidinase-like 2
NL	8	1.70	0.56	40841_at	AF049910	transforming, acidic coiled-coil containing protein 1
NL	9	1.69	0.55	40331_at	AF035819	macrophage receptor with collagenous structure
NL	10	1.68	0.55	38454_g_at	X15606	intercellular adhesion molecule 2
NL	11	1.65	0.55	36569_at	X64559	tetranectin (plasminogen-binding protein)
NL	12	1.63	0.55	39066_at	L38486	microfibrillar-associated protein 4
NL	13	1.60	0.54	40282_s_at	M84526	adipsin/complement factor D
NL	14	1.60	0.54	34320_at	AL050224	polymerase I and transcript release factor
NL	15	1.60	0.54	37027_at	M80899	AHNAK nucleoprotein (desmoyokin)
NL	16	1.58	0.54	33328_at	W28612	EST
NL	17	1.58	0.54	1814_at	D50683	TGF-beta II receptor
NL	18	1.58	0.54	35985_at	AB023137	A kinase (PRKA) anchor protein 2
NL	19	1.57	0.53	38177_at	AJ001015	RAMP2
NL	20	1.57	0.53	39775_at	X54486	C1-inhibitor
NL	21	1.57	0.53	770_at	D00632	glutathione peroxidase 3
NL	22	1.54	0.53	39760_at	AL031781	KH domain RNA binding protein
NL	23	1.54	0.53	268_at	L34657	platelet/endothelial cell adhesion molecule-1 (PECAM-1)
NL	24	1.53	0.52	33756_at	U39447	amine oxidase (vascular adhesion protein 1)
NL	25	1.52	0.52	40419_at	X85116	erythrocyte membrane protein band 7.2 (stomatin)
C4	1	1.06	0.73	1411_at	D16154	P-450c11
C4	2	1.04	0.70	37021_at	X16832	cathepsin H
C4	3	1.02	0.70	534_s_at	U20391	folate receptor 1 (adult)
C4	4	0.95	0.69	38394_at	D42047	KIAA0089 protein
C4	5	0.94	0.67	1460_g_at	M68941	protein tyrosine phosphatase
C4	6	0.92	0.67	33331_at	U17077	BENE protein
C4	7	0.91	0.65	38336_at	AB023230	KIAA1013 protein
C4	8	0.89	0.65	31883_at	AF025794	methionine synthase reductase (MTRR)
C4	9	0.88	0.65	35016_at	M13560	Ia-associated invariant gamma-chain
C4	10	0.88	0.65	37512_at	U89281	oxidative 3 alpha hydroxysteroid dehydrogenase
C4	11	0.87	0.64	1629_s_at	HG3187-HT3366	Tyrosine Phosphatase 1, Non-Receptor
C4	12	0.86	0.64	38459_g_at	L39945	cytochrome b5 (CYB5) gene
C4	13	0.86	0.64	34139_at	AL049651	thrombomodulin
C4	14	0.86	0.63	36965_at	U13616	ankyrin G (ANK-3)
C4	15	0.85	0.63	130_s_at	X82850	thyroid transcription factor 1
C4	16	0.85	0.63	593_s_at	M34353	v-ros avian UR2 sarcoma virus oncogene homolog 1
C4	17	0.85	0.63	33278_at	AC_004381	SA (rat hypertension-associated) homolog
C4	18	0.85	0.63	821_s_at	U78793	folate receptor alpha (hFR)
C4	19	0.82	0.63	40617_at	AC_004381	hypothetical protein FLJ20274
C4	20	0.82	0.63	35792_at	U67963	lysophospholipase-like
C4	21	0.80	0.63	38785_at	X52228	mucin 1, transmembrane
C4	22	0.80	0.63	33967_at	M31525	major histocompatibility complex, class II
C4	23	0.80	0.63	34198_at	U12128	APO-1/CD95 (Fas)-associated phosphatase
C4	24	0.80	0.62	33584_at	U35146	CDC2-related kinase
C4	25	0.80	0.62	33249_at	M16801	nuclear receptor subfamily 3, group C, member 2
Group I	1	0.89	0.57	493_at	U29171	casein kinase 1, delta
Group I	2	0.80	0.53	39431_at	AJ132583	puromycin sensitive aminopeptidase
Group I	3	0.78	0.52	1953_at	AF024710	vascular endothelial growth factor (VEGF)
Group I	4	0.75	0.52	34678_at	AL096713	fer-1 (C.elegans)-like 3 (myoferlin)
Group I	5	0.74	0.51	36100_at	AF022375	vascular endothelial growth factor (VEGF)
Group I	6	0.73	0.51	32919_at	AC_004010	BAC clone GS099H08
Group I	7	0.72	0.50	884_at	M59911	integrin, alpha 3 (CD49C antigen)
Group I	8	0.71	0.49	38261_at	AF085692	ATP-binding cassette, sub-family C (CFTR/MRP)
Group I	9	0.70	0.49	31888_s_at	AF001294	tumor suppressing subtransferable candidate 3
Group I	10	0.69	0.48	38127_at	Z48199	syndecan 1
Group I	11	0.69	0.46	33889_s_at	D79985	DiGeorge syndrome critical region gene 2
Group I	12	0.66	0.46	38132_at	M88338	serum constituent protein
Group I	13	0.65	0.45	2017_s_at	M64349	cyclin D1 (PRAD1: parathyroid adenomatosis 1)
Group I	14	0.64	0.45	36101_s_at	M63978	vascular endothelial growth factor (VEGF)
Group I	15	0.64	0.45	33354_at	AA630312	E3 ubiquitin ligase SMURF2
Group I	16	0.64	0.45	32206_at	AB007920	KIAA0451 gene product
Group I	17	0.64	0.44	1930_at	U83659	ATP-binding cassette, sub-family C (CFTR/MRP)
Group I	18	0.64	0.44	40237_at	AF035444	tumor suppressing subtransferable candidate 3
Group I	19	0.61	0.44	168_at	U50196	adenosine kinase
Group I	20	0.61	0.44	39962_at	U59305	ser-thr protein kinase PK428
Group I	21	0.60	0.44	33944_at	S60099	amyloid beta (A4) precursor-like protein 2
Group I	22	0.60	0.44	32094_at	AB017915	condoroitin 6-sulfotransferase
Group I	23	0.60	0.44	40504_at	AF001601	paraoxonase 2
Group I	24	0.59	0.44	36117_at	L13616	PTK2, focal adhesion kinase
Group I	25	0.59	0.44	40229_at	AJ010071	target of myb1-like
