Gene	GenBank ID	Gene name	N+ corr
SLPI	NM_003064	secretory leukocyte protease inhibitor (antileukoproteinase)	-0.677
PI3	NM_002638	protease inhibitor 3, skin-derived (SKALP)	-0.68
FLJ25911	AK098777	Hypothetical protein FLJ25911 [Fragment]	-0.68
CLIC3	NM_004669	chloride intracellular channel 3	-0.691
BENE	NM_005434	BENE protein	-0.698
FLJ00074	AK024480	FLJ00074 protein [Fragment]	-0.699
DKFZp547F134	AL512697	Homo sapiens mRNA; cDNA DKFZp547F134 (from clone DKFZp547F134)	-0.706
PLA2G4B	NM_005090	phospholipase A2, group IVB (cytosolic)	-0.707
	AF339799	Homo sapiens clone IMAGE:2363394, mRNA sequence	-0.708
TRGV9	BC062761	T cell receptor gamma variable 9	-0.71
DSG3	NM_001944	desmoglein 3 (pemphigus vulgaris antigen)	-0.711
FLJ12787	NM_032175	Hypothetical protein FLJ12787	-0.734
LLGL2	NM_004524	lethal giant larvae homolog 2 (Drosophila)	-0.738
SMC5L1	NM_015110	SMC5 structural maintenance of chromosomes 5-like 1	-0.741
ODCP	NM_052998	Ornithine decarboxylase-like protein (EC 4.1.1.17) (ODC-paralogue) (ODC-p)	-0.741
FLJ31161	AK055723	Homo sapiens cDNA FLJ31161 fis, clone KIDNE1000028	-0.747
FLJ21214	AK024867	Homo sapiens cDNA: FLJ21214 fis, clone COL00523	-0.748
SPINK5	NM_006846	serine protease inhibitor, Kazal type, 5	-0.749
KIAA0350	XM_290667	KIAA0350 protein	-0.76
PGLYRPL	NM_052890	peptidoglycan recognition protein L precursor	-0.764
S100A9	NM_002965	S100 calcium binding protein A9 (calgranulin B)	-0.773
DNAH11	NM_003777	Dynein, axonemal, heavy chain-11	-0.776
LAGY	NM_032495	lung cancer-associated Y protein; homeodomain-only protein	-0.793
IVL	NM_005547	involucrin	-0.801
TNFRSF5	NM_001250	tumor necrosis factor receptor superfamily, member 5 (CD40)	-0.802
SRP19	NM_003135	signal recognition particle 19kDa	-0.814
KLK12	NM_019598	kallikrein 12	-0.837
IL22RA1	NM_021258	interleukin 22 receptor, alpha 1	-0.885
