Gene/Gene Symbol	Gene/Name	Gene/Proteome/Description
Col7a1	procollagen, type VII, alpha 1	Procollagen type VII alpha 1, forms anchoring fibrils which attach the basement membrane to the underlying dermis in skin, required for epidermal integrity; mutation of human COL7A1 causes epidermolysis bullosa dystrophica and similar disorders
Fxyd6	FXYD domain-containing ion transport regulator 6	Protein with high similarity to phospholemman (human FXYD1), which is a chloride channel or channel regulator that may serve in muscle contraction and cell volume regulation, member of the ATP1G1, PLM and MAT8 family, which may regulate chloride channels
Pycr1	pyrroline-5-carboxylate reductase 1	Protein with strong similarity to pyrroline-5-carboxylate reductase 1 (human PYCR1), which catalyzes the NAD(P)H dependent reduction of pyrroline-5-carboxylate to proline, member of the delta 1-pyrroline-5-carboxylate reductase (P5CR) family
Rhbdl3	rhomboid, veinlet-like 3 (Drosophila)	Member of the rhomboid family of integral membrane proteins, contains two EF hand domains, which are found in signaling, buffering or transport proteins, has strong similarity to uncharacterized human RHBDL4
Fst	follistatin	Follistatin, binds and neutralizes activin, involved in ovarian follicle development and spermatogenesis, may contribute to osteoblast differentiation; serum levels of human FST is upregulated in polycystic ovarian syndrome, kidney failure, liver disease
Mtap1b	microtubule-associated protein 1 B	Microtubule-associated protein 1B, neuronal microtubule-associated protein that cooperates with Mapt in axonal elongation and neuronal migration, may stabilize microtubules and link GABA(C) receptors to the cytoskeleton at postsynaptic sites in the retina
Ror2	receptor tyrosine kinase-like orphan receptor 2	Receptor tyrosine kinase-like orphan receptor 2, a Wnt-protein binding kinase that plays a role organ development; mutation of the human ROR2 gene is associated with brachydactyly type B, Robinow syndrome and abnormal skeletal development
6720463M24Rik	RIKEN cDNA 6720463M24 gene	Protein of unknown function, has high similarity to uncharacterized rat RGD1309522
Dio2	deiodinase, iodothyronine, type II	Deiodinase iodothyronine type 2, catalyzes the deiodination of thyroxine (T4) to the active form 3,3,5-triiodothyronine (T3); altered expression of human DIO2 is associated with pituitary and thyroid tumors and Graves disease
Wisp1	WNT1 inducible signaling pathway protein 1	Wnt1 inducible signaling pathway protein 1, promotes osteoblast differentiation and may act in bone repair, likely involved in Wnt1 signaling; human WISP1 is associated with breast and colon cancer and scirrhous gastric carcinoma
Thpo	thrombopoietin	Thrombopoietin, a cytokine that binds to the MPL receptor regulating megakaryocyte growth and differentiation, and thereby stimulates platelet production; overproduction of human THPO is associated with thrombocythemia
D18Ertd653e	DNA segment, Chr 18, ERATO Doi 653, expressed	Protein with high similarity to human TMEPAI, which is a growth factor-induced protein that binds human NEDD4 ubiquitin-protein ligase and is associated with numerous types of cancer, contains a low-density lipoprotein receptor domain class A repeat
Sfn	stratifin	Stratifin (14-3-3 sigma), member of the dimeric 14-3-3 family of proteins that mediate signal transduction, involved in cell cycle control; human SFN is downregulated in several carcinoma types
Col14a1	procollagen, type XIV, alpha 1	Procollagen type XIV alpha 1, a member of the collagen subfamily FACIT (fibril associated collagens with interrupted triple helices)
Vcan	versican	Chondroitin sulfate proteoglycan 2 (versican), a proteoglycan of the extracellular matrix, contains hyaluronic acid and glycosaminoglycan-binding domains, required for proper development of the right cardiac chamber and for endocardial cushion formation
Ttc9	tetratricopeptide repeat domain 9	Protein containing two type 2 tetratricopeptide repeats, has strong similarity to a region of tetratricopeptide repeat domain 9 (human TTC9), which is an endoplasmic reticulum protein whose expression is regulated by various factors and chemical reagents
Adam23	a disintegrin and metallopeptidase domain 23	A disintegrin and metalloprotease domain 23, may function as an integrin ligand and may play a role in brain development; human ADAM23 is downregulated in breast cancer and may be involved in pancreatic cancer development and progression
