Symbol	Accession no.	Description	Function
DHFR	NM_000791	Dihydrofolate reductase	DNA Replication / E2F mediated regulation of DNA replication
TYMS	NM_001071	Thymidylate synthetase	DNA Replication / E2F mediated regulation of DNA replication
POLA2	NM_002689	DNA polymerase alpha2	DNA Replication / E2F mediated regulation of DNA replication
POLA1	NM_016937	DNA polymerase alpha1	DNA Replication / E2F mediated regulation of DNA replication
POLD2	NM_006230	DNA polymerase delta2	DNA Replication / E2F mediated regulation of DNA replication
POLD3	NM_006591	DNA polymerase delta3	DNA Replication / E2F mediated regulation of DNA replication
POLE2	NM_002692	DNA polymerase epsilon2	DNA Replication / E2F mediated regulation of DNA replication
POLE4	NM_019896	DNA polymerase epsilon4	DNA Replication / E2F mediated regulation of DNA replication
ORC1L	NM_004153	Origin recognition complex, subunit 1-like (yeast)	DNA Replication / E2F mediated regulation of DNA replication
RRM2	NM_001034	Ribonucleotide reductase M2 subunit	DNA Replication / E2F mediated regulation of DNA replication
ORC2L	NM_006190	Origin recognition complex, subunit 2-like (yeast)	Regulation of DNA replication
ORC4L	NM_002552	Origin recognition complex, subunit 4-like (yeast)	Regulation of DNA replication
ORC5L	NM_181747	Origin recognition complex, subunit 5-like (yeast)	Regulation of DNA replication
ORC6L	NM_014321	Origin recognition complex, subunit 6-like (yeast)	Regulation of DNA replication
MCM2	NM_004526	Minichromosome maintenance complex component 2	Regulation of DNA replication
MCM3	NM_002388	Minichromosome maintenance complex component 3	Regulation of DNA replication
MCM4	NM_005914	Minichromosome maintenance complex component 4	Regulation of DNA replication
MCM5	NM_006739	Minichromosome maintenance complex component 5	Regulation of DNA replication
MCM6	NM_005915	Minichromosome maintenance complex component 6	Regulation of DNA replication
MCM7	NM_182776	Minichromosome maintenance complex component 7	Regulation of DNA replication
TK1	NM_003258	Thymidine kinase 1, soluble	Regulation of DNA replication
FEN1	NM_004111	Flap structure-specific endonuclease 1	Regulation of DNA replication
LIG1	NM_000234	DNA ligase 1	Regulation of DNA replication
CASP3	NM_004346	Caspase-3	Apoptosis
CASP7	NM_033339	Caspase-7	Apoptosis
CASP8	NM_033356	Caspase-8	Apoptosis
CASP9	NM_001229	Caspase-9	Apoptosis
CASP10	NM_032977	Caspase-10	Apoptosis
DFFA	NM_213566	DNA fragmentation factor, 45 kDa, alpha-polypeptide	Apoptosis
DFFB	NM_001004285	DNA fragmentation factor, 40 kDA, beta-polypeptide (caspase-activated DNase)	Apoptosis
