Cluster	Genbank	Functional classification	Gene description
	S71043	immune system proteins	immunoglobulin alpha 1 heavy chain constant region (IgA1; IGHA1) + immunoglobulin alpha 2 heavy chain constant region (IgA2; IGHA2)
G12	D78345	immune system proteins	membrane-bound & secreted immunoglobulin gamma heavy chain (IgG3) + immunoglobulin lambda heavy chain (IgG1L) + immunoglobulin kappa heavy chain (IgG1K) + immunoglobulin G1 Fc fragment
G12	K01171	immune system proteins	HLA class II histocompatibility antigen alpha chain precursor
	X62744	immune system proteins	class II histocompatibility antigen M alpha subunit precursor
	M31525	immune system proteins	HLA class II histocompability antigen alpha subunit precursor (MHC-alpha)
	M20430	immune system proteins	MHC class II HLA-DR-beta (DR2-DQW1/DR4 DQW3) precursor
	M65134	immune system proteins	complement component 5 (C5)
	X91911	immune system proteins	glioma pathogenesis-related protein; RTVP-1 protein
	M65062	extracellular transport or carrier proteins	insulin-like growth factor binding protein 5 precursor (IGF-binding protein 5; IGFBP5; IBP5)
N505	M99437	oncogenes and tumor suppressors	neurogenic locus notch protein (N)
	M13228	oncogenes and tumor suppressors	N-myc proto-oncogene
	D89667	oncogenes and tumor suppressors	c-myc binding protein MM-1
	X74594	oncogenes and tumor suppressors	retinoblastoma-like protein 2 (RBL2; RB2); 130-kDa retinoblastoma-associated protein
	L16785	oncogenes and tumor suppressors	c-myc purine-binding transcription factor puf; nucleoside diphosphate kinase B (NDP kinase B; NDKB) + nm23-H2S
	U23946	oncogenes and tumor suppressors	LUCA15 putative tumor suppressor
	M73980	oncogenes and tumor suppressors	neurogenic locus notch protein homolog 1 precursor (NOTCH1); translocation-associated notch protein (TAN1)
	U95299	oncogenes and tumor suppressors	notch4; hnotch4
G5	M35410	oncogenes and tumor suppressors	insulin-like growth factor binding protein 2 (IGFBP2)
	L07868	oncogenes and tumor suppressors	ERBB4 receptor protein-tyrosine kinase; Her4 tyrosine kinase-EGF receptor related
	M11730	oncogenes and tumor suppressors	ERBB2 receptor protein-tyrosine kinase; neu proto-oncogene; c-erbB2 + HER2 receptor
G5	U01134	oncogenes and tumor suppressors	vascular endothelial growth factor receptor 1 (VEGFR1); tyrosine-protein kinase receptor flt + soluble VEGFR; tyrosine-protein kinase receptor SFLT
N505	X03663	oncogenes and tumor suppressors	macrophage colony stimulating factor I receptor precursor (CSF-1-R); fms proto-oncogene (c-fms); CD115
	M29366	oncogenes and tumor suppressors	ERBB-3 receptor protein-tyrosine kinase precursor; epidermal growth factor receptor
	L11353	oncogenes and tumor suppressors	moesin-ezrin-radixin-like protein (MERLIN); schwannomin (SCH); neurofibromatosis 2 (NF2)
	X95282	oncogenes and tumor suppressors	Rho-related GTP-binding protein RhoE; Rho8; ARHE
N505	X95456	oncogenes and tumor suppressors	Rho7 protein
	L25080	oncogenes and tumor suppressors	transforming protein rhoA H12 (RHO12; ARH12; ARHA)
	Y07923	oncogenes and tumor suppressors	rho6 protein
	J03909	oncogenes and tumor suppressors	gamma-interferon-inducible protein; IP-30
	Z30183	oncogenes and tumor suppressors	metalloproteinase inhibitor 3 precursor; tissue inhibitor of metalloproteinases 3 (TIMP3); mitogen-inducible gene 5 (MIG5)
	L14837	oncogenes and tumor suppressors	tight junction protein zonula occludens (ZO-1); tight junction protein 1 (TJP1)
	U08023	oncogenes and tumor suppressors	C-mer proto-onocogene precursor
	AF006484	oncogenes and tumor suppressors	putative oral tumor suppressor protein; DOC-1
	AF001954	oncogenes and tumor suppressors	p33ING1
	M13267	stress response proteins	cytosolic superoxide dismutase 1 (SOD1)
N566	U58514	stress response proteins	chitinase precursor
N505	X98085	extracellular matrix proteins	tenascin-R
N566	X02761	extracellular matrix proteins	fibronectin precursor (FN)
	M85289	extracellular matrix proteins	heparan sulfate proteoglycan (HSPG2)
	M55172	extracellular matrix proteins	cartilage-specific proteoglycan core protein (CSPCP); aggrecan core protein precursor (AGC1); chondroitin sulfate proteoglycan core protein 1 (CSPG1)
	U86759	extracellular matrix proteins	netrin-2
	X14420	extracellular matrix proteins	procollagen 3 alpha 1 subunit precursor (COL3A1)
	X63679	trafficking or targeting proteins	TRAM protein
	Y12394	trafficking or targeting proteins	importin alpha 3 subunit; karyopherin alpha 3 subunit
N505	X97335	trafficking or targeting proteins	dual-specificty A-kinase anchoring protein 1
	X02152	metabolism	L-lactate dehydrogenase M subunit (LDHA)
	S80437	metabolism	fatty acid synthase
	X55740	metabolism	5-nucleotidase precurso (5-NT)r; ecto-nucleotidase; CD73 antigen
	X02994	metabolism	adenosine deaminase (ADA); adenosine aminohydrolase
	X65867	metabolism	adenylosuccinate lyase; adenylosuccinase (ASL)
	U29656	metabolism	DR-nm23
	Y07604	metabolism	nm23-H4; nucleoside-diphosphate kinase; nucleoside 5-diphosphate phosphotransferase (NDK)
	L07548	metabolism	aminoacylase 1 (ACY1)
	AF017786	post-translational modification or protein folding	phosphatidic acid phosphatase 2B
	D66904	post-translational modification or protein folding	suppressor for yeast mutant
	X65923	translation	fau
	U14971	translation	40S ribosomal protein S9
	M73791	translation	60S ribosomal protein L10; tumor suppressor QM; laminin receptor homolog
N505	M27364	translation	elongation factor 1 alpha (EF1 alpha)
	X51466	translation	elongation factor 2 (EF2)
	U78525	translation	eukaryotic translation initiation factor 3 beta subunit (EIF-3 beta); EIF3 P116
	AF017986	apoptosis associated proteins	secreted apoptosis related protein 1 (SARP1)
	M84820	apoptosis associated proteins	retinoic acid receptor beta (RXR-beta; RXRB)
	U78798	apoptosis associated proteins	TRAF6
	U28014	apoptosis associated proteins	caspase-4 precursor (CASP4); ICH-2 protease; TX protease; ICE(REL)-II + caspase-5 precursor (CASP5); ICH-3 protease; TY protease; ICE(REL)-III
	U56390	apoptosis associated proteins	caspase-9 precursor (CASP9); ICE-like apoptotic protease 6 (ICE-LAP6); apoptotic protease MCH6; apoptotic protease activating factor 3 (APAF3)
	U59747	apoptosis associated proteins	apoptosis regulator bclw; KIAA0271; BCL2L2
N505	X76104	apoptosis associated proteins	death-associated protein kinase 1 (DAP kinase 1; DAPK1)
	X86779	apoptosis associated proteins	Fas-activated serine/threonine (FAST) kinase
N505	U33286	apoptosis associated proteins	cellular apoptosis susceptibility protein (CAS); chromosome segregation gene homolog
	U09477	apoptosis associated proteins	P53-BINDING PROTEIN 53BP1
	M31469	RNA processing, turnover, and transport	GTP-binding nuclear protein RAN (TC4)
	U07231	RNA processing, turnover, and transport	G-rich sequence factor 1 (GRSF1)
	U08377	RNA processing, turnover, and transport	arginine/serine-rich splicing factor 8; suppressor of white apricot protein homolog
	X65372	RNA processing, turnover, and transport	polypyrimidine tract-binding protein (PTB); heterogeneous nuclear ribonucleoprotein I (HNRNP I); 57-kDa RNA-binding protein PPTB-1
	X85786	DNA binding and chromatin proteins	DNA-binding protein RFX5
N566	U44975	DNA binding and chromatin proteins	DNA-binding protein CPBP
	M60618	DNA binding and chromatin proteins	nuclear autoantigen spreckled 100-kDa (SP100)
	U19769	DNA binding and chromatin proteins	CENP-F kinetochore protein
	M37722	cell receptors (by ligands)	N-sam; fibroblast growth factor receptor1 precursor (FGFR1); basic fibroblast growth factor receptor precursor (bFGFR); fms-like tyrosine kinase-2 (FLT2) + heparin-binding growth factor receptor (HBGF-R-alpha-A1) + HBGF-R-alpha-A2 + HBGF-R-alpha-A3
	U43148	cell receptors (by ligands)	patched homolog (PTC)
	U28811	cell receptors (by ligands)	cysteine-rich fibroblast growth factor receptor ; Golgi membrane sialoglycoprotein MG160 (GLG1)
	U11814	cell receptors (by ligands)	keratinocyte growth factor receptor (KGFR); fibroblast growth factor receptor 2 (FGFR2) + soluble KGFR + FGF-BEK; heparin-binding growth factor receptor K-sam (HGFR K-sam) + secreted FGFR K-sam-III + secreted FGFR K-sam-IV
	U60805	cell receptors (by ligands)	oncostatin M-specific receptor beta subunit
N505	D17516	cell receptors (by ligands)	pituitary adenylate cyclase activating polypeptide I receptor precursor (PACAP I receptor; PACAPR1; ADCYAP1R1)
	M69013	cell receptors (by ligands)	guanine nucleotide-binding protein G(Y) alpha 11 subunit (GNA11; GA11)
	M27543	cell receptors (by ligands)	guanine nucleotide-binding protein G(K) alpha 3 subunit (GNA3)
	X61157	cell receptors (by ligands)	beta-adrenergic receptor kinase 1 (beta-ARK1; BARK1; ADRBK1); G protein-coupled receptor kinase 2 (GRK2)
	M17219	cell receptors (by ligands)	guanine nucleotide-binding protein G(I) alpha 1 subunit (GNAI1); adenylate cyclase-inhibiting G alpha protein
N505	Y11044	cell receptors (by ligands)	GABA-B receptor 1A subunit (GABA-BR1A )
G12	J04162	cell receptors (by ligands)	leukocyte IgG receptor (FC-gamma-R)
	M31932	cell receptors (by ligands)	low affinity immunoglobulin gamma FC receptor II-A precursor (FC-gamma RII-A; FCRII-A; IgG FC receptor II-A); CD32 antigen
N505	AB007867	cell receptors (by ligands)	KIAA0407
N505	Y08110	cell receptors (by ligands)	low-density lipoprotein receptor-related protein LR11 precursor
G12	AF019562	cell receptors (by ligands)	DNAX activation protein 12
	X53655	cell signaling, extracellular communication proteins	neurotrophin-3 precursor (NT-3); neurotrophic factor (HDNF); nerve growth factor 2 (NGF-2)
	M15530	cell signaling, extracellular communication proteins	B-cell growth factor 1 precursor (BCGF1); 12-kDa BCGF
	M22489	cell signaling, extracellular communication proteins	bone morphogenetic protein 2A (BMP2A)
G5	M32977	cell signaling, extracellular communication proteins	vascular endothelial growth factor precursor (VEGF); vascular permeability factor (VPF)
N566	M19154	cell signaling, extracellular communication proteins	transforming growth factor beta2 precursor (TGF-beta2; TGFB2); glioblastoma -derived T-cell suppressor factor (G-TSF); bsc-1 cell growth inhibitor; polyergin; cetermin
	AF019770	cell signaling, extracellular communication proteins	macrophage inhibitory cytokine 1 (MIC1)
	M30704	cell signaling, extracellular communication proteins	amphiregulin (AR); colorectum cell-derived growth factor (CRDGF)
	M60828	cell signaling, extracellular communication proteins	keratinocyte growth factor (KGF); fibroblast growth factor 7 (FGF7)
	D16431	cell signaling, extracellular communication proteins	hepatoma-derived growth factor (HDGF)
	U63717	cell signaling, extracellular communication proteins	osteoclast stimulating factor
	U48801	cell signaling, extracellular communication proteins	vascular endothelial growth factor B precursor (VEGFB) + VEGF-related factor isoform VRF186
N566	M31159	cell signaling, extracellular communication proteins	insulin-like growth factor-binding protein 3 precursor (IGF-binding protein 3; IGFBP3; IBP3)
	L06801	cell signaling, extracellular communication proteins	interleukin-13 precursor (IL-13); NC30
N505	U12140	intracellular transducers or effectors or modulators	brain-derived neurotrophic factor (BDNF)/NT-3 growth factors receptor precursor; TRKB tyrosine kinase receptor; GP145-TRKB
	U05012	intracellular transducers or effectors or modulators	NT-3 growth factor receptor precursor (NTRK3); C-trk tyrosine kinase (TRKC)
	M58051	intracellular transducers or effectors or modulators	fibroblast growth factor receptor 3 precursor (FGFR3); JTK4 + fibroblast growth factor receptor 2 precursor (FLG2)
	L06139	intracellular transducers or effectors or modulators	angiopoietin 1 receptor precursor; tyrosine-protein kinase receptor TIE-2; tyrosine-protein kinase receptor TEK; p140 TEK; tunica interna endothelial cell kinase
	U05875	intracellular transducers or effectors or modulators	interferon-gamma (IFN-gamma) receptor beta subunit precursor; IFN-gamma accessory factor 1 (AF1); IFN-gamma transducer 1 (IFNGT1)
	AF029213	intracellular transducers or effectors or modulators	IL-1 receptor accessory protein
	U84401	intracellular transducers or effectors or modulators	smoothened; GX
N505	D84476	intracellular transducers or effectors or modulators	mitogen-activated protein kinase kinase kinase 5 (MAP/ERK kinase kinase 5; MAPKKK5; MEKK5); ASK1
	M77198	intracellular transducers or effectors or modulators	rac-beta serine/threonine kinase (rac-PK-beta); akt2
	AF004709	intracellular transducers or effectors or modulators	stress-activated protein kinase 4 (SAPK4)
	U08316	intracellular transducers or effectors or modulators	ribosomal protein S6 kinase II alpha 3 (S6KII-alpha 3); ribosomal S6 kinase 2 (RSK2); insulin-stimulated protein kinase 1 (ISPK1)
	X66362	intracellular transducers or effectors or modulators	serine/threonine-protein kinase PCTAIRE 3 (PCTK3)
	L13616	intracellular transducers or effectors or modulators	focal adhesion kinase (FADK); proline-rich tyrosine kinase 2 (PYK2)
	U33053	intracellular transducers or effectors or modulators	lipid-activated protein kinase PRK1;PKN cell morphology-related protein kinase
	U88666	intracellular transducers or effectors or modulators	serine kinase SRPK2
	D50863	intracellular transducers or effectors or modulators	testis-specific protein kinase 1
	D50925	intracellular transducers or effectors or modulators	KIAA0135
	Z35102	intracellular transducers or effectors or modulators	NDR protein kinase
	D79997	intracellular transducers or effectors or modulators	KIAA0175
N505	L42373	intracellular transducers or effectors or modulators	protein phosphatase 2A B56-alpha
	U35234	intracellular transducers or effectors or modulators	protein tyrosine phosphatase sigma
	X06820	intracellular transducers or effectors or modulators	transforming protein rhoB; ARHB; ARH6
N566	M55543	intracellular transducers or effectors or modulators	interferon-induced guanylate-binding protein 2; guanine nucleotide-binding protein 2
	M86400	intracellular transducers or effectors or modulators	phospholipase A2
	M61906	intracellular transducers or effectors or modulators	phosphatidylinositol 3-kinase regulatory alpha subunit (PTDINS-3-kinase P85-alpha; PI3-kinase P85-alpha)
	AB007881	intracellular transducers or effectors or modulators	KIAA0422
	M80563	intracellular transducers or effectors or modulators	placental calcium-binding protein; calvasculin; S100 calcium-binding protein A4; MTS1 protein
G12	U19713	intracellular transducers or effectors or modulators	allograft inflammatory factor 1 (AIF1); ionized calcium-binding adapter molecule 1
G5	AB004904	intracellular transducers or effectors or modulators	STAT-induced STAT inhibitor 3
G5	AB004903	intracellular transducers or effectors or modulators	STAT-induced STAT inhibitor 2
	X13967	intracellular transducers or effectors or modulators	leukemia inhibitory factor precursor (LIF); differentiation-stimulating factor (D factor); melanoma-derived LPL inhibitor (MLPLI); HILDA
N505	X59656	intracellular transducers or effectors or modulators	CRK-like protein
	S83390	intracellular transducers or effectors or modulators	T3 receptor-associating cofactor 1
	U43899	intracellular transducers or effectors or modulators	signal transducing adaptor molecule (STAM)
	U61166	intracellular transducers or effectors or modulators	SH3P17 SH3 domain-containing protein
N505	D50477	protein turnover	matrix metalloproteinase 16 precursor (MMP16); membrane-type matrix metalloproteinase 3 (MT-MMP3); MMP-X2
	D26512	protein turnover	matrix metalloproteinase 14 precursor (MMP14); membrane-type matrix metalloproteinase 1 (MT-MMP1); MMP-X1
	A03911	protein turnover	glia-derived neurite-promoting factor (GDNPF)
	J05593	protein turnover	tissue inhibitor of metalloproteinases 2 (TIMP2); metalloproteinase inhibitor 2 precursor; CSC-21K
	X03124	protein turnover	metalloproteinase inhibitor 1 precursor (TIMP1); erythroid potentiating activity (EPA); fibroblast collagenase inhibitor
	M93056	protein turnover	leukocyte elastase inhibitor (LEI); monocyte/neutrophil elastase inhibitor) (EI)
	Z50853	protein turnover	putative ATP-dependent CLP protease proteolytic subunit mitochondrial precursor; endopeptidase CLP
	U42391	cytoskeleton or motility proteins	myosin-IXB
	X66141	cytoskeleton or motility proteins	cardiac ventricular myosin light chain 2
	X64838	cytoskeleton or motility proteins	restin; cytoplasmic linker protein 170 alpha ) (CLIP170); Reed-Sternberg intermediate filament-associated protein
	K00558	cytoskeleton or motility proteins	brain-specific tubulin alpha 1 subunit (TUBA1)
G5	M96322	cytoskeleton or motility proteins	gravin
	M61764	cytoskeleton or motility proteins	tubulin gamma subunit
	X03212	cytoskeleton or motility proteins	type II cytoskeletal 7 keratin (KRT7); cytokeratin 7 (K7; CK7)
	M98776	cytoskeleton or motility proteins	type II cytoskeletal 11 keratin (KRT11); cytokeratin 1 (K1; CK1); 67-kDa cytokeratin; hair alpha protein
	X56134	cytoskeleton or motility proteins	vimentin (VIM)
	U29343	cytoskeleton or motility proteins	hyaluronan receptor (RHAMM)
N505	U60062	functionally unclassified	zygini; FEZ1-T
N505	Y08263	functionally unclassified	AAD14 protein
N505	U90916	functionally unclassified	clone 23815 (Soares library 1NIB from IMAGE Consortium)
	Z21707	functionally unclassified	P18 protein
	U96876	functionally unclassified	insulin-induced protein 1
N505	U37122	functionally unclassified	adducin gamma subunit
	D25274	functionally unclassified	clone PO2ST9 (brain striatum)
	AB002322	functionally unclassified	KIAA0324
	L47738	functionally unclassified	inducible protein
	D87469	functionally unclassified	KIAA0279
	S81439	functionally unclassified	early growth response alpha (EGR alpha)
	U34605	functionally unclassified	reinoic acid- & interferon-inducible 58K protein RI58
	X89059	functionally unclassified	unknown protein expressed in macrophages
	D86959	functionally unclassified	KIAA0204
	D25216	functionally unclassified	IGFBP complex acid labile chain
	U79271	functionally unclassified	clones 23920 & 23921 (Soares library 1NIB from IMAGE Consortium)
	D14664	functionally unclassified	KIAA0022 GENE
	X67325	functionally unclassified	interferon alpha-induced 11.5-kDa protein
	D21063	DNA synthesis, recombination, and repair	MCM2 DNA replication licensing factor; nuclear protein BM28; KIAA0030
	M15796	DNA synthesis, recombination, and repair	proliferating cyclic nuclear antigen (PCNA); cyclin
	M87338	DNA synthesis, recombination, and repair	activator 1 40-kDa subunit; replication factor C 40-kDa subunit (RFC40); RFC2
	U33841	DNA synthesis, recombination, and repair	ataxia telangiectasia (ATM)
	L20046	DNA synthesis, recombination, and repair	xeroderma pigmentosum group G complementing protein (XPG); DNA excision repair protein ERCC5
	U35835	DNA synthesis, recombination, and repair	DNA-dependent protein kinase (DNA-PK) + DNA-PK catalytic subunit (DNA-PKCS)
	M36089	DNA synthesis, recombination, and repair	DNA-repair protein XRCC1
	D21089	DNA synthesis, recombination, and repair	DNA-repair protein complementing XP-C cells; xeroderma pigmentosum group C complementing protein (p125)
	M74524	DNA synthesis, recombination, and repair	ubiquitin-conjugating enzyme E2 17-kDa (UBE2A); ubiquitin-protein ligase; ubiquitin carrier protein; HR6A
N505	M32865	DNA synthesis, recombination, and repair	Ku 70-kDa subunit; ATP-dependent DNA helicase II 70-kDa subunit; lupus ku autoantigen protein P70; thyroid-lupus auto-antigen (TLAA); CTC box binding factor 75-kDa subunit (CTC75)
	U51166	DNA synthesis, recombination, and repair	G/T mismatch-specific thymine DNA glycosylase (TDG)
	U79718	DNA synthesis, recombination, and repair	endonuclease III homolog 1 (HNTH1) (OCTS3)
	D13804	DNA synthesis, recombination, and repair	recA-like protein HsRad51; DNA repair protein RAD51 homolog
