ProbeSet	Gene	Abb	RefSeq	UniGene	Entrez	Chromosomal
206172_at	interleukin 13 receptor, alpha 2	IL13RA2	NM_000640	Hs.336046	3598	chrXq13.1-q28
230480_at	piwi-like 4 (Drosophila)	PIWIL4	AI808955	NA	143689	chr11q21
203358_s_at	enhancer of zeste homolog 2 (Drosophila)	EZH2	NM_004456	Hs.444082	2146	chr7q35-q36
232692_at	tudor domain containing 6	TDRD6	AA404231	NA	221400	chr6p12.3
218009_s_at	protein regulator of cytokinesis 1	PRC1	NM_003981	Hs.567385	9055	chr15q26.1
207678_s_at	SRY (sex determining region Y)-box 30	SOX30	NM_007017	Hs.529462	11063	chr5q33
238218_at	hypothetical protein LOC648473	LOC648473	AW206656	NA	648473	NA
1552988_at	chromosome 11 open reading frame 65	C11orf65	NM_152587	Hs.367437	160140	chr11q22.3
242162_at	WD repeat domain 69	WDR69	AA904430	Hs.424594	164781	chr2q36.3
226661_at	cell division cycle associated 2	CDCA2	T90295	Hs.33366	157313	chr8p21.2
219736_at	tripartite motif-containing 36	TRIM36	NM_018700	Hs.519514	55521	chr5q22.3
209408_at	kinesin family member 2C	KIF2C	U63743	Hs.69360	11004	chr1p34.1
1552724_at	paired-like homeobox protein OTEX	OTEX	AY099086	Hs.196956	158800	chrXq24
210467_x_at	melanoma antigen family A, 12	MAGEA12	BC003408	NA	4111	chrXq28
211674_x_at	cancer/testis antigen 1B /// cancer/testis antigen 1B /// cancer/testis antigen 1A /// cancer/testis antigen 1A /// similar to cancer/testis antigen 1A /// similar to cancer/testis antigen 1A	CTAG1B	AF038567	Hs.534310	1485, 246100, 653387	chrXq28
231487_at	cytochrome c oxidase subunit 8C	COX8C	AW269746	NA	341947	chr14q32.13
206609_at	melanoma antigen family C, 1	MAGEC1	NM_005462	Hs.132194	9947	chrXq26
214254_at	melanoma antigen family A, 4	MAGEA4	AW438674	Hs.37107	4103	chrXq28
220686_s_at	piwi-like 2 (Drosophila)	PIWIL2	NM_018068	Hs.274150	55124	chr8p21.3
212949_at	barren homolog 1 (Drosophila)	BRRN1	D38553	Hs.308045	23397	chr2q11.2
231084_at	chromosome 10 open reading frame 79	C10orf79	AW665251	Hs.288927	80217	chr10q25.1
237654_at	chromosome 14 open reading frame 50	C14orf50	AA400298	Hs.144696	145376	chr14q23.3
203764_at	discs, large homolog 7 (Drosophila)	DLG7	NM_014750	Hs.77695	9787	chr14q22.3
239624_at	hypothetical protein LOC647322	LOC647322	AA725362	Hs.580264	647322	chr2p11.2
230165_at	shugoshin-like 2 (S. pombe)	SGOL2	N31731	Hs.44269	151246	chr2q33.1
230277_at	---	NA	AI806865	NA	NA	NA
233536_at	KIAA1713	KIAA1713	AI202664	Hs.464876	80816	chr18q11
206922_at	variable charge, Y-linked /// variable charge, Y-linked 1B /// hypothetical protein LOC652821	VCY	NM_004679	Hs.170076	353513, 652821, 9084	chrYq11.221;chrYq11.21
210053_at	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	TAF5	AW138827	Hs.96103	6877	chr10q24-q25.2
203213_at	cell division cycle 2, G1 to S and G2 to M	CDC2	AL524035	Hs.334562	983	chr10q21.1
223687_s_at	lymphocyte antigen 6 complex, locus K	LY6K	AA723810	Hs.69517	54742	chr8q24.3
220179_at	dipeptidase 3	DPEP3	NM_022357	Hs.302028	64180	chr16q22.1
201890_at	ribonucleotide reductase M2 polypeptide	RRM2	BE966236	Hs.226390	6241	chr2p25-p24
1553528_a_at	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	TAF5	NM_139052	Hs.96103	6877	chr10q24-q25.2
237781_at	HORMA domain containing 2	HORMAD2	AI017631	Hs.120391	150280	chr22q12.2
1557057_a_at	hypothetical protein LOC133491	LOC133491	AL039665	Hs.131469	133491	chr5q35.2
220270_at	ring finger protein 17	RNF17	NM_019038	Hs.97464	56163	chr13q12.12
211425_x_at	synovial sarcoma, X breakpoint 4 /// synovial sarcoma, X breakpoint 4B	SSX4	AF257500	Hs.558402	548313, 6759	chrXp11.23
205691_at	synaptogyrin 3	SYNGR3	NM_004209	Hs.435277	9143	chr16p13
210415_s_at	outer dense fiber of sperm tails 2	ODF2	AF053970	Hs.129055	4957	chr9q34.11
238784_at	dpy-19-like 2 (C. elegans)	DPY19L2	AI039361	Hs.533644	283417	chr12q14.2
218857_s_at	asparaginase like 1	ASRGL1	NM_025080	Hs.535326	80150	chr11q12.3
224463_s_at	chromosome 11 open reading frame 70 /// chromosome 11 open reading frame 70	C11orf70	BC006128	Hs.98328	85016	chr11q22.1
222848_at	leucine zipper protein FKSG14	FKSG14	BC005400	Hs.529778	64105	chr5p15.2-q12.3
221521_s_at	GINS complex subunit 2 (Psf2 homolog)	GINS2	BC003186	Hs.433180	51659	chr16q24.1
231472_at	F-box protein 15	FBXO15	BE464323	Hs.465411	201456	chr18q22.3
211107_s_at	aurora kinase C	AURKC	AB017332	Hs.98338	6795	chr19q13.43
209457_at	dual specificity phosphatase 5	DUSP5	U16996	Hs.2128	1847	chr10q25
232598_at	nucleoporin 210kDa-like	NUP210L	AL133633	Hs.67639	91181	chr1q21.3
223530_at	tudor and KH domain containing	TDRKH	AF227192	Hs.144439	11022	chr1q21
232679_at	Similar to zinc finger protein 396	LOC643825	AL137538	Hs.618116	643825	chr19q13.11
213599_at	Opa interacting protein 5	OIP5	BE045993	Hs.567421	11339	chr15q15.1
214409_at	ret finger protein-like 3 antisense	RFPL3S	AL021937	Hs.274285	10737	chr22q12.3
229475_at	maelstrom homolog (Drosophila)	MAEL	AA446073	Hs.180191	84944	chr1q24.1
205034_at	cyclin E2	CCNE2	NM_004702	Hs.567387	9134	chr8q22.1
224588_at	X (inactive)-specific transcript	XIST	AA167449	Hs.529901	7503	chrXq13.2
239303_at	---	NA	AA933717	NA	NA	NA
214785_at	vacuolar protein sorting 13 homolog A (S. cerevisiae)	VPS13A	AB023203	Hs.459790	23230	chr9q21
228069_at	family with sequence similarity 54, member A	FAM54A	AL138828	Hs.121536	113115	chr6q23.3
221448_s_at	testis expressed sequence 15 /// testis expressed sequence 15	TEX15	NM_031271	Hs.458316	56154	chr8p12
220665_at	leucine zipper protein 4	LUZP4	NM_016383	Hs.242183	51213	chrXq23
1552993_at	DPY30 domain containing 1	DYDC1	NM_138812	Hs.407751	143241	chr10q23.1
1556395_at	Full length insert cDNA clone YB44H10	NA	AF147356	Hs.564144	NA	NA
214868_at	piwi-like 1 (Drosophila)	PIWIL1	AW189518	Hs.405659	9271	chr12q24.33
222608_s_at	anillin, actin binding protein (scraps homolog, Drosophila)	ANLN	AK023208	Hs.62180	54443	chr7p15-p14
1552368_at	CCCTC-binding factor (zinc finger protein)-like	CTCFL	NM_080618	Hs.131543	140690	chr20q13.31
210559_s_at	cell division cycle 2, G1 to S and G2 to M	CDC2	D88357	Hs.334562	983	chr10q21.1
209409_at	growth factor receptor-bound protein 10	GRB10	D86962	Hs.164060	2887	chr7p12-p11.2
219984_s_at	HRAS-like suppressor	HRASLS	NM_020386	Hs.36761	57110	chr3q29
205429_s_at	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	MPP6	NM_016447	Hs.533355	51678	chr7p15
231297_at	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	DOT1L	AI479899	Hs.591379	84444	chr19p13.3
222077_s_at	Rac GTPase activating protein 1	RACGAP1	AU153848	Hs.505469	29127	chr12q13.13
231164_at	hypothetical gene supported by AK095200; BC042853	LOC440331	AI570450	NA	440331	chr16p13.3
221558_s_at	lymphoid enhancer-binding factor 1	LEF1	AF288571	Hs.555947	51176	chr4q23-q25
228293_at	DEP domain containing 7	DEPDC7	AJ245600	Hs.280990	91614	chr11p13
217388_s_at	kynureninase (L-kynurenine hydrolase)	KYNU	D55639	Hs.470126	8942	chr2q22.2
226064_s_at	diacylglycerol O-acyltransferase homolog 2 (mouse)	DGAT2	AW469523	Hs.334305	84649	chr11q13.5
219983_at	HRAS-like suppressor	HRASLS	NM_020386	Hs.36761	57110	chr3q29
211126_s_at	cysteine and glycine-rich protein 2	CSRP2	U46006	Hs.530904	1466	chr12q21.1
218308_at	transforming, acidic coiled-coil containing protein 3	TACC3	NM_006342	Hs.104019	10460	chr4p16.3
227371_at	BAI1-associated protein 2-like 1	BAIAP2L1	AA496034	Hs.584939	55971	chr7q21.3
219753_at	stromal antigen 3	STAG3	NM_012447	Hs.592283	10734	chr7q22.1
213906_at	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	MYBL1	AW592266	Hs.445898	4603	chr8q22
219557_s_at	nuclear receptor interacting protein 3	NRIP3	NM_020645	Hs.523467	56675	chr11p15.3
234173_s_at	nuclear RNA export factor 2 /// similar to nuclear RNA export factor 2 /// similar to nuclear RNA export factor 2	NXF2	AL157436	Hs.530358	56001, 650686, 653244	chrXq22.1
203554_x_at	pituitary tumor-transforming 1	PTTG1	NM_004219	Hs.350966	9232	chr5q35.1
218349_s_at	Zwilch, kinetochore associated, homolog (Drosophila)	ZWILCH	NM_017975	Hs.21331	55055	chr15q22.31
231018_at	hypothetical LOC342979	LOC342979	BF195936	Hs.444298	342979	chr19p13.12
225231_at	Cas-Br-M (murine) ecotropic retroviral transforming sequence	CBL	AI828967	Hs.504096	867	chr11q23.3
240950_s_at	hypothetical protein FLJ32658	FLJ32658	AA400740	Hs.373631	147872	chr19q13.33
229442_at	chromosome 18 open reading frame 54	C18orf54	BF059556	Hs.208701	162681	chr18q21.2
1554001_at	tripartite motif-containing 37	TRIM37	BC036012	Hs.579079	4591	chr17q23.2
207828_s_at	centromere protein F, 350/400ka (mitosin)	CENPF	NM_005196	Hs.497741	1063	chr1q32-q41
226537_at	histidine triad nucleotide binding protein 3	HINT3	AW418666	Hs.72325	135114	chr6q22.32
220840_s_at	chromosome 1 open reading frame 112	C1orf112	NM_018186	Hs.443551	55732	chr1q24.2
210546_x_at	cancer/testis antigen 1B /// cancer/testis antigen 1A /// similar to cancer/testis antigen 1A	CTAG1B	U87459	Hs.534310	1485, 246100, 653387	chrXq28
207020_at	heat shock transcription factor 2 binding protein	HSF2BP	NM_007031	Hs.406157	11077	chr21q22.3
227818_at	coiled-coil domain containing 21	CCDC21	AL133609	Hs.63795	64793	chr1p36.11
204703_at	intraflagellar transport 88 homolog (Chlamydomonas)	IFT88	NM_006531	Hs.187376	8100	chr13q12.1
212445_s_at	neural precursor cell expressed, developmentally down-regulated 4-like	NEDD4L	AI357376	Hs.185677	23327	chr18q21
1555514_a_at	protein inhibitor of activated STAT, 2	PIAS2	AF361054	Hs.514846	9063	chr18q21.1
1553199_at	WD repeat domain 21C	WDR21C	AA583332	Hs.371738	138009	chr8q21.3
211519_s_at	kinesin family member 2C	KIF2C	AY026505	Hs.69360	11004	chr1p34.1
202743_at	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	PIK3R3	BE622627	Hs.534951	8503	chr1p34.1
225802_at	topoisomerase (DNA) I, mitochondrial	TOP1MT	AW592604	Hs.528574	116447	chr8q24.3
210115_at	ribosomal protein L39-like	RPL39L	L05096	Hs.478582	116832	chr3q27
223700_at	meiotic nuclear divisions 1 homolog (S. cerevisiae)	MND1	AY028916	Hs.294088	84057	chr4q31.3
225752_at	non imprinted in Prader-Willi/Angelman syndrome 1	NIPA1	AI310524	Hs.511797	123606	chr15q11.2
206316_s_at	kinetochore associated 1	KNTC1	NM_014708	Hs.300559	9735	chr12q24.31
202178_at	protein kinase C, zeta	PRKCZ	NM_002744	Hs.496255	5590	chr1p36.33-p36.2
223624_at	AN1, ubiquitin-like, homolog (Xenopus laevis)	ANUBL1	AF311324	Hs.89029	93550	chr10q11.21
219306_at	kinesin family member 15	KIF15	NM_020242	Hs.307529	56992	chr3p21.31
1569729_a_at	ankyrin repeat, SAM and basic leucine zipper domain containing 1	ASZ1	BC034963	Hs.352412	136991	chr7q31.2
220618_s_at	zinc finger, CW type with PWWP domain 1	ZCWPW1	NM_017984	Hs.105191	55063	chr7q22.1
232398_at	hypothetical protein FLJ39660 /// hypothetical protein LOC642077	FLJ39660	AK001064	Hs.132519	284992, 642077	chr2q33.1
228347_at	Sine oculis homeobox homolog 1 (Drosophila)	SIX1	N79004	Hs.539969	6495	chr14q23.1
228774_at	centrosomal protein 78kDa	CEP78	AW268594	Hs.374421	84131	chr9q21.2
212533_at	WEE1 homolog (S. pombe)	WEE1	X62048	Hs.249441	7465	chr11p15.3-p15.1
223777_at	hypothetical protein MGC13005	MGC13005	BC005070	Hs.640228	84771	chr9p24.3
209153_s_at	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	TCF3	M31523	Hs.371282	6929	chr19p13.3
234192_s_at	G kinase anchoring protein 1	GKAP1	AK026487	Hs.522255	80318	chr9q21.32
225234_at	Cas-Br-M (murine) ecotropic retroviral transforming sequence	CBL	AV710415	Hs.504096	867	chr11q23.3
228175_at	CDNA FLJ31660 fis, clone NT2RI2004410	NA	AL137310	Hs.4749	NA	NA
213124_at	zinc finger protein 473	ZNF473	BG538800	Hs.440553	25888	chr19q13.33
1555141_a_at	CG10806-like	LOC150159	BC022079	Hs.444955	150159	chr4q24
240301_at	developmental pluripotency associated 2	DPPA2	AI204212	Hs.351113	151871	chr3q13.13
226287_at	coiled-coil domain containing 34	CCDC34	AI458313	Hs.143733	91057	chr11p14.1
217559_at	ribosomal protein L10-like	RPL10L	AI001784	Hs.308332	140801	chr14q13-q21
220623_s_at	testis specific, 10	TSGA10	NM_025244	Hs.120267	80705	chr2q11.2
218480_at	hypothetical protein FLJ21839	FLJ21839	NM_021831	Hs.138207	60509	chr2p23.3
232680_at	hepatoma derived growth factor-like 1	HDGFL1	AI352424	Hs.97124	154150	chr6p22.3
