Probe Set	FC(C)	P(C)	Gene	Gene ID	Unigene	Chromosome	Description
201328_at	-5	0.002	ETS2	2114	Hs.517296	21q22.3	v-ets erythroblastosis virus E26 oncogene homolog 2
201842_s_at	-5	0.002	EFEMP1	2202	Hs.76224	2p16	EGF-containing fibulin-like extracellular matrix protein 1
209335_at	-5	0.002	DCN	1634	Hs.156316	12q13.2	decorin
222172_at	-4	0.002	NPAS3	64067	Hs.509113	14q12-q13	neuronal PAS domain protein 3
222269_at	-4	0.002	CXorf33	139322	Hs.512181	Xq21.1	AAIR8193
201010_s_at	-3	0.002	TXNIP	10628	Hs.533977	1q21.2	thioredoxin interacting protein
201560_at	-3	0.002	CLIC4	25932	Hs.440544	1p36.11	chloride intracellular channel 4
206332_s_at	-3	0.002	IFI16	3428	Hs.380250	1q22	interferon, gamma-inducible protein 16
207545_s_at	-3	0.002	NUMB	8650	Hs.509909	14q24.3	numb homolog (Drosophila)
211476_at	-3	0.002	MYOZ2	51778	Hs.381047	4q26-q27	myozenin 2
212203_x_at	-3	0.002	IFITM3	10410	Hs.374650	11p15.5	interferon induced transmembrane protein 3 (1-8U)
212812_at	-3	0.002	FLJ22642		Hs.288232		hypothetical protein FLJ22642
208420_x_at	-2	0.002	SUPT6H	6830	Hs.250429	17q11.2	suppressor of Ty 6 homolog (S. cerevisiae)
215259_s_at	-2	0.002	IGSF4C	199731	Hs.370984	19q13.32	immunoglobulin superfamily, member 4C
213933_at	-28	0.003	PTGER3	5733	Hs.445000	1p31.2	prostaglandin E receptor 3 (subtype EP3)
209596_at	-8	0.003	DKFZp564I1922	25878	Hs.369422	Xp22.33	adlican
208548_at	-6	0.003	IFNA6	3443	Hs.533470	9p22	interferon, alpha 2
221690_s_at	-6	0.003	NALP2	55655	Hs.369279	19q13.42	NACHT, leucine rich repeat and PYD containing 2
221266_s_at	-5	0.003	TM7SF4	81501	Hs.208036	8q23	DC-specific transmembrane protein
201185_at	-3	0.003	PRSS11	5654	Hs.501280	10q26.3	protease, serine, 11 (IGF binding)
218501_at	-3	0.003	ARHGEF3	50650	Hs.476402	3p21-p13	Rho guanine nucleotide exchange factor (GEF) 3
201445_at	-2	0.003	CNN3	1266	Hs.483454	1p22-p21	calponin 3, acidic
202310_s_at	-2	0.003	COL1A1	1277	Hs.172928	17q21.3-q22.1	collagen, type I, alpha 1
220273_at	-2	0.003	IL17B	27190	Hs.409558	5q32-34	interleukin 17B
222156_x_at	-2	0.003	CCPG1	9236	Hs.285051	15q21.1	cell cycle progression 8 protein
203074_at	-28	0.004	ANXA8	244	Hs.463110	10q11.2	annexin A8
205505_at	-20	0.004	GCNT1	2650	Hs.521568	9q13	glucosaminyl (N-acetyl) transferase 1, core 2
219304_s_at	-18	0.004	PDGFD	80310	Hs.352298	11q22.3	platelet derived growth factor D
222168_at	-17	0.004	ALDH1A3	220	Hs.459538	15q26.3	aldehyde dehydrogenase 1 family, member A3
201269_s_at	-9	0.004	KIAA1068	23386	Hs.488171	7p13-p12	KIAA1068 protein
221124_s_at	-7	0.004	VSX1	30813	Hs.274264	20p11.23-p11.22	visual system homeobox 1 homolog, CHX10-like (zebrafish)
203178_at	-4	0.004	GATM	2628	Hs.75335	15q15.1	glycine amidinotransferase
214307_at	-4	0.004	HGD	3081	Hs.368254	3q21-q23	homogentisate 1,2-dioxygenase (homogentisate oxidase)
201081_s_at	-3	0.004	PIP5K2B	8396	Hs.260603	17q21.2	phosphatidylinositol-4-phosphate 5-kinase, type II, beta
222210_at	-3	0.004	CASKIN2	57513	Hs.274408	17q25.3	CASK interacting protein 2
214466_at	-2	0.004	GJA5	2702	Hs.447968	1q21.1	gap junction protein, alpha 5, 40kDa (connexin 40)
205081_at	-16	0.005	CRIP1	1396	Hs.70327	7q11.23	cysteine-rich protein 1 (intestinal)
220539_at	-10	0.005	C10orf92	54777	Hs.501570	10q26.3	chromosome 10 open reading frame 92
221872_at	-9	0.005	RARRES1	5918	Hs.131269	3q25.32	retinoic acid receptor responder (tazarotene induced) 1
217767_at	-8	0.005	C3	718	Hs.529053	19p13.3-p13.2	complement component 3
208925_at	-6	0.005	C3orf4	56650	Hs.107393	3p11-q11	chromosome 3 open reading frame 4
211872_s_at	-6	0.005	RGS11	8786	Hs.65756	16p13.3	regulator of G-protein signalling 11
213147_at	-6	0.005	HOXA10	3206	Hs.110637	7p15-p14	homeo box A10
217088_s_at	-6	0.005	NCR1	9437	Hs.97084	19q13.42	natural cytotoxicity triggering receptor 1
214297_at	-5	0.005	CSPG4	1464	Hs.513044	15q23	chondroitin sulfate proteoglycan 4 (melanoma-associated)
221836_s_at	-4	0.005	T1	83696	Hs.26814	8q24.3	Tularik gene 1
201678_s_at	-2	0.005	DC12	56941	Hs.458320	3q21.3	DC12 protein
208441_at	-2	0.005	IGF1R	3480	Hs.20573	15q26.3	insulin-like growth factor 1 receptor
222151_s_at	-2	0.005	Cep63	80254	Hs.443301	3q22.1	hypothetical protein FLJ13386
209763_at	-15	0.006	CHRDL1	91851	Hs.496587	Xq23	chordin-like 1
204457_s_at	-10	0.006	GAS1	2619	Hs.65029	9q21.3-q22	growth arrest-specific 1
220664_at	-8	0.006	SPRR2C	6702	Hs.2421	1q21-q22	small proline-rich protein 2B
209912_s_at	-7	0.006	KIAA0415	9907	Hs.487393	7p22.2	KIAA0415 gene product
201666_at	-6	0.006	TIMP1	7076	Hs.522632	Xp11.3-p11.23	tissue inhibitor of metalloproteinase 1
209699_x_at	-5	0.006	AKR1C2	1646	Hs.460260	10p15-p14	aldo-keto reductase family 1, member C1
220111_s_at	-5	0.006	TMEM16B	57101	Hs.148970	12p13.3	transmembrane protein 16B
209289_at	-4	0.006	NFIB	4781	Hs.370359	9p24.1	nuclear factor I/B
207822_at	-3	0.006	FGFR1	2260	Hs.264887	8p11.2-p11.1	fibroblast growth factor receptor 1
32541_at	-2	0.006	PPP3CC	5533	Hs.149413	8p21.2	protein phosphatase 3, catalytic subunit, gamma isoform
215581_s_at	-2	0.006	MCM3AP	8888	Hs.389037	21q22.3	MCM3 minichromosome maintenance deficient 3 associated protein
218892_at	-2	0.006	DCHS1	8642	Hs.199850	11p15.4	protocadherin 16 dachsous-like (Drosophila)
210690_at	-15	0.007	KLRC4	8302	Hs.268510	12p13.2-p12.3	killer cell lectin-like receptor subfamily C, member 4
207269_at	-9	0.007	DEFA4	1669	Hs.2582	8p23	defensin, alpha 4, corticostatin
203483_at	-7	0.007	C10orf6	55719	Hs.447458	10q24.32	sema domain, Ig domain, transmembrane domain and short cytoplasmic domain, 4G
214122_at	-6	0.007	PDLIM7	9260	Hs.533040	5q35.3	PDZ and LIM domain 7 (enigma)
214714_at	-5	0.007	ZNF394	84124	Hs.386324	7q22.1	zinc finger protein 394
218718_at	-5	0.007	PDGFC	56034	Hs.148162	4q32	platelet derived growth factor C
201315_x_at	-4	0.007	IFITM2	10581	Hs.174195	11p15.5	interferon induced transmembrane protein 3 (1-8U)
205008_s_at	-4	0.007	CIB2	10518	Hs.129867	15q24	calcium and integrin binding family member 2
200633_at	-3	0.007	UBB	7314	Hs.356190	2p16	ribosomal protein S27a
201618_x_at	-2	0.007	GPAA1	8733	Hs.4742	8q24.3	GPAA1P anchor attachment protein 1 homolog (yeast)
204154_at	-2	0.007	CDO1	1036	Hs.442378	5q22-q23	cysteine dioxygenase, type I
207919_at	-2	0.007	ART1	417	Hs.382188	11p15	ADP-ribosyltransferase 1
210301_at	-2	0.007	XDH	7498	Hs.250	2p23-p22	xanthine dehydrogenase
205765_at	-23	0.008	CYP3A5	1577	Hs.150276	7q21.1	cytochrome P450, family 3, subfamily A, polypeptide 5
221841_s_at	-15	0.008	KLF4	9314	Hs.376206	9q31	Kruppel-like factor 4 (gut)
215389_s_at	-7	0.008	TNNT2	7139	Hs.533613	1q32	troponin T2, cardiac
216428_x_at	-7	0.008	FLJ00060	90011	Hs.288520	19q13.42	hypothetical gene FLJ00060
207357_s_at	-6	0.008	GALNT10	55568	Hs.34421	5q33.2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10
203973_s_at	-4	0.008	CEBPD	1052	Hs.440829	8p11.2-p11.1	CCAAT/enhancer binding protein (C/EBP), delta
206534_at	-4	0.008	GRIN2A	2903	Hs.411472	16p13.2	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
211457_at	-4	0.008	GABARAPL3	23766	Hs.546646	12p13.31	GABA(A) receptor-associated protein like 1
201464_x_at	-3	0.008	JUN	3725	Hs.525704	1p32-p31	v-jun sarcoma virus 17 oncogene homolog (avian)
202145_at	-3	0.008	LY6E	4061	Hs.521903	8q24.3	lymphocyte antigen 6 complex, locus E
206000_at	-2	0.008	MEP1A	4224	Hs.179704	6p12-p11	meprin A, alpha (PABA peptide hydrolase)
218863_s_at	-2	0.008	TNS	7145	Hs.471381	2q35-q36	tensin
220053_at	-2	0.008	GDF3	9573	Hs.86232	12p13.1	growth differentiation factor 3
220803_at	-2	0.008	DKFZp761K1824	55541	Hs.16229	10q23.32	associated molecule with the SH3 domain of STAM like protein
213689_x_at	-29	0.009	RPL5	6125	Hs.180946	1p22.1	ribosomal protein L5
207678_s_at	-5	0.009	SOX30	11063	Hs.529462	5q33	SRY (sex determining region Y)-box 30
222176_at	-5	0.009	PTEN	5728	Hs.500466	10q23.3	phosphatase and tensin homolog
203934_at	-4	0.009	KDR	3791	Hs.479756	4q11-q12	kinase insert domain receptor
208623_s_at	-4	0.009	VIL2	7430	Hs.487027	6q25.2-q26	villin 2 (ezrin)
202291_s_at	-3	0.009	MGP	4256	Hs.365706	12p13.1-p12.3	matrix Gla protein
207752_x_at	-3	0.009	PRB1	5542	Hs.283658	12p13.2	proline-rich protein BstNI subfamily 3
217058_at	-3	0.009	GNAS	2778	Hs.125898	20q13.2-q13.3	GNAS complex locus
220258_s_at	-3	0.009	FLJ10385	55135	Hs.437460	17p13.2	hypothetical protein FLJ10385
218296_x_at	-2	0.009	FLJ10504	55154	Hs.279763	1q22	misato
200012_x_at	-1	0.009	RPL21	6144	Hs.381123	4q12	similar to 60S ribosomal protein L21
217649_at	-19	0.01	ZA20D2	7763	Hs.406096	9q13-q21	zinc finger protein 216
204749_at	-18	0.01	NAP1L3	4675	Hs.21365	Xq21.3-q22	nucleosome assembly protein 1-like 3
217452_s_at	-18	0.01	B3GALT2	8707	Hs.518834	1q31	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
203661_s_at	-11	0.01	TMOD1	7111	Hs.404289	9q22.3	tropomodulin 1
204355_at	-10	0.01	DHX30	22907	Hs.517948	3p21.31	DEAH (Asp-Glu-Ala-His) box polypeptide 30
204059_s_at	-9	0.01	ME1	4199	Hs.21160	6q12	malic enzyme 1, NADP(+)-dependent, cytosolic
206634_at	-8	0.01	SIX3	6496	Hs.227277	2p16-p21	sine oculis homeobox homolog 3 (Drosophila)
215238_s_at	-8	0.01	DOCK9	23348	Hs.314413	13q32.3	dedicator of cytokinesis 9
201650_at	-7	0.01	KRT19	3880	Hs.514167	17q21.2	keratin 19
204306_s_at	-7	0.01	CD151	977	Hs.512857	11p15.5	CD151 antigen
215981_at	-7	0.01		388113	Hs.408743	15q14	hypothetical gene supported by BC035481
219196_at	-7	0.01	SCG3	29106	Hs.232618	15q21	secretogranin III
203071_at	-6	0.01	SEMA3B	7869	Hs.82222	3p21.3	sema domain, Ig domain, short basic domain, secreted, 3B
205675_at	-6	0.01	MTP	4547	Hs.195799	4q24	microsomal triglyceride transfer protein
216420_at	-6	0.01	TARDBPL	128682		20p12.3	TAR DNA binding protein-like
201280_s_at	-5	0.01	DAB2	1601	Hs.481980	5p13	disabled homolog 2, mitogen-responsive phosphoprotein
206389_s_at	-5	0.01	PDE3A	5139	Hs.386791	12p12	phosphodiesterase 3A, cGMP-inhibited
211866_x_at	-5	0.01	HFE	3077	Hs.233325	6p21.3	hemochromatosis
200891_s_at	-4	0.01	SSR1	6745	Hs.114033	6p24.3	signal sequence receptor, alpha
202340_x_at	-4	0.01	NR4A1	3164	Hs.524430	12q13	nuclear receptor subfamily 4, group A, member 1
205577_at	-4	0.01	PYGM	5837	Hs.154084	11q12-q13.2	phosphorylase, glycogen; muscle
208218_s_at	-4	0.01	ACVR1B	91	Hs.438918	12q13	activin A receptor, type IB
208727_s_at	-4	0.01	CDC42	998	Hs.467637	1p36.1	cell division cycle 42 (GTP binding protein, 25kDa)
209854_s_at	-4	0.01	KLK2	3817	Hs.515560	19q13.41	kallikrein 2, prostatic
211897_s_at	-4	0.01	CRHR1	1394	Hs.417628	17q12-q22	corticotropin releasing hormone receptor 1
214070_s_at	-4	0.01	ATP10B	23120	Hs.109358	5q34	ATPase, Class V, type 10B
219955_at	-4	0.01	FLJ10884	54596	Hs.135693	1p32.1	hypothetical protein FLJ10884
204467_s_at	-3	0.01	SNCA	6622	Hs.271771	4q21	synuclein, alpha (non A4 component of amyloid precursor)
204864_s_at	-3	0.01	IL6ST	3572	Hs.532082	5q11	interleukin 6 signal transducer
204976_s_at	-3	0.01	AMMECR1	9949	Hs.211021	Xq22.3	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1
205990_s_at	-3	0.01	WNT5A	7474	Hs.152213	3p21-p14	wingless-type MMTV integration site family, member 5A
208410_x_at	-3	0.01	AMELX	265	Hs.46329	Xp22.31-p22.1	amelogenin (amelogenesis imperfecta 1, X-linked)
209001_s_at	-3	0.01	ANAPC13	25847	Hs.106909	3q22.1	anaphase promoting complex subunit 13
209554_at	-3	0.01	CD36	948	Hs.120949	7q11.2	CD36 antigen
212244_at	-3	0.01	GRINL1A	81488	Hs.437256	15q22.1	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A
214962_s_at	-3	0.01	NUP160	23279	Hs.372099	11p11.12	nucleoporin 160kDa
215049_x_at	-3	0.01	CD163	9332	Hs.504641	12p13.3	CD163 antigen
215675_at	-3	0.01	TEF	85370	Hs.181159	22q13	thyrotrophic embryonic factor
217434_at	-3	0.01	MC2R	4158	Hs.248144	18p11.2	melanocortin 2 receptor (adrenocorticotropic hormone)
217590_s_at	-3	0.01	TRPA1	8989	Hs.137674	8q13	transient receptor potential cation channel, subfamily A, member 1
220107_s_at	-3	0.01	C14orf140	79696	Hs.48642	14q24.2	chromosome 14 open reading frame 140
221785_at	-3	0.01	WIZ	58525	Hs.442138	19p13.1	widely-interspaced zinc finger motifs
202920_at	-2	0.01	ANK2	287	Hs.409783	4q25-q27	ankyrin 2, neuronal
203191_at	-2	0.01	ABCB6	10058	Hs.107911	2q36	ATP-binding cassette, sub-family B (MDR/TAP), member 6
203502_at	-2	0.01	BPGM	669	Hs.198365	7q31-q34	2,3-bisphosphoglycerate mutase
205528_s_at	-2	0.01	CBFA2T1	862	Hs.368431	21q22.3	runt-related transcription factor 1
209779_at	-2	0.01	MGC14817	84298	Hs.504820	12q14.2	hypothetical protein MGC14817
212777_at	-2	0.01	SOS1	6654	Hs.278733	2p22-p21	son of sevenless homolog 1 (Drosophila)
212818_s_at	-2	0.01	ASB1	51665	Hs.516788	2q37	ankyrin repeat and SOCS box-containing 1
214604_at	-2	0.01	HOXD11	3237	Hs.421136	2q31.1	homeo box D11
217539_at	-2	0.01	C18orf25	147339	Hs.116486	18q21.1	chromosome 18 open reading frame 25
218429_s_at	-2	0.01	FLJ11286	55337	Hs.175120	19p13.2	hypothetical protein FLJ11286
220683_at	-2	0.01	RDH8	50700	Hs.272405	19p13.2-p13.3	retinol dehydrogenase 8 (all-trans)
202169_s_at	-1	0.01	AASDHPPT	60496	Hs.524009	11q22	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
210427_x_at	-1	0.01	ANXA2	302	Hs.511605	15q21-q22	annexin A2
211403_x_at	-1	0.01	VCX3	51481	Hs.278906	Xp22.32	variable charge, X-linked 2
204755_x_at	-32	0.02	HLF	3131	Hs.196952	17q22	hepatic leukemia factor
205626_s_at	-30	0.02	CALB1	793	Hs.65425	8q21.3-q22.1	calbindin 1, 28kDa
211276_at	-20	0.02	TCEAL2	140597	Hs.401835	Xq22.1-q22.3	my048 protein
206581_at	-18	0.02	BNC1	646	Hs.459153	15q25.1	basonuclin 1
209360_s_at	-15	0.02	RUNX1	861	Hs.149261	21q22.3	runt-related transcription factor 1
201155_s_at	-13	0.02	MFN2	9927	Hs.376681	1p36.21	mitofusin 2
204364_s_at	-13	0.02	C2orf23	65055	Hs.368884	2p11.2	chromosome 2 open reading frame 23
203851_at	-12	0.02	IGFBP6	3489	Hs.274313	12q13	insulin-like growth factor binding protein 6
201744_s_at	-11	0.02	LUM	4060	Hs.406475	12q21.3-q22	lumican
207480_s_at	-11	0.02	MEIS2	4212	Hs.510989	15q13.3	Meis1, myeloid ecotropic viral integration site 1 homolog 2
212344_at	-11	0.02	SULF1	23213	Hs.409602	8q13.2	sulfatase 1
203595_s_at	-10	0.02	IFIT5	24138	Hs.252839	10q23.32	interferon-induced protein with tetratricopeptide repeats 5
210954_s_at	-8	0.02	KIAA0669	9819	Hs.52526	3q25.1	KIAA0669 gene product
217546_at	-8	0.02	MT1G	4495	Hs.188518	16q13	metallothionein 1G
220087_at	-8	0.02	BCMO1	53630	Hs.212172	16q21-q23	beta-carotene 15,15-monooxygenase 1
220097_s_at	-8	0.02	FLJ20255	54868	Hs.370262	17q25.2	hypothetical protein FLJ20255
221766_s_at	-8	0.02	FAM46A	55603	Hs.10784	6q14	chromosome 6 open reading frame 37
201117_s_at	-7	0.02	CPE	1363	Hs.75360	4q32.3	carboxypeptidase E
207826_s_at	-7	0.02	ID3	3399	Hs.76884	1p36.13-p36.12	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
208287_at	-7	0.02	HCG9	10255	Hs.511741	6p21.3	HLA complex group 9
215663_at	-7	0.02	MBNL1	4154	Hs.28578	3q25	muscleblind-like (Drosophila)
220205_at	-7	0.02	TPTE	7179	Hs.122986	21p11	transmembrane phosphatase with tensin homology
207349_s_at	-6	0.02	UCP3	7352	Hs.101337	11q13	uncoupling protein 3 (mitochondrial, proton carrier)
214247_s_at	-6	0.02	DKK3	27122	Hs.292156	11p15.2	dickkopf homolog 3 (Xenopus laevis)
217584_at	-6	0.02	NPC1	4864	Hs.464779	18q11-q12	Niemann-Pick disease, type C1
220247_at	-6	0.02	AF15Q14	57082	Hs.181855	15q14	AF15q14 protein
53202_at	-5	0.02	C7orf25	79020	Hs.214247	7p14-p11.2	chromosome 7 open reading frame 25
200986_at	-5	0.02	SERPING1	710	Hs.384598	11q12-q13.1	serine proteinase inhibitor, clade G, member 1
202833_s_at	-5	0.02	SERPINA1	5265	Hs.525557	14q32.1	serine proteinase inhibitor, clade A, member 1
207775_at	-5	0.02	MGC4859	79150	Hs.547131	7p	hypothetical protein MGC4859 similar to HSPA8
209113_s_at	-5	0.02	HMG20B	10362	Hs.406534	19p13.3	high-mobility group 20B
215014_at	-5	0.02	DKFZp547P042		Hs.485819	1	cDNA DKFZp547P042
217429_at	-5	0.02	TTLL2	83887	Hs.520554	6q27	tubulin tyrosine ligase-like family, member 2
218729_at	-5	0.02	LXN	56925	Hs.478067	3q25.32	latexin
220600_at	-5	0.02	FLJ20211	54859	Hs.311100	3p21.31	hypothetical protein FLJ20211
221127_s_at	-5	0.02	RIG	10530	Hs.292156	11p15.1	regulated in glioma
200075_s_at	-4	0.02	GUK1	2987	Hs.376933	1q32-q41	guanylate kinase 1
200953_s_at	-4	0.02	CCND2	894	Hs.376071	12p13	cyclin D2
201508_at	-4	0.02	IGFBP4	3487	Hs.462998	17q12-q21.1	insulin-like growth factor binding protein 4
202391_at	-4	0.02	BASP1	10409	Hs.201641	5p15.1-p14	brain abundant, membrane attached signal protein 1
203686_at	-4	0.02	MPG	4350	Hs.459596	16p13.3	N-methylpurine-DNA glycosylase
203941_at	-4	0.02	FLJ10871	55756	Hs.162397	8p21.1	hypothetical protein FLJ10871
206043_s_at	-4	0.02	KIAA0703	9914	Hs.6168	16q24.1	KIAA0703 gene product
206903_at	-4	0.02	ENDOGL1	9941	Hs.517897	3p21.3	endonuclease G-like 1
207595_s_at	-4	0.02	BMP1	649	Hs.1274	8p21	bone morphogenetic protein 1
208933_s_at	-4	0.02	WAC	51322	Hs.435610	1q42-q43	lectin, galactoside-binding, soluble, 8 (galectin 8)
209840_s_at	-4	0.02	LRRN3	54674	Hs.3781	7q31.1	leucine rich repeat neuronal 3
211421_s_at	-4	0.02	RET	5979	Hs.350321	14q32.12-q32.13	ret proto-oncogene
211469_s_at	-4	0.02	CXCR6	10663	Hs.34526	3p21	chemokine (C-X-C motif) receptor 6
211959_at	-4	0.02	IGFBP5	3488	Hs.369982	2q33-q36	insulin-like growth factor binding protein 5
217178_at	-4	0.02	RARG	5916	Hs.1497	12q13	retinoic acid receptor, gamma
217688_at	-4	0.02	ADCY2	254679	Hs.418545	5p15.3	adenylate cyclase 2 (brain)
221289_at	-4	0.02	DLX6	1750	Hs.249196	7q22	distal-less homeo box 6
35617_at	-3	0.02	MAPK7	5598	Hs.150136	17p11.2	mitogen-activated protein kinase 7
200797_s_at	-3	0.02	MCL1	4170	Hs.532826	1q21	myeloid cell leukemia sequence 1 (BCL2-related)
202388_at	-3	0.02	RGS2	5997	Hs.78944	1q31	regulator of G-protein signalling 2, 24kDa
202518_at	-3	0.02	BCL7B	9275	Hs.408219	7q11.23	B-cell CLL/lymphoma 7B
202581_at	-3	0.02	HSPA1B	3304	Hs.274402	6q14.1	chemokine (C-C motif) receptor 5
203789_s_at	-3	0.02	SEMA3C	10512	Hs.269109	7q21-q31	sema domain, Ig domain, short basic domain, secreted, 3C
204870_s_at	-3	0.02	PCSK2	5126	Hs.315186	20p11.2	proprotein convertase subtilisin/kexin type 2
206084_at	-3	0.02	PTPRR	5801	Hs.506076	12q15	protein tyrosine phosphatase, receptor type, R
206546_at	-3	0.02	SYCP2	10388	Hs.202676	20q13.33	synaptonemal complex protein 2
207001_x_at	-3	0.02	DSIPI	1831	Hs.522074	Xq22.3	delta sleep inducing peptide, immunoreactor
207951_at	-3	0.02	CSN2	1447	Hs.2242	4q21.1	casein beta
208451_s_at	-3	0.02	C4B	721	Hs.546241	6p21.3	complement component 4A
208605_s_at	-3	0.02	NTRK1	4914	Hs.406293	1q21-q22	neurotrophic tyrosine kinase, receptor, type 1
208949_s_at	-3	0.02	LGALS3	3958	Hs.531081	14q21-q22	lectin, galactoside-binding, soluble, 3 (galectin 3)
212096_s_at	-3	0.02	MTUS1	57509	Hs.7946	8p22	mitochondrial tumor suppressor 1
212615_at	-3	0.02	CHD9	80205	Hs.530936	16q12.2	hypothetical protein FLJ12178
214518_at	-3	0.02	PDHA2	5161	Hs.131361	4q22-q23	pyruvate dehydrogenase (lipoamide) alpha 2
214539_at	-3	0.02	SERPINB10	5273	Hs.158339	18q21.3	serine proteinase inhibitor, clade B, member 10
215001_s_at	-3	0.02	GLUL	2752	Hs.518525	1q31	glutamate-ammonia ligase (glutamine synthase)
216481_at	-3	0.02	GRIP2	80852	Hs.517819	3p24-p23	glutamate receptor interacting protein 2
216602_s_at	-3	0.02	FARSLA	2193	Hs.23111	19p13.2	phenylalanine-tRNA synthetase-like, alpha subunit
217213_at	-3	0.02	SLC6A2	6530	Hs.78036	16q12.2	solute carrier family 6, member 2
218120_s_at	-3	0.02	HMOX2	3163	Hs.284279	16p13.3	heme oxygenase (decycling) 2
219369_s_at	-3	0.02	OTUB2	78990	Hs.278815	14q32.13	OTU domain, ubiquitin aldehyde binding 2
220246_at	-3	0.02	CAMK1D	57118	Hs.156723	10p14	calcium/calmodulin-dependent protein kinase ID
200748_s_at	-2	0.02	FTH1	2495	Hs.446345	11q13	ferritin, heavy polypeptide 1
200902_at	-2	0.02	15-Sep	9403	Hs.362728	1p31	15 kDa selenoprotein
201565_s_at	-2	0.02	ID2	3398	Hs.180919	2p25	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
201778_s_at	-2	0.02	KIAA0494	9813	Hs.100874	1pTER-p22.1	KIAA0494 gene product
203188_at	-2	0.02	B3GNT6	11041	Hs.8526	11q13.1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6
207059_at	-2	0.02	PAX9	5083	Hs.132576	14q12-q13	paired box gene 9
207609_s_at	-2	0.02	CYP1A2	1544	Hs.1361	15q22-qTER	cytochrome P450, family 1, subfamily A, polypeptide 2
207736_s_at	-2	0.02	TNP2	7142	Hs.513349	16p13.13	transition protein 2
209735_at	-2	0.02	ABCG2	9429	Hs.480218	4q22	ATP-binding cassette, sub-family G (WHITE), member 2
209859_at	-2	0.02	TRIM9	114088	Hs.368928	14q22.1	tripartite motif-containing 9
209880_s_at	-2	0.02	SELPLG	6404	Hs.506670	12q24	selectin P ligand
211316_x_at	-2	0.02	CFLAR	8837	Hs.390736	2q33-q34	CASP8 and FADD-like apoptosis regulator
