Probe set	Gene Symbol	Accession	Entrez Gene ID	Cytoband	p-value
204232_at	FCER1G	NM_004106	2207	1q23	3,25E-07
213702_x_at	ASAH1	AI934569	427	8p22-p21.3	3,36E-07
200766_at	CTSD	NM_001909	1509	11p15.5	3,37E-07
1555419_a_at	ASAH1	BC016828	427	8p22-p21.3	3,43E-07
201109_s_at	THBS1	AV726673	7057	15q15	3,65E-07
200989_at	HIF1A	NM_001530	3091	14q21-q24	3,73E-07
225154_at	SYAP1	BG029566	94056	Xp22.2	3,73E-07
202442_at	AP3S1	NM_001284	1176	5q22	3,95E-07
201999_s_at	DYNLT1	NM_006519	6993	6q25.2-q25.3	3,99E-07
1554899_s_at	FCER1G	BC020763	2207	1q23	4,00E-07
225282_at	SMAP2	AL137764	64744	1p35.3-p34.1	4,09E-07
200798_x_at	MCL1	NM_021960	4170	1q21	4,25E-07
208702_x_at	APLP2	AI525212	334	11q23-q25|11q24	4,42E-07
211275_s_at	GYG1	AF087942	2992	3q24-q25.1	4,56E-07
201244_s_at	RAF1	NM_002880	5894	3p25	4,57E-07
219434_at	TREM1	NM_018643	54210	6p21.1	4,63E-07
221840_at	PTPRE	AA775177	5791	10q26	4,96E-07
201471_s_at	SQSTM1	NM_003900	8878	5q35	5,20E-07
202362_at	RAP1A	NM_002884	5906	1p13.3	5,30E-07
224164_at	TPM3	AY004867	7170	1q21.2	5,53E-07
217738_at	NAMPT	BF575514	10135	7q22.2	5,57E-07
209949_at	NCF2	BC001606	4688	1q25	5,61E-07
223199_at	MKNK2	AA404592	2872	19p13.3	5,87E-07
210754_s_at	LYN	M79321	4067	8q13	5,93E-07
203761_at	SLA	NM_006748	6503	8q22.3-qter|8q24	6,17E-07
215223_s_at	SOD2	W46388	6648	6q25.3	6,89E-07
200078_s_at	ATP6V0B	BC005876	533	1p32.3	7,05E-07
226554_at	ZBTB7A	AW445134	51341	19p13.3	7,17E-07
203167_at	TIMP2	NM_003255	7077	17q25	7,32E-07
201422_at	IFI30	NM_006332	NA	19p13.1	7,42E-07
203175_at	RHOG	NM_001665	391	11p15.5-p15.4	7,63E-07
200998_s_at	CKAP4	AW029619	10970	12q23.3	7,71E-07
214575_s_at	AZU1	NM_001700	566	19p13.3	8,14E-07
205681_at	BCL2A1	NM_004049	597	15q24.3	8,72E-07
208943_s_at	SEC62	U93239	7095	3q26.2	8,92E-07
225373_at	C10orf54	BE271644	64115	10q22.1	8,93E-07
203508_at	TNFRSF1B	NM_001066	7133	1p36.3-p36.2	9,20E-07
204961_s_at	LOC648998 /// NCF1 /// NCF1B /// NCF1C	NM_000265	4687	7q11.23	9,24E-07
206245_s_at	IVNS1ABP	NM_006469	10625	1q25.1-q31.1	9,27E-07
209184_s_at	IRS2	BF700086	8660	13q34	9,28E-07
206157_at	PTX3	NM_002852	5806	3q25	9,35E-07
207802_at	CRISP3	NM_006061	10321	6p12.3	9,43E-07
200655_s_at	CALM1 /// CALM2 /// CALM3	NM_006888	801	14q24-q31 /// 19q13.2-q13.3 /// 2p21	9,46E-07
224796_at	ASAP1	W03103	50807	8q24.1-q24.2	9,59E-07
201285_at	MKRN1	NM_013446	23608	7q34	1,06E-06
211506_s_at	IL8	AF043337	3576	4q13-q21	1,06E-06
213350_at	RPS11	BF680255	6205	19q13.3	1,07E-06
201409_s_at	PPP1CB	NM_002709	5500	2p23	1,16E-06
201963_at	ACSL1	NM_021122	2180	4q34-q35	1,20E-06
222235_s_at	CSGALNACT2	AL139812	55454	10q11.21	1,21E-06
225287_s_at	TMEM55B	AI992151	90809	14q11.2	1,22E-06
224897_at	WDR26	BF510490	80232	1q42.11	1,32E-06
205831_at	CD2	NM_001767	914	1p13	1,32E-06
235536_at	SNORD89	AI640483	440892	2q11.2	1,33E-06
228153_at	RNF144B	AI953847	255488	6p22.3	1,33E-06
225612_s_at	B3GNT5	BE672260	84002	3q28	1,40E-06
224573_at	RNASEK	BE744389	440400	17p13.1	1,40E-06
244492_at	NA	BF357738	6503	NA	1,41E-06
226267_at	JDP2	AA716425	122953	14q24.3	1,42E-06
227935_s_at	PCGF5	AA522681	84333	10q23.32	1,50E-06
219402_s_at	DERL1	NM_024295	79139	8q24.13	1,50E-06
226275_at	MXD1	AI188653	4084	2p13-p12	1,51E-06
266_s_at	CD24	L33930	934	6q21	1,53E-06
202084_s_at	SEC14L1	NM_003003	6397	17q25.1-q25.2	1,55E-06
201336_at	VAMP3	BC003570	9341	1p36.23	1,58E-06
209771_x_at	CD24	AA761181	934	6q21	1,59E-06
223880_x_at	C20orf24	BC004446	55969	20q11.23	1,67E-06
224791_at	ASAP1	AW513835	50807	8q24.1-q24.2	1,67E-06
1555638_a_at	SAMSN1	AF519621	64092	21q11	1,72E-06
1554149_at	CLDND1	BC013610	56650	3q12.1	1,77E-06
202228_s_at	NPTN	NM_017455	27020	15q22	1,78E-06
226970_at	FBXO33	AI690694	254170	14q21.1	1,81E-06
227621_at	WTAP	BE464729	9589	6q25-q27	1,86E-06
40446_at	PHF1	AL021366	5252	6p21.3	1,86E-06
217835_x_at	C20orf24	NM_018840	55969	20q11.23	1,93E-06
202537_s_at	CHMP2B	AF151842	25978	3p11.2	1,95E-06
212242_at	TUBA4A	AL565074	7277	2q35	1,97E-06
1554390_s_at	ACTR2	BC036253	10097	2p14	2,10E-06
227645_at	PIK3R5	BG236366	23533	17p13.1	2,16E-06
200653_s_at	CALM1 /// CALM2 /// CALM3	M27319	801	14q24-q31 /// 19q13.2-q13.3 /// 2p21	2,19E-06
209367_at	STXBP2	AB002559	6813	19p13.3-p13.2	2,33E-06
205403_at	IL1R2	NM_004633	7850	2q12-q22	2,37E-06
231422_x_at	TYSND1	AI345813	219743	10q22.1	2,38E-06
208438_s_at	FGR	NM_005248	2268	1p36.2-p36.1	2,41E-06
228532_at	C1orf162	AW662189	128346	1p13.2	2,74E-06
216379_x_at	CD24	AK000168	934	6q21	2,95E-06
204174_at	ALOX5AP	NM_001629	241	13q12	2,99E-06
206871_at	ELA2	NM_001972	1991	19p13.3	3,09E-06
223398_at	C9orf89	BC004500	84270	9q22.31	3,12E-06
227309_at	YOD1	AI982535	55432	1q32.1	3,25E-06
207785_s_at	RBPJ	NM_015874	3516	4p15.2	3,38E-06
202119_s_at	CPNE3	NM_003909	8895	8q21.3	3,42E-06
211404_s_at	APLP2	BC004371	334	11q23-q25|11q24	3,45E-06
206177_s_at	ARG1	NM_000045	383	6q23	3,45E-06
205214_at	STK17B	NM_004226	9262	2q32.3	3,47E-06
200999_s_at	CKAP4	NM_006825	10970	12q23.3	3,59E-06
201362_at	IVNS1ABP	AF205218	10625	1q25.1-q31.1	3,61E-06
202187_s_at	PPP2R5A	NM_006243	5525	1q32.2-q32.3	3,71E-06
206676_at	CEACAM8	M33326	1088	19q13.2	3,77E-06
212577_at	SMCHD1	AA868754	23347	18p11.32	3,79E-06
36829_at	PER1	AF022991	5187	17p13.1-p12	3,91E-06
224831_at	CPEB4	BE620832	80315	5q21	3,96E-06
212569_at	SMCHD1	AV699744	23347	18p11.32	3,96E-06
217763_s_at	RAB31	NM_006868	11031	18p11.3	4,03E-06
202464_s_at	PFKFB3	NM_004566	5209	10p14-p15	4,03E-06
201460_at	MAPKAPK2	AI141802	9261	1q32	4,11E-06
224376_s_at	C20orf24	AF274948	55969	20q11.23	4,13E-06
201859_at	SRGN	NM_002727	5552	10q22.1	4,17E-06
218205_s_at	MKNK2	NM_017572	2872	19p13.3	4,27E-06
204971_at	CSTA	NM_005213	1475	3q21	4,52E-06
218079_s_at	GGNBP2	NM_024835	79893	17q12	4,68E-06
205767_at	EREG	NM_001432	2069	4q13.3	4,81E-06
203388_at	ARRB2	NM_004313	409	17p13	4,88E-06
200919_at	PHC2	NM_004427	1912	1p34.3	4,99E-06
230179_at	LOC285812	N52572	285812	6p23	5,04E-06
203973_s_at	CEBPD	NM_005195	1052	8p11.2-p11.1	5,04E-06
227930_at	EIF2C4	AI669957	192670	1p34.3	5,16E-06
210873_x_at	APOBEC3A	U03891	200315	22q13.1-q13.2	5,21E-06
201062_at	STOM	M81635	2040	9q34.1	5,24E-06
201720_s_at	LAPTM5	AI589086	7805	1p34	5,32E-06
201642_at	IFNGR2	NM_005534	3460	21q22.11	5,33E-06
202626_s_at	LYN	NM_002350	4067	8q13	5,36E-06
225582_at	ITPRIP	AA425726	85450	10q25.1	5,37E-06
213915_at	NKG7	NM_005601	4818	19q13.33	5,40E-06
201379_s_at	TPD52L2	NM_003288	7165	20q13.2-q13.3	5,45E-06
214801_at	NA	W88821	163590	NA	5,46E-06
204959_at	MNDA	NM_002432	4332	1q22	5,76E-06
203057_s_at	PRDM2	AV724783	7799	1p36.21	5,80E-06
222143_s_at	MTMR14	AY007098	64419	3p26	5,85E-06
213513_x_at	ARPC2	BG034239	10109	2q36.1	5,85E-06
209606_at	CYTIP	L06633	9595	2q11.2	5,96E-06
204057_at	IRF8	AI073984	3394	16q24.1	6,02E-06
210845_s_at	PLAUR	U08839	5329	19q13	6,16E-06
231688_at	MMP8	AW337833	NA	11q22.3	6,46E-06
201738_at	EIF1B	NM_005875	10289	3p22.1	6,84E-06
219821_s_at	GFOD1	NM_018988	54438	6pter-p22.1	6,84E-06
203085_s_at	TGFB1	BC000125	7040	19q13.2|19q13.1	7,04E-06
218454_at	FLJ22662	NM_024829	79887	12p13.1	7,43E-06
222934_s_at	CLEC4E	BC000715	26253	12p13.31	7,49E-06
202605_at	GUSB	NM_000181	2990	7q21.11	7,52E-06
224818_at	SORT1	BE622952	6272	1p21.3-p13.1|1p21.3-p13.1	7,59E-06
205557_at	BPI	NM_001725	671	20q11.23-q12	7,75E-06
202484_s_at	MBD2	AF072242	8932	18q21	7,86E-06
218606_at	ZDHHC7	NM_017740	55625	16q24.1	7,92E-06
202670_at	MAP2K1	AI571419	5604	15q22.1-q22.33	7,94E-06
202197_at	MTMR3	NM_021090	8897	22q12.2	8,03E-06
224836_at	TP53INP2	AL109824	58476	20q11.22	8,08E-06
212262_at	QKI	AA149639	9444	6q26|6q26-q27	8,31E-06
215706_x_at	ZYX	BC002323	7791	7q32	8,38E-06
207988_s_at	ARPC2	NM_005731	10109	2q36.1	8,70E-06
203137_at	WTAP	NM_004906	9589	6q25-q27	8,83E-06
209333_at	ULK1	AB018265	8408	12q24.3	9,03E-06
227060_at	RELT	AW571669	84957	11q13.4	9,59E-06
232629_at	PROK2	AF182069	60675	3p13	9,68E-06
217764_s_at	RAB31	AF183421	11031	18p11.3	1,00E-05
1555950_a_at	CD55	CA448665	1604	1q32	1,01E-05
200669_s_at	UBE2D3	NM_003340	7323	4q24	1,02E-05
209185_s_at	IRS2	AF073310	8660	13q34	1,03E-05
217762_s_at	RAB31	BE789881	11031	18p11.3	1,04E-05
229101_at	LOC150166	AI963142	150166	22q11.21	1,05E-05
217977_at	SEPX1	NM_016332	51734	16p13.3	1,05E-05
201401_s_at	ADRBK1	M80776	156	11q13.1	1,06E-05
201926_s_at	CD55	BC001288	1604	1q32	1,07E-05
201425_at	ALDH2	NM_000690	217	12q24.2	1,08E-05
205627_at	CDA	NM_001785	978	1p36.2-p35	1,10E-05
223553_s_at	DOK3	BC004564	79930	5q35.3	1,12E-05
212360_at	AMPD2	AI916249	271	1p13.3	1,14E-05
226294_x_at	FAM91A1	AI245517	157769	8q24.13	1,16E-05
203922_s_at	CYBB	AI308863	1536	Xp21.1	1,16E-05
202333_s_at	UBE2B	AA877765	7320	5q23-q31	1,17E-05
219033_at	PARP8	NM_024615	79668	5q11.1	1,23E-05
209300_s_at	NECAP1	BC002888	25977	12p13.31	1,25E-05
211764_s_at	UBE2D1	BC005980	7321	10q11.2-q21	1,25E-05
208651_x_at	CD24	M58664	934	6q21	1,26E-05
219938_s_at	PSTPIP2	NM_024430	9050	18q12	1,28E-05
202131_s_at	RIOK3	NM_003831	8780	18q11.2	1,29E-05
207275_s_at	ACSL1	NM_001995	2180	4q34-q35	1,32E-05
205237_at	FCN1	NM_002003	2219	9q34	1,32E-05
202072_at	HNRNPL	NM_001533	3191	19q13.2	1,33E-05
221485_at	B4GALT5	AL035683	9334	20q13.1-q13.2	1,34E-05
208724_s_at	RAB1A	BC000905	5861	2p14	1,39E-05
202538_s_at	CHMP2B	NM_014043	25978	3p11.2	1,40E-05
200815_s_at	PAFAH1B1	L13386	5048	17p13.3	1,40E-05
226789_at	LOC647121	W84421	NA	1p11.2	1,42E-05
202302_s_at	RSRC2	NM_023012	65117	12q24.31	1,46E-05
204160_s_at	ENPP4	AW194947	22875	6p12.3	1,48E-05
200958_s_at	SDCBP	NM_005625	6386	8q12	1,48E-05
203234_at	UPP1	NM_003364	7378	7p12.3	1,49E-05
224905_at	WDR26	AA482548	80232	1q42.11	1,50E-05
226905_at	FAM101B	BG036514	359845	17p13	1,51E-05
212041_at	ATP6V0D1	AL566172	9114	16q22	1,52E-05
205863_at	S100A12	NM_005621	6283	1q21	1,53E-05
223160_s_at	SMEK1	AK024297	55671	14q32.12	1,55E-05
200808_s_at	ZYX	NM_003461	7791	7q32	1,60E-05
225390_s_at	KLF13	AL390127	51621	15q12	1,60E-05
205786_s_at	ITGAM	NM_000632	3684	16p11.2	1,69E-05
225347_at	ARL8A	AL520984	127829	1q32.1	1,72E-05
209892_at	FUT4	AF305083	2526	11q21	1,73E-05
225434_at	DEDD2	AW245401	162989	19q13.2	1,75E-05
210592_s_at	SAT1	M55580	6303	Xp22.1	1,78E-05
218157_x_at	CDC42SE1	NM_020239	56882	1q21.2	1,78E-05
201898_s_at	UBE2A	AI126625	7319	Xq24-q25	1,84E-05
204789_at	FMNL1	NM_005892	752	17q21	1,84E-05
204970_s_at	MAFG	NM_002359	4097	17q25.3	1,95E-05
209514_s_at	RAB27A	BE502030	5873	15q15-q21.1	1,97E-05
228834_at	TOB1	BF240286	10140	17q21	1,98E-05
212120_at	RHOQ	BE897886	23433	2p21	2,01E-05
202205_at	VASP	NM_003370	7408	19q13.2-q13.3	2,05E-05
229120_s_at	CDC42SE1	BG150636	56882	1q21.2	2,06E-05
212723_at	JMJD6	AK021780	23210	17q25	2,16E-05
226683_at	SNX18	AU146771	112574	5q11.2	2,21E-05
204500_s_at	AGTPBP1	NM_015239	23287	9q21.33	2,27E-05
201040_at	GNAI2	NM_002070	2771	3p21	2,30E-05
235242_at	NA	BE739287	NA	NA	2,36E-05
201354_s_at	BAZ2A	AA788652	11176	12q24.3-qter	2,37E-05
229501_s_at	USP8	AI393759	373509	15q21.2	2,38E-05
222199_s_at	BIN3	AK001289	55909	8p21.3	2,41E-05
214246_x_at	MINK1	AI859060	50488	17p13.2	2,42E-05
227131_at	MAP3K3	BG231756	4215	17q23.3	2,46E-05
202096_s_at	TSPO	NM_000714	706	22q13.31	2,48E-05
200911_s_at	TACC1	NM_006283	6867	8p11	2,64E-05
218319_at	PELI1	NM_020651	57162	2p13.3	2,64E-05
205322_s_at	MTF1	AW182367	4520	1p33	2,71E-05
204859_s_at	APAF1	NM_013229	317	12q23	2,75E-05
203127_s_at	SPTLC2	BC005123	9517	14q24.3-q31	2,77E-05
224891_at	FOXO3	AV725666	2309	6q21	2,82E-05
219357_at	GTPBP1	NM_014027	9567	22q13.1	2,83E-05
224787_s_at	RAB18	AI333232	22931	10p12.1	2,85E-05
227129_x_at		AW006934	284701 /// 388312 /// 399844 /// 441000	7q32.1	2,92E-05
209515_s_at	RAB27A	U38654	5873	15q15-q21.1	2,96E-05
211676_s_at	IFNGR1	AF056979	3459	6q23.3	2,97E-05
217728_at	S100A6	NM_014624	6277	1q21	3,00E-05
210951_x_at	RAB27A	AF125393	5873	15q15-q21.1	3,02E-05
234989_at	NCRNA00084	AV699657	283131	11q13.1	3,04E-05
201010_s_at	TXNIP	NM_006472	10628	1q21.1	3,08E-05
226307_at	CRTC2	AW504757	200186	1q21.3	3,13E-05
203907_s_at	IQSEC1	NM_014869	9922	3p25.1	3,20E-05
228812_at	NA	AI652899	NA	NA	3,22E-05
204912_at	IL10RA	NM_001558	3587	11q23	3,26E-05
227769_at	NA	AI703476	2850	NA	3,28E-05
212990_at	SYNJ1	AB020717	8867	21q22.2	3,30E-05
207857_at	LILRA2	NM_006866	11027	19q13.4	3,33E-05
211429_s_at	SERPINA1	AF119873	5265	14q32.1	3,37E-05
202727_s_at	IFNGR1	NM_000416	3459	6q23.3	3,38E-05
202902_s_at	CTSS	NM_004079	1520	1q21	3,39E-05
235317_at	LOC284454	AW975045	284454	19p13.13	3,43E-05
221756_at	PIK3IP1	AL540260	113791	22q12.2	3,46E-05
203799_at	CD302	NM_014880	9936	2q24.2	3,52E-05
211924_s_at	PLAUR	AY029180	5329	19q13	3,58E-05
202083_s_at	SEC14L1	AI017770	6397	17q25.1-q25.2	3,74E-05
200678_x_at	GRN	NM_002087	2896	17q21.32	3,97E-05
200706_s_at	LITAF	NM_004862	9516	16p13.13	4,10E-05
203760_s_at	SLA	U44403	6503	8q22.3-qter|8q24	4,32E-05
203936_s_at	MMP9	NM_004994	4318	20q11.2-q13.1	4,36E-05
203574_at	NFIL3	NM_005384	4783	9q22	4,38E-05
218603_at	HECA	NM_016217	51696	6q23-q24	4,39E-05
39854_r_at	PNPLA2	AF055000	57104	11p15.5	4,48E-05
210648_x_at	SNX3	AB047360	8724	6q21	4,48E-05
202530_at	MAPK14	NM_001315	1432	6p21.3-p21.2	4,60E-05
202381_at	ADAM9	NM_003816	8754	8p11.23	4,68E-05
203949_at	MPO	NM_000250	4353	17q23.1	4,69E-05
202446_s_at	PLSCR1	AI825926	5359	3q23	4,75E-05
204622_x_at	NR4A2	NM_006186	4929	2q22-q23	4,76E-05
209545_s_at	RIPK2	AF064824	8767	8q21	4,78E-05
213733_at	MYO1F	BF740152	4542	19p13.3-p13.2	4,80E-05
201443_s_at	ATP6AP2	AF248966	10159	Xp11.4	4,81E-05
201531_at	ZFP36	NM_003407	7538	19q13.1	4,83E-05
205568_at	AQP9	NM_020980	366	15q22.1-q22.2	4,83E-05
204446_s_at	ALOX5	NM_000698	240	10q11.2	5,04E-05
211742_s_at	EVI2B	BC005926	2124	17q11.2	5,10E-05
212408_at	TOR1AIP1	AK023204	26092	1q24.2	5,15E-05
221764_at	C19orf22	AL574186	91300	19p13.3	5,16E-05
225364_at	STK4	BE222274	6789	20q11.2-q13.2	5,28E-05
216041_x_at	GRN	AK023348	2896	17q21.32	5,28E-05
227020_at	YPEL2	BE502982	388403	17q22	5,44E-05
222408_s_at	YPEL5	BC000836	51646	2p23.1	5,52E-05
1555745_a_at	LYZ	U25677	4069	12q15	5,52E-05
206174_s_at	PPP6C	NM_002721	5537	9q33.3	5,54E-05
225899_x_at	LOC388312	AL040396	284701	1p36.33	5,59E-05
204265_s_at	GPSM3	NM_022107	63940	6p21.3	5,62E-05
202863_at	SP100	NM_003113	6672	2q37.1	5,65E-05
224856_at	FKBP5	W86302	2289	6p21.3-p21.2	5,68E-05
212240_s_at	PIK3R1	AI679268	5295	5q13.1	5,69E-05
200898_s_at	MGEA5	AK002091	10724	10q24.1-q24.3	6,03E-05
203140_at	BCL6	NM_001706	604	3q27	6,03E-05
200696_s_at	GSN	NM_000177	2934	9q33	6,13E-05
224707_at	C5orf32	AL522667	84418	5q31.3	6,20E-05
225043_at	SLC15A4	AW304786	121260	12q24.32	6,30E-05
223145_s_at	AKIRIN2	BC000764	55122	6q15	6,42E-05
214578_s_at	ROCK1	AV683882	NA	18q11.1	6,58E-05
223179_at	YPEL3	BC005009	83719	16p11.2	6,59E-05
216248_s_at	NR4A2	S77154	4929	2q22-q23	6,71E-05
204924_at	TLR2	NM_003264	7097	4q32	6,72E-05
221765_at	UGCG	AI378044	NA	9q31	6,73E-05
213975_s_at	LYZ	AV711904	10859 /// 4069	12q15	6,80E-05
202803_s_at	ITGB2	NM_000211	3689	21q22.3	6,95E-05
200966_x_at	ALDOA	NM_000034	226	16p11.2	7,00E-05
204118_at	CD48	NM_001778	962	1q21.3-q22	7,02E-05
235568_at	C19orf59	BF433657	199675	19p13.2	7,15E-05
222646_s_at	ERO1L	AW268365	30001	14q22.1	7,15E-05
218723_s_at	C13orf15	NM_014059	28984	13q14.11	7,31E-05
201200_at	CREG1	NM_003851	8804	1q24	7,33E-05
203923_s_at	CYBB	NM_000397	1536	Xp21.1	7,36E-05
208959_s_at	TXNDC4	BC005374	23071	9q31.1	7,40E-05
226711_at	FOXN2	BF590117	3344	2p22-p16	7,50E-05
211284_s_at	GRN	BC000324	2896	17q21.32	7,57E-05
206515_at	CYP4F3	NM_000896	4051	19p13.2	7,64E-05
218346_s_at	SESN1	NM_014454	27244	6q21	7,64E-05
212457_at	TFE3	AL161985	7030	Xp11.22	7,65E-05
207667_s_at	MAP2K3	NM_002756	5606	17q11.2	7,75E-05
201408_at	PPP1CB	W67887	5500	2p23	7,84E-05
1555847_a_at	LOC284454	BU617052	284454	19p13.13	8,17E-05
223144_s_at	AKIRIN2	BC000764	55122	6q15	8,25E-05
203021_at	SLPI	NM_003064	6590	20q12	8,46E-05
208671_at	SERINC1	AF164794	57515	6q22.31	8,86E-05
242008_at	NA	BE350312	23287	NA	9,21E-05
55705_at	C19orf22	W07773	91300	19p13.3	9,26E-05
236545_at	NA	AA532718	5530	NA	9,34E-05
214687_x_at	ALDOA	AK026577	226	16p11.2	9,49E-05
208949_s_at	LGALS3	BC001120	3958 /// 81625	14q21-q22	9,54E-05
205041_s_at	ORM1 /// ORM2	NM_000607	5004 /// 5005	9q31-q32 /// 9q32	9,84E-05
223746_at	STK4	BC005231	6789	20q11.2-q13.2	1,00E-04
