Gene symbol	Accession number	Gene description	Gbm/Mm ratio	Selection frequency
GPR153	AA777493	G protein-coupled receptor 153	3.1	2
SLC26A2	AA704222	Solute carrier family 26 (sulfate transporter), member 2	0.013	2
FZD4	AA677200	Frizzled homolog 4 (Drosophila)	0.131	2
FBXL7	AA676738	F-box and leucine-rich repeat protein 7	0.216	2
MGMT	AA978354	O-6-methylguanine-DNA methyltransferase	0.307	2
-	H15440	-	44	2
ERBB3	AA664212	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	14	2
-	AA629908	Full-length cDNA clone CS0DN002YM12 of Adult brain of Homo sapiens (human)	4	2
DKFZP761M1511	AA776327	Hypothetical protein DKFZP761M1511	3.5	2
DNAJC13	AA778850	DnaJ (Hsp40) homolog, subfamily C, member 13	0.262	2
DUSP22	H42417	Dual specificity phosphatase 22	0.38	2
C10orf116	AA857127	Chromosome 10 open reading frame 116	0.394	2
AP3M1	AA872107	Adaptor-related protein complex 3, mu 1 subunit	0.466	2
FRAP1	AA608530	FK506 binding protein 12-rapamycin associated protein 1	2.5	2
KIAA0391	AA135673	KIAA0391	0.419	2
EDG1	N93476	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	8.1	2
RGS16	AA128457	Regulator of G-protein signalling 16	9.1	2
HSPA8	AA620511	Heat shock 70kDa protein 8	1.5	2
TUBB2C	AI000256	Tubulin, beta 2C	2.3	2
ETV1	AA486753	Ets variant gene 1	27	2
TWIST1	AI220198	Twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	0.173	2
CDH1	AI671174	Cadherin 1, type 1, E-cadherin (epithelial)	0.052	2
BMPR1A	AA991180	Bone morphogenetic protein receptor, type IA	0.415	2
RRAGD	AI095082	Ras-related GTP binding D	7.6	2
CDH11	AI040305	Cadherin 11, type 2, OB-cadherin (osteoblast)	0.23	2
-	AA244506	-	0.238	2
ETV1	AI500327	Ets variant gene 1	20	2
ACTN2	N66231	Actinin, alpha 2	15	2
PRDM2	R73190	PR domain containing 2, with ZNF domain	0.409	2
-	AA744550	-	0.382	2
NCAM1	AA984078	Neural cell adhesion molecule 1	14	2
JUP	AW248439	Junction plakoglobin	0.113	2
-	AW246219	-	3.3	2
CGI-38	BE257080	Brain specific protein	8.2	2
THY1	BE313771	Thy-1 cell surface antigen	4.6	2
MRCL3	BE302683	Myosin regulatory light chain MRCL3	0.414	2
MYL9	BE515089	Myosin, light polypeptide 9, regulatory	0.178	2
CASP9	BE269006	Caspase 9, apoptosis-related cysteine peptidase	1.9	2
TNFAIP8	BE957997	Tumor necrosis factor, alpha-induced protein 8	0.273	2
RRAS2	R64125	Related RAS viral (r-ras) oncogene homolog 2	0.223	2
LAMB2	R73433	Laminin, beta 2 (laminin S)	0.273	2
TMEM64	H22525	Transmembrane protein 64	0.133	2
TUBB2A	R25805	Tubulin, beta 2A	7.2	2
HBEGF	R14663	Heparin-binding EGF-like growth factor	4.9	2
ASTN	R59057	Astrotactin	6.1	2
TGFBR3	H07895	Transforming growth factor, beta receptor III (betaglycan, 300kDa)	0.047	2
TYRO3	BM665421	TYRO3 protein tyrosine kinase	4.2	2
MAD2L2	BM668552	MAD2 mitotic arrest deficient-like 2 (yeast)	3.8	2
ANXA11	BM709344	Annexin A11	0.228	2
CEECAM1	BM712206	Cerebral endothelial cell adhesion molecule 1	3.6	2
IL6ST	BM674517	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	0.517	2
SULT1A1	BE539102	Sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	0.206	2
MAGEA12	BE542433	Melanoma antigen family A, 12	6.6	2
PTPRG	AW674549	Protein tyrosine phosphatase, receptor type, G	0.467	2
HK1	AA485272	Hexokinase 1	3.2	1
TUBA2	AA426374	Tubulin, alpha 2	5.2	1
COL8A2	AA780815	Collagen, type VIII, alpha 2	0.089	1
RPL10	T67270	Ribosomal protein L10	0.511	1
NFE2L1	AA496576	Nuclear factor (erythroid-derived 2)-like 1	0.31	1
SRI	H60859	Sorcin	4.7	1
CCL2	AA425102	Chemokine (C-C motif) ligand 2	11	1
MAL	AA227594	Mal, T-cell differentiation protein	30	1
LAMP2	N77754	Lysosomal-associated membrane protein 2	3.5	1
KLF4	H45711	Kruppel-like factor 4 (gut)	0.065	1
SPRR2C	AA399674	Small proline-rich protein 2C	0.396	1
RPS6	N91584	Ribosomal protein S6	0.468	1
RAGE	N77779	Renal tumor antigen	0.475	1
SMOX	H93328	Spermine oxidase	2.5	1
ATP6V0B	AA480826	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	2.3	1
TOB1	AA490213	Transducer of ERBB2, 1	0.156	1
PIGB	N51166	Phosphatidylinositol glycan, class B	0.234	1
PDGFRL	AA455210	Platelet-derived growth factor receptor-like	0.06	1
SPOCK2	AA398230	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	6.6	1
ABLIM1	AA406601	Actin binding LIM protein 1	0.155	1
ATP6V0A1	AA427472	ATPase, H+ transporting, lysosomal V0 subunit a1	2.4	1
ALDOC	T77281	Aldolase C, fructose-bisphosphate	17	1
PTPRN	R45941	Protein tyrosine phosphatase, receptor type, N	33	1
CHL1	R40400	Cell adhesion molecule with homology to L1CAM (close homolog of L1)	8.4	1
BNIP3	AA063521	BCL2/adenovirus E1B 19kDa interacting protein 3	5.2	1
TNC	T77595	Tenascin C (hexabrachion)	8.5	1
HLF	W00959	Hepatic leukemia factor	0.097	1
CCL14	R96668	Chemokine (C-C motif) ligand 15	0.192	1
LEPR	H51066	Leptin receptor	0.345	1
MAP7	R77251	Microtubule-associated protein 7	0.079	1
GJB2	AA490688	Gap junction protein, beta 2, 26kDa (connexin 26)	0.026	1
MGST1	AA495936	Microsomal glutathione S-transferase 1	20	1
CHI3L1	AA434115	Chitinase 3-like 1 (cartilage glycoprotein-39)	59	1
BRCA1	H90415	Breast cancer 1, early onset	2.8	1
ANXA4	AA419108	Annexin A4	0.068	1
TUBA1	AA180912	Tubulin, alpha 1 (testis specific)	4.3	1
SDC2	H64346	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	0.042	1
MRLC2	AA487370	Myosin regulatory light chain MRLC2	0.373	1
KIAA0101	W68220	KIAA0101	5	1
CUL7	AA479771	Cullin 7	0.339	1
NET1	R24543	Neuroepithelial cell transforming gene 1	0.086	1
PLAGL1	AA463297	Pleiomorphic adenoma gene-like 1	0.332	1
FOXM1	AA129552	Forkhead box M1	10	1
-	AA136125	-	4.9	1
FGFR4	AA446994	Fibroblast growth factor receptor 4	0.178	1
CDH3	AA425556	Cadherin 3, type 1, P-cadherin (placental)	0.114	1
THBS2	H38240	Thrombospondin 2	3.7	1
SLC2A1	H58873	Solute carrier family 2 (facilitated glucose transporter), member 1	3.3	1
-	R70601	Transcribed locus, moderately similar to NP_689672.2 hypothetical protein MGC45438 [Homo sapiens]	0.187	1
EML2	R27680	Echinoderm microtubule associated protein like 2	0.474	1
MLF1	W56360	Myeloid leukemia factor 1	3	1
RRAS2	R21415	Related RAS viral (r-ras) oncogene homolog 2	0.206	1
FLJ36748	T66828	Hypothetical protein FLJ36748	0.066	1
-	R63342	-	0.094	1
OLFML1	N55492	Olfactomedin-like 1	0.145	1
GHR	W05000	Growth hormone receptor	0.443	1
-	R25234	-	3.9	1
JAM3	H73479	Junctional adhesion molecule 3	0.065	1
ATAD1	W04668	ATPase family, AAA domain containing 1	0.395	1
OGN	AA045327	Osteoglycin (osteoinductive factor, mimecan)	0.005	1
-	AA026682	-	8.1	1
MED4	AA454015	Mediator of RNA polymerase II transcription, subunit 4 homolog (yeast)	0.513	1
FOXO1A	AA448277	Forkhead box O1A (rhabdomyosarcoma)	0.099	1
CDC42EP2	W81196	CDC42 effector protein (Rho GTPase binding) 2	0.23	1
RIS1	AA127069	Ras-induced senescence 1	6.8	1
-	H72368	-	9.6	1
-	H98688	-	0.553	1
DSCAM	N64532	Down syndrome cell adhesion molecule	9.7	1
LOC132430	N70553	Similar to Polyadenylate-binding protein 4 (Poly(A)-binding protein 4) (PABP 4) (Inducible poly(A)-binding protein) (iPABP) (Activated-platelet protein-1) (APP-1)	0.217	1
ARHGEF5	AA045822	Rho guanine nucleotide exchange factor (GEF) 5	0.175	1
-	AA447514	Transcribed locus, strongly similar to XP_519853.1 PREDICTED: similar to ENSANGP00000014530 [Pan troglodytes]	0.142	1
FZD1	N70776	Frizzled homolog 1 (Drosophila)	0.104	1
CXCL14	W72294	Chemokine (C-X-C motif) ligand 14	27	1
CAMK2N1	AA131299	Calcium/calmodulin-dependent protein kinase II inhibitor 1	3.8	1
NP	AA430382	Nucleoside phosphorylase	1.9	1
MAOB	AA682423	Monoamine oxidase B	45	1
MT1F	T56281	Metallothionein 1F (functional)	27	1
GIYD2	AA398458	Coronin, actin binding protein, 1A pseudogene	0.337	1
CTNNA2	H45976	Catenin (cadherin-associated protein), alpha 2	44	1
DNASE1L3	T73558	Deoxyribonuclease I-like 3	0.005	1
C1orf21	AA676234	Chromosome 1 open reading frame 21	8.4	1
GAD1	AA018457	Glutamate decarboxylase 1 (brain, 67kDa)	10	1
DNM1	AA496334	Dynamin 1	14	1
EXOSC10	AA487064	Exosome component 10	1.8	1
CDK5	AA401479	Cyclin-dependent kinase 5	5.1	1
CLIPR-59	AA488178	CLIP-170-related protein	4.8	1
SPIN	AA428181	Spindlin	0.311	1
P2RY5	R91539	Purinergic receptor P2Y, G-protein coupled, 5	0.355	1
SLC1A2	R15441	Solute carrier family 1 (glial high affinity glutamate transporter), member 2	225	1
-	H20859	-	0.196	1
BAALC	H29251	Brain and acute leukemia, cytoplasmic	62	1
PPP2R2B	H15677	Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform	17	1
POLE4	AA400317	Polymerase (DNA-directed), epsilon 4 (p12 subunit)	2.1	1
PLA2R1	W44657	Phospholipase A2 receptor 1, 180kDa	0.099	1
IGSF11	AA490144	Immunoglobulin superfamily, member 11	8.1	1
C20orf23	H23454	Chromosome 20 open reading frame 23	0.231	1
FAM89B	W93891	Family with sequence similarity 89, member B	1.6	1
PSD3	AA460826	Pleckstrin and Sec7 domain containing 3	7.6	1
PSRC2	AA432112	Proline/serine-rich coiled-coil 2	0.459	1
FLJ36090	AA453446	Hypothetical protein FLJ36090	0.081	1
SH3BP5	AA188661	SH3-domain binding protein 5 (BTK-associated)	0.083	1
AGT	H64380	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	22	1
DCTD	H68309	DCMP deaminase	0.655	1
PLEKHB1	AA412417	Pleckstrin homology domain containing, family B (evectins) member 1	37	1
PHLDB2	AA479351	Pleckstrin homology-like domain, family B, member 2	0.015	1
C9orf47	AA233892	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	6.7	1
TENC1	AA447688	Tensin like C1 domain containing phosphatase (tensin 2)	0.32	1
LOC493869	AA452145	Similar to RIKEN cDNA 2310016C16	0.18	1
FAM11A	R43114	Family with sequence similarity 11, member A	0.547	1
LOC286334	AA425105	Hypothetical protein LOC286334	0.211	1
NBN	AA463450	Nibrin	0.277	1
DNAJC6	AA455940	DnaJ (Hsp40) homolog, subfamily C, member 6	17	1
C2orf17	AA399248	Chromosome 2 open reading frame 17	1.9	1
SLITRK2	R61556	SLIT and NTRK-like family, member 2	14	1
DLK1	AA701996	Delta-like 1 homolog (Drosophila)	1.5	1
GPC6	AA456147	Glypican 6	0.019	1
STMN1	AA873060	Stathmin 1/oncoprotein 18	4.5	1
TLE2	AA873564	Transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	0.279	1
ASNS	AA894927	Asparagine synthetase	4.8	1
SORBS3	AA700222	Sorbin and SH3 domain containing 3	0.369	1
PRDX1	AA775803	Peroxiredoxin 1	1.7	1
NET1	H00292	Neuroepithelial cell transforming gene 1	0.311	1
MFSD2	AA774524	Major facilitator superfamily domain containing 2	17	1
	AA700680	Plasticity related gene 3	17	1
ECD	AA701351	Ecdysoneless homolog (Drosophila)	0.418	1
PGM5	AA706788	Phosphoglucomutase 5	0.237	1
TMCC2	AA677167	Transmembrane and coiled-coil domain family 2	10	1
TMEM109	AA504202	Transmembrane protein 109	0.38	1
EHD2	AA708621	EH-domain containing 2	0.314	1
TIMM10	AA670296	Translocase of inner mitochondrial membrane 10 homolog (yeast)	1.7	1
AGTRL1	R58969	Angiotensin II receptor-like 1	21	1
LYPLAL1	AA481256	Lysophospholipase-like 1	0.209	1
ANGPTL2	AA704833	Angiopoietin-like 2	7	1
NOV	AA910443	Nephroblastoma overexpressed gene	0.005	1
APLN	AA101878	Apelin, AGTRL1 ligand	17	1
PRKCH	AA128274	Protein kinase C, eta	0.187	1
SCHIP1	AA708955	Schwannomin interacting protein 1	8.4	1
ABHD14B	AA777893	Abhydrolase domain containing 14B	0.25	1
CALCOCO1	AA705325	Calcium binding and coiled-coil domain 1	0.279	1
PCDH1	R77512	Protocadherin 1 (cadherin-like 1)	5.3	1
CTNNA2	R37305	Catenin (cadherin-associated protein), alpha 2	28	1
PSMD14	N67573	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	2.3	1
STX12	H91046	Syntaxin 12	2.3	1
FREM1	T96030	FRAS1 related extracellular matrix 1	0.129	1
SUPT5H	AA706107	Suppressor of Ty 5 homolog (S. cerevisiae)	1.7	1
C10orf42	AA884837	Chromosome 10 open reading frame 42	0.338	1
VENTX	AA872096	VENT homeobox homolog (Xenopus laevis)	0.269	1
5-Mar	AA904806	Membrane-associated ring finger (C3HC4) 5	0.162	1
APC2	AA976241	Adenomatosis polyposis coli 2	135	1
PSAT1	AI015679	Phosphoserine aminotransferase 1	8.6	1
KPNA4	AA995784	Karyopherin alpha 4 (importin alpha 3)	1.5	1
MFHAS1	AI017797	Malignant fibrous histiocytoma amplified sequence 1	5.6	1
FRZB	AA454111	Frizzled-related protein	0.063	1
RANGAP1	H98072	Ran GTPase activating protein 1	2.3	1
FZD7	H71474	Frizzled homolog 7 (Drosophila)	0.119	1
CTNNA2	H16079	Catenin (cadherin-associated protein), alpha 2	36	1
DAXX	AA988524	Death-associated protein 6	1.9	1
NCOA6	AI000142	Nuclear receptor coactivator 6	1.5	1
CDA	AA922903	Cytidine deaminase	0.44	1
CCRL2	AI288845	Chemokine (C-C motif) receptor-like 2	7.7	1
AOX1	AI343711	Aldehyde oxidase 1	0.023	1
-	AI361166	Transcribed locus, strongly similar to XP_852136.1 PREDICTED: similar to Spindlin-like protein 2 (SPIN-2) isoform 1 [Canis familiaris]	0.582	1
NOVA1	AI362062	Neuro-oncological ventral antigen 1	7.5	1
PTTG1	AI362866	Pituitary tumor-transforming 1	17	1
RAB33A	AI360342	RAB33A, member RAS oncogene family	5.8	1
CHL1	H15267	Cell adhesion molecule with homology to L1CAM (close homolog of L1)	29	1
SATB1	W72669	Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	3.7	1
IGF1	N67876	Insulin-like growth factor 1 (somatomedin C)	0.146	1
MAML2	AA682512	Mastermind-like 2 (Drosophila)	3.9	1
RAB31	AA432084	RAB31, member RAS oncogene family	1.8	1
ZDHHC5	AI344565	Zinc finger, DHHC-type containing 5	0.467	1
FAM8A1	AI669875	Family with sequence similarity 8, member A1	0.414	1
MCM7	AI688220	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	2.9	1
BBC3	AI688112	BCL2 binding component 3	0.328	1
KIAA0408	AI674081	Chromosome 6 open reading frame 174	7.1	1
JAK2	AI376272	Janus kinase 2 (a protein tyrosine kinase)	0.615	1
C10orf11	AA935570	Chromosome 10 open reading frame 11	0.179	1
SCN3A	AA973965	Sodium channel, voltage-gated, type III, alpha	3.8	1
LOC439993	AI000633	LOC439993	0.405	1
RAVER2	AI039422	Hypothetical protein FLJ10770	0.518	1
C9orf32	AI217779	Chromosome 9 open reading frame 32	2.8	1
CTSD	AI285076	Similar to RIKEN cDNA 6330512M04 gene (mouse)	4.1	1
-	AI343669	-	3.8	1
TUBB3	BX100915	Tubulin, beta 3	7.8	1
-	AA989356	CDNA clone IMAGE:4796912	0.385	1
ITGA11	BX119665	Integrin, alpha 11	0.131	1
CYP11A1	T98976	Cytochrome P450, family 11, subfamily A, polypeptide 1	0.112	1
-	W52354	-	0.512	1
RND2	AI027909	Rho family GTPase 2	12	1
TPI1	AA663983	Triosephosphate isomerase 1	1.7	1
-	AA187470	-	0.139	1
ALDH2	AI890849	Aldehyde dehydrogenase 2 family (mitochondrial)	0.178	1
SMAD4	AW410035	SMAD, mothers against DPP homolog 4 (Drosophila)	0.529	1
LAPTM4A	AW411242	Lysosomal-associated protein transmembrane 4 alpha	0.376	1
RAMP1	BE262882	Receptor (calcitonin) activity modifying protein 1	19	1
MGLL	BE261483	Monoglyceride lipase	4.6	1
CCNG1	BE257497	Cyclin G1	0.131	1
MRPL34	BE279280	Mitochondrial ribosomal protein L34	0.696	1
HERPUD1	BE281126	Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	0.26	1
DDB2	BE261143	DNA damage-binding protein 2	0.43	1
ARL4D	BE262902	ADP-ribosylation factor-like 4D	0.082	1
UBE2MP1	BE257314	Hypothetical gene supported by AB012191; BT006754; NM_003969	2.3	1
FCGRT	BE261200	Fc fragment of IgG, receptor, transporter, alpha	0.352	1
-	BE566343	-	3.2	1
CRYAB	BE968687	Crystallin, alpha B	11	1
MT1H	BF674156	Metallothionein 1H	17	1
EFEMP1	T84689	EGF-containing fibulin-like extracellular matrix protein 1	0.355	1
ST6GAL1	H26119	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	0.287	1
RANGAP1	H52021	Ran GTPase activating protein 1	2.9	1
ENTPD7	H62905	Ectonucleoside triphosphate diphosphohydrolase 7	0.347	1
GLI1	AI473373	Glioma-associated oncogene homolog 1 (zinc finger protein)	0.066	1
GSN	R51491	Gelsolin (amyloidosis, Finnish type)	0.136	1
SCG3	R61070	Secretogranin III	33	1
NBN	H21037	Nibrin	0.187	1
