Probe Set	Gene Title	Symbol	Entrez	Location	Spearman r	P-Value	Pearson r	P-Value	Spearman r	P-Value	Pearson r	P-Value
218323_at	RHOT1	ras homolog gene family, member T1	55288	17q11.2	0.07482	0.7283	0.19926	0.3506	-0.0883	0.6816	-0.04983	0.8172
218352_at	RCBTB1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	55213	13q14	-0.08917	0.6786	0.05507	0.7983	0.21705	0.3083	0.34477	0.099
218490_s_at	ZNF302	zinc finger protein 302	55900	19q13.11	-0.02479	0.9084	-0.01239	0.9542	0.32101	0.1261	0.26694	0.2073
219067_s_at	NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	54780	10q26.13	0.15876	0.4587	0.22662	0.2869	0.29448	0.1625	0.30234	0.151
219527_at	MOSC2	MOCO sulphurase C-terminal domain containing 2	54996	1q41	0.01131	0.9582	0.03013	0.8889	-0.04219	0.8448	-0.05967	0.7818
220011_at	C1orf135	chromosome 1 open reading frame 135	79000	1p36.11	-0.04437	0.8369	-0.02858	0.8946	0.31013	0.1402	0.20514	0.3363
220094_s_at	CCDC90A	coiled-coil domain containing 90A	63933	6p24.3-p23	0.10831	0.6144	0.07811	0.7168	0.01	0.963	0.00844	0.9688
220420_at	CPLX3 /// LMAN1L	lectin, mannose-binding, 1 like /// complexin 3		15q24.1	-0.02523	0.9068	-0.15817	0.4604	-0.1866	0.3826	-0.12925	0.5472
220511_s_at	DLC1	deleted in liver cancer 1	10395	8p22	0.09395	0.6623	0.04622	0.8302	-0.01914	0.9293	0.08775	0.6835
220906_at	---	---		---	-0.0187	0.9309	-0.07134	0.7405	0.03741	0.8622	0.00532	0.9803
220925_at	MAK10	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	60560	9q21.33	0.58808	0.0025	0.61902	0.0013	0.24184	0.2549	0.18966	0.3747
220936_s_at	H2AFJ	H2A histone family, member J	55766	12p12	-0.12266	0.568	0.05323	0.8049	-0.20966	0.3255	-0.15569	0.4676
221313_at	GPR52	G protein-coupled receptor 52	9293	1q24	0.23314	0.2729	0.12729	0.5534	0.30057	0.1535	0.30263	0.1506
221371_at	TNFSF18	tumor necrosis factor (ligand) superfamily, member 18	8995	1q23	0.12399	0.5638	-0.025	0.9077	0.1405	0.5126	0.31866	0.1291
221552_at	ABHD6	abhydrolase domain containing 6	57406	3p14.3	0.39147	0.0585	0.3453	0.0984	0.27142	0.1995	0.30297	0.1501
221847_at	---	Full-length cDNA clone CS0DE005YD08 of Placenta of Homo sapiens (human)		---	-0.17138	0.4233	-0.04668	0.8285	0.1418	0.5086	0.13114	0.5413
221948_s_at	KLHL22	Kelch-like 22 (Drosophila)	84861	22q11.21	0.14702	0.493	0.15234	0.4773	0.4415	0.0308	0.53064	0.0076
222108_at	AMIGO2	adhesion molecule with Ig-like domain 2	347902	12q13.11	0.20096	0.3464	0.21541	0.3121	0.03654	0.8654	0.0248	0.9084
222203_s_at	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	57665	2p24.2	0.17355	0.4173	0.13902	0.5171	0.21357	0.3163	0.22216	0.2968
32540_at	PPP3CC	Protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	5533	8p21.3	-0.30057	0.1535	-0.28552	0.1762	-0.1157	0.5903	-0.1281	0.5508
45288_at	ABHD6	abhydrolase domain containing 6	57406	3p14.3	0.21053	0.3234	0.09635	0.6543	0.12788	0.5515	0.15593	0.4669
64432_at	C12orf47	chromosome 12 open reading frame 47	51275	12q24.12	0.41975	0.0412	0.45213	0.0265	0.15659	0.465	0.3017	0.1519
