Probe SetID	Gene Symbol	Gene Title
219063_at	C1orf35	chromosome 1 open reading frame 35
219143_s_at	RPP25	ribonuclease P/MRP 25kDa subunit
219203_at	FAM158A	family with sequence similarity 158, member A
219270_at	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)
219289_at	HEATR3	HEAT repeat containing 3
219395_at	ESRP2	epithelial splicing regulatory protein 2
219429_at	FA2H	fatty acid 2-hydroxylase
219517_at	ELL3	elongation factor RNA polymerase II-like 3
219575_s_at	COG8 /// PDF	component of oligomeric golgi complex 8 /// peptide deformylase (mitochondrial)
219646_at	DEF8	differentially expressed in FDCP 8 homolog (mouse)
219841_at	AICDA	activation-induced cytidine deaminase
220200_s_at	SETD8	SET domain containing (lysine methyltransferase) 8
220289_s_at	AIM1L	absent in melanoma 1-like
220751_s_at	C5orf4	chromosome 5 open reading frame 4
221249_s_at	FAM117A	family with sequence similarity 117, member A
221291_at	ULBP2	UL16 binding protein 2
221364_at	GRID2	glutamate receptor, ionotropic, delta 2
221539_at	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1
221566_s_at	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)
221572_s_at	CELSR3 /// SLC26A6	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) /// solute carrier family 26),member 6
221597_s_at	TMEM208	transmembrane protein 208
221824_s_at	8-Mar	membrane-associated ring finger (C3HC4) 8
221937_at	---	---
222129_at	FAM134A	family with sequence similarity 134, member A
222216_s_at	MRPL17	mitochondrial ribosomal protein L17
222234_s_at	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1
222368_at	---	---
41037_at	TEAD4	TEA domain family member 4
49077_at	PPME1	protein phosphatase methylesterase 1
