Spot ID	I.M.A.G.E. Clone ID	UniGene Cluster	Symbol	Name
248531	248531	Hs.144057	GMPS	guanine monphosphate synthetase
840658	840658	Hs.227429	PTOV1	prostate tumor overexpressed gene 1
109708	109708	Hs.406631	CDC27	cell division cycle 27
839682	839682	Hs.458359	UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)
488413	488413	Hs.149436	KIF5B	kinesin family member 5B
810558	810558	Hs.211594	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4
49665	49665	Hs.82002	EDNRB	endothelin receptor type B
123980	123980	Hs.147189	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
950367	950367	Hs.7957	ADAR	adenosine deaminase, RNA-specific
505573	505573	Hs.282417	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)
591281	591281	Hs.80680	MVP	major vault protein
810899	810899	Hs.374378	CKS1B	CDC28 protein kinase regulatory subunit 1B
302310	302310	Hs.232058		CDNA FLJ36340 fis, clone THYMU2006468
825451	825451	Hs.325948	VDP	vesicle docking protein p115
897021	897021	Hs.25314		MRNA full length insert cDNA clone EUROIMAGE 25206
824591	824591	Hs.808	HNRPF	heterogeneous nuclear ribonucleoprotein F
782800	782800	Hs.355735	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1
772111	772111	Hs.287460	PDZK3	PDZ domain containing 3
669443	669443	Hs.158195	HSF2	heat shock transcription factor 2
772951	772951	Hs.78060	PHKB	phosphorylase kinase, beta
2021468	2021468	Hs.284275	PAK2	p21 (CDKN1A)-activated kinase 2
812251	812251	Hs.75074	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2
