Probe Set ID	Gene Title	Symbol	Location	Entrez	Pearson r	P-Value	Spearman r	P-Value	Pearson r	P-Value	Spearman r	P-Value
202490_at	inhibitor of   kappa light polypeptide gene enhancer in B-cells, kinase complex-associated   protein	IKBKAP	9q31	8518	0.30534	0.0248	0.29853	0.0283	0.28827	0.0345	0.31166	0.0218
202497_x_at	solute carrier   family 2 (facilitated glucose transporter), member 3	SLC2A3	12p13.3	6515	-0.30047	0.0273	-0.29943	0.0278	-0.34158	0.0115	-0.31635	0.0198
202616_s_at	methyl CpG binding protein 2 (Rett syndrome)	MECP2	Xq28	4204	0.27945	0.0407	0.37614	0.0051	0.33418	0.0135	0.31859	0.0189
203597_s_at	WW domain binding protein 4 (formin binding protein 21)	WBP4	13q14.11	11193	0.3346	0.0134	0.40725	0.0022	0.3823	0.0043	0.30079	0.0271
203914_x_at	hydroxyprostag landin dehydrogenase 15-(NAD)	HPGD	4q34-q35	3248	0.27434	0.0447	0.28631	0.0358	0.45449	0.0006	0.37307	0.0055
204442_x_at	latent transforming growth factor beta binding protein 4	LTBP4	19q13.1-q13.2	8425	0.28188	0.0389	0.38897	0.0037	0.31252	0.0214	0.31856	0.0189
204671_s_at	ankyrin repeat domain 6	ANKRD6	6q14.2-q16.1	22881	0.3724	0.0056	0.40852	0.0022	0.34116	0.0116	0.26965	0.0486
205415_s_at	ataxin 3	ATXN3	14q24.3-q32.2	4287	0.31559	0.0201	0.38043	0.0045	0.33716	0.0127	0.30133	0.0268
205941_s_at	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplas ia)	COL10A1	6q21-q22	1300	-0.29999	0.0275	-0.27273	0.046	-0.37128	0.0057	-0.36049	0.0074
206134_at	ADAM-like, decysin 1	ADAMDEC1	8p21.2	27299	-0.3405	0.0118	-0.30675	0.0241	-0.38859	0.0037	-0.39906	0.0028
206244_at	complement component (3b/4b) receptor 1 (Knops blood group)	CR1	1q32	1378	-0.35404	0.0086	-0.28477	0.0369	-0.32225	0.0175	-0.34211	0.0113
206281_at	adenylate cyclase activating polypeptide 1 (pituitary)	ADCYAP1	18p11	116	-0.44343	0.0008	-0.33137	0.0144	-0.46583	0.0004	-0.44378	0.0008
206569_at	interleukin 24	IL24	1q32	11009	-0.29778	0.0288	-0.28363	0.0377	-0.28563	0.0363	-0.3152	0.0203
207158_at	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	APOBEC1	12p13.1	339	-0.35446	0.0085	-0.30667	0.0241	-0.34144	0.0115	-0.32504	0.0165
207417_s_at	zinc finger protein 177	ZNF177	19p13.2	7730	0.28258	0.0384	0.34871	0.0098	0.32529	0.0164	0.35595	0.0083
207859_s_at	cholinergic receptor, nicotinic, beta 3	CHRNB3	8p11.2	1142	-0.37434	0.0053	-0.28248	0.0385	-0.3807	0.0045	-0.39265	0.0033
208289_s_at	etoposide induced 2.4 mRNA	EI24	11q24	9538	0.30922	0.0229	0.36778	0.0062	0.4145	0.0018	0.392	0.0034
208933_s_at	---	---	---	---	0.27216	0.0465	0.32782	0.0155	0.365	0.0067	0.34455	0.0107
208940_at	Selenophospha te synthetase 1	SEPHS1	10p14	22929	0.26804	0.05	0.32112	0.0179	0.37299	0.0055	0.35687	0.0081
209468_at	low density lipoprotein receptor-related protein 5	LRP5	11q13.4	4041	0.28762	0.035	0.34585	0.0104	0.30677	0.0241	0.34192	0.0114
209815_at	patched homolog (Drosophila)	PTCH	9q22.3	5727	0.35074	0.0093	0.37356	0.0054	0.39012	0.0035	0.38819	0.0037
210111_s_at	KIAA0265 protein	KIAA0265	7q32.2	23008	0.33609	0.013	0.36678	0.0064	0.45284	0.0006	0.39018	0.0035
210312_s_at	intraflagellar transport 20 homolog (Chlamydomon as)	IFT20	17q11.2	90410	0.27615	0.0433	0.34814	0.0099	0.33327	0.0138	0.3346	0.0134
210356_x_at	membrane-  spanning 4-domains, subfamily A, member 1	MS4A1	11q12	931	-0.39439	0.0032	-0.27334	0.0455	-0.38626	0.0039	-0.42792	0.0012
210536_s_at	sperm adhesion  molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	SPAM1	7q31.3	6677	-0.4011	0.0026	-0.37398	0.0053	-0.33358	0.0137	-0.26885	0.0493
210741_at	Rho guanine nucleotide exchange factor (GEF) 12	ARHGEF12	11q23.3	23365	-0.28414	0.0373	-0.27201	0.0466	-0.33792	0.0125	-0.3226	0.0174
211548_s_at	hydroxyprostag landin dehydrogenase 15-(NAD)	HPGD	4q34-q35	3248	0.29486	0.0304	0.31406	0.0207	0.47173	0.0003	0.40184	0.0026
211565_at	SH3-domain GRB2-like 3	SH3GL3	15q24	6457	-0.3328	0.0139	-0.30613	0.0244	-0.38346	0.0042	-0.33457	0.0134
212781_at	retinoblastoma binding protein 6	RBBP6	16p12.2	5930	0.32117	0.0179	0.35004	0.0095	0.4064	0.0023	0.35225	0.009
212785_s_at	HDCMA18P protein	HDCMA18P	4q25	51574	0.27282	0.0459	0.31671	0.0196	0.43044	0.0012	0.38908	0.0036
213265_at	pepsinogen 5, group I (pepsinogen A) /// similar to Pepsin A precursor /// similar to Pepsin A precursor	PGA5 /// LOC643834 /// LOC643847	11q13 /// 11q12.2	5222 /// 643834 /// 643847	-0.29872	0.0282	-0.28451	0.0371	-0.37146	0.0057	-0.33487	0.0133
213269_at	zinc finger protein 248	ZNF248	---	57209	0.27687	0.0427	0.33696	0.0127	0.28893	0.0341	0.29546	0.0301
213668_s_at	SRY (sex determining region Y)-box 4	SOX4	6p22.3	6659	0.43984	0.0009	0.45972	0.0005	0.3294	0.015	0.3608	0.0074
213715_s_at	ankyrin repeat domain 47	ANKRD47	19p13.2	256949	0.28892	0.0341	0.33914	0.0121	0.31225	0.0215	0.27811	0.0417
213878_at	Islet amyloid polypeptide	IAPP	12p12.3-p12.1	3375	0.32613	0.0161	0.36464	0.0067	0.53151	0.0001	0.44451	0.0008
213934_s_at	zinc finger protein 19 /// zinc finger protein 23 (KOX 16)	ZNF19 /// ZNF23	16q22	7567 /// 7571	0.33348	0.0137	0.39812	0.0029	0.41018	0.0021	0.3508	0.0093
214381_at	septin 7 pseudogene /// similar to septin 7	LOC441601 /// LOC652471	11p11.12	441601 /// 652471	-0.32939	0.015	-0.28946	0.0338	-0.34483	0.0107	-0.35126	0.0092
214823_at	zinc finger protein 204	ZNF204	6p21.3	7754	0.29264	0.0318	0.3736	0.0054	0.34141	0.0115	0.27785	0.0419
214881_s_at	upstream binding transcription factor, RNA polymerase I	UBTF	17q21.3	7343	0.30173	0.0266	0.41272	0.0019	0.34158	0.0115	0.37875	0.0047
215274_at	solute carrier   family 12 (sodium/chlorid e transporters), member 3	SLC12A3	16q13	6559	-0.30279	0.026	-0.29358	0.0312	-0.3907	0.0035	-0.44923	0.0007
215359_x_at	zinc finger protein 44	ZNF44	19p13.2	51710	0.33701	0.0127	0.36091	0.0073	0.39065	0.0035	0.35412	0.0086
215470_at	similar to TFIIH basal transcription factor complex p44 subunit (Basic transcription factor 2 44 kDasubunit) (BTF2-p44) (General transcription factor IIH   polypeptide 2)	DKFZP686M0199	5q13.2	653238	0.29247	0.0319	0.28952	0.0337	0.37153	0.0057	0.32854	0.0153
215822_x_at	myelin transcription factor 1	MYT1	20q13.33	4661	-0.3706	0.0058	-0.3503	0.0094	-0.39365	0.0032	-0.37409	0.0053
215933_s_at	homeobox, hematopoietical ly expressed	HHEX	10q23.33	3087	0.3287	0.0152	0.37345	0.0054	0.32717	0.0157	0.37219	0.0056
216277_at	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	2q14	699	-0.39949	0.0028	-0.31689	0.0196	-0.50905	0.0001	-0.47187	0.0003
216499_at	MRNA; cDNA DKFZp434K06 10 (from clone DKFZp434K06 10)	---	---	---	-0.31275	0.0213	-0.38059	0.0045	-0.30736	0.0238	-0.42475	0.0014
216747_at	amyloid beta (A4) precursor protein-binding, family B, member 2   (Fe65-like)	APBB2	4p14-p13	323	-0.30187	0.0265	-0.36065	0.0074	-0.33186	0.0142	-0.3214	0.0178
216748_at	pyrin and HIN domain family, member 1	PYHIN1	1q23.1	149628	-0.36721	0.0063	-0.28269	0.0383	-0.3715	0.0057	-0.34246	0.0113
216831_s_at	runt-related   transcription factor 1; translocated to, 1 (cyclin D-related)	RUNX1T1	8q22	862	0.36866	0.0061	0.41261	0.0019	0.33258	0.014	0.35758	0.0079
216892_at	Immunoglobuli n heavy constant gamma 1 (G1m marker)	IGHG1	14q32.33	3500	-0.42676	0.0013	-0.27852	0.0414	-0.38412	0.0041	-0.40402	0.0024
216972_at	sperm adhesion  molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	SPAM1	7q31.3	6677	-0.49931	0.0001	-0.34414	0.0108	-0.53402	0.0001	-0.44648	0.0007
217369_at	immunoglobulin heavy constant gamma 1 (G1m marker) /// similar to Ig heavy chain V-III region VH26 precursor /// anti-RhD monoclonal T125 gamma1 heavy chain	IGHG1 /// LOC388255 /// LOC652848	14q32.33 /// 16p11.2	3500 /// 388255 /// 652848	-0.38252	0.0043	-0.27622	0.0432	-0.34294	0.0111	-0.28326	0.0379
218323_at	ras homolog gene family, member T1	RHOT1	17q11.2	55288	0.28276	0.0383	0.29714	0.0291	0.49267	0.0002	0.48628	0.0002
218490_s_at	zinc finger protein 302	ZNF302	19q13.11	55900	0.2938	0.0311	0.35286	0.0089	0.44993	0.0006	0.43695	0.001
219067_s_at	chromosome 10 open reading frame 86	C10orf86	10q26.13	54780	0.26868	0.0495	0.34177	0.0114	0.4202	0.0016	0.38107	0.0045
219527_at	MOCO sulphurase C-terminal domain containing 2	MOSC2	1q41	54996	0.27752	0.0422	0.32387	0.0169	0.33778	0.0125	0.34432	0.0108
220011_at	chromosome 1 open reading frame 135	C1orf135	1p36.11	79000	-0.39684	0.003	-0.27168	0.0469	-0.30119	0.0269	-0.32831	0.0154
220094_s_at	chromosome 6 open reading frame 79	C6orf79	6p24.3-p23	63933	0.33444	0.0134	0.38966	0.0036	0.45866	0.0005	0.47149	0.0003
220420_at	lectin, mannose-binding, 1 like	LMAN1L	15q24.1	79748	-0.32134	0.0178	-0.29775	0.0288	-0.35649	0.0081	-0.28629	0.0358
220511_s_at	deleted in liver cancer 1	DLC1	8p22	10395	-0.41354	0.0019	-0.33976	0.012	-0.41535	0.0018	-0.36274	0.007
220906_at	---	---	---	---	0.29445	0.0307	0.36154	0.0072	0.38193	0.0044	0.40634	0.0023
220925_at	MAK10 homolog, amino-acid N-acetyltransfera se subunit, (S. cerevisiae)	MAK10	9q21.33	60560	0.27279	0.046	0.31661	0.0197	0.48865	0.0002	0.49924	0.0001
220936_s_at	H2A histone family, member J	H2AFJ	12p12	55766	0.33377	0.0136	0.343	0.0111	0.40843	0.0022	0.38683	0.0039
221313_at	G protein-coupled receptor 52	GPR52	1q24	9293	-0.34743	0.0101	-0.30743	0.0237	-0.30993	0.0226	-0.36796	0.0062
221371_at	tumor necrosis factor (ligand) superfamily, member 18	TNFSF18	1q23	8995	-0.50608	0.0001	-0.38996	0.0036	-0.39165	0.0034	-0.28097	0.0396
221552_at	abhydrolase domain containing 6	ABHD6	3p14.3	57406	0.2898	0.0335	0.3709	0.0058	0.29228	0.032	0.35008	0.0095
221847_at	Full-length cDNA clone CS0DE005YD0 8 of Placenta of Homo sapiens (human)	---	---	---	0.29999	0.0275	0.38934	0.0036	0.31984	0.0184	0.33995	0.0119
221948_s_at	Kelch-like 22 (Drosophila)	KLHL22	22q11.21	84861	-0.27767	0.0421	-0.34152	0.0115	-0.28282	0.0383	-0.37611	0.0051
222108_at	adhesion molecule with Ig-like domain 2	AMIGO2	12q13.11	347902	0.28966	0.0336	0.34383	0.0109	0.54337	0.0001	0.48612	0.0002
222203_s_at	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	RDH14	2p24.2	57665	0.30313	0.0259	0.31436	0.0206	0.44612	0.0007	0.45459	0.0006
222603_at	KIAA1815	KIAA1815	9p24	79956	0.29231	0.032	0.32054	0.0181	0.51492	0.0001	0.50667	0.0001
222739_at	transmembrane protein 62	TMEM62	15q15.2	80021	-0.31717	0.0194	-0.30321	0.0258	-0.43147	0.0011	-0.41328	0.0019
222869_s_at	elaC homolog 1 (E. coli)	ELAC1	18q21	55520	0.27204	0.0466	0.33641	0.0129	0.34228	0.0113	0.33957	0.012
223268_at	chromosome 11 open reading frame 54	C11orf54	11q21	28970	0.27168	0.0469	0.30624	0.0243	0.45514	0.0005	0.45037	0.0006
223538_at	small EDRK-rich factor 1A (telomeric)	SERF1A	5q12.2-q13.3	8293	0.40043	0.0027	0.43108	0.0011	0.38538	0.004	0.39491	0.0031
224034_at	Clone FLB8945 PRO2411	---	---	---	-0.38456	0.0041	-0.32849	0.0153	-0.41151	0.002	-0.43475	0.001
224711_at	YY1 transcription factor	YY1	14q	7528	0.28684	0.0355	0.32881	0.0152	0.48789	0.0002	0.53023	0.0001
224718_at	YY1 transcription factor	YY1	14q	7528	0.28585	0.0361	0.40495	0.0024	0.36242	0.0071	0.3014	0.0268
224808_s_at	chromosome 7 open reading frame 20	C7orf20	7p22.3	51608	0.26872	0.0494	0.32054	0.0181	0.29879	0.0282	0.28375	0.0376
224873_s_at	mitochondrial ribosomal protein S25	MRPS25	3p25	64432	0.40021	0.0027	0.47297	0.0003	0.48851	0.0002	0.52611	0.0001
225191_at	cold inducible RNA binding protein	CIRBP	19p13.3	1153	0.28342	0.0378	0.33941	0.012	0.29893	0.0281	0.28513	0.0366
225318_at	DDHD domain containing 2	DDHD2	8p12	23259	0.26844	0.0497	0.28295	0.0382	0.35774	0.0079	0.34345	0.011
225332_at	Keratin associated protein 4-7	KRTAP4-7	17q12-q21	85287	0.30769	0.0236	0.42136	0.0015	0.38519	0.004	0.36834	0.0061
225346_at	MTERF domain containing 3	MTERFD3	12q24.1	80298	0.287	0.0354	0.33603	0.013	0.42865	0.0012	0.40608	0.0023
225394_s_at	zinc finger CCHC-type and RNA binding motif 1	ZCRB1	12q12	85437	0.27521	0.044	0.32546	0.0163	0.40622	0.0023	0.4371	0.001
225595_at	HCF-binding transcription factor Zhangfei	ZF	11q14	58487	0.36411	0.0068	0.44383	0.0008	0.48653	0.0002	0.45067	0.0006
225962_at	zinc and ring finger 1	ZNRF1	16q23.1	84937	0.36765	0.0062	0.3833	0.0042	0.35055	0.0094	0.33868	0.0122
226492_at	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	SEMA6D	15q21.1	80031	0.37705	0.0049	0.45616	0.0005	0.42329	0.0014	0.43512	0.001
226534_at	KIT ligand	KITLG	12q22	4254	0.26963	0.0486	0.2897	0.0336	0.46318	0.0004	0.37509	0.0052
226666_at	G protein-coupled receptor 135	GPR135	14q23.1	64582	0.31447	0.0206	0.3175	0.0193	0.43364	0.0011	0.43349	0.0011
226749_at	mitochondrial ribosomal protein S9	MRPS9	2q12.1	64965	0.26899	0.0492	0.33812	0.0124	0.33432	0.0135	0.28215	0.0387
226800_at	KIAA1799 protein	KIAA1799	1p31.3	84455	0.34541	0.0105	0.4144	0.0018	0.4464	0.0007	0.46577	0.0004
227095_at	Leptin receptor	LEPR	1p31	3953	0.27575	0.0436	0.35073	0.0093	0.492	0.0002	0.40467	0.0024
227105_at	centrosome and spindle pole associated protein 1	CSPP1	8q13.2	79848	0.36245	0.0071	0.37707	0.0049	0.56137	0.0001	0.4554	0.0005
227148_at	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	PLEKHH2	2p21	130271	0.28792	0.0348	0.34444	0.0108	0.45287	0.0006	0.35526	0.0084
227449_at	EPH receptor A4	EPHA4	2q36.1	2043	0.27297	0.0458	0.29821	0.0285	0.32935	0.015	0.35953	0.0076
227852_at	retinitis pigmentosa 9 (autosomal dominant)	RP9	7p14.3	6100	0.37156	0.0057	0.47535	0.0003	0.46649	0.0004	0.50255	0.0001
228391_at	cytochrome P450, family 4, subfamily V, polypeptide 2	CYP4V2	4q35.2	285440	0.29587	0.0298	0.33617	0.0129	0.42077	0.0015	0.4235	0.0014
228529_at	Transcribed locus	---	---	---	0.27711	0.0425	0.30705	0.0239	0.4352	0.001	0.44465	0.0008
228630_at	Zinc finger protein 84	ZNF84	12q24.33	7637	0.2959	0.0298	0.3258	0.0162	0.28962	0.0337	0.28025	0.0401
228636_at	basic helix-loop-helix domain containing, class B, 5	BHLHB5	8q13	27319	-0.37568	0.0051	-0.29531	0.0302	-0.44223	0.0008	-0.38892	0.0037
228680_at	kinesin family member 3A	KIF3A	5q31	11127	0.30346	0.0257	0.36892	0.006	0.36282	0.007	0.35267	0.0089
228760_at	Transcribed locus	---	---	---	0.41768	0.0017	0.45128	0.0006	0.54307	0.0001	0.51799	0.0001
229073_at	Hypothetical protein LOC145786	LOC145786	15q21.1	145786	0.28763	0.0349	0.32786	0.0155	0.31352	0.021	0.29176	0.0323
229111_at	Mannan-binding lectin serine peptidase 2	MASP2	1p36.3-p36.2	10747	0.31841	0.0189	0.38908	0.0036	0.4149	0.0018	0.37398	0.0053
229572_at	Transcribed locus, moderately similar to XP_498452.1 PREDICTED: hypothetical protein XP_498452 [Homo sapiens]	---	---	---	0.27795	0.0419	0.36773	0.0062	0.38104	0.0045	0.36544	0.0066
229623_at	hypothetical LOC441027	FLJ12993	4q21.22	441027	0.28316	0.038	0.31187	0.0217	0.36318	0.007	0.40265	0.0025
229628_s_at	KIAA1529	KIAA1529	9q22.33	57653	0.27833	0.0416	0.37634	0.005	0.32723	0.0157	0.33431	0.0135
230032_at	O-sialoglycoproteiN endopeptidase-like 1	OSGEPL1	2q32.2	64172	0.31182	0.0217	0.33054	0.0146	0.31349	0.021	0.35237	0.009
230055_at	chromosome 6 open reading frame 148	C6orf148	6q13	80759	-0.37752	0.0049	-0.36581	0.0065	-0.38761	0.0038	-0.41011	0.0021
230187_s_at	Full-length cDNA clone CS0DI042YD0 7 of Placenta Cot 25-normalized of Homo sapiens (human)	---	---	---	0.34585	0.0104	0.43719	0.0009	0.316	0.0199	0.33533	0.0132
230383_x_at	Transcribed   locus, moderately similar to  NP_060190.1 signal-transducing adaptor protein-2; brk kinase substrate [Homo sapiens]	---	---	---	0.3098	0.0226	0.34075	0.0117	0.44688	0.0007	0.36201	0.0071
230986_at	Kruppel-like factor 8	KLF8	Xp11.21	11279	0.43628	0.001	0.45931	0.0005	0.44833	0.0007	0.45597	0.0005
231155_at	defensin, beta 119	DEFB119	20q11.1	245932	-0.29645	0.0295	-0.30909	0.023	-0.28688	0.0354	-0.37256	0.0055
231215_at	Transcribed locus	---	---	---	0.29978	0.0276	0.27595	0.0434	0.36732	0.0063	0.38161	0.0044
231333_at	---	---	---	---	-0.45921	0.0005	-0.35875	0.0077	-0.27941	0.0407	-0.31035	0.0224
231473_at	---	---	---	---	-0.42127	0.0015	-0.3345	0.0134	-0.4042	0.0024	-0.44507	0.0007
231701_s_at	Serine hydroxymethylt ransferase 1 (soluble)	SHMT1	17p11.2	6470	-0.37503	0.0052	-0.36979	0.0059	-0.28378	0.0376	-0.29622	0.0296
231925_at	Purinergic receptor P2Y, G-protein coupled, 1	P2RY1	3q25.2	5028	0.26929	0.0489	0.29421	0.0308	0.40855	0.0022	0.31432	0.0206
231950_at	zinc finger protein 658	ZNF658	9p12	26149	0.30235	0.0263	0.34464	0.0107	0.29456	0.0306	0.29439	0.0307
232014_at	zinc finger protein 30	ZNF30	19q13.11	90075	0.36987	0.0059	0.48622	0.0002	0.41846	0.0016	0.4575	0.0005
232182_at	hypothetical protein LOC286272	LOC286272	9q12	286272	0.36429	0.0068	0.40722	0.0022	0.38494	0.0041	0.40958	0.0021
232370_at	hypothetical protein LOC254057	LOC254057	3q21.3	254057	0.28368	0.0376	0.27653	0.043	0.33253	0.014	0.29393	0.031
232481_s_at	SLIT and NTRK-like family, member 6	SLITRK6	13q31.1	84189	0.34323	0.0111	0.37575	0.0051	0.4305	0.0012	0.41027	0.0021
232626_at	Taste receptor, type 2, member 14	TAS2R14	12p13	50840	0.26839	0.0497	0.30606	0.0244	0.30884	0.0231	0.36681	0.0064
232911_at	mouse zinc finger protein 14-like	KIAA1559	19q13.12	57677	0.32151	0.0178	0.31963	0.0185	0.33088	0.0145	0.35584	0.0083
233913_at	WAP four-disulfide core domain 10A	WFDC10A	20q13.12	140832	-0.28623	0.0359	-0.37331	0.0054	-0.2868	0.0355	-0.2809	0.0396
233987_at	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)	TFAP2D	6p12.1	83741	-0.34311	0.0111	-0.32183	0.0176	-0.35862	0.0077	-0.33693	0.0127
234085_at	spermatogenes is and oogenesis specific basic helix-loop-helix 2	SOHLH2	13q13.3	54937	-0.33033	0.0147	-0.38187	0.0044	-0.27324	0.0456	-0.27026	0.0481
